price_id,product_id,store_id,price,price_type,effective_date,created_by
PH0000253,P03091,S0022,3562.47,Regular,2024-08-09,E00098
PH0000254,P02821,S0041,14132.94,Regular,2024-07-16,E02182
PH0000255,P02285,S0106,5221.59,Sale,2023-09-04,E00359
PH0000256,P03370,S0145,5046.19,Clearance,2024-03-30,E00249
PH0000257,P02659,S0127,623.86,Regular,2023-02-28,E02287
PH0000258,P03729,S0132,6559.71,Regular,2024-10-25,E01721
PH0000259,P02766,S0015,4677.31,Sale,2022-07-05,E01733
PH0000260,P00410,S0066,1678.72,Sale,2022-01-26,E01565
PH0000261,P00029,S0116,1382.45,Regular,2023-11-28,E02145
PH0000262,P03751,S0069,4718.93,Promotional,2023-01-23,E01474
PH0000263,P04317,S0083,788.45,Clearance,2023-03-18,E02140
PH0000264,P00754,S0041,489.04,Sale,2023-02-21,E02150
PH0000265,P03709,S0026,474.02,Regular,2022-03-14,E00122
PH0000266,P01797,S0122,4617.09,Regular,2022-07-09,E01102
PH0000267,P03961,S0146,3448.03,Regular,2022-01-21,E01768
PH0000268,P03587,S0150,6722.34,Regular,2023-12-22,E00563
PH0000269,P04070,S0115,1936.35,Regular,2024-09-01,E01547
PH0000270,P03851,S0121,677.97,Regular,2024-03-20,E00646
PH0000271,P03745,S0090,3070.93,Sale,2022-05-04,E00520
PH0000272,P01246,S0019,8363.65,Promotional,2024-06-21,E00627
PH0000273,P02487,S0071,1933.8,Regular,2024-05-10,E01428
PH0000274,P04573,S0060,4733.05,Regular,2024-10-28,E01927
PH0000275,P02799,S0034,3703.79,Promotional,2023-02-26,E00741
PH0000276,P04259,S0031,1645.86,Sale,2024-05-22,E01328
PH0000277,P04089,S0029,247.95,Flash Sale,2023-02-05,E02245
PH0000278,P00024,S0047,3002.16,Clearance,2024-09-27,E01038
PH0000279,P00363,S0022,2878.39,Regular,2024-01-24,E01268
PH0000280,P03676,S0090,704.87,Promotional,2024-11-08,E00479
PH0000281,P04885,S0134,1995.12,Sale,2024-05-03,E00677
PH0000282,P02069,S0044,1837.4,Sale,2024-11-23,E01696
PH0000283,P04581,S0016,2158.59,Promotional,2023-08-19,E01279
PH0000284,P00295,S0022,4025.99,Regular,2024-07-10,E01143
PH0000285,P04733,S0008,4689.43,Regular,2024-09-02,E01860
PH0000286,P02175,S0073,8496.67,Sale,2023-12-26,E01613
PH0000287,P03282,S0023,6858.45,Sale,2022-09-04,E01695
PH0000288,P02319,S0134,4275.51,Regular,2024-12-05,E01844
PH0000289,P03730,S0112,9150.79,Sale,2022-10-15,E01111
PH0000290,P00426,S0088,920.63,Regular,2023-11-05,E01204
PH0000291,P00954,S0132,3625.23,Regular,2022-05-04,E02389
PH0000292,P01434,S0112,4941.76,Regular,2024-12-11,E02428
PH0000293,P04939,S0041,4739.01,Regular,2022-01-07,E01322
PH0000294,P01679,S0090,3170.14,Sale,2022-04-27,E01880
PH0000295,P01184,S0060,7139.34,Sale,2023-09-08,E01450
PH0000296,P04326,S0059,1746.48,Sale,2024-10-21,E01432
PH0000297,P02297,S0117,99.62,Sale,2024-01-19,E02367
PH0000298,P04810,S0136,3850.35,Regular,2024-11-04,E01058
PH0000299,P02704,S0059,3339.86,Regular,2022-02-03,E01420
PH0000300,P01833,S0011,2157.61,Sale,2024-07-01,E00497
PH0000301,P00389,S0127,1535.24,Promotional,2022-11-10,E00773
PH0000302,P03921,S0114,565.94,Clearance,2023-11-10,E02210
PH0000303,P01775,S0028,2524.85,Sale,2024-04-17,E02085
PH0000304,P04101,S0025,3163.82,Regular,2024-02-09,E00750
PH0000305,P00304,S0113,3909.22,Sale,2023-07-09,E01622
PH0000306,P04306,S0146,3230.65,Regular,2022-07-29,E02226
PH0000307,P02178,S0003,3420.77,Regular,2023-02-12,E00918
PH0000308,P01691,S0015,2887.2,Regular,2023-03-15,E00579
PH0000309,P04992,S0024,1749.19,Regular,2023-05-19,E01954
PH0000310,P00536,S0058,3155.66,Regular,2023-05-23,E00241
PH0000311,P01092,S0147,4024.89,Regular,2022-11-30,E01199
PH0000312,P00400,S0098,251.4,Regular,2024-02-02,E02047
PH0000313,P04694,S0059,4070.32,Regular,2023-09-08,E01070
PH0000314,P00152,S0065,7354.68,Regular,2022-12-12,E02395
PH0000315,P03967,S0113,1173.6,Sale,2022-10-04,E01316
PH0000316,P00175,S0013,1751.71,Clearance,2024-01-09,E00545
PH0000317,P02090,S0054,1290.91,Regular,2022-10-04,E00649
PH0000318,P00200,S0057,1988.05,Sale,2023-01-30,E01623
PH0000319,P00117,S0088,3833.71,Regular,2023-09-28,E01041
PH0000320,P03282,S0083,6659.02,Sale,2022-09-22,E01052
PH0000321,P00712,S0112,8276.06,Promotional,2023-03-26,E02388
PH0000322,P02271,S0023,2971.07,Regular,2022-11-01,E00517
PH0000323,P00605,S0117,2166.32,Promotional,2022-09-29,E01890
PH0000324,P03260,S0092,1533.81,Promotional,2022-12-28,E01412
PH0000325,P01801,S0017,6953.35,Regular,2022-10-12,E01671
PH0000326,P03019,S0061,529.1,Regular,2022-01-14,E01242
PH0000327,P01857,S0015,3437.7,Promotional,2023-09-28,E01794
PH0000328,P00812,S0108,2417.22,Clearance,2024-02-13,E01026
PH0000329,P04372,S0047,11015.92,Regular,2024-03-10,E00991
PH0000330,P00627,S0144,2171.44,Sale,2022-07-04,E01319
PH0000331,P01989,S0032,4573.33,Regular,2023-09-10,E02298
PH0000332,P00941,S0058,1439.92,Regular,2024-11-29,E01091
PH0000333,P03322,S0059,3568.57,Regular,2022-12-25,E00819
PH0000334,P04981,S0109,2130.07,Sale,2022-09-08,E01819
PH0000335,P00684,S0037,2944.41,Regular,2023-03-31,E00234
PH0000336,P01619,S0091,4838.67,Promotional,2022-06-08,E00493
PH0000337,P03548,S0094,9238.11,Sale,2023-12-16,E00028
PH0000338,P01733,S0006,2127.01,Promotional,2022-07-31,E00799
PH0000339,P01124,S0136,473.26,Sale,2023-09-28,E02170
PH0000340,P01347,S0007,4423.83,Clearance,2023-05-04,E00470
PH0000341,P00569,S0088,2441.61,Regular,2022-04-10,E02152
PH0000342,P00767,S0017,2100.81,Regular,2024-09-23,E00007
PH0000343,P01038,S0026,7419.36,Regular,2022-06-09,E01167
PH0000344,P01365,S0029,2210.58,Regular,2023-07-14,E01556
PH0000345,P02818,S0138,530.29,Regular,2024-02-14,E01902
PH0000346,P00643,S0055,9899.07,Regular,2024-03-12,E00468
PH0000347,P02007,S0119,563.05,Regular,2023-05-05,E00791
PH0000348,P02195,S0127,403.0,Regular,2023-11-09,E00296
PH0000349,P03817,S0114,9707.98,Regular,2023-11-14,E02180
PH0000350,P04286,S0059,1559.62,Regular,2022-05-02,E01157
PH0000351,P00189,S0043,3801.13,Regular,2022-06-01,E00103
PH0000352,P04169,S0080,7144.1,Regular,2024-06-03,E01602
PH0000353,P01559,S0131,5306.23,Sale,2022-10-15,E01104
PH0000354,P04918,S0052,7608.63,Promotional,2022-12-07,E02349
PH0000355,P01420,S0011,6438.57,Regular,2024-06-25,E02219
PH0000356,P01882,S0060,809.43,Regular,2022-04-12,E00099
PH0000357,P01275,S0148,2470.98,Regular,2023-04-23,E01597
PH0000358,P03828,S0022,3844.7,Promotional,2022-01-21,E01886
PH0000359,P03477,S0022,1637.61,Regular,2024-07-22,E02484
PH0000360,P02899,S0094,774.35,Promotional,2024-08-25,E01306
PH0000361,P03501,S0101,5245.99,Promotional,2024-11-07,E01767
PH0000362,P03811,S0078,806.33,Sale,2023-01-30,E02115
PH0000363,P04017,S0090,2651.33,Sale,2023-11-14,E00060
PH0000364,P02498,S0067,3909.5,Regular,2023-03-19,E00784
PH0000365,P01908,S0075,5005.0,Promotional,2023-01-29,E00763
PH0000366,P04263,S0022,12222.67,Promotional,2023-03-24,E00859
PH0000367,P01835,S0057,597.14,Sale,2024-03-31,E00069
PH0000368,P03499,S0058,2633.82,Promotional,2024-01-11,E00291
PH0000369,P04514,S0143,287.68,Regular,2023-05-31,E00891
PH0000370,P03194,S0096,3253.69,Promotional,2022-03-05,E01091
PH0000371,P01069,S0052,5254.09,Sale,2022-10-17,E00698
PH0000372,P01818,S0141,2611.93,Clearance,2022-12-20,E00732
PH0000373,P00911,S0135,4023.94,Promotional,2024-11-20,E01370
PH0000374,P04164,S0136,3272.81,Regular,2024-01-02,E01574
PH0000375,P03280,S0024,189.89,Clearance,2022-12-11,E00649
PH0000376,P03500,S0061,3046.07,Flash Sale,2023-09-15,E01845
PH0000377,P01126,S0147,9786.21,Regular,2022-06-17,E00303
PH0000378,P01260,S0079,1690.66,Sale,2023-08-19,E00917
PH0000379,P01684,S0027,445.98,Sale,2023-03-02,E01507
PH0000380,P00978,S0026,3269.62,Regular,2024-06-16,E01584
PH0000381,P04640,S0031,435.71,Sale,2022-01-10,E01778
PH0000382,P00983,S0083,1364.84,Clearance,2024-11-03,E01169
PH0000383,P03505,S0082,3013.37,Regular,2022-06-04,E00398
PH0000384,P01113,S0023,1461.6,Clearance,2024-07-08,E01845
PH0000385,P03976,S0087,4064.4,Regular,2023-04-30,E00944
PH0000386,P04948,S0094,978.9,Regular,2024-06-02,E01725
PH0000387,P02343,S0063,1735.1,Clearance,2024-11-10,E01295
PH0000388,P01460,S0122,1212.68,Clearance,2022-04-25,E02335
PH0000389,P04869,S0027,4641.61,Regular,2024-06-23,E01805
PH0000390,P02540,S0064,754.54,Regular,2023-06-24,E01583
PH0000391,P03552,S0134,342.85,Regular,2022-02-11,E01539
PH0000392,P03187,S0076,3280.09,Sale,2024-06-18,E01411
PH0000393,P01416,S0123,826.86,Promotional,2022-11-15,E00274
PH0000394,P01873,S0123,10080.77,Regular,2024-11-27,E02410
PH0000395,P00190,S0113,1511.8,Regular,2024-01-29,E01778
PH0000396,P02762,S0034,2226.47,Sale,2024-12-17,E01455
PH0000397,P00308,S0046,6484.11,Regular,2024-12-18,E01116
PH0000398,P01399,S0075,11391.06,Regular,2023-07-11,E01399
PH0000399,P04228,S0149,661.03,Promotional,2023-09-10,E02213
PH0000400,P02585,S0122,198.59,Sale,2023-04-14,E02024
PH0000401,P04867,S0015,840.9,Sale,2023-02-08,E02116
PH0000402,P02478,S0102,4098.64,Regular,2022-01-23,E02322
PH0000403,P03380,S0031,6993.67,Regular,2023-01-11,E01167
PH0000404,P03832,S0123,4483.57,Regular,2023-10-28,E02222
PH0000405,P01802,S0064,7664.14,Flash Sale,2024-03-05,E02004
PH0000406,P00481,S0006,3027.39,Regular,2022-12-14,E00076
PH0000407,P01093,S0081,11310.29,Regular,2022-03-13,E02255
PH0000408,P02046,S0147,3384.11,Flash Sale,2023-11-16,E02058
PH0000409,P03497,S0050,2559.59,Sale,2024-02-17,E02351
