session_id,customer_id,login_time,logout_time,duration_mins,device,channel,pages_visited,date
SES0000027,C06535,2024-05-22 03:03:00,2024-05-22 03:16:00,13,Desktop,App,16,2024-05-22
SES0000028,C09318,2023-01-10 00:22:00,2023-01-10 01:40:00,78,Mobile,App,1,2023-01-10
SES0000029,C07072,2022-11-01 13:25:00,2022-11-01 13:46:00,21,Desktop,App,22,2022-11-01
SES0000030,C04166,2022-05-20 08:13:00,2022-05-20 08:30:00,17,Tablet,Web,23,2022-05-20
SES0000031,C08585,2023-12-31 07:18:00,2023-12-31 07:34:00,16,Mobile,App,26,2023-12-31
SES0000032,C03858,2023-03-01 02:09:00,2023-03-01 02:36:00,27,Mobile,Web,2,2023-03-01
SES0000033,C05377,2022-11-13 07:07:00,2022-11-13 07:50:00,43,Desktop,App,12,2022-11-13
SES0000034,C06802,2023-02-07 22:53:00,2023-02-07 23:19:00,26,Mobile,App,14,2023-02-07
SES0000035,C06024,2024-01-25 10:51:00,2024-01-25 11:47:00,56,Desktop,Web,10,2024-01-25
SES0000036,C05789,2023-06-03 04:19:00,2023-06-03 05:43:00,84,Mobile,App,28,2023-06-03
SES0000037,C09935,2022-08-28 07:03:00,2022-08-28 08:10:00,67,Mobile,Web,9,2022-08-28
SES0000038,C04151,2023-09-22 10:02:00,2023-09-22 10:10:00,8,Mobile,App,25,2023-09-22
SES0000039,C04720,2023-08-09 02:07:00,2023-08-09 03:03:00,56,Desktop,Web,21,2023-08-09
SES0000040,C03426,2024-07-02 06:26:00,2024-07-02 07:38:00,72,Tablet,App,16,2024-07-02
SES0000041,C09663,2024-12-20 06:45:00,2024-12-20 08:09:00,84,Mobile,Web,4,2024-12-20
SES0000042,C03553,2022-08-21 16:30:00,2022-08-21 16:59:00,29,Mobile,App,13,2022-08-21
SES0000043,C01186,2022-01-14 16:00:00,2022-01-14 16:53:00,53,Mobile,Web,10,2022-01-14
SES0000044,C00648,2024-12-31 02:34:00,2024-12-31 02:41:00,7,Desktop,App,30,2024-12-31
SES0000045,C09631,2024-12-10 00:02:00,2024-12-10 00:46:00,44,Mobile,App,15,2024-12-10
SES0000046,C09565,2022-12-26 23:31:00,2022-12-27 00:51:00,80,Desktop,App,10,2022-12-26
SES0000047,C04103,2024-12-22 22:40:00,2024-12-22 23:46:00,66,Mobile,Web,11,2024-12-22
SES0000048,C07677,2022-03-08 13:52:00,2022-03-08 13:58:00,6,Desktop,Web,17,2022-03-08
SES0000049,C07761,2023-09-28 04:10:00,2023-09-28 04:50:00,40,Desktop,App,22,2023-09-28
SES0000050,C08704,2024-08-04 03:39:00,2024-08-04 04:17:00,38,Mobile,Web,3,2024-08-04
SES0000051,C05591,2023-05-01 21:00:00,2023-05-01 22:06:00,66,Mobile,App,15,2023-05-01
SES0000052,C02431,2023-10-22 08:02:00,2023-10-22 08:49:00,47,Desktop,App,24,2023-10-22
SES0000053,C04310,2022-08-10 15:42:00,2022-08-10 16:53:00,71,Mobile,App,3,2022-08-10
SES0000054,C04003,2023-10-01 19:57:00,2023-10-01 21:11:00,74,Desktop,Web,9,2023-10-01
SES0000055,C09454,2023-08-06 12:22:00,2023-08-06 13:52:00,90,Mobile,Web,6,2023-08-06
SES0000056,C08482,2024-06-12 19:22:00,2024-06-12 19:48:00,26,Mobile,Web,14,2024-06-12
SES0000057,C01232,2024-08-19 03:04:00,2024-08-19 04:17:00,73,Desktop,Web,20,2024-08-19
SES0000058,C04328,2023-06-14 17:33:00,2023-06-14 18:07:00,34,Tablet,App,20,2023-06-14
SES0000059,C02632,2023-03-31 12:48:00,2023-03-31 13:56:00,68,Desktop,App,6,2023-03-31
SES0000060,C09083,2024-03-17 18:05:00,2024-03-17 18:38:00,33,Desktop,App,22,2024-03-17
SES0000061,C00949,2023-08-30 23:53:00,2023-08-31 00:31:00,38,Desktop,App,17,2023-08-30
SES0000062,C00994,2022-09-01 05:23:00,2022-09-01 06:38:00,75,Mobile,App,4,2022-09-01
SES0000063,C04679,2023-03-06 01:27:00,2023-03-06 01:51:00,24,Mobile,App,16,2023-03-06
SES0000064,C06145,2022-10-20 21:13:00,2022-10-20 21:48:00,35,Desktop,Web,5,2022-10-20
SES0000065,C08448,2022-04-25 19:51:00,2022-04-25 20:00:00,9,Mobile,App,14,2022-04-25
SES0000066,C04534,2022-11-30 19:26:00,2022-11-30 20:27:00,61,Mobile,Web,10,2022-11-30
SES0000067,C05253,2022-06-04 04:26:00,2022-06-04 05:35:00,69,Desktop,Web,16,2022-06-04
SES0000068,C01598,2024-10-11 23:26:00,2024-10-11 23:35:00,9,Desktop,App,27,2024-10-11
SES0000069,C00692,2022-04-10 12:46:00,2022-04-10 13:36:00,50,Mobile,Web,25,2022-04-10
SES0000070,C00912,2022-05-29 19:18:00,2022-05-29 19:39:00,21,Mobile,App,24,2022-05-29
SES0000071,C03171,2022-02-20 07:25:00,2022-02-20 08:29:00,64,Mobile,Web,26,2022-02-20
SES0000072,C09706,2024-05-28 12:14:00,2024-05-28 13:20:00,66,Desktop,App,23,2024-05-28
SES0000073,C04446,2024-12-18 18:11:00,2024-12-18 18:25:00,14,Mobile,App,25,2024-12-18
SES0000074,C01216,2022-06-15 08:22:00,2022-06-15 08:26:00,4,Mobile,Web,3,2022-06-15
SES0000075,C03238,2022-07-06 06:06:00,2022-07-06 06:54:00,48,Mobile,Web,17,2022-07-06
SES0000076,C04645,2023-08-13 01:42:00,2023-08-13 02:34:00,52,Mobile,App,17,2023-08-13
SES0000077,C05519,2024-11-30 12:23:00,2024-11-30 12:56:00,33,Tablet,Web,4,2024-11-30
SES0000078,C03734,2023-05-11 02:38:00,2023-05-11 03:21:00,43,Mobile,Web,15,2023-05-11
SES0000079,C08743,2022-02-05 18:21:00,2022-02-05 18:35:00,14,Mobile,App,19,2022-02-05
SES0000080,C01541,2022-01-29 13:10:00,2022-01-29 13:57:00,47,Desktop,App,23,2022-01-29
SES0000081,C03651,2022-02-07 06:07:00,2022-02-07 06:39:00,32,Desktop,App,11,2022-02-07
SES0000082,C07339,2023-12-27 05:40:00,2023-12-27 06:37:00,57,Mobile,App,20,2023-12-27
SES0000083,C06778,2023-09-21 21:00:00,2023-09-21 22:15:00,75,Mobile,App,18,2023-09-21
SES0000084,C05663,2022-08-27 06:06:00,2022-08-27 06:09:00,3,Mobile,Web,12,2022-08-27
SES0000085,C02641,2022-02-05 09:00:00,2022-02-05 09:18:00,18,Tablet,App,4,2022-02-05
SES0000086,C00207,2024-05-11 19:25:00,2024-05-11 19:39:00,14,Mobile,App,19,2024-05-11
SES0000087,C03223,2024-02-04 15:12:00,2024-02-04 16:40:00,88,Desktop,App,23,2024-02-04
SES0000088,C02668,2022-05-07 19:08:00,2022-05-07 20:24:00,76,Mobile,App,23,2022-05-07
SES0000089,C02365,2023-01-31 12:44:00,2023-01-31 13:40:00,56,Mobile,Web,19,2023-01-31
SES0000090,C02790,2022-11-28 16:25:00,2022-11-28 17:17:00,52,Mobile,App,29,2022-11-28
SES0000091,C08243,2022-12-15 06:54:00,2022-12-15 08:14:00,80,Mobile,App,9,2022-12-15
SES0000092,C00547,2022-03-13 08:08:00,2022-03-13 08:50:00,42,Mobile,App,15,2022-03-13
SES0000093,C06119,2024-03-12 19:34:00,2024-03-12 20:39:00,65,Mobile,App,7,2024-03-12
SES0000094,C03684,2022-03-15 01:12:00,2022-03-15 02:08:00,56,Mobile,App,10,2022-03-15
SES0000095,C01128,2024-09-27 08:08:00,2024-09-27 08:23:00,15,Mobile,Web,1,2024-09-27
SES0000096,C06228,2023-09-23 10:49:00,2023-09-23 11:12:00,23,Mobile,App,3,2023-09-23
SES0000097,C06731,2023-02-14 14:57:00,2023-02-14 15:04:00,7,Desktop,Web,2,2023-02-14
SES0000098,C02188,2024-03-08 09:12:00,2024-03-08 09:42:00,30,Desktop,Web,3,2024-03-08
SES0000099,C00245,2023-02-26 02:28:00,2023-02-26 03:20:00,52,Mobile,Web,9,2023-02-26
SES0000100,C09464,2024-09-19 00:45:00,2024-09-19 01:19:00,34,Desktop,App,7,2024-09-19
SES0000101,C03059,2024-07-05 07:50:00,2024-07-05 09:02:00,72,Mobile,App,28,2024-07-05
SES0000102,C01916,2022-08-29 06:45:00,2022-08-29 06:57:00,12,Mobile,App,12,2022-08-29
SES0000103,C05947,2022-11-08 01:29:00,2022-11-08 01:39:00,10,Mobile,Web,2,2022-11-08
SES0000104,C01706,2024-05-10 02:33:00,2024-05-10 03:29:00,56,Desktop,Web,3,2024-05-10
SES0000105,C06521,2023-02-14 12:19:00,2023-02-14 12:39:00,20,Mobile,App,29,2023-02-14
SES0000106,C05300,2022-08-13 17:34:00,2022-08-13 17:44:00,10,Mobile,Web,6,2022-08-13
SES0000107,C06503,2024-04-03 03:14:00,2024-04-03 03:39:00,25,Mobile,App,12,2024-04-03
SES0000108,C01290,2022-10-21 17:56:00,2022-10-21 19:20:00,84,Desktop,App,13,2022-10-21
SES0000109,C02092,2022-08-21 10:11:00,2022-08-21 10:25:00,14,Desktop,App,2,2022-08-21
SES0000110,C05046,2022-11-22 21:41:00,2022-11-22 21:47:00,6,Mobile,App,1,2022-11-22
SES0000111,C04805,2023-08-29 23:37:00,2023-08-30 00:37:00,60,Mobile,Web,19,2023-08-29
SES0000112,C04785,2022-02-20 16:22:00,2022-02-20 17:32:00,70,Mobile,Web,1,2022-02-20
SES0000113,C00408,2024-07-19 10:26:00,2024-07-19 11:21:00,55,Mobile,Web,25,2024-07-19
SES0000114,C04999,2022-05-13 21:29:00,2022-05-13 22:15:00,46,Mobile,App,20,2022-05-13
SES0000115,C09243,2024-04-02 11:24:00,2024-04-02 11:44:00,20,Desktop,App,27,2024-04-02
SES0000116,C09823,2022-03-12 15:43:00,2022-03-12 15:48:00,5,Desktop,App,1,2022-03-12
SES0000117,C01371,2022-01-17 01:57:00,2022-01-17 02:00:00,3,Mobile,App,30,2022-01-17
SES0000118,C04583,2024-01-17 21:57:00,2024-01-17 22:57:00,60,Mobile,App,1,2024-01-17
SES0000119,C08856,2023-08-28 12:23:00,2023-08-28 12:46:00,23,Mobile,App,2,2023-08-28
SES0000120,C02881,2023-11-30 17:45:00,2023-11-30 18:47:00,62,Mobile,App,14,2023-11-30
SES0000121,C06748,2024-07-27 21:15:00,2024-07-27 21:35:00,20,Mobile,Web,28,2024-07-27
SES0000122,C08869,2023-12-01 06:45:00,2023-12-01 06:54:00,9,Mobile,Web,15,2023-12-01
SES0000123,C02972,2024-10-31 10:42:00,2024-10-31 12:12:00,90,Tablet,Web,7,2024-10-31
SES0000124,C06955,2023-04-23 11:38:00,2023-04-23 12:03:00,25,Mobile,App,16,2023-04-23
SES0000125,C09527,2023-10-30 11:22:00,2023-10-30 12:29:00,67,Desktop,App,5,2023-10-30
SES0000126,C04037,2024-03-28 06:59:00,2024-03-28 07:43:00,44,Mobile,Web,5,2024-03-28
SES0000127,C03075,2023-07-29 19:04:00,2023-07-29 19:31:00,27,Mobile,App,29,2023-07-29
SES0000128,C07720,2024-10-08 14:26:00,2024-10-08 15:12:00,46,Tablet,App,11,2024-10-08
SES0000129,C05297,2022-04-30 14:58:00,2022-04-30 15:34:00,36,Mobile,Web,15,2022-04-30
SES0000130,C05947,2022-08-23 17:11:00,2022-08-23 18:03:00,52,Desktop,App,12,2022-08-23
SES0000131,C06835,2023-09-10 00:01:00,2023-09-10 00:22:00,21,Mobile,App,8,2023-09-10
SES0000132,C06754,2022-11-30 10:13:00,2022-11-30 10:26:00,13,Desktop,App,17,2022-11-30
SES0000133,C00099,2024-01-26 22:40:00,2024-01-26 23:13:00,33,Tablet,App,29,2024-01-26
SES0000134,C05719,2024-12-11 09:34:00,2024-12-11 10:31:00,57,Mobile,App,5,2024-12-11
SES0000135,C00880,2023-03-02 06:49:00,2023-03-02 07:26:00,37,Mobile,App,5,2023-03-02
SES0000136,C07307,2024-08-30 18:58:00,2024-08-30 20:24:00,86,Mobile,Web,16,2024-08-30
SES0000137,C08805,2024-06-20 11:44:00,2024-06-20 12:55:00,71,Mobile,App,12,2024-06-20
SES0000138,C01947,2023-04-12 18:38:00,2023-04-12 19:29:00,51,Desktop,Web,20,2023-04-12
SES0000139,C07271,2024-10-07 11:23:00,2024-10-07 12:46:00,83,Mobile,App,26,2024-10-07
SES0000140,C09251,2023-11-30 00:08:00,2023-11-30 00:41:00,33,Desktop,Web,11,2023-11-30
SES0000141,C08095,2022-09-11 14:56:00,2022-09-11 15:05:00,9,Mobile,App,2,2022-09-11
SES0000142,C03845,2023-12-02 01:04:00,2023-12-02 02:03:00,59,Mobile,Web,5,2023-12-02
SES0000143,C00717,2023-08-04 15:09:00,2023-08-04 15:11:00,2,Mobile,App,6,2023-08-04
SES0000144,C04959,2022-07-18 17:43:00,2022-07-18 18:04:00,21,Mobile,App,2,2022-07-18
SES0000145,C05666,2022-06-13 09:36:00,2022-06-13 10:43:00,67,Mobile,App,23,2022-06-13
SES0000146,C04088,2022-04-14 10:05:00,2022-04-14 10:37:00,32,Mobile,Web,1,2022-04-14
SES0000147,C05197,2023-09-18 17:29:00,2023-09-18 18:53:00,84,Mobile,App,18,2023-09-18
SES0000148,C07554,2023-03-06 16:14:00,2023-03-06 17:09:00,55,Mobile,Web,1,2023-03-06
SES0000149,C01595,2023-05-30 08:42:00,2023-05-30 10:08:00,86,Desktop,Web,6,2023-05-30
SES0000150,C05883,2024-05-23 21:24:00,2024-05-23 22:43:00,79,Desktop,Web,12,2024-05-23
SES0000151,C03025,2023-03-28 07:49:00,2023-03-28 08:29:00,40,Mobile,App,30,2023-03-28
SES0000152,C05569,2024-03-28 21:53:00,2024-03-28 22:40:00,47,Mobile,App,23,2024-03-28
SES0000153,C00520,2022-08-11 09:40:00,2022-08-11 11:01:00,81,Desktop,App,28,2022-08-11
SES0000154,C00794,2022-10-31 04:40:00,2022-10-31 04:56:00,16,Tablet,App,17,2022-10-31
SES0000155,C06343,2022-03-09 13:42:00,2022-03-09 14:46:00,64,Mobile,App,20,2022-03-09
SES0000156,C03020,2023-03-21 09:02:00,2023-03-21 10:19:00,77,Tablet,Web,19,2023-03-21
SES0000157,C01582,2023-06-15 06:34:00,2023-06-15 07:38:00,64,Mobile,App,26,2023-06-15
SES0000158,C04536,2022-03-06 10:18:00,2022-03-06 10:53:00,35,Mobile,App,22,2022-03-06
SES0000159,C08403,2023-08-28 23:58:00,2023-08-29 00:45:00,47,Desktop,App,29,2023-08-28
SES0000160,C06746,2024-05-09 02:07:00,2024-05-09 03:24:00,77,Mobile,App,5,2024-05-09
SES0000161,C07199,2022-11-18 01:03:00,2022-11-18 01:34:00,31,Mobile,App,7,2022-11-18
SES0000162,C03024,2024-10-04 21:39:00,2024-10-04 22:11:00,32,Mobile,App,30,2024-10-04
SES0000163,C05675,2023-06-28 18:54:00,2023-06-28 19:06:00,12,Mobile,App,9,2023-06-28
SES0000164,C09881,2022-04-29 01:58:00,2022-04-29 02:53:00,55,Mobile,App,3,2022-04-29
SES0000165,C05731,2023-09-03 14:25:00,2023-09-03 14:42:00,17,Mobile,Web,27,2023-09-03
SES0000166,C09893,2023-11-24 18:26:00,2023-11-24 19:54:00,88,Mobile,Web,9,2023-11-24
SES0000167,C07081,2024-09-30 03:31:00,2024-09-30 04:09:00,38,Mobile,App,7,2024-09-30
SES0000168,C04278,2023-08-24 07:11:00,2023-08-24 07:20:00,9,Desktop,Web,4,2023-08-24
SES0000169,C06127,2023-07-06 04:43:00,2023-07-06 06:11:00,88,Mobile,App,30,2023-07-06
SES0000170,C07045,2024-05-11 00:46:00,2024-05-11 01:31:00,45,Mobile,App,6,2024-05-11
SES0000171,C00967,2023-04-07 19:44:00,2023-04-07 20:00:00,16,Mobile,App,23,2023-04-07
SES0000172,C03926,2023-05-11 23:29:00,2023-05-12 00:08:00,39,Mobile,App,9,2023-05-11
SES0000173,C04536,2023-07-13 09:26:00,2023-07-13 10:00:00,34,Mobile,Web,26,2023-07-13
SES0000174,C05406,2023-05-10 20:56:00,2023-05-10 21:24:00,28,Desktop,App,22,2023-05-10
SES0000175,C06099,2022-08-20 22:59:00,2022-08-20 23:52:00,53,Tablet,Web,14,2022-08-20
SES0000176,C00682,2024-04-05 17:56:00,2024-04-05 18:02:00,6,Mobile,Web,27,2024-04-05
SES0000177,C05112,2023-06-01 17:35:00,2023-06-01 17:47:00,12,Mobile,Web,20,2023-06-01
SES0000178,C06130,2024-11-07 11:34:00,2024-11-07 12:25:00,51,Mobile,App,7,2024-11-07
SES0000179,C05035,2022-04-18 16:52:00,2022-04-18 16:57:00,5,Mobile,App,22,2022-04-18
SES0000180,C04705,2024-07-05 09:23:00,2024-07-05 09:36:00,13,Desktop,Web,5,2024-07-05
SES0000181,C01471,2023-12-28 06:22:00,2023-12-28 07:12:00,50,Mobile,App,10,2023-12-28
SES0000182,C05339,2024-07-24 05:58:00,2024-07-24 07:05:00,67,Mobile,App,22,2024-07-24
SES0000183,C05510,2022-03-21 23:16:00,2022-03-22 00:32:00,76,Desktop,Web,23,2022-03-21
SES0000184,C03073,2022-06-06 16:53:00,2022-06-06 17:38:00,45,Mobile,App,23,2022-06-06
SES0000185,C08460,2024-07-11 07:12:00,2024-07-11 07:45:00,33,Mobile,App,12,2024-07-11
SES0000186,C07688,2024-08-30 11:14:00,2024-08-30 11:41:00,27,Mobile,Web,16,2024-08-30
SES0000187,C03542,2024-10-01 23:10:00,2024-10-01 23:22:00,12,Mobile,App,23,2024-10-01
SES0000188,C01655,2022-04-26 07:32:00,2022-04-26 07:47:00,15,Desktop,Web,13,2022-04-26
SES0000189,C02901,2023-03-17 15:43:00,2023-03-17 16:46:00,63,Mobile,Web,23,2023-03-17
SES0000190,C08485,2024-09-13 04:40:00,2024-09-13 06:03:00,83,Mobile,App,22,2024-09-13
SES0000191,C06780,2024-07-01 23:36:00,2024-07-02 00:02:00,26,Mobile,App,24,2024-07-01
SES0000192,C08628,2024-02-04 22:22:00,2024-02-04 23:16:00,54,Mobile,App,3,2024-02-04
SES0000193,C09266,2022-11-23 23:19:00,2022-11-24 00:09:00,50,Mobile,Web,8,2022-11-23
SES0000194,C09004,2022-11-02 22:28:00,2022-11-02 23:52:00,84,Mobile,Web,3,2022-11-02
SES0000195,C01330,2024-05-18 19:31:00,2024-05-18 20:29:00,58,Mobile,App,2,2024-05-18
SES0000196,C09419,2023-08-26 07:12:00,2023-08-26 07:26:00,14,Tablet,Web,21,2023-08-26
SES0000197,C04753,2022-01-30 02:33:00,2022-01-30 02:58:00,25,Mobile,App,1,2022-01-30
SES0000198,C00546,2022-02-25 23:04:00,2022-02-25 23:17:00,13,Mobile,Web,12,2022-02-25
SES0000199,C05224,2023-01-01 03:59:00,2023-01-01 04:44:00,45,Mobile,Web,26,2023-01-01
SES0000200,C00884,2024-02-03 00:22:00,2024-02-03 00:43:00,21,Desktop,App,4,2024-02-03
SES0000201,C05954,2024-07-21 16:04:00,2024-07-21 16:48:00,44,Mobile,Web,10,2024-07-21
SES0000202,C02229,2024-06-18 15:13:00,2024-06-18 16:34:00,81,Tablet,App,9,2024-06-18
SES0000203,C08318,2022-01-11 22:17:00,2022-01-11 23:03:00,46,Tablet,App,30,2022-01-11
SES0000204,C03858,2022-03-02 13:50:00,2022-03-02 14:54:00,64,Mobile,App,19,2022-03-02
SES0000205,C07097,2024-06-04 15:41:00,2024-06-04 16:28:00,47,Desktop,App,23,2024-06-04
SES0000206,C01882,2023-12-04 20:54:00,2023-12-04 21:17:00,23,Desktop,App,18,2023-12-04
SES0000207,C04328,2022-02-01 23:08:00,2022-02-01 23:29:00,21,Desktop,Web,4,2022-02-01
SES0000208,C00630,2022-03-30 15:21:00,2022-03-30 15:36:00,15,Mobile,Web,7,2022-03-30
SES0000209,C05925,2023-03-08 07:50:00,2023-03-08 07:58:00,8,Mobile,Web,11,2023-03-08
SES0000210,C04441,2022-07-06 00:49:00,2022-07-06 01:19:00,30,Desktop,App,7,2022-07-06
SES0000211,C01303,2022-06-07 03:41:00,2022-06-07 04:40:00,59,Desktop,App,19,2022-06-07
SES0000212,C07419,2023-02-21 09:48:00,2023-02-21 09:55:00,7,Mobile,App,2,2023-02-21
SES0000213,C01666,2022-07-24 06:02:00,2022-07-24 06:34:00,32,Mobile,Web,22,2022-07-24
SES0000214,C03277,2022-03-25 17:58:00,2022-03-25 18:11:00,13,Desktop,App,19,2022-03-25
SES0000215,C03565,2024-11-21 00:42:00,2024-11-21 01:41:00,59,Mobile,Web,30,2024-11-21
SES0000216,C04051,2023-03-17 21:17:00,2023-03-17 22:45:00,88,Mobile,App,1,2023-03-17
SES0000217,C02533,2023-07-25 08:43:00,2023-07-25 09:12:00,29,Desktop,App,23,2023-07-25
SES0000218,C03398,2023-07-25 20:36:00,2023-07-25 21:41:00,65,Desktop,Web,8,2023-07-25
SES0000219,C05615,2024-10-21 00:51:00,2024-10-21 01:19:00,28,Mobile,App,21,2024-10-21
SES0000220,C09036,2024-05-21 17:19:00,2024-05-21 17:30:00,11,Tablet,Web,5,2024-05-21
SES0000221,C02514,2024-05-11 06:01:00,2024-05-11 07:30:00,89,Desktop,App,7,2024-05-11
SES0000222,C06231,2024-07-09 15:51:00,2024-07-09 16:04:00,13,Desktop,Web,22,2024-07-09
SES0000223,C00128,2022-08-31 17:56:00,2022-08-31 19:19:00,83,Tablet,Web,22,2022-08-31
SES0000224,C01771,2022-07-03 06:34:00,2022-07-03 07:49:00,75,Desktop,Web,22,2022-07-03
SES0000225,C06943,2023-09-23 00:53:00,2023-09-23 01:10:00,17,Mobile,App,28,2023-09-23
SES0000226,C02028,2023-07-07 18:09:00,2023-07-07 18:26:00,17,Mobile,App,24,2023-07-07
SES0000227,C01461,2024-10-03 08:32:00,2024-10-03 09:17:00,45,Mobile,Web,29,2024-10-03
SES0000228,C02801,2024-11-13 15:51:00,2024-11-13 16:02:00,11,Desktop,App,2,2024-11-13
SES0000229,C04383,2023-05-30 22:06:00,2023-05-30 22:17:00,11,Desktop,App,17,2023-05-30
SES0000230,C00496,2023-03-22 14:03:00,2023-03-22 15:23:00,80,Desktop,App,26,2023-03-22
SES0000231,C09414,2024-10-28 08:44:00,2024-10-28 09:43:00,59,Desktop,App,28,2024-10-28
SES0000232,C07736,2023-04-16 00:44:00,2023-04-16 01:00:00,16,Mobile,Web,15,2023-04-16
SES0000233,C03198,2023-06-04 12:42:00,2023-06-04 14:10:00,88,Mobile,App,30,2023-06-04
SES0000234,C07342,2024-12-26 16:24:00,2024-12-26 17:25:00,61,Desktop,Web,24,2024-12-26
SES0000235,C07882,2022-05-08 14:43:00,2022-05-08 15:52:00,69,Mobile,Web,2,2022-05-08
SES0000236,C06351,2022-04-06 12:12:00,2022-04-06 12:57:00,45,Desktop,Web,29,2022-04-06
SES0000237,C09375,2022-01-14 19:09:00,2022-01-14 19:11:00,2,Tablet,App,4,2022-01-14
SES0000238,C05755,2024-10-18 09:26:00,2024-10-18 10:50:00,84,Desktop,Web,26,2024-10-18
SES0000239,C09747,2023-09-24 23:41:00,2023-09-25 00:23:00,42,Desktop,Web,10,2023-09-24
SES0000240,C09665,2022-07-17 13:21:00,2022-07-17 14:11:00,50,Mobile,App,14,2022-07-17
SES0000241,C09064,2023-02-24 18:23:00,2023-02-24 18:48:00,25,Desktop,App,10,2023-02-24
SES0000242,C03777,2022-12-16 16:08:00,2022-12-16 16:50:00,42,Mobile,Web,24,2022-12-16
SES0000243,C04580,2022-11-04 04:45:00,2022-11-04 04:52:00,7,Desktop,Web,1,2022-11-04
SES0000244,C09606,2024-04-06 14:12:00,2024-04-06 15:08:00,56,Desktop,Web,29,2024-04-06
SES0000245,C01408,2023-06-08 17:28:00,2023-06-08 18:24:00,56,Tablet,Web,27,2023-06-08
SES0000246,C00749,2024-12-12 14:15:00,2024-12-12 14:19:00,4,Desktop,App,15,2024-12-12
SES0000247,C08112,2024-06-22 07:19:00,2024-06-22 08:24:00,65,Mobile,Web,3,2024-06-22
SES0000248,C00179,2022-04-28 05:10:00,2022-04-28 06:38:00,88,Desktop,Web,16,2022-04-28
SES0000249,C03453,2024-08-03 16:30:00,2024-08-03 17:44:00,74,Desktop,App,27,2024-08-03
SES0000250,C01446,2023-03-17 11:23:00,2023-03-17 12:02:00,39,Mobile,App,3,2023-03-17
SES0000251,C06654,2024-11-16 07:49:00,2024-11-16 08:55:00,66,Mobile,Web,4,2024-11-16
SES0000252,C07884,2024-07-16 11:38:00,2024-07-16 12:59:00,81,Desktop,App,1,2024-07-16
SES0000253,C06539,2024-07-29 12:48:00,2024-07-29 13:58:00,70,Mobile,Web,11,2024-07-29
SES0000254,C05290,2023-02-26 23:02:00,2023-02-26 23:45:00,43,Mobile,App,5,2023-02-26
SES0000255,C05121,2024-08-18 08:42:00,2024-08-18 09:39:00,57,Mobile,App,27,2024-08-18
