supplier_id,name,category,country,city,lead_time_days,reliability_score,min_order_qty,payment_terms,is_active
SUP0036,Sidhu-Wadhwa,Ethnic Wear,India,Bengaluru,33,0.75,235,Net30,True
SUP0037,Apte-Contractor,Outerwear,Turkey,Delhi,45,0.78,284,Net30,True
SUP0038,"Yadav, Loke and Oak",Innerwear,Vietnam,Bhopal,9,0.77,277,Net30,False
SUP0039,Memon Group,Accessories,Turkey,Chennai,7,0.61,369,Advance,True
SUP0040,Setty Inc,Ethnic Wear,Bangladesh,Indore,35,0.82,100,Net30,True
SUP0041,"Lall, Tella and Gokhale",Ethnic Wear,China,Bhopal,31,0.94,261,Advance,True
SUP0042,"Cherian, Misra and Tripathi",Activewear,Vietnam,Hyderabad,23,0.74,390,Advance,True
SUP0043,"Issac, Dua and Prakash",Dresses,Vietnam,Bengaluru,8,0.92,97,COD,True
SUP0044,Zacharia PLC,Accessories,China,Vadodara,6,0.81,337,Advance,True
SUP0045,Naik Group,Activewear,Bangladesh,Bhopal,6,0.98,357,Advance,True
SUP0046,Choudhury LLC,Ethnic Wear,China,Chennai,45,0.76,483,Net30,True
SUP0047,Khatri-Bhardwaj,Ethnic Wear,Bangladesh,Hyderabad,20,0.8,463,COD,True
SUP0048,Brar Inc,Ethnic Wear,India,Agra,45,0.91,186,Net30,True
SUP0049,"Sunder, Biswas and Walia",Footwear,Bangladesh,Kochi,3,0.63,123,COD,True
SUP0050,Dave Ltd,Tops,India,Patna,16,0.72,282,Advance,True
SUP0051,Gandhi-Lanka,Footwear,Bangladesh,Ludhiana,41,0.59,76,Net60,True
SUP0052,"Sampath, Kakar and Zacharia",Tops,India,Jaipur,31,0.84,298,COD,True
SUP0053,"Iyer, Muni and Rastogi",Outerwear,Turkey,Hyderabad,25,0.74,195,COD,True
SUP0054,"Prakash, Sarma and Varughese",Footwear,India,Ahmedabad,28,0.98,78,Net30,True
SUP0055,Dara-Kota,Outerwear,China,Jaipur,21,0.69,53,COD,True
SUP0056,Bhatt LLC,Dresses,China,Chandigarh,37,0.86,306,Advance,True
SUP0057,Karpe PLC,Tops,Vietnam,Mumbai,32,0.96,491,Advance,True
SUP0058,Amble Inc,Activewear,Vietnam,Lucknow,10,0.73,216,Net60,True
SUP0059,"Bhargava, Karnik and Bir",Innerwear,Bangladesh,Bengaluru,30,0.92,174,COD,True
SUP0060,Narayanan Inc,Ethnic Wear,India,Chandigarh,22,0.88,163,Advance,True
SUP0061,"Khanna, Mallick and Sunder",Bottoms,Turkey,Hyderabad,36,0.77,447,Advance,True
SUP0062,Zacharia and Sons,Dresses,China,Hyderabad,12,0.66,138,Net60,True
SUP0063,"Solanki, Kibe and Solanki",Bottoms,China,Nagpur,32,0.88,439,COD,True
SUP0064,Gupta-Chandra,Accessories,Bangladesh,Chennai,31,0.58,276,Advance,True
SUP0065,Sankar LLC,Tops,Bangladesh,Patna,7,0.69,281,Net30,True
SUP0066,Roy-Sibal,Footwear,India,Bengaluru,42,0.81,246,COD,True
SUP0067,"Bhagat, Chaudhari and Bhat",Tops,Vietnam,Ludhiana,44,0.63,359,COD,True
SUP0068,Nori-Chopra,Tops,Vietnam,Hyderabad,24,0.98,93,Net60,True
SUP0069,Handa and Sons,Innerwear,Vietnam,Patna,36,0.82,236,Advance,False
SUP0070,"Sen, Dey and Sami",Activewear,Vietnam,Surat,41,0.57,373,Advance,True
SUP0071,Mallick Group,Bottoms,Turkey,Chandigarh,21,0.66,486,Net60,True
SUP0072,Borra Group,Dresses,Bangladesh,Lucknow,44,0.86,250,Net60,True
SUP0073,"Chaudhari, Bedi and Zachariah",Bottoms,Bangladesh,Vadodara,27,0.83,218,Net60,True
SUP0074,Chander and Sons,Ethnic Wear,India,Bhopal,35,0.71,235,Advance,True
SUP0075,Ray Group,Outerwear,Bangladesh,Nagpur,15,0.65,120,Net60,True
SUP0076,Kala-Rattan,Bottoms,Turkey,Vadodara,36,0.57,222,Net60,True
SUP0077,Gala Group,Dresses,China,Kolkata,42,0.91,134,COD,True
SUP0078,Ramakrishnan LLC,Accessories,China,Indore,42,0.68,433,COD,True
SUP0079,Mangal-Sampath,Outerwear,Bangladesh,Nagpur,15,0.71,342,COD,True
SUP0080,"Sur, Dubey and Gupta",Footwear,Vietnam,Patna,36,0.73,132,Net60,True
SUP0081,Kalla-Bhardwaj,Dresses,Bangladesh,Delhi,44,0.76,240,Net30,True
SUP0082,"Bhat, Murthy and Bhandari",Ethnic Wear,India,Lucknow,8,0.89,189,COD,False
SUP0083,Sood PLC,Dresses,Vietnam,Bengaluru,17,0.91,228,Net30,True
SUP0084,"Dugar, Bhandari and Trivedi",Activewear,Turkey,Kochi,18,0.72,91,Advance,True
SUP0085,Grewal Inc,Accessories,India,Surat,12,0.61,196,COD,True
SUP0086,"Bir, Keer and Raval",Dresses,Vietnam,Indore,42,0.55,90,Net30,True
SUP0087,Koshy PLC,Dresses,Turkey,Agra,36,0.74,447,Advance,True
SUP0088,"Baral, Bumb and Saini",Bottoms,India,Ahmedabad,29,0.83,368,COD,True
SUP0089,"Virk, Mutti and Lal",Innerwear,Turkey,Vadodara,4,0.83,344,Net60,True
SUP0090,Murthy and Sons,Footwear,Vietnam,Mumbai,42,0.71,342,COD,True
SUP0091,Randhawa-Deep,Bottoms,Turkey,Kochi,7,0.97,328,Net30,True
SUP0092,"Mital, Shankar and Mutti",Innerwear,India,Chandigarh,26,0.66,58,Advance,True
SUP0093,Andra Group,Accessories,China,Hyderabad,40,0.87,220,Net60,True
SUP0094,"Chaudhry, Borah and Yogi",Ethnic Wear,Bangladesh,Kolkata,32,0.98,295,Net60,True
SUP0095,Toor LLC,Bottoms,Vietnam,Delhi,21,0.64,455,Net60,False
SUP0096,Palla Inc,Accessories,Bangladesh,Patna,28,0.99,328,COD,True
SUP0097,Pingle LLC,Outerwear,Bangladesh,Kochi,6,0.93,219,Advance,True
SUP0098,Sarma PLC,Accessories,Vietnam,Chandigarh,31,0.94,247,Advance,False
SUP0099,"Mittal, Wadhwa and Anand",Innerwear,Vietnam,Kochi,36,0.67,92,COD,True
SUP0100,"Mistry, Chawla and Desai",Dresses,Turkey,Lucknow,23,0.6,217,Advance,True
SUP0101,D’Alia-Chhabra,Activewear,China,Indore,25,0.75,422,Advance,True
SUP0102,"Dugal, Magar and Manda",Activewear,Bangladesh,Delhi,7,0.85,257,Advance,True
SUP0103,"Kade, Oza and Jani",Dresses,India,Chennai,41,0.85,274,Net30,True
SUP0104,"Lalla, Tiwari and Suresh",Outerwear,Bangladesh,Kochi,27,0.97,66,Net60,True
SUP0105,Behl-Chanda,Accessories,Bangladesh,Indore,7,0.8,321,Advance,True
SUP0106,"Sampath, Malhotra and Basu",Footwear,China,Hyderabad,4,0.87,305,COD,False
SUP0107,Nath and Sons,Bottoms,Bangladesh,Jaipur,31,0.64,363,Advance,True
SUP0108,"Lala, Edwin and Sathe",Innerwear,China,Hyderabad,11,0.93,281,Net60,False
SUP0109,"Sane, Andra and Choudhury",Innerwear,India,Surat,45,0.7,83,Advance,False
SUP0110,Dixit PLC,Dresses,China,Kochi,35,0.65,152,Net60,True
SUP0111,Pingle PLC,Innerwear,India,Kochi,38,0.8,289,Net60,True
SUP0112,"Divan, Sani and Datta",Bottoms,India,Lucknow,28,0.99,418,COD,True
SUP0113,Morar LLC,Activewear,Turkey,Bengaluru,11,0.98,378,Net30,True
SUP0114,Parmar and Sons,Ethnic Wear,Bangladesh,Chennai,38,0.83,143,Net60,True
SUP0115,"Krish, Chauhan and Pandya",Tops,India,Patna,12,0.68,132,Advance,False
SUP0116,"Ray, Dubey and Khalsa",Outerwear,Bangladesh,Patna,21,0.92,178,Net60,True
SUP0117,Goel Group,Ethnic Wear,Bangladesh,Chennai,43,0.68,323,Net30,True
SUP0118,Gola Ltd,Dresses,Turkey,Ludhiana,12,0.63,369,Advance,True
SUP0119,Sabharwal-Kothari,Tops,India,Bengaluru,5,0.97,444,Advance,True
SUP0120,Dutta-Chokshi,Activewear,Turkey,Mumbai,34,0.94,329,Advance,True
SUP0121,Barad-Singhal,Footwear,Vietnam,Ahmedabad,28,0.68,87,Net30,True
SUP0122,Iyengar Group,Activewear,Vietnam,Indore,16,0.7,123,Advance,True
SUP0123,Mody-Kari,Accessories,Bangladesh,Chandigarh,11,0.88,313,Net30,True
SUP0124,Bajwa Ltd,Innerwear,India,Jaipur,31,0.66,99,Net30,True
SUP0125,Rastogi LLC,Activewear,Turkey,Bhopal,18,0.97,131,Advance,False
SUP0126,Boase-Mallick,Accessories,China,Kolkata,34,0.99,289,COD,True
SUP0127,Upadhyay-Ratta,Innerwear,India,Bengaluru,28,0.77,173,Net60,True
SUP0128,"Yadav, Narula and Bala",Tops,India,Lucknow,34,0.81,481,COD,True
SUP0129,Lal and Sons,Tops,India,Bhopal,11,0.94,422,Advance,True
SUP0130,"Lanka, Barad and Chopra",Accessories,India,Chandigarh,6,0.8,149,Advance,True
SUP0131,"Saraf, Pai and Murthy",Bottoms,Vietnam,Patna,31,0.89,193,Net30,True
SUP0132,Vaidya-D’Alia,Bottoms,Vietnam,Kochi,24,0.8,237,Net60,True
SUP0133,Gupta-Kumar,Ethnic Wear,Vietnam,Patna,5,0.57,120,Advance,True
SUP0134,Sarin Inc,Ethnic Wear,Vietnam,Chennai,41,0.94,121,Advance,False
SUP0135,"Yohannan, Hegde and Patla",Accessories,China,Chandigarh,42,0.88,203,Advance,True
SUP0136,Boase-Narayanan,Ethnic Wear,Turkey,Nagpur,39,0.68,467,Net30,True
SUP0137,"Murthy, Dash and Mital",Bottoms,Vietnam,Ludhiana,22,0.9,421,Net30,True
SUP0138,"More, Rege and Narain",Footwear,Turkey,Ludhiana,17,0.87,348,COD,True
SUP0139,Merchant-Datta,Activewear,China,Ahmedabad,5,0.8,408,Net30,True
SUP0140,Salvi Ltd,Innerwear,Bangladesh,Bhopal,12,0.73,154,COD,True
SUP0141,Ghosh-Mitra,Innerwear,India,Chennai,36,0.64,216,COD,True
SUP0142,Acharya-Modi,Accessories,China,Indore,37,0.7,231,Advance,True
SUP0143,Kade-Sani,Outerwear,China,Jaipur,38,0.68,202,Advance,True
SUP0144,"Nagy, Shroff and Sathe",Innerwear,Bangladesh,Nagpur,25,0.8,457,Advance,True
SUP0145,Kala-Vaidya,Ethnic Wear,Vietnam,Chandigarh,25,0.97,461,Net60,True
SUP0146,Gara-Chad,Footwear,India,Kochi,31,0.84,432,COD,True
SUP0147,Varma-Nayak,Ethnic Wear,Bangladesh,Vadodara,20,0.61,365,Net60,True
SUP0148,Keer Ltd,Ethnic Wear,China,Ahmedabad,6,0.59,219,COD,True
SUP0149,Kar-Issac,Dresses,India,Vadodara,13,0.73,500,COD,True
SUP0150,Bakshi Inc,Outerwear,Bangladesh,Surat,21,0.83,443,Net30,True
SUP0151,Soman PLC,Outerwear,Turkey,Delhi,14,0.73,478,Net60,False
SUP0152,Shah Group,Tops,Vietnam,Nagpur,14,0.96,496,Advance,True
SUP0153,"Hayer, Rajagopalan and Talwar",Tops,Bangladesh,Ludhiana,41,0.6,221,Advance,True
SUP0154,Kohli-Divan,Ethnic Wear,Turkey,Nagpur,11,0.92,289,Advance,True
SUP0155,"Ahluwalia, Chhabra and Sandal",Bottoms,Bangladesh,Kolkata,32,0.84,417,Net60,True
SUP0156,Goda Ltd,Accessories,Bangladesh,Ludhiana,15,0.63,488,COD,True
SUP0157,"Shetty, Bedi and Krish",Ethnic Wear,Bangladesh,Bengaluru,28,0.84,144,Net60,True
SUP0158,Shan and Sons,Outerwear,India,Jaipur,27,0.65,435,Advance,False
SUP0159,Wali-Nadig,Footwear,Turkey,Ludhiana,3,0.67,234,Net60,True
SUP0160,Thaman-Sandhu,Bottoms,Vietnam,Lucknow,13,0.73,307,Advance,True
SUP0161,"Sehgal, Dutt and Soman",Footwear,Bangladesh,Agra,17,0.65,118,COD,True
SUP0162,Lad-Kota,Accessories,Vietnam,Vadodara,33,0.88,460,Net60,True
SUP0163,"Malhotra, Verma and Sundaram",Bottoms,Turkey,Indore,36,0.86,89,Net30,True
SUP0164,"Khare, Maharaj and Sarraf",Ethnic Wear,Turkey,Pune,39,0.79,134,Advance,True
SUP0165,Mangal and Sons,Innerwear,India,Pune,40,0.77,311,COD,True
SUP0166,Nayak-Nagarajan,Innerwear,China,Patna,29,0.75,79,COD,True
SUP0167,"Buch, Devi and Dora",Footwear,India,Chandigarh,19,0.91,431,Net60,True
SUP0168,Rajagopal Ltd,Tops,Vietnam,Kochi,7,0.79,80,Net30,False
SUP0169,Kala Inc,Innerwear,India,Lucknow,29,0.63,119,COD,True
SUP0170,Reddy-Narayanan,Activewear,Vietnam,Chandigarh,27,0.59,388,Net60,True
SUP0171,"Shukla, Sagar and Bhatia",Accessories,India,Kolkata,37,0.72,115,Net60,True
SUP0172,Salvi Group,Tops,Bangladesh,Indore,37,0.74,244,Net60,True
SUP0173,"Bahri, Rai and Sood",Accessories,China,Jaipur,15,0.96,421,Net30,True
SUP0174,Pandey LLC,Activewear,Turkey,Mumbai,18,0.64,101,Net30,True
SUP0175,Saini-Yohannan,Tops,China,Delhi,28,0.74,326,Net60,True
SUP0176,"Kannan, Sura and Kanda",Tops,China,Patna,21,0.65,424,Advance,True
SUP0177,Sarin-Sunder,Accessories,China,Lucknow,12,0.98,316,Net60,True
SUP0178,Ramachandran LLC,Footwear,India,Vadodara,40,0.94,139,COD,True
SUP0179,"Ravel, Gandhi and Sibal",Tops,Bangladesh,Chandigarh,36,0.69,263,COD,True
SUP0180,Walla Inc,Activewear,China,Vadodara,33,0.66,165,Advance,True
SUP0181,Bala-Chacko,Dresses,Vietnam,Delhi,38,0.73,263,Net60,True
SUP0182,"Sangha, Deshmukh and Shenoy",Footwear,China,Surat,44,0.58,280,Advance,True
SUP0183,Bedi LLC,Outerwear,India,Jaipur,27,0.85,358,Net30,True
SUP0184,Narang-Kakar,Outerwear,Turkey,Vadodara,16,0.76,495,Advance,True
SUP0185,Narain-Nazareth,Tops,China,Pune,10,0.88,436,COD,False
SUP0186,Mall-Sama,Outerwear,Vietnam,Ahmedabad,38,0.69,194,COD,True
SUP0187,Bumb-Singhal,Accessories,Bangladesh,Jaipur,26,0.78,304,COD,True
SUP0188,Zacharia Inc,Innerwear,Bangladesh,Pune,26,0.69,73,Net60,True
SUP0189,Kapur-Biswas,Tops,Bangladesh,Vadodara,40,0.8,263,Advance,True
SUP0190,"Baria, Balasubramanian and Kota",Accessories,China,Chandigarh,39,0.92,305,Advance,True
SUP0191,Bahri PLC,Innerwear,Vietnam,Indore,13,0.87,230,Net60,True
SUP0192,Khare and Sons,Ethnic Wear,Vietnam,Kolkata,37,0.99,80,Net30,True
SUP0193,Contractor-Kamdar,Bottoms,India,Mumbai,29,0.61,372,Net60,True
SUP0194,Kunda-Pillay,Dresses,India,Pune,35,0.75,80,COD,True
SUP0195,Contractor and Sons,Tops,India,Vadodara,38,0.73,58,Advance,True
SUP0196,Chokshi-Bal,Footwear,India,Patna,30,0.9,141,Net30,False
SUP0197,Prashad-Ranganathan,Ethnic Wear,China,Ahmedabad,15,0.82,179,Advance,True
SUP0198,"Issac, Borra and Kibe",Activewear,India,Kochi,28,0.75,174,Net60,True
SUP0199,Mitra Ltd,Bottoms,India,Bengaluru,28,0.72,332,COD,True
SUP0200,"Dara, Barman and Palan",Tops,China,Bengaluru,34,0.92,380,Advance,True
SUP0201,"Sangha, Prabhakar and Biswas",Bottoms,Turkey,Delhi,17,0.64,494,COD,True
SUP0202,"Om, Arora and Salvi",Bottoms,Bangladesh,Vadodara,39,0.84,141,Advance,True
SUP0203,Cherian-Sant,Outerwear,Turkey,Chennai,28,0.96,203,Net60,True
SUP0204,Sharaf-Dua,Activewear,Turkey,Surat,27,0.88,121,Net30,True
SUP0205,Goda-Vig,Accessories,India,Hyderabad,30,0.65,88,Advance,True
SUP0206,"Madan, Yohannan and Sule",Activewear,Bangladesh,Mumbai,43,0.67,280,COD,True
SUP0207,Sarin-Loyal,Ethnic Wear,Vietnam,Bhopal,14,0.85,388,COD,True
SUP0208,Korpal-Chadha,Footwear,China,Bengaluru,8,0.67,244,Net60,True
SUP0209,Seshadri-Kohli,Accessories,Bangladesh,Hyderabad,8,0.55,207,COD,True
SUP0210,Raghavan-Nayar,Footwear,India,Chennai,8,0.63,279,COD,True
SUP0211,Talwar LLC,Bottoms,Bangladesh,Vadodara,8,0.81,451,Advance,True
SUP0212,Sura and Sons,Tops,Bangladesh,Bhopal,27,0.89,421,Net60,True
SUP0213,Kuruvilla-Oak,Dresses,Vietnam,Kolkata,11,0.67,187,COD,True
SUP0214,Majumdar-Anne,Dresses,Vietnam,Jaipur,29,0.68,450,Net30,True
SUP0215,"Halder, Chada and Khurana",Outerwear,Vietnam,Agra,42,0.64,104,Net60,True
SUP0216,"Ray, Suresh and Khosla",Activewear,Bangladesh,Agra,27,0.9,218,COD,True
SUP0217,"Soni, Swaminathan and Sem",Dresses,Bangladesh,Surat,41,0.97,152,COD,True
SUP0218,Chander LLC,Activewear,Bangladesh,Lucknow,43,0.77,344,Net60,True
SUP0219,Ravel Ltd,Footwear,Vietnam,Kochi,10,0.96,152,Net60,True
SUP0220,Mohan Ltd,Ethnic Wear,India,Indore,16,0.74,199,Net30,True
SUP0221,"Pillay, Solanki and Wali",Activewear,Vietnam,Chennai,43,0.68,179,Net60,True
SUP0222,Sandal-Narayanan,Activewear,India,Indore,41,0.76,255,COD,True
SUP0223,Setty-Madan,Accessories,Turkey,Agra,43,0.95,105,Net60,True
SUP0224,Krishnamurthy-Kashyap,Accessories,China,Agra,5,0.8,380,COD,False
SUP0225,Hans LLC,Accessories,Vietnam,Hyderabad,3,0.59,163,Net60,True
SUP0226,Wason Ltd,Activewear,Vietnam,Ludhiana,35,0.62,62,COD,True
SUP0227,Handa and Sons,Activewear,India,Hyderabad,12,0.7,225,COD,True
SUP0228,"Sule, Malhotra and Vohra",Ethnic Wear,Vietnam,Kochi,33,0.59,419,COD,True
SUP0229,"Mandal, Chaudhry and Hari",Footwear,India,Hyderabad,4,0.92,381,Net30,True
SUP0230,Karan-Patel,Dresses,China,Patna,14,0.79,219,COD,False
SUP0231,Mittal Inc,Outerwear,Vietnam,Kolkata,14,0.83,271,COD,True
SUP0232,"Walla, Date and Mahal",Outerwear,Vietnam,Ludhiana,30,0.72,410,Net60,True
SUP0233,Bhagat PLC,Bottoms,Turkey,Hyderabad,37,0.63,216,Net60,True
SUP0234,Date-Swaminathan,Footwear,Vietnam,Patna,43,0.69,248,COD,True
SUP0235,Arora PLC,Accessories,Bangladesh,Indore,42,0.63,394,Advance,False
SUP0236,Singh-Srinivas,Bottoms,China,Surat,10,0.65,109,Net60,True
SUP0237,Oak-Gour,Dresses,Turkey,Chandigarh,29,0.81,344,COD,True
SUP0238,Krishnan Group,Innerwear,Turkey,Kolkata,38,0.62,197,Net60,True
SUP0239,Bhattacharyya Group,Innerwear,Turkey,Delhi,25,0.97,298,Net60,True
SUP0240,Borah-Bera,Activewear,Turkey,Patna,44,0.77,400,COD,True
SUP0241,Dixit PLC,Innerwear,Vietnam,Kolkata,8,0.8,457,Net60,True
SUP0242,Chada-Kothari,Footwear,China,Vadodara,21,0.62,284,COD,True
SUP0243,Saha PLC,Bottoms,Turkey,Hyderabad,20,0.89,471,Advance,True
SUP0244,"Kara, Virk and Rai",Tops,Vietnam,Vadodara,16,0.99,102,Net60,True
SUP0245,Savant-Mishra,Tops,Vietnam,Jaipur,25,0.93,94,COD,True
SUP0246,"Sanghvi, Mody and Bhasin",Bottoms,China,Pune,40,0.85,490,COD,True
SUP0247,"Chaudhary, Johal and Kakar",Dresses,China,Pune,6,0.8,322,Advance,True
SUP0248,Bumb-Dugar,Dresses,Bangladesh,Lucknow,21,0.8,489,Net30,True
SUP0249,Ghose PLC,Activewear,India,Jaipur,44,0.61,493,Net60,True
SUP0250,Dugar Inc,Accessories,China,Chandigarh,34,0.61,373,Advance,True
SUP0251,Seshadri-Singhal,Activewear,Vietnam,Bengaluru,43,0.9,443,Net30,True
SUP0252,Bali-Kata,Footwear,Bangladesh,Indore,34,0.69,51,Net30,True
SUP0253,Mandal-Setty,Innerwear,Bangladesh,Bengaluru,37,0.72,269,Net60,True
SUP0254,Kaur LLC,Accessories,Bangladesh,Surat,38,0.8,339,COD,True
SUP0255,"Hora, Sandal and Contractor",Tops,India,Hyderabad,43,0.89,285,Net30,True
SUP0256,"Kar, Dixit and Lata",Dresses,Vietnam,Indore,3,0.99,269,Net60,False
SUP0257,Bora Inc,Dresses,Bangladesh,Kolkata,20,0.59,234,Advance,True
SUP0258,Mohanty PLC,Dresses,India,Chandigarh,43,0.68,408,Net60,True
SUP0259,"Mani, Sarna and Dash",Bottoms,India,Mumbai,16,0.76,117,Net60,True
SUP0260,Modi-Rau,Innerwear,India,Mumbai,24,0.91,490,COD,True
SUP0261,Tella-Zacharia,Innerwear,India,Ahmedabad,27,0.59,462,Net30,True
SUP0262,Sarma-Buch,Accessories,Bangladesh,Chennai,27,0.89,435,Net60,True
SUP0263,"Baral, Sankaran and Naidu",Dresses,India,Patna,39,0.55,382,Net60,True
SUP0264,"Krishna, Bal and Chand",Outerwear,China,Bhopal,42,0.85,490,Net60,True
SUP0265,Bail Ltd,Bottoms,China,Hyderabad,40,0.87,229,COD,True
SUP0266,Baria-Gill,Dresses,China,Jaipur,44,0.59,333,Advance,True
SUP0267,Venkataraman-Sathe,Tops,Bangladesh,Pune,36,0.82,146,COD,True
SUP0268,Golla-Sarin,Tops,China,Nagpur,27,0.6,305,Net30,True
SUP0269,"Swamy, Chand and Singhal",Tops,Bangladesh,Surat,11,0.72,479,COD,True
SUP0270,Rege-Nath,Dresses,Vietnam,Bengaluru,4,0.81,57,Advance,True
SUP0271,Cheema-Dyal,Tops,Vietnam,Patna,21,0.83,306,COD,True
SUP0272,Sabharwal-Tandon,Activewear,India,Vadodara,37,0.82,192,Net30,True
SUP0273,Rattan-Bansal,Ethnic Wear,China,Chennai,37,0.69,350,Net30,True
SUP0274,Chakrabarti-Murty,Activewear,China,Delhi,18,0.59,272,Net30,True
SUP0275,Naik-D’Alia,Tops,Bangladesh,Kolkata,10,0.56,120,Net30,True
SUP0276,Varkey-Agarwal,Accessories,Turkey,Patna,19,0.62,114,Advance,True
SUP0277,"Shere, Sachdev and Bhagat",Bottoms,India,Surat,30,0.67,82,Advance,True
SUP0278,Vasa LLC,Bottoms,Vietnam,Indore,35,0.71,305,Net60,True
SUP0279,"Tara, Sathe and Behl",Footwear,India,Ludhiana,10,0.65,310,Net30,True
SUP0280,Loke PLC,Tops,China,Delhi,33,0.71,126,Net60,False
SUP0281,Mani Group,Tops,Turkey,Bhopal,17,0.69,263,Advance,True
SUP0282,"Sundaram, Dara and Balakrishnan",Bottoms,Turkey,Kochi,10,0.77,76,Net60,True
SUP0283,"Khatri, Dutt and Mukhopadhyay",Ethnic Wear,India,Chandigarh,7,0.94,493,Advance,True
SUP0284,"Atwal, Reddy and Chander",Footwear,Bangladesh,Bengaluru,38,0.75,238,Net60,True
SUP0285,Comar Group,Footwear,Turkey,Ahmedabad,32,0.71,302,Net60,True
SUP0286,Dube Group,Ethnic Wear,China,Chennai,3,0.96,62,Net60,True
SUP0287,"Manne, Upadhyay and Mahajan",Tops,Bangladesh,Mumbai,45,0.72,427,Advance,True
SUP0288,Subramanian-Sodhi,Ethnic Wear,China,Bhopal,34,0.97,122,Advance,True
SUP0289,Shan PLC,Outerwear,Turkey,Bhopal,26,0.75,432,Net30,True
SUP0290,Rajagopal and Sons,Ethnic Wear,China,Chandigarh,7,0.81,81,COD,True
SUP0291,"Trivedi, Deshpande and Boase",Dresses,China,Lucknow,19,0.92,460,COD,True
SUP0292,Sachdeva-Oak,Accessories,Bangladesh,Indore,20,0.65,153,Net60,True
SUP0293,"Loke, Agate and Mandal",Bottoms,China,Hyderabad,13,0.75,210,COD,True
SUP0294,"Misra, Suri and Dixit",Accessories,China,Indore,22,0.75,486,Net30,True
SUP0295,Yohannan-Sule,Footwear,Turkey,Delhi,16,0.92,217,Net60,True
SUP0296,Natarajan-Purohit,Outerwear,Bangladesh,Chandigarh,35,0.57,203,Advance,True
SUP0297,Nagy-Gulati,Dresses,India,Chandigarh,31,0.79,331,Net60,True
SUP0298,"Khare, Rajagopal and Kaur",Bottoms,China,Hyderabad,3,0.58,449,Net60,True
