promo_id,product_id,promo_type,discount_pct,channel,target_segment,start_date,end_date,budget,is_active
PR000023,P01345,Bundle,0.5,Offline,Working Professional,2023-12-10,2023-12-16,107098,True
PR000024,P01854,Percentage Off,0.24,Offline,Impulse Buyer,2023-04-11,2023-05-11,341765,True
PR000025,P02919,Flat Discount,0.38,Online,Frequent Buyer,2023-12-15,2024-01-07,268551,True
PR000026,P04414,Flat Discount,0.57,Online,Working Professional,2024-02-19,2024-02-23,299177,True
PR000027,P00891,Free Shipping,0.49,Online,Seasonal Buyer,2024-02-20,2024-03-13,330792,False
PR000028,P01662,BOGO,0.49,Both,Family Shopper,2023-10-30,2023-11-04,194194,True
PR000029,P01041,BOGO,0.17,Online,Frequent Buyer,2023-03-21,2023-04-12,62927,True
PR000030,P03692,Bundle,0.46,Both,Seasonal Buyer,2023-01-28,2023-02-25,50487,False
PR000031,P03061,Bundle,0.35,Both,Impulse Buyer,2023-09-08,2023-09-11,101758,False
PR000032,P04780,Percentage Off,0.58,Both,Working Professional,2022-07-25,2022-07-31,36498,False
PR000033,P04736,Free Shipping,0.19,Both,Working Professional,2024-11-08,2024-11-29,401641,True
PR000034,P04036,Free Shipping,0.44,Online,Working Professional,2023-07-22,2023-07-25,91091,False
PR000035,P04507,Cashback,0.28,Both,Student,2024-06-25,2024-07-18,176007,False
PR000036,P02334,Free Shipping,0.57,Online,Budget Shopper,2024-07-14,2024-08-07,194485,False
PR000037,P04110,BOGO,0.6,Both,Family Shopper,2023-02-01,2023-02-26,32459,True
PR000038,P03324,Flat Discount,0.08,Offline,Seasonal Buyer,2023-11-13,2023-12-08,229011,True
PR000039,P03432,Free Shipping,0.55,Offline,Fashion Enthusiast,2023-05-01,2023-05-29,393191,False
PR000040,P04848,Bundle,0.27,Online,Student,2022-06-26,2022-07-25,273066,False
PR000041,P03590,Free Shipping,0.53,Both,Brand Loyalist,2024-06-26,2024-07-11,251970,True
PR000042,P02097,Cashback,0.52,Online,Brand Loyalist,2024-12-07,2024-12-10,265213,False
PR000043,P00976,Free Shipping,0.12,Offline,Student,2023-05-28,2023-06-20,478402,False
PR000044,P00634,Flat Discount,0.2,Both,Fashion Enthusiast,2023-10-03,2023-10-27,175829,False
PR000045,P03720,Bundle,0.06,Online,Fashion Enthusiast,2023-11-29,2023-12-05,113264,True
PR000046,P02049,Percentage Off,0.47,Offline,Brand Loyalist,2024-10-06,2024-11-05,217792,True
PR000047,P03716,Free Shipping,0.2,Offline,Seasonal Buyer,2024-02-11,2024-02-17,191970,False
PR000048,P01972,Free Shipping,0.21,Online,Working Professional,2023-05-10,2023-05-19,255151,True
PR000049,P01769,Cashback,0.54,Offline,Luxury Shopper,2023-06-26,2023-07-11,155917,True
PR000050,P02039,Bundle,0.56,Online,Working Professional,2022-09-14,2022-10-10,148416,False
PR000051,P00765,Bundle,0.51,Both,Working Professional,2023-05-13,2023-06-04,406800,False
PR000052,P01887,Flat Discount,0.34,Both,Student,2024-09-09,2024-09-26,69086,False
PR000053,P03271,Bundle,0.07,Offline,Working Professional,2022-12-15,2023-01-07,372428,False
PR000054,P04934,Free Shipping,0.33,Both,Impulse Buyer,2023-10-13,2023-11-06,293574,False
PR000055,P01127,BOGO,0.24,Online,Working Professional,2023-05-13,2023-05-30,263481,False
PR000056,P00757,Free Shipping,0.56,Both,Budget Shopper,2023-08-08,2023-08-10,332163,False
PR000057,P01578,Flat Discount,0.52,Offline,Working Professional,2023-03-17,2023-03-18,92616,False
PR000058,P01183,Free Shipping,0.48,Offline,Working Professional,2022-06-02,2022-06-03,474046,False
PR000059,P02492,Flat Discount,0.47,Offline,Budget Shopper,2022-08-05,2022-08-07,486280,False
PR000060,P04294,Bundle,0.1,Both,Student,2022-09-02,2022-09-16,499436,False
PR000061,P03854,Flat Discount,0.2,Online,Fashion Enthusiast,2024-01-01,2024-01-19,480109,False
PR000062,P00487,BOGO,0.08,Online,Working Professional,2022-02-15,2022-03-06,432194,False
PR000063,P04718,Percentage Off,0.19,Both,Frequent Buyer,2023-06-04,2023-06-07,42218,True
PR000064,P01709,Flat Discount,0.32,Offline,Seasonal Buyer,2022-08-18,2022-09-04,339094,True
PR000065,P02704,BOGO,0.37,Online,Seasonal Buyer,2023-03-03,2023-03-31,302719,True
PR000066,P03901,Free Shipping,0.13,Online,Budget Shopper,2023-09-01,2023-09-19,378945,True
PR000067,P04790,Percentage Off,0.22,Both,Impulse Buyer,2023-05-21,2023-05-31,104830,True
PR000068,P03098,BOGO,0.12,Offline,Luxury Shopper,2024-04-06,2024-04-16,144435,False
PR000069,P02609,Flat Discount,0.12,Both,Brand Loyalist,2022-07-04,2022-07-10,407665,True
PR000070,P03875,Cashback,0.25,Online,Impulse Buyer,2023-03-27,2023-04-24,364672,True
PR000071,P03929,Percentage Off,0.56,Offline,Fashion Enthusiast,2022-12-26,2023-01-25,478969,False
PR000072,P00295,Percentage Off,0.11,Both,Frequent Buyer,2023-06-12,2023-06-26,219117,False
PR000073,P01400,BOGO,0.05,Offline,Frequent Buyer,2024-03-02,2024-03-27,139123,False
PR000074,P02777,Cashback,0.57,Offline,Family Shopper,2022-05-26,2022-06-01,375833,True
PR000075,P04481,Free Shipping,0.45,Both,Student,2022-12-12,2022-12-18,167198,True
PR000076,P04167,Flat Discount,0.19,Offline,Family Shopper,2024-05-28,2024-06-22,479733,False
PR000077,P01394,Flat Discount,0.44,Online,Seasonal Buyer,2024-02-08,2024-02-23,221914,True
PR000078,P03720,BOGO,0.15,Online,Impulse Buyer,2023-01-21,2023-01-24,52646,False
PR000079,P03008,Flat Discount,0.32,Online,Brand Loyalist,2023-11-16,2023-12-06,273116,False
PR000080,P04426,Flat Discount,0.44,Online,Frequent Buyer,2023-08-23,2023-09-16,314148,False
PR000081,P02097,Cashback,0.41,Offline,Impulse Buyer,2022-12-30,2023-01-18,295849,True
PR000082,P01400,BOGO,0.23,Offline,Working Professional,2022-04-18,2022-04-19,344006,True
PR000083,P03807,BOGO,0.2,Both,Frequent Buyer,2023-12-02,2023-12-30,121443,False
PR000084,P03788,BOGO,0.47,Online,Student,2022-10-19,2022-11-01,77038,True
PR000085,P04213,Flat Discount,0.5,Offline,Impulse Buyer,2022-03-31,2022-04-23,350895,True
PR000086,P03714,Bundle,0.09,Both,Impulse Buyer,2022-05-13,2022-06-07,471947,True
PR000087,P03272,Flat Discount,0.45,Offline,Family Shopper,2022-10-02,2022-10-26,149081,False
PR000088,P04455,Percentage Off,0.45,Both,Brand Loyalist,2024-09-23,2024-10-05,281584,True
PR000089,P03568,BOGO,0.22,Online,Working Professional,2022-09-05,2022-09-27,416812,False
PR000090,P00402,Cashback,0.42,Online,Impulse Buyer,2023-10-02,2023-10-18,451721,True
PR000091,P04176,Cashback,0.26,Offline,Fashion Enthusiast,2023-10-14,2023-10-22,132266,True
PR000092,P01906,BOGO,0.11,Both,Luxury Shopper,2024-06-19,2024-07-12,404945,True
PR000093,P03322,Percentage Off,0.36,Offline,Budget Shopper,2024-01-30,2024-02-06,162718,False
PR000094,P00804,Flat Discount,0.1,Online,Working Professional,2023-01-07,2023-02-01,216835,True
PR000095,P00202,Cashback,0.29,Online,Student,2023-03-28,2023-04-08,106031,False
PR000096,P02980,Cashback,0.08,Both,Working Professional,2023-11-09,2023-11-27,434146,False
PR000097,P03498,Cashback,0.41,Both,Luxury Shopper,2023-06-30,2023-07-25,494169,False
PR000098,P00084,Bundle,0.4,Offline,Brand Loyalist,2022-04-26,2022-05-17,92676,True
PR000099,P04771,Free Shipping,0.24,Offline,Seasonal Buyer,2023-05-04,2023-05-08,280769,True
PR000100,P02473,Bundle,0.06,Offline,Impulse Buyer,2024-03-10,2024-03-18,74549,False
PR000101,P01458,Percentage Off,0.11,Online,Frequent Buyer,2022-02-24,2022-03-06,47114,True
PR000102,P03263,Flat Discount,0.21,Online,Brand Loyalist,2023-08-25,2023-08-26,10290,False
PR000103,P01564,Flat Discount,0.09,Offline,Impulse Buyer,2024-05-07,2024-05-11,96873,False
PR000104,P02038,BOGO,0.35,Online,Family Shopper,2022-10-06,2022-10-17,214083,False
PR000105,P04975,Bundle,0.15,Both,Seasonal Buyer,2022-06-18,2022-06-25,358900,True
PR000106,P00471,Bundle,0.44,Online,Impulse Buyer,2024-02-12,2024-02-29,235384,False
PR000107,P04793,Bundle,0.55,Both,Budget Shopper,2022-11-20,2022-11-23,289468,True
PR000108,P00513,Free Shipping,0.35,Online,Family Shopper,2024-05-15,2024-05-25,356954,False
PR000109,P04809,Percentage Off,0.52,Both,Working Professional,2022-07-21,2022-08-10,54869,True
PR000110,P03043,Percentage Off,0.6,Both,Seasonal Buyer,2024-01-19,2024-01-27,74380,True
PR000111,P01684,Free Shipping,0.46,Both,Family Shopper,2023-11-24,2023-12-08,288907,False
PR000112,P00200,Flat Discount,0.33,Both,Fashion Enthusiast,2023-04-18,2023-05-04,274998,False
PR000113,P01359,Cashback,0.11,Offline,Student,2022-07-27,2022-08-15,217476,False
PR000114,P01815,Free Shipping,0.29,Online,Frequent Buyer,2023-08-18,2023-09-01,477322,False
PR000115,P00585,BOGO,0.22,Both,Fashion Enthusiast,2023-05-14,2023-05-26,244825,False
PR000116,P00477,BOGO,0.2,Both,Seasonal Buyer,2023-06-19,2023-06-21,394957,False
PR000117,P00078,Free Shipping,0.26,Online,Impulse Buyer,2024-02-20,2024-03-01,231790,False
PR000118,P00854,Flat Discount,0.51,Offline,Impulse Buyer,2022-07-14,2022-08-09,289722,False
PR000119,P01699,Percentage Off,0.25,Offline,Fashion Enthusiast,2022-07-25,2022-08-20,191815,False
PR000120,P01455,Free Shipping,0.21,Both,Frequent Buyer,2024-11-10,2024-11-18,168126,False
PR000121,P03668,Free Shipping,0.25,Online,Impulse Buyer,2023-08-09,2023-08-17,290532,False
PR000122,P00752,Flat Discount,0.32,Offline,Working Professional,2024-10-03,2024-10-13,320818,False
PR000123,P04649,Cashback,0.53,Both,Student,2022-11-08,2022-11-29,483975,False
PR000124,P00106,Free Shipping,0.23,Offline,Working Professional,2022-02-18,2022-03-09,224125,False
PR000125,P02511,Free Shipping,0.14,Both,Family Shopper,2022-03-31,2022-04-17,121534,True
PR000126,P00757,Bundle,0.19,Offline,Frequent Buyer,2022-09-12,2022-10-11,479332,False
PR000127,P01645,Flat Discount,0.5,Online,Working Professional,2023-10-31,2023-11-11,105697,False
PR000128,P03575,Cashback,0.08,Online,Luxury Shopper,2022-12-28,2023-01-19,377741,False
PR000129,P00528,Free Shipping,0.16,Online,Seasonal Buyer,2024-02-18,2024-03-04,165346,False
PR000130,P00044,Free Shipping,0.56,Both,Impulse Buyer,2022-01-05,2022-02-02,137875,True
PR000131,P02686,Percentage Off,0.08,Offline,Seasonal Buyer,2022-02-26,2022-03-12,230855,False
PR000132,P00072,Free Shipping,0.57,Both,Frequent Buyer,2024-01-22,2024-01-28,478413,False
PR000133,P00570,BOGO,0.4,Online,Luxury Shopper,2024-07-11,2024-07-16,365478,True
PR000134,P00699,Percentage Off,0.11,Both,Brand Loyalist,2024-10-17,2024-10-18,173137,True
PR000135,P00612,Percentage Off,0.29,Offline,Working Professional,2023-06-13,2023-06-29,440998,False
PR000136,P04007,Percentage Off,0.35,Offline,Family Shopper,2023-12-02,2023-12-30,86362,True
PR000137,P02090,Bundle,0.32,Offline,Student,2023-04-29,2023-05-01,121601,False
PR000138,P00036,Flat Discount,0.57,Online,Budget Shopper,2022-01-28,2022-02-23,396305,False
PR000139,P02467,Flat Discount,0.46,Offline,Brand Loyalist,2022-04-22,2022-05-08,357747,False
PR000140,P02835,Bundle,0.16,Offline,Impulse Buyer,2022-04-04,2022-04-29,384350,False
PR000141,P03819,Percentage Off,0.58,Offline,Fashion Enthusiast,2022-04-03,2022-04-08,452178,False
PR000142,P01673,BOGO,0.54,Online,Budget Shopper,2023-07-24,2023-08-23,159550,True
PR000143,P00955,BOGO,0.09,Offline,Budget Shopper,2023-06-13,2023-06-25,47055,False
PR000144,P01615,Cashback,0.34,Both,Student,2023-05-30,2023-06-09,457110,True
PR000145,P02096,Bundle,0.4,Online,Frequent Buyer,2022-02-08,2022-02-18,54680,False
PR000146,P04633,Free Shipping,0.17,Both,Luxury Shopper,2022-06-10,2022-07-05,207052,True
PR000147,P04996,Cashback,0.5,Online,Seasonal Buyer,2023-03-31,2023-04-29,424440,True
PR000148,P02932,Flat Discount,0.37,Online,Brand Loyalist,2024-03-18,2024-04-08,205294,False
PR000149,P03065,Flat Discount,0.23,Both,Working Professional,2024-03-03,2024-03-18,200502,False
PR000150,P04310,Bundle,0.37,Offline,Brand Loyalist,2024-10-01,2024-10-09,335985,True
PR000151,P02269,Flat Discount,0.36,Offline,Family Shopper,2022-09-21,2022-09-23,463241,True
PR000152,P00122,Bundle,0.06,Offline,Family Shopper,2024-10-17,2024-11-10,177217,False
PR000153,P02973,Flat Discount,0.15,Offline,Frequent Buyer,2023-09-30,2023-10-03,308263,True
PR000154,P03131,Percentage Off,0.1,Both,Brand Loyalist,2022-07-26,2022-08-11,60637,False
PR000155,P01434,Percentage Off,0.59,Offline,Impulse Buyer,2022-08-06,2022-08-13,45148,True
PR000156,P01908,Cashback,0.29,Online,Brand Loyalist,2023-06-05,2023-06-27,147713,True
PR000157,P00865,Free Shipping,0.25,Online,Seasonal Buyer,2022-02-14,2022-02-28,222291,True
PR000158,P00460,Free Shipping,0.25,Both,Working Professional,2022-03-17,2022-04-14,106490,False
PR000159,P04577,Percentage Off,0.17,Offline,Student,2022-10-08,2022-10-22,89271,False
PR000160,P03313,Percentage Off,0.19,Offline,Luxury Shopper,2022-01-17,2022-01-25,481856,False
PR000161,P03100,Free Shipping,0.35,Online,Budget Shopper,2023-12-19,2024-01-12,150898,True
PR000162,P03019,Flat Discount,0.57,Offline,Student,2022-06-23,2022-07-12,482939,False
PR000163,P02007,Cashback,0.46,Offline,Student,2023-11-25,2023-11-27,269517,False
PR000164,P04332,Bundle,0.11,Offline,Working Professional,2023-01-11,2023-01-14,372350,True
PR000165,P01404,BOGO,0.14,Both,Impulse Buyer,2022-07-14,2022-08-06,204751,True
PR000166,P02258,Bundle,0.24,Online,Working Professional,2022-05-14,2022-05-20,349300,False
PR000167,P04196,Cashback,0.3,Online,Budget Shopper,2024-05-04,2024-05-08,206757,False
PR000168,P00029,Cashback,0.45,Offline,Luxury Shopper,2023-07-11,2023-07-18,490766,False
PR000169,P00421,Bundle,0.39,Both,Luxury Shopper,2024-07-20,2024-07-24,173791,True
PR000170,P02479,Cashback,0.55,Offline,Working Professional,2023-12-22,2023-12-29,363735,False
PR000171,P02077,Cashback,0.27,Offline,Student,2024-12-21,2025-01-19,489551,False
PR000172,P04540,Free Shipping,0.27,Online,Impulse Buyer,2022-03-17,2022-04-06,88438,False
PR000173,P00950,Cashback,0.52,Offline,Frequent Buyer,2023-06-03,2023-06-28,163083,True
PR000174,P00693,Free Shipping,0.24,Both,Seasonal Buyer,2022-04-29,2022-05-23,172875,False
PR000175,P04064,Flat Discount,0.5,Offline,Working Professional,2022-01-23,2022-02-22,92508,True
PR000176,P01340,BOGO,0.46,Online,Budget Shopper,2023-04-17,2023-04-18,208954,False
PR000177,P00618,Free Shipping,0.3,Offline,Brand Loyalist,2022-04-18,2022-05-09,237378,True
PR000178,P00954,Bundle,0.49,Both,Brand Loyalist,2023-11-10,2023-12-05,236688,False
PR000179,P03724,Cashback,0.39,Offline,Frequent Buyer,2023-02-25,2023-03-06,265029,True
PR000180,P01483,Bundle,0.58,Both,Fashion Enthusiast,2024-11-02,2024-11-27,231757,False
PR000181,P02921,Free Shipping,0.49,Online,Student,2023-06-27,2023-07-12,299374,True
PR000182,P03661,Free Shipping,0.17,Both,Frequent Buyer,2024-01-06,2024-01-18,455793,False
PR000183,P01373,Bundle,0.55,Both,Budget Shopper,2022-06-22,2022-07-02,145845,False
PR000184,P03062,Bundle,0.09,Online,Impulse Buyer,2022-09-18,2022-10-11,129063,False
PR000185,P03174,Percentage Off,0.11,Both,Brand Loyalist,2024-08-24,2024-08-29,311315,False
PR000186,P00336,Percentage Off,0.44,Online,Brand Loyalist,2022-05-31,2022-06-14,206366,True
PR000187,P04303,Percentage Off,0.53,Offline,Brand Loyalist,2024-08-28,2024-09-09,264262,True
PR000188,P03859,Cashback,0.12,Offline,Impulse Buyer,2022-07-03,2022-07-12,431045,False
PR000189,P01654,Cashback,0.4,Online,Frequent Buyer,2022-01-18,2022-02-15,315893,True
PR000190,P04139,BOGO,0.12,Both,Luxury Shopper,2022-01-02,2022-01-24,196623,False
PR000191,P04205,Free Shipping,0.32,Online,Frequent Buyer,2022-08-31,2022-09-24,317473,True
PR000192,P02563,Percentage Off,0.5,Both,Frequent Buyer,2024-08-01,2024-08-02,199908,True
PR000193,P03325,Flat Discount,0.23,Online,Student,2022-01-30,2022-02-01,475466,True
PR000194,P01730,Flat Discount,0.5,Both,Fashion Enthusiast,2022-06-16,2022-06-17,263050,False
PR000195,P04934,Bundle,0.39,Both,Budget Shopper,2024-03-12,2024-03-27,420630,True
PR000196,P02253,Free Shipping,0.22,Online,Luxury Shopper,2022-10-01,2022-10-20,333465,False
PR000197,P02997,BOGO,0.1,Offline,Student,2022-12-01,2022-12-22,180624,True
PR000198,P04470,BOGO,0.36,Both,Family Shopper,2024-02-03,2024-02-27,144416,True
PR000199,P03391,BOGO,0.29,Online,Family Shopper,2024-08-12,2024-09-02,94786,False
PR000200,P03612,Bundle,0.37,Both,Budget Shopper,2022-03-07,2022-04-04,121226,True
PR000201,P01089,Flat Discount,0.39,Offline,Seasonal Buyer,2024-07-22,2024-07-27,461303,False
PR000202,P04626,Cashback,0.13,Online,Luxury Shopper,2022-04-20,2022-05-05,28269,False
PR000203,P02249,Flat Discount,0.34,Both,Family Shopper,2024-06-17,2024-07-05,392433,True
PR000204,P03427,Bundle,0.51,Online,Seasonal Buyer,2024-07-26,2024-08-25,305448,True
PR000205,P02923,Free Shipping,0.22,Both,Family Shopper,2024-02-08,2024-03-09,400757,True
PR000206,P04737,Free Shipping,0.18,Offline,Frequent Buyer,2024-04-08,2024-04-29,177617,True
PR000207,P01476,BOGO,0.47,Both,Seasonal Buyer,2024-07-06,2024-07-20,482959,False
PR000208,P02269,Cashback,0.24,Offline,Luxury Shopper,2023-03-28,2023-04-09,34739,True
PR000209,P04720,Flat Discount,0.27,Offline,Impulse Buyer,2023-04-26,2023-05-13,410390,True
PR000210,P03627,Flat Discount,0.18,Offline,Brand Loyalist,2023-01-31,2023-02-23,391863,False
PR000211,P03145,Bundle,0.18,Offline,Fashion Enthusiast,2024-09-23,2024-10-13,56893,True
PR000212,P03879,Flat Discount,0.3,Both,Frequent Buyer,2023-07-21,2023-08-10,174787,False
PR000213,P04329,Bundle,0.34,Both,Student,2023-10-07,2023-10-20,393911,False
PR000214,P02669,Flat Discount,0.27,Offline,Luxury Shopper,2024-04-20,2024-05-06,99807,False
PR000215,P02449,Cashback,0.35,Offline,Working Professional,2023-12-19,2024-01-03,80905,True
PR000216,P01910,Flat Discount,0.1,Online,Seasonal Buyer,2022-04-12,2022-05-05,82839,False
PR000217,P04644,Percentage Off,0.06,Both,Luxury Shopper,2023-10-10,2023-10-14,419035,False
PR000218,P00615,Bundle,0.47,Offline,Frequent Buyer,2024-09-11,2024-09-19,395958,False
PR000219,P03894,Bundle,0.58,Offline,Family Shopper,2022-04-20,2022-04-26,314719,False
PR000220,P01864,BOGO,0.3,Online,Impulse Buyer,2024-03-30,2024-04-04,93244,True
PR000221,P04905,BOGO,0.07,Both,Family Shopper,2024-11-13,2024-11-18,105202,True
PR000222,P00803,Percentage Off,0.59,Online,Frequent Buyer,2022-11-29,2022-11-30,158424,False
PR000223,P04758,Flat Discount,0.24,Both,Working Professional,2023-12-02,2023-12-04,139680,False
PR000224,P03902,Free Shipping,0.5,Online,Impulse Buyer,2023-11-11,2023-11-12,120031,True
PR000225,P00660,Cashback,0.24,Online,Working Professional,2022-10-09,2022-10-13,174146,True
PR000226,P02153,Cashback,0.5,Online,Fashion Enthusiast,2022-12-27,2023-01-08,468798,True
PR000227,P01528,Cashback,0.12,Online,Working Professional,2023-10-05,2023-10-09,245899,False
PR000228,P01241,Flat Discount,0.28,Offline,Seasonal Buyer,2022-05-20,2022-06-13,464635,False
PR000229,P04691,Cashback,0.06,Offline,Frequent Buyer,2024-09-24,2024-10-01,92412,True
PR000230,P03556,Flat Discount,0.26,Both,Fashion Enthusiast,2022-04-29,2022-05-08,80256,False
PR000231,P02781,Free Shipping,0.34,Both,Seasonal Buyer,2023-02-09,2023-02-26,68328,True
PR000232,P00840,Percentage Off,0.48,Both,Student,2023-07-09,2023-07-28,452223,True
PR000233,P03523,Flat Discount,0.12,Both,Luxury Shopper,2023-11-06,2023-11-11,495545,True
PR000234,P03672,BOGO,0.43,Online,Brand Loyalist,2024-02-17,2024-02-21,80096,False
PR000235,P04283,Cashback,0.18,Both,Fashion Enthusiast,2023-08-12,2023-08-20,484084,True
PR000236,P00187,Flat Discount,0.41,Online,Luxury Shopper,2023-08-07,2023-08-19,417388,True
PR000237,P04128,Cashback,0.09,Both,Budget Shopper,2023-09-21,2023-10-03,323934,True
PR000238,P03306,BOGO,0.31,Offline,Fashion Enthusiast,2023-10-13,2023-11-01,352879,True
PR000239,P04278,Flat Discount,0.21,Online,Fashion Enthusiast,2024-02-10,2024-02-17,481863,True
PR000240,P01137,Percentage Off,0.42,Both,Student,2022-05-04,2022-05-10,131075,False
PR000241,P00011,Bundle,0.54,Online,Budget Shopper,2024-06-19,2024-07-01,133791,True
PR000242,P04337,BOGO,0.1,Online,Seasonal Buyer,2024-10-06,2024-10-31,139804,False
PR000243,P02555,Bundle,0.47,Offline,Frequent Buyer,2023-05-06,2023-05-21,272816,False
PR000244,P03357,Cashback,0.36,Both,Budget Shopper,2022-02-11,2022-03-06,238375,True
PR000245,P04146,Free Shipping,0.55,Offline,Student,2024-02-01,2024-02-29,140281,True
PR000246,P01155,Cashback,0.15,Both,Family Shopper,2024-12-15,2025-01-07,122159,False
PR000247,P01815,Bundle,0.44,Online,Student,2023-08-26,2023-09-21,110918,False
PR000248,P04507,Cashback,0.09,Offline,Working Professional,2022-12-31,2023-01-20,175271,False
PR000249,P01118,Bundle,0.59,Both,Family Shopper,2022-10-16,2022-11-05,58489,False
PR000250,P01591,Flat Discount,0.21,Online,Working Professional,2023-02-11,2023-03-07,177874,False
PR000251,P04437,Cashback,0.27,Both,Student,2024-04-02,2024-04-28,468942,True
PR000252,P04319,Percentage Off,0.19,Online,Budget Shopper,2024-02-17,2024-03-06,275937,True
PR000253,P00150,Free Shipping,0.14,Offline,Seasonal Buyer,2023-01-23,2023-01-29,214399,False
PR000254,P00031,Bundle,0.39,Offline,Luxury Shopper,2022-02-05,2022-02-26,44653,False
PR000255,P02214,Free Shipping,0.39,Both,Budget Shopper,2023-07-17,2023-07-19,400125,False
PR000256,P02953,Bundle,0.44,Offline,Fashion Enthusiast,2023-08-28,2023-09-11,314192,True
PR000257,P00013,Cashback,0.29,Offline,Fashion Enthusiast,2023-08-07,2023-08-31,28886,True
PR000258,P02876,BOGO,0.42,Offline,Brand Loyalist,2024-05-31,2024-06-05,15998,False
PR000259,P00095,Free Shipping,0.38,Offline,Working Professional,2024-01-12,2024-01-18,336312,True
PR000260,P03550,Free Shipping,0.24,Offline,Working Professional,2022-12-07,2023-01-04,16058,False
PR000261,P03669,BOGO,0.49,Offline,Budget Shopper,2023-09-28,2023-10-09,422447,True
PR000262,P02076,Free Shipping,0.56,Online,Fashion Enthusiast,2022-03-31,2022-04-23,16574,False
PR000263,P03185,BOGO,0.29,Online,Fashion Enthusiast,2022-05-28,2022-06-08,244873,True
PR000264,P00676,Percentage Off,0.32,Online,Frequent Buyer,2022-04-20,2022-05-10,209882,False
PR000265,P00946,Flat Discount,0.27,Online,Fashion Enthusiast,2024-08-27,2024-08-31,44501,False
PR000266,P04041,Flat Discount,0.22,Offline,Brand Loyalist,2024-03-17,2024-03-23,469000,True
PR000267,P02800,BOGO,0.48,Online,Working Professional,2022-01-28,2022-02-03,232549,False
PR000268,P00081,Free Shipping,0.31,Offline,Brand Loyalist,2022-01-25,2022-01-29,269397,False
PR000269,P03122,Cashback,0.12,Online,Luxury Shopper,2023-05-01,2023-05-27,309668,True
PR000270,P00794,Cashback,0.21,Online,Seasonal Buyer,2024-01-04,2024-01-07,414567,True
PR000271,P03997,BOGO,0.08,Both,Frequent Buyer,2023-04-08,2023-04-18,330283,False
PR000272,P03999,Percentage Off,0.45,Online,Family Shopper,2022-05-31,2022-06-22,73819,False
PR000273,P01136,Cashback,0.37,Both,Brand Loyalist,2023-09-12,2023-10-07,332894,True
PR000274,P03294,BOGO,0.59,Offline,Frequent Buyer,2022-06-20,2022-07-07,235534,False
PR000275,P01160,BOGO,0.28,Online,Family Shopper,2024-10-20,2024-10-23,147965,True
PR000276,P04536,Free Shipping,0.38,Both,Budget Shopper,2022-07-23,2022-08-10,277303,True
PR000277,P01330,Cashback,0.16,Offline,Luxury Shopper,2023-02-18,2023-02-23,333725,False
PR000278,P03478,Bundle,0.1,Offline,Impulse Buyer,2024-07-22,2024-08-01,185319,True
PR000279,P01530,BOGO,0.49,Both,Student,2023-03-06,2023-03-21,24169,False
PR000280,P02498,BOGO,0.39,Online,Impulse Buyer,2023-01-08,2023-01-28,162080,True
PR000281,P00384,Free Shipping,0.2,Offline,Seasonal Buyer,2022-04-09,2022-05-02,485163,False
