search_id,customer_id,query_text,timestamp,results_count,clicked_product_id,converted
SR0000147,C06742,gym wear,2023-03-24 05:26:00,353,P01888,False
SR0000148,C00146,winter jacket,2024-11-20 03:21:00,68,,False
SR0000149,C01110,denim jacket,2023-03-07 11:45:00,209,,False
SR0000150,C01854,anarkali suit,2024-11-15 03:50:00,99,P00585,False
SR0000151,C01613,joggers mens,2022-08-29 07:39:00,138,P00164,True
SR0000152,C07029,silk saree,2024-11-07 16:23:00,144,,False
SR0000153,C02222,anarkali suit,2023-07-18 04:42:00,315,,True
SR0000154,C07549,running shoes,2023-02-11 19:12:00,93,P03750,True
SR0000155,C02441,formal shirt men,2023-06-21 11:52:00,121,,False
SR0000156,C02899,palazzo pants,2024-03-08 05:53:00,50,P02891,False
SR0000157,C08982,casual jeans,2022-04-19 20:05:00,76,P03043,False
SR0000158,C08121,party wear dress,2023-10-05 20:31:00,131,,True
SR0000159,C00034,party wear dress,2023-12-09 22:17:00,461,,False
SR0000160,C09614,winter jacket,2023-05-24 15:19:00,224,P00091,False
SR0000161,C06013,black dress,2022-10-13 21:23:00,362,P01688,True
SR0000162,C00830,black dress,2022-06-13 02:06:00,308,P01763,False
SR0000163,C05209,anarkali suit,2024-05-06 13:40:00,342,P04715,False
SR0000164,C02627,summer kurta,2023-01-07 09:58:00,298,P03539,False
SR0000165,C06366,gym wear,2023-02-16 07:05:00,150,,True
SR0000166,C01671,casual jeans,2023-09-26 05:13:00,133,P01503,False
SR0000167,C09823,summer kurta,2024-04-16 03:48:00,101,P03146,False
SR0000168,C02290,gym wear,2024-03-17 15:17:00,297,P01498,False
SR0000169,C06838,winter jacket,2023-06-20 15:45:00,417,,False
SR0000170,C09861,gym wear,2024-01-21 01:00:00,13,P02360,False
SR0000171,C00162,summer kurta,2023-08-16 10:23:00,460,P00108,False
SR0000172,C05017,black dress,2022-03-08 16:09:00,64,P01960,False
SR0000173,C02381,joggers mens,2023-04-03 12:00:00,315,,False
SR0000174,C03288,anarkali suit,2022-09-24 15:28:00,403,,False
SR0000175,C02604,black dress,2022-03-26 19:28:00,377,P03521,True
SR0000176,C09662,anarkali suit,2023-11-25 21:07:00,211,P01732,True
SR0000177,C03687,crop top,2023-11-03 19:11:00,212,,False
SR0000178,C00788,ethnic wear women,2024-06-11 04:28:00,281,P01644,False
SR0000179,C07569,denim jacket,2022-06-08 10:57:00,368,P04156,False
SR0000180,C03045,running shoes,2024-04-13 17:08:00,240,P04542,False
SR0000181,C00775,handbag red,2022-08-28 19:14:00,71,P03373,False
SR0000182,C05571,casual jeans,2022-11-19 20:35:00,351,P03461,False
SR0000183,C08389,gym wear,2024-09-24 06:32:00,470,P00054,False
SR0000184,C09227,winter jacket,2024-12-30 06:03:00,454,,False
SR0000185,C02090,black dress,2023-06-17 07:51:00,224,,False
SR0000186,C03839,office wear,2024-07-28 13:31:00,113,P02270,False
SR0000187,C09324,running shoes,2022-01-22 14:27:00,465,P00384,False
SR0000188,C01383,anarkali suit,2024-06-05 12:47:00,53,P04492,False
SR0000189,C05600,anarkali suit,2023-12-24 13:53:00,336,P04667,True
SR0000190,C01902,ethnic wear women,2024-12-18 14:13:00,365,,False
SR0000191,C07917,printed kurti,2022-07-28 00:30:00,125,P04389,False
SR0000192,C02979,joggers mens,2023-03-27 04:45:00,480,,False
SR0000193,C03577,sneakers white,2024-02-25 10:14:00,67,P02212,False
SR0000194,C00038,denim jacket,2024-03-16 20:27:00,321,P03316,False
SR0000195,C06515,gym wear,2024-04-12 18:59:00,210,P04767,False
SR0000196,C07878,sneakers white,2022-09-18 11:37:00,206,P02431,False
SR0000197,C06337,summer kurta,2024-05-08 14:33:00,69,P00883,False
SR0000198,C07846,denim jacket,2022-01-07 11:14:00,215,P02163,False
SR0000199,C00204,printed kurti,2023-05-07 05:08:00,289,P00017,False
SR0000200,C03939,casual jeans,2024-06-13 09:44:00,324,P03922,False
SR0000201,C04159,gym wear,2024-10-30 18:29:00,371,,True
SR0000202,C03181,black dress,2024-01-20 16:51:00,455,P02804,False
SR0000203,C07037,casual jeans,2024-03-02 03:08:00,229,,False
SR0000204,C05094,winter jacket,2022-10-11 00:30:00,497,P01782,False
SR0000205,C00665,printed kurti,2023-02-06 15:13:00,253,P00150,False
SR0000206,C09505,winter jacket,2022-05-13 18:33:00,215,,False
SR0000207,C01075,sneakers white,2024-04-01 23:25:00,272,,False
SR0000208,C03867,party wear dress,2022-11-21 03:20:00,392,P02779,False
SR0000209,C05826,handbag red,2023-09-21 11:27:00,119,P01564,True
SR0000210,C03851,crop top,2023-02-28 09:21:00,500,,False
SR0000211,C08321,winter jacket,2024-07-12 06:51:00,183,,True
SR0000212,C04126,formal shirt men,2022-08-01 18:47:00,270,P00711,False
SR0000213,C00802,maxi dress,2022-03-31 00:32:00,383,P01834,False
SR0000214,C07531,gym wear,2022-12-21 09:22:00,29,P02668,False
SR0000215,C08031,joggers mens,2024-09-05 22:31:00,496,P01385,False
SR0000216,C02262,printed kurti,2022-07-04 06:53:00,31,P03615,False
SR0000217,C07033,winter jacket,2022-06-04 04:18:00,473,P04240,False
SR0000218,C00727,handbag red,2023-08-28 23:10:00,36,P02273,False
SR0000219,C00699,winter jacket,2022-08-05 03:17:00,397,P01486,False
SR0000220,C08971,running shoes,2022-07-28 09:21:00,10,P01722,False
SR0000221,C04145,black dress,2023-08-30 19:27:00,61,P00627,False
SR0000222,C04237,handbag red,2023-06-06 05:28:00,281,P00402,False
SR0000223,C01983,printed kurti,2024-02-21 11:19:00,161,,False
SR0000224,C00739,maxi dress,2023-09-14 06:13:00,129,P01031,False
SR0000225,C02434,silk saree,2024-07-05 01:48:00,299,P00960,False
SR0000226,C07837,black dress,2023-05-14 09:20:00,420,P01721,False
SR0000227,C06186,summer kurta,2022-03-30 02:12:00,445,,False
SR0000228,C03452,summer kurta,2022-03-13 04:10:00,116,P02561,False
SR0000229,C08258,handbag red,2022-07-25 03:11:00,286,P02710,False
SR0000230,C03195,palazzo pants,2023-12-30 15:42:00,252,P03688,False
SR0000231,C05379,winter jacket,2023-10-27 07:36:00,170,P00332,False
SR0000232,C06575,joggers mens,2022-04-07 13:14:00,140,P03359,True
SR0000233,C09165,printed kurti,2022-03-08 04:01:00,240,,False
SR0000234,C01652,denim jacket,2024-03-01 08:29:00,411,P00374,True
SR0000235,C07705,palazzo pants,2022-04-10 16:00:00,419,P02852,False
SR0000236,C04393,anarkali suit,2024-08-28 08:40:00,199,P03145,False
SR0000237,C05467,black dress,2024-01-02 20:39:00,181,P01132,True
SR0000238,C06010,running shoes,2024-02-14 03:56:00,484,P00976,False
SR0000239,C05477,formal shirt men,2022-05-11 09:06:00,148,,False
SR0000240,C02107,formal shirt men,2023-05-25 05:43:00,58,P01114,False
SR0000241,C05311,anarkali suit,2023-11-26 01:10:00,126,P02135,True
SR0000242,C03487,running shoes,2024-03-03 07:25:00,486,P00195,False
SR0000243,C04794,printed kurti,2022-03-13 03:45:00,455,,True
SR0000244,C00895,handbag red,2023-05-31 09:57:00,414,P00885,False
SR0000245,C07479,printed kurti,2024-10-21 20:54:00,178,P03699,False
SR0000246,C09770,gym wear,2024-08-22 08:19:00,223,P02176,True
SR0000247,C02832,handbag red,2022-09-04 01:05:00,257,P03832,False
SR0000248,C09141,party wear dress,2022-07-15 05:44:00,284,P00683,False
SR0000249,C06145,casual jeans,2024-04-09 12:18:00,64,P03814,False
SR0000250,C06651,denim jacket,2024-08-10 02:37:00,333,P01252,True
SR0000251,C03226,running shoes,2022-04-25 09:08:00,46,P03540,True
SR0000252,C00726,joggers mens,2022-10-27 16:39:00,349,P02330,False
SR0000253,C04953,formal shirt men,2022-05-12 09:20:00,259,P02420,False
SR0000254,C09668,formal shirt men,2022-06-06 11:52:00,374,,False
SR0000255,C01354,joggers mens,2022-01-09 09:32:00,99,P00110,False
SR0000256,C06962,joggers mens,2022-06-01 16:34:00,252,,False
SR0000257,C09083,summer kurta,2023-11-04 12:23:00,279,P01887,True
SR0000258,C07393,black dress,2024-09-23 14:28:00,178,P02377,False
SR0000259,C03737,handbag red,2024-11-16 15:59:00,474,P00384,True
SR0000260,C01010,anarkali suit,2022-09-01 19:52:00,194,P01868,False
SR0000261,C02360,denim jacket,2023-02-09 10:54:00,30,P03842,False
SR0000262,C05151,casual jeans,2023-03-11 21:12:00,90,P02944,False
SR0000263,C09021,maxi dress,2022-03-22 00:55:00,40,P00075,False
SR0000264,C07766,black dress,2023-11-29 20:03:00,151,P01455,False
SR0000265,C01106,winter jacket,2022-07-11 07:40:00,414,P03619,False
SR0000266,C01728,office wear,2023-02-23 18:03:00,33,,True
SR0000267,C09688,winter jacket,2022-12-20 10:26:00,265,,False
SR0000268,C04350,handbag red,2022-10-24 05:39:00,78,,False
SR0000269,C09710,winter jacket,2022-05-29 11:55:00,247,,False
SR0000270,C03577,maxi dress,2024-08-24 20:44:00,440,,False
SR0000271,C06682,formal shirt men,2022-04-20 07:00:00,62,P04180,False
SR0000272,C08079,casual jeans,2024-09-05 08:46:00,203,P04274,False
SR0000273,C08848,summer kurta,2024-02-07 17:38:00,380,P04638,False
SR0000274,C04073,anarkali suit,2023-09-29 13:54:00,480,,False
SR0000275,C00811,casual jeans,2023-12-17 01:28:00,343,,True
SR0000276,C08520,palazzo pants,2023-12-29 18:15:00,471,,False
SR0000277,C05621,joggers mens,2023-09-19 07:03:00,136,P03174,False
SR0000278,C02998,black dress,2024-04-20 22:58:00,50,P02718,False
SR0000279,C09410,crop top,2023-01-04 14:34:00,35,P01308,False
SR0000280,C09084,winter jacket,2023-08-05 23:10:00,356,P01054,False
SR0000281,C01452,printed kurti,2023-07-02 10:58:00,279,P02745,False
SR0000282,C06231,casual jeans,2022-06-30 01:48:00,422,P02578,False
SR0000283,C04058,black dress,2024-04-04 09:37:00,451,,False
SR0000284,C05392,summer kurta,2022-04-17 05:18:00,468,P02744,False
SR0000285,C00673,joggers mens,2022-10-26 07:07:00,382,P02826,False
SR0000286,C03055,crop top,2024-06-07 11:37:00,276,,False
SR0000287,C03295,party wear dress,2022-10-06 15:39:00,93,,False
SR0000288,C01749,denim jacket,2023-04-18 19:03:00,372,P01716,False
SR0000289,C07713,casual jeans,2024-09-05 18:30:00,19,P01957,False
SR0000290,C08167,maxi dress,2024-03-20 11:48:00,250,P02561,False
SR0000291,C00141,running shoes,2022-06-23 23:07:00,244,P02927,False
SR0000292,C06822,formal shirt men,2022-03-22 05:10:00,113,P02464,True
SR0000293,C00314,ethnic wear women,2024-04-08 05:44:00,375,P01178,False
SR0000294,C02866,denim jacket,2024-09-05 07:52:00,102,P00309,False
SR0000295,C08269,black dress,2023-04-10 06:56:00,26,P03332,False
SR0000296,C01785,ethnic wear women,2023-05-29 16:01:00,303,,False
SR0000297,C09830,casual jeans,2022-11-17 01:33:00,245,,False
SR0000298,C09292,printed kurti,2023-01-16 07:15:00,483,P04513,False
SR0000299,C07365,maxi dress,2022-09-20 19:26:00,49,P00365,False
SR0000300,C03775,gym wear,2024-03-11 22:21:00,225,P01977,False
SR0000301,C00453,anarkali suit,2023-01-31 02:06:00,248,,True
SR0000302,C09406,casual jeans,2023-03-14 11:41:00,462,,False
SR0000303,C03225,office wear,2023-08-23 11:04:00,301,P02904,False
SR0000304,C01879,crop top,2024-12-07 17:32:00,476,P01530,False
SR0000305,C02142,casual jeans,2024-06-01 02:28:00,146,,False
SR0000306,C09440,joggers mens,2023-10-11 11:01:00,392,,True
SR0000307,C09511,gym wear,2024-04-09 17:57:00,60,P04951,False
SR0000308,C09045,summer kurta,2022-03-19 03:56:00,116,P04162,False
SR0000309,C01871,anarkali suit,2023-02-12 14:23:00,461,P02956,False
SR0000310,C04928,anarkali suit,2023-06-08 10:11:00,149,,False
SR0000311,C03646,office wear,2022-11-13 13:40:00,159,P00065,False
SR0000312,C04022,black dress,2024-01-09 01:12:00,95,P04928,True
SR0000313,C03993,gym wear,2024-11-03 12:01:00,255,,True
SR0000314,C09480,office wear,2022-02-03 02:24:00,421,P01249,False
SR0000315,C08272,palazzo pants,2024-03-04 07:55:00,338,,True
SR0000316,C07912,anarkali suit,2022-04-15 05:06:00,405,P00646,False
SR0000317,C02820,formal shirt men,2023-06-30 10:51:00,100,P04266,False
SR0000318,C02588,anarkali suit,2022-01-10 04:27:00,16,,True
SR0000319,C09012,palazzo pants,2022-10-22 17:07:00,244,P03275,False
SR0000320,C03653,palazzo pants,2023-10-02 19:52:00,154,P03939,False
SR0000321,C01196,running shoes,2022-01-10 07:52:00,370,P01070,True
SR0000322,C01334,running shoes,2024-10-17 17:53:00,462,P02230,False
SR0000323,C04790,office wear,2023-02-09 08:29:00,410,P03031,False
SR0000324,C07343,summer kurta,2024-05-01 10:48:00,68,P04511,False
SR0000325,C06384,palazzo pants,2023-10-21 14:21:00,90,P03978,False
SR0000326,C01766,palazzo pants,2024-12-12 09:05:00,3,,False
SR0000327,C01880,office wear,2022-05-02 00:59:00,413,,False
SR0000328,C01451,formal shirt men,2023-10-21 00:01:00,282,,False
SR0000329,C03462,anarkali suit,2023-02-12 01:31:00,183,P01865,False
SR0000330,C06334,denim jacket,2022-05-16 23:27:00,200,P03470,False
SR0000331,C07644,party wear dress,2022-06-01 18:39:00,279,P00628,False
SR0000332,C08565,formal shirt men,2022-12-28 23:56:00,388,P00852,False
SR0000333,C07537,handbag red,2022-08-10 04:24:00,270,,False
SR0000334,C02414,joggers mens,2023-08-26 04:01:00,353,P01670,False
SR0000335,C05620,gym wear,2022-02-01 12:29:00,297,,True
SR0000336,C06250,palazzo pants,2022-05-29 17:01:00,26,P00544,False
SR0000337,C06293,denim jacket,2022-05-17 20:51:00,483,P01544,False
SR0000338,C07069,casual jeans,2022-10-19 07:05:00,286,P03783,True
SR0000339,C07953,summer kurta,2024-04-17 16:54:00,346,P00424,False
SR0000340,C02455,sneakers white,2022-03-04 11:31:00,140,P00196,False
SR0000341,C07340,maxi dress,2024-05-14 12:30:00,152,P00382,True
SR0000342,C09649,maxi dress,2022-11-16 20:40:00,490,P01153,True
SR0000343,C00696,party wear dress,2022-05-09 03:02:00,264,P00273,False
SR0000344,C04443,winter jacket,2022-06-18 16:33:00,49,P04753,False
SR0000345,C03383,formal shirt men,2023-08-28 12:01:00,252,,False
SR0000346,C08780,anarkali suit,2024-08-23 14:18:00,276,,False
SR0000347,C00157,anarkali suit,2022-07-23 07:09:00,202,P00618,False
SR0000348,C02063,handbag red,2024-12-11 05:52:00,10,P03013,True
SR0000349,C04922,ethnic wear women,2023-09-12 17:09:00,89,P01363,False
SR0000350,C08681,printed kurti,2022-04-06 16:36:00,444,P04913,False
SR0000351,C02804,maxi dress,2023-03-30 19:00:00,225,P02355,True
SR0000352,C07967,crop top,2022-09-19 20:59:00,490,P00416,False
SR0000353,C02557,running shoes,2022-12-15 19:35:00,77,P04789,False
SR0000354,C08929,sneakers white,2022-01-11 02:12:00,435,P01857,False
SR0000355,C02546,running shoes,2024-12-14 23:51:00,459,P04545,False
SR0000356,C09345,anarkali suit,2024-06-26 23:13:00,367,P01765,True
SR0000357,C00337,anarkali suit,2024-06-24 03:21:00,86,,False
SR0000358,C00283,formal shirt men,2024-12-07 11:59:00,116,P02881,True
SR0000359,C04668,running shoes,2023-07-18 14:05:00,258,,False
SR0000360,C04622,anarkali suit,2022-11-06 01:17:00,307,P03597,False
SR0000361,C07131,gym wear,2022-06-22 18:48:00,283,P02325,False
SR0000362,C03027,joggers mens,2022-05-20 23:28:00,242,,True
SR0000363,C09109,joggers mens,2023-07-05 04:39:00,434,P04513,True
SR0000364,C02652,joggers mens,2023-12-03 13:52:00,183,P04466,False
SR0000365,C09680,winter jacket,2023-11-12 21:49:00,12,P04880,False
SR0000366,C02022,joggers mens,2023-05-16 06:43:00,65,,False
SR0000367,C03530,formal shirt men,2023-02-09 00:05:00,389,P03027,False
SR0000368,C08921,running shoes,2022-06-25 02:53:00,212,,False
SR0000369,C00611,office wear,2022-05-31 02:46:00,104,P04151,False
SR0000370,C03383,silk saree,2023-06-11 00:11:00,116,P04143,False
SR0000371,C05571,casual jeans,2024-07-31 00:34:00,418,P03385,False
SR0000372,C03691,running shoes,2022-01-11 18:55:00,475,P01937,False
SR0000373,C07128,ethnic wear women,2024-01-12 10:30:00,392,P04295,False
SR0000374,C06464,formal shirt men,2022-12-12 04:06:00,149,P00258,False
SR0000375,C07379,winter jacket,2024-04-16 01:31:00,343,,True
SR0000376,C02371,casual jeans,2024-02-15 09:11:00,300,,False
SR0000377,C03902,ethnic wear women,2023-04-14 01:27:00,271,,False
SR0000378,C01259,palazzo pants,2022-12-02 18:19:00,497,P01174,False
SR0000379,C04607,formal shirt men,2022-10-29 05:15:00,385,P02334,False
SR0000380,C08290,anarkali suit,2024-12-07 01:04:00,351,P00676,False
SR0000381,C06822,office wear,2024-01-13 09:43:00,41,,False
SR0000382,C00498,sneakers white,2024-12-19 18:12:00,367,,False
SR0000383,C05749,handbag red,2024-05-13 07:36:00,25,,True
SR0000384,C00442,denim jacket,2024-04-16 03:02:00,456,P00587,True
SR0000385,C07573,printed kurti,2023-07-30 22:05:00,414,P01594,False
SR0000386,C09317,ethnic wear women,2023-08-27 08:26:00,413,,False
SR0000387,C08398,party wear dress,2022-07-29 08:25:00,440,,False
SR0000388,C08262,maxi dress,2024-11-19 22:04:00,349,P04948,False
