inventory_id,product_id,store_id,warehouse_id,location_type,stock_qty,reorder_point,max_stock,days_on_hand,last_updated
INV000031,P03834,S0072,,store,187,56,280,62.3,2024-04-10
INV000032,P00005,S0111,,store,421,79,395,52.6,2024-10-21
INV000033,P04127,,W028,warehouse,500,93,465,125.0,2024-03-21
INV000034,P01722,S0003,,store,333,45,225,33.3,2024-07-07
INV000035,P02890,S0132,,store,408,31,155,34.0,2024-04-10
INV000036,P01275,S0058,,store,275,97,485,91.7,2024-07-21
INV000037,P03727,,W008,warehouse,441,44,220,31.5,2024-03-18
INV000038,P01822,,W025,warehouse,155,40,200,10.3,2024-01-25
INV000039,P04615,S0066,,store,268,44,220,13.4,2024-09-06
INV000040,P03312,,W014,warehouse,352,97,485,70.4,2024-07-10
INV000041,P03101,,W007,warehouse,350,54,270,31.8,2024-02-28
INV000042,P04522,S0103,,store,177,38,190,12.6,2024-10-18
INV000043,P03312,S0008,,store,283,91,455,15.7,2024-09-28
INV000044,P01833,S0002,,store,362,40,200,19.1,2024-01-13
INV000045,P00895,,W005,warehouse,290,27,135,19.3,2024-11-16
INV000046,P02165,,W027,warehouse,440,98,490,27.5,2024-08-20
INV000047,P01866,S0120,,store,265,50,250,88.3,2024-12-05
INV000048,P03913,,W009,warehouse,475,54,270,29.7,2024-08-18
INV000049,P00919,S0140,,store,144,87,435,14.4,2024-10-27
INV000050,P04309,S0118,,store,405,99,495,45.0,2024-09-07
INV000051,P01717,S0035,,store,309,21,105,77.2,2024-07-12
INV000052,P01997,S0021,,store,296,94,470,14.8,2024-08-05
INV000053,P01136,S0016,,store,309,28,140,51.5,2024-10-13
INV000054,P00953,S0022,,store,141,74,370,35.2,2024-03-07
INV000055,P00823,S0091,,store,106,31,155,9.6,2024-12-05
INV000056,P01626,S0060,,store,221,57,285,44.2,2024-07-22
INV000057,P02944,S0122,,store,108,43,215,7.2,2024-02-13
INV000058,P01831,,W011,warehouse,495,21,105,27.5,2024-11-09
INV000059,P03175,S0130,,store,35,21,105,2.9,2024-05-31
INV000060,P01975,S0023,,store,427,85,425,53.4,2024-08-02
INV000061,P02425,S0131,,store,373,27,135,74.6,2024-10-06
INV000062,P04833,,W006,warehouse,28,54,270,1.4,2024-01-11
INV000063,P01629,S0074,,store,7,100,500,0.4,2024-12-15
INV000064,P02358,,W021,warehouse,32,88,440,2.5,2024-05-18
INV000065,P04446,S0042,,store,232,49,245,46.4,2024-05-27
INV000066,P00011,S0083,,store,338,28,140,24.1,2024-01-15
INV000067,P03176,,W006,warehouse,24,86,430,2.2,2024-11-01
INV000068,P04793,S0091,,store,438,89,445,27.4,2024-06-20
INV000069,P00751,,W008,warehouse,369,38,190,19.4,2024-08-11
INV000070,P00224,S0091,,store,405,90,450,81.0,2024-03-07
INV000071,P04774,S0036,,store,181,97,485,12.9,2024-07-25
INV000072,P01217,,W004,warehouse,445,44,220,34.2,2024-09-13
INV000073,P04219,S0146,,store,247,65,325,35.3,2024-03-18
INV000074,P00276,S0106,,store,252,88,440,14.8,2024-08-14
INV000075,P00619,S0076,,store,248,29,145,15.5,2024-07-03
INV000076,P04525,S0006,,store,187,76,380,93.5,2024-11-27
INV000077,P04276,S0052,,store,139,39,195,34.8,2024-05-02
INV000078,P00591,S0060,,store,320,89,445,80.0,2024-08-16
INV000079,P04098,S0031,,store,281,64,320,70.2,2024-07-15
INV000080,P01246,,W024,warehouse,171,97,485,19.0,2024-06-11
INV000081,P01087,,W006,warehouse,319,98,490,29.0,2024-08-10
INV000082,P01380,,W020,warehouse,370,95,475,46.2,2024-07-08
INV000083,P04630,,W024,warehouse,447,93,465,111.8,2024-12-08
INV000084,P01078,S0123,,store,221,97,485,221.0,2024-04-17
INV000085,P04894,S0031,,store,317,90,450,24.4,2024-02-19
INV000086,P02667,,W005,warehouse,329,41,205,16.4,2024-04-27
INV000087,P03658,,W010,warehouse,1,67,335,0.5,2024-12-19
INV000088,P00349,S0058,,store,63,51,255,3.9,2024-01-05
INV000089,P04105,,W022,warehouse,321,45,225,29.2,2024-07-26
INV000090,P02679,S0083,,store,61,25,125,6.1,2024-11-05
INV000091,P00267,,W021,warehouse,350,91,455,31.8,2024-09-11
INV000092,P04404,S0123,,store,90,62,310,8.2,2024-08-17
INV000093,P00401,S0054,,store,118,91,455,7.4,2024-04-21
INV000094,P01846,S0057,,store,325,25,125,81.2,2024-07-05
INV000095,P02534,,W001,warehouse,488,60,300,162.7,2024-10-10
INV000096,P02711,S0128,,store,404,98,490,31.1,2024-10-01
INV000097,P00218,S0104,,store,227,71,355,37.8,2024-01-03
INV000098,P00948,,W023,warehouse,58,48,240,3.1,2024-03-12
INV000099,P03538,S0035,,store,54,28,140,6.8,2024-06-27
INV000100,P02491,S0029,,store,26,21,105,3.7,2024-06-04
INV000101,P03112,,W010,warehouse,149,38,190,10.6,2024-09-18
INV000102,P04950,,W029,warehouse,398,67,335,66.3,2024-10-16
INV000103,P00249,S0033,,store,4,32,160,2.0,2024-05-13
INV000104,P03555,S0114,,store,11,41,205,0.6,2024-11-30
INV000105,P04013,S0028,,store,410,96,480,37.3,2024-02-25
INV000106,P03803,S0013,,store,281,52,260,23.4,2024-07-09
INV000107,P03610,,W014,warehouse,48,99,495,9.6,2024-03-18
INV000108,P04770,,W012,warehouse,466,89,445,27.4,2024-11-03
INV000109,P01201,S0124,,store,441,36,180,25.9,2024-05-29
INV000110,P01158,,W017,warehouse,207,87,435,14.8,2024-02-15
INV000111,P04664,,W016,warehouse,493,64,320,164.3,2024-09-27
INV000112,P04822,S0038,,store,199,26,130,39.8,2024-02-14
INV000113,P02295,,W017,warehouse,35,50,250,11.7,2024-12-08
INV000114,P04155,S0093,,store,363,28,140,24.2,2024-09-06
INV000115,P00162,,W021,warehouse,113,27,135,8.1,2024-02-09
INV000116,P03071,S0053,,store,201,55,275,100.5,2024-02-21
INV000117,P00776,S0030,,store,392,28,140,19.6,2024-08-26
INV000118,P02615,,W008,warehouse,418,33,165,418.0,2024-06-05
INV000119,P01434,,W006,warehouse,86,27,135,21.5,2024-12-10
INV000120,P04225,,W007,warehouse,422,48,240,60.3,2024-11-27
INV000121,P02557,S0108,,store,248,31,155,41.3,2024-02-11
INV000122,P04696,S0059,,store,261,50,250,21.8,2024-01-03
INV000123,P04427,,W004,warehouse,2,41,205,0.2,2024-04-24
INV000124,P04573,S0127,,store,478,33,165,53.1,2024-05-23
INV000125,P04630,,W005,warehouse,432,92,460,36.0,2024-08-07
INV000126,P01924,,W019,warehouse,176,26,130,22.0,2024-04-26
INV000127,P02682,S0007,,store,22,66,330,1.5,2024-03-23
INV000128,P03242,S0029,,store,405,43,215,20.2,2024-10-26
INV000129,P03291,S0023,,store,81,61,305,10.1,2024-11-08
INV000130,P00590,,W030,warehouse,195,98,490,27.9,2024-10-13
INV000131,P00748,S0110,,store,184,75,375,36.8,2024-12-07
INV000132,P04097,,W012,warehouse,295,55,275,42.1,2024-09-04
INV000133,P04996,S0093,,store,427,71,355,30.5,2024-10-04
INV000134,P01569,,W010,warehouse,77,56,280,6.4,2024-02-25
INV000135,P04957,S0076,,store,484,67,335,96.8,2024-06-09
INV000136,P03727,S0116,,store,251,71,355,14.8,2024-06-22
INV000137,P03144,,W006,warehouse,190,94,470,13.6,2024-07-25
INV000138,P04432,S0002,,store,414,69,345,21.8,2024-12-26
INV000139,P02979,,W003,warehouse,375,77,385,187.5,2024-11-04
INV000140,P02714,,W027,warehouse,142,48,240,28.4,2024-11-24
INV000141,P01648,S0148,,store,269,84,420,269.0,2024-10-18
INV000142,P02332,S0016,,store,124,89,445,17.7,2024-10-06
INV000143,P01804,,W003,warehouse,466,55,275,23.3,2024-03-17
INV000144,P01266,S0003,,store,478,91,455,79.7,2024-04-17
INV000145,P02783,S0042,,store,374,71,355,187.0,2024-11-26
INV000146,P04465,S0134,,store,72,39,195,6.0,2024-01-05
INV000147,P03499,,W007,warehouse,446,65,325,55.8,2024-08-23
INV000148,P03705,S0092,,store,203,63,315,16.9,2024-05-13
INV000149,P02033,,W006,warehouse,32,96,480,4.6,2024-09-14
INV000150,P00837,,W012,warehouse,117,84,420,16.7,2024-12-25
INV000151,P01983,,W022,warehouse,294,53,265,17.3,2024-05-05
INV000152,P03576,,W020,warehouse,355,56,280,23.7,2024-08-04
INV000153,P02360,,W014,warehouse,379,100,500,379.0,2024-02-15
INV000154,P03553,S0011,,store,235,29,145,21.4,2024-01-26
INV000155,P01056,S0131,,store,267,48,240,24.3,2024-10-05
INV000156,P01513,S0057,,store,476,52,260,158.7,2024-10-24
INV000157,P02595,,W016,warehouse,189,59,295,23.6,2024-03-05
INV000158,P01925,S0078,,store,320,89,445,20.0,2024-08-17
INV000159,P01774,S0074,,store,495,31,155,49.5,2024-08-12
INV000160,P02313,,W017,warehouse,381,47,235,22.4,2024-12-30
INV000161,P01967,,W005,warehouse,281,71,355,23.4,2024-10-23
INV000162,P01104,S0003,,store,4,83,415,0.7,2024-08-01
INV000163,P04783,S0028,,store,196,21,105,32.7,2024-09-14
INV000164,P04869,,W018,warehouse,247,53,265,12.3,2024-02-01
INV000165,P02558,S0085,,store,340,55,275,22.7,2024-12-29
INV000166,P02373,,W014,warehouse,252,77,385,31.5,2024-11-04
INV000167,P03719,S0123,,store,319,51,255,16.8,2024-01-17
INV000168,P02670,,W013,warehouse,222,80,400,13.9,2024-08-09
INV000169,P01965,,W028,warehouse,318,49,245,28.9,2024-04-23
INV000170,P02495,,W015,warehouse,465,21,105,66.4,2024-05-04
INV000171,P03826,,W002,warehouse,314,47,235,17.4,2024-09-20
INV000172,P01294,,W016,warehouse,250,100,500,22.7,2024-01-04
INV000173,P01667,,W030,warehouse,435,93,465,33.5,2024-07-15
INV000174,P01018,,W029,warehouse,403,48,240,403.0,2024-10-25
INV000175,P01163,,W001,warehouse,233,20,100,29.1,2024-02-27
INV000176,P02089,,W022,warehouse,453,41,205,26.6,2024-05-28
INV000177,P03909,S0134,,store,63,65,325,5.2,2024-03-09
INV000178,P03567,S0138,,store,214,32,160,214.0,2024-05-13
INV000179,P00401,S0071,,store,28,31,155,1.6,2024-12-08
INV000180,P00333,S0015,,store,124,71,355,24.8,2024-08-12
INV000181,P01642,,W004,warehouse,284,24,120,14.9,2024-01-22
INV000182,P02927,,W010,warehouse,470,81,405,470.0,2024-08-07
INV000183,P02967,,W016,warehouse,163,54,270,20.4,2024-08-11
INV000184,P04564,,W024,warehouse,262,57,285,20.2,2024-05-15
INV000185,P04265,,W029,warehouse,80,31,155,5.7,2024-08-01
INV000186,P01076,S0126,,store,61,60,300,5.5,2024-04-14
INV000187,P00833,S0107,,store,102,61,305,17.0,2024-06-11
INV000188,P03462,,W020,warehouse,336,83,415,18.7,2024-12-09
INV000189,P04222,S0010,,store,292,94,470,97.3,2024-10-13
INV000190,P03425,,W030,warehouse,247,60,300,20.6,2024-01-12
INV000191,P00963,S0137,,store,401,48,240,33.4,2024-12-18
INV000192,P01580,,W004,warehouse,148,46,230,11.4,2024-06-12
INV000193,P00511,,W026,warehouse,128,76,380,128.0,2024-01-16
INV000194,P03475,S0045,,store,218,83,415,16.8,2024-08-17
INV000195,P03635,S0035,,store,62,68,340,6.9,2024-07-11
INV000196,P03119,,W006,warehouse,157,86,430,14.3,2024-06-09
INV000197,P00350,,W002,warehouse,469,93,465,42.6,2024-10-27
INV000198,P00033,S0106,,store,48,96,480,6.0,2024-06-16
INV000199,P01986,,W025,warehouse,153,40,200,8.1,2024-10-31
INV000200,P03222,,W011,warehouse,223,83,415,14.9,2024-04-07
INV000201,P02554,,W010,warehouse,107,90,450,17.8,2024-07-29
INV000202,P00503,S0132,,store,90,68,340,6.4,2024-08-21
INV000203,P01692,,W008,warehouse,374,27,135,18.7,2024-11-07
INV000204,P04200,S0140,,store,326,39,195,17.2,2024-01-14
INV000205,P00134,,W015,warehouse,369,49,245,30.8,2024-05-14
INV000206,P00114,S0084,,store,164,22,110,18.2,2024-04-05
INV000207,P03035,,W006,warehouse,59,71,355,19.7,2024-05-08
INV000208,P04861,,W006,warehouse,473,92,460,157.7,2024-03-04
INV000209,P00340,S0134,,store,249,85,425,15.6,2024-03-17
INV000210,P02816,S0050,,store,247,37,185,22.5,2024-06-21
INV000211,P03831,,W003,warehouse,415,64,320,415.0,2024-05-06
INV000212,P04908,S0109,,store,57,64,320,7.1,2024-02-13
INV000213,P04318,S0007,,store,205,100,500,13.7,2024-10-08
INV000214,P02786,,W025,warehouse,313,69,345,18.4,2024-06-02
INV000215,P01917,S0041,,store,403,100,500,28.8,2024-06-19
INV000216,P01599,,W012,warehouse,266,36,180,66.5,2024-07-26
INV000217,P04796,,W027,warehouse,11,71,355,0.7,2024-10-22
INV000218,P00702,,W019,warehouse,50,85,425,3.8,2024-01-28
INV000219,P01307,,W001,warehouse,310,87,435,22.1,2024-09-19
INV000220,P04592,,W014,warehouse,265,28,140,18.9,2024-01-21
INV000221,P04346,S0087,,store,166,98,490,55.3,2024-11-03
INV000222,P04434,S0119,,store,134,44,220,11.2,2024-08-25
INV000223,P03709,S0003,,store,247,31,155,247.0,2024-03-10
INV000224,P02894,S0014,,store,409,53,265,29.2,2024-08-06
INV000225,P01757,S0078,,store,362,40,200,45.2,2024-10-06
INV000226,P00156,S0067,,store,369,87,435,18.4,2024-04-21
INV000227,P01488,,W027,warehouse,245,95,475,245.0,2024-11-28
INV000228,P00333,,W025,warehouse,301,60,300,33.4,2024-01-01
INV000229,P03257,,W013,warehouse,410,46,230,27.3,2024-08-13
INV000230,P03514,S0068,,store,18,22,110,1.2,2024-04-05
INV000231,P01029,S0128,,store,232,86,430,116.0,2024-12-27
INV000232,P01724,,W029,warehouse,212,49,245,15.1,2024-12-10
INV000233,P01496,S0122,,store,276,42,210,46.0,2024-03-31
INV000234,P01403,S0056,,store,86,47,235,5.1,2024-02-14
INV000235,P04787,S0127,,store,272,32,160,17.0,2024-03-04
INV000236,P02515,,W020,warehouse,317,31,155,105.7,2024-05-20
INV000237,P01783,S0150,,store,184,22,110,10.2,2024-05-09
INV000238,P00883,,W001,warehouse,452,55,275,150.7,2024-06-22
INV000239,P01284,,W016,warehouse,280,36,180,16.5,2024-07-07
INV000240,P03734,S0060,,store,475,53,265,237.5,2024-04-11
INV000241,P04488,,W006,warehouse,75,98,490,25.0,2024-03-17
INV000242,P04381,S0089,,store,351,42,210,31.9,2024-02-18
INV000243,P01827,,W030,warehouse,336,36,180,28.0,2024-04-25
INV000244,P03847,,W030,warehouse,100,35,175,6.2,2024-06-28
INV000245,P00137,,W017,warehouse,498,70,350,35.6,2024-03-25
INV000246,P04062,,W021,warehouse,288,98,490,36.0,2024-09-18
INV000247,P04736,S0048,,store,1,53,265,0.1,2024-03-17
INV000248,P00061,S0079,,store,121,100,500,7.1,2024-08-29
INV000249,P01147,,W008,warehouse,80,96,480,13.3,2024-09-12
INV000250,P01214,,W009,warehouse,323,47,235,16.1,2024-10-27
INV000251,P02581,,W001,warehouse,252,59,295,13.3,2024-11-09
INV000252,P02397,S0069,,store,433,38,190,48.1,2024-12-27
INV000253,P00145,,W026,warehouse,108,80,400,7.7,2024-08-06
INV000254,P02805,S0113,,store,227,72,360,22.7,2024-05-05
INV000255,P01611,,W001,warehouse,124,49,245,41.3,2024-06-16
INV000256,P04456,,W025,warehouse,456,47,235,65.1,2024-11-30
INV000257,P04828,S0085,,store,182,69,345,9.1,2024-11-13
INV000258,P00069,,W023,warehouse,454,27,135,113.5,2024-07-05
INV000259,P03898,S0079,,store,134,36,180,22.3,2024-05-28
INV000260,P01578,,W001,warehouse,79,33,165,4.6,2024-01-31
INV000261,P03828,S0021,,store,82,29,145,4.6,2024-01-09
INV000262,P01493,S0047,,store,7,27,135,1.0,2024-12-24
INV000263,P03751,S0047,,store,189,53,265,9.4,2024-08-06
INV000264,P04990,S0149,,store,255,65,325,12.8,2024-02-23
INV000265,P00946,S0140,,store,247,58,290,247.0,2024-09-07
INV000266,P03871,S0088,,store,100,29,145,9.1,2024-01-26
INV000267,P02200,S0083,,store,89,20,100,8.9,2024-09-22
INV000268,P00908,,W028,warehouse,326,73,365,81.5,2024-07-31
INV000269,P04912,S0063,,store,289,79,395,144.5,2024-01-30
INV000270,P00199,S0031,,store,10,94,470,1.7,2024-06-30
INV000271,P02408,,W024,warehouse,57,50,250,9.5,2024-03-15
INV000272,P01772,S0007,,store,87,44,220,4.3,2024-03-19
INV000273,P03571,S0018,,store,381,89,445,25.4,2024-06-29
INV000274,P03268,,W016,warehouse,199,91,455,49.8,2024-02-25
INV000275,P02460,,W014,warehouse,63,25,125,5.7,2024-05-21
INV000276,P03107,S0076,,store,6,49,245,0.5,2024-10-23
INV000277,P04836,S0110,,store,82,36,180,13.7,2024-06-15
INV000278,P03831,S0030,,store,55,58,290,3.4,2024-01-31
INV000279,P01649,S0024,,store,126,33,165,42.0,2024-07-21
INV000280,P03466,S0058,,store,450,60,300,150.0,2024-08-27
INV000281,P00975,S0043,,store,432,96,480,48.0,2024-01-01
INV000282,P00468,S0042,,store,107,51,255,15.3,2024-06-29
INV000283,P02957,S0070,,store,200,50,250,18.2,2024-08-07
INV000284,P00135,S0004,,store,66,25,125,13.2,2024-12-19
INV000285,P04268,S0138,,store,274,59,295,19.6,2024-12-19
INV000286,P04288,,W017,warehouse,322,59,295,23.0,2024-04-17
INV000287,P02717,S0091,,store,36,99,495,18.0,2024-10-01
INV000288,P01582,S0022,,store,0,66,330,0.0,2024-01-03
INV000289,P02586,S0076,,store,61,41,205,8.7,2024-12-01
INV000290,P04599,,W030,warehouse,310,22,110,15.5,2024-07-11
INV000291,P03693,,W028,warehouse,462,73,365,57.8,2024-11-26
INV000292,P04354,S0019,,store,423,81,405,60.4,2024-05-03
INV000293,P03636,,W010,warehouse,334,36,180,25.7,2024-11-20
INV000294,P04397,S0149,,store,410,38,190,20.5,2024-05-15
INV000295,P02503,S0044,,store,364,83,415,33.1,2024-12-21
INV000296,P04306,S0024,,store,302,56,280,17.8,2024-10-30
INV000297,P04733,S0059,,store,125,64,320,41.7,2024-02-26
INV000298,P02869,S0057,,store,406,52,260,36.9,2024-08-07
INV000299,P03024,S0102,,store,60,89,445,4.3,2024-07-29
INV000300,P03524,S0115,,store,73,97,485,3.8,2024-09-02
INV000301,P02219,S0101,,store,286,25,125,71.5,2024-03-19
INV000302,P03166,S0021,,store,401,23,115,133.7,2024-05-08
INV000303,P02925,S0024,,store,232,37,185,11.6,2024-10-20
INV000304,P03032,S0097,,store,39,53,265,2.1,2024-08-25
INV000305,P00855,S0133,,store,104,94,470,13.0,2024-10-02
INV000306,P00677,S0085,,store,385,43,215,77.0,2024-08-02
INV000307,P01235,S0070,,store,218,34,170,72.7,2024-10-26
INV000308,P01623,S0067,,store,109,98,490,7.8,2024-06-02
INV000309,P03747,,W003,warehouse,244,65,325,48.8,2024-04-23
INV000310,P00848,S0058,,store,431,65,325,53.9,2024-12-19
INV000311,P02451,,W002,warehouse,438,63,315,73.0,2024-04-28
INV000312,P03857,S0116,,store,63,50,250,3.7,2024-02-25
INV000313,P03986,S0026,,store,236,25,125,47.2,2024-03-18
INV000314,P00792,S0091,,store,159,71,355,19.9,2024-07-22
INV000315,P04091,,W027,warehouse,417,65,325,24.5,2024-01-27
INV000316,P04776,,W014,warehouse,178,23,115,11.1,2024-03-19
INV000317,P04455,,W024,warehouse,227,66,330,11.9,2024-12-22
INV000318,P02427,,W001,warehouse,308,99,495,19.2,2024-08-25
INV000319,P00103,,W023,warehouse,445,62,310,222.5,2024-06-13
INV000320,P04449,S0024,,store,134,91,455,44.7,2024-02-20
INV000321,P00892,S0080,,store,213,90,450,42.6,2024-09-20
INV000322,P03896,,W015,warehouse,38,55,275,2.4,2024-05-12
INV000323,P00753,S0018,,store,268,33,165,134.0,2024-02-09
INV000324,P04252,,W001,warehouse,292,36,180,36.5,2024-12-31
INV000325,P03598,,W001,warehouse,313,79,395,313.0,2024-08-20
INV000326,P03862,S0131,,store,333,67,335,83.2,2024-03-12
INV000327,P01272,S0088,,store,141,25,125,17.6,2024-10-19
INV000328,P04913,S0054,,store,160,98,490,53.3,2024-04-29
INV000329,P03666,S0106,,store,134,49,245,7.4,2024-12-08
INV000330,P03949,S0136,,store,306,98,490,27.8,2024-10-06
INV000331,P02406,S0089,,store,444,90,450,444.0,2024-08-03
INV000332,P02747,,W009,warehouse,190,80,400,9.5,2024-08-17
INV000333,P01279,S0149,,store,80,48,240,20.0,2024-11-18
INV000334,P03681,S0059,,store,259,43,215,43.2,2024-10-12
INV000335,P03480,,W016,warehouse,138,83,415,6.9,2024-09-10
INV000336,P03260,,W010,warehouse,332,56,280,36.9,2024-06-18
INV000337,P03300,,W013,warehouse,372,71,355,33.8,2024-12-14
INV000338,P01854,S0150,,store,425,47,235,21.2,2024-02-28
INV000339,P02932,,W005,warehouse,439,76,380,21.9,2024-03-29
INV000340,P04989,S0148,,store,116,91,455,8.3,2024-12-29
INV000341,P02718,S0005,,store,170,25,125,15.5,2024-08-25
INV000342,P00613,S0032,,store,262,85,425,15.4,2024-06-07
INV000343,P03079,,W011,warehouse,3,88,440,0.4,2024-09-01
INV000344,P03243,S0112,,store,19,65,325,1.1,2024-12-01
INV000345,P02482,,W005,warehouse,473,54,270,27.8,2024-05-24
INV000346,P02118,,W006,warehouse,466,40,200,24.5,2024-08-27
INV000347,P01607,S0022,,store,209,29,145,12.3,2024-02-01
INV000348,P03355,S0068,,store,437,32,160,39.7,2024-08-23
INV000349,P00116,S0009,,store,372,46,230,53.1,2024-04-16
INV000350,P02970,S0131,,store,396,68,340,24.8,2024-09-06
INV000351,P00671,S0119,,store,207,53,265,69.0,2024-01-29
INV000352,P03048,S0063,,store,216,61,305,24.0,2024-06-21
INV000353,P01960,,W023,warehouse,410,66,330,102.5,2024-02-26
INV000354,P04513,S0007,,store,433,37,185,61.9,2024-02-24
INV000355,P04789,S0134,,store,184,80,400,10.2,2024-11-11
INV000356,P02881,S0039,,store,385,86,430,64.2,2024-02-24
INV000357,P01200,S0068,,store,430,39,195,86.0,2024-01-08
INV000358,P00857,S0006,,store,234,31,155,21.3,2024-02-15
INV000359,P00980,S0114,,store,99,100,500,5.0,2024-06-23
INV000360,P00675,,W027,warehouse,158,32,160,9.9,2024-10-18
INV000361,P00755,S0096,,store,17,24,120,0.8,2024-05-11
INV000362,P02190,,W009,warehouse,267,90,450,14.8,2024-09-09
INV000363,P04395,S0077,,store,241,45,225,30.1,2024-12-14
INV000364,P02524,,W030,warehouse,249,58,290,83.0,2024-12-08
INV000365,P00712,,W021,warehouse,329,59,295,82.2,2024-01-21
INV000366,P02989,S0125,,store,11,26,130,5.5,2024-05-08
INV000367,P02859,S0122,,store,409,25,125,40.9,2024-12-06
INV000368,P04238,S0114,,store,68,32,160,9.7,2024-03-10
INV000369,P02374,S0094,,store,318,100,500,24.5,2024-01-10
INV000370,P01699,,W020,warehouse,27,73,365,13.5,2024-07-22
INV000371,P00517,S0123,,store,226,80,400,25.1,2024-05-05
INV000372,P03483,S0030,,store,483,75,375,161.0,2024-11-16
INV000373,P00051,S0124,,store,343,72,360,171.5,2024-02-09
INV000374,P01406,,W015,warehouse,468,62,310,117.0,2024-08-13
INV000375,P03756,,W017,warehouse,25,91,455,4.2,2024-02-28
INV000376,P01660,S0012,,store,105,90,450,17.5,2024-09-29
INV000377,P03975,,W007,warehouse,2,23,115,0.2,2024-02-22
INV000378,P01647,,W003,warehouse,8,20,100,0.4,2024-11-23
INV000379,P04504,,W006,warehouse,463,21,105,57.9,2024-08-06
INV000380,P04666,,W008,warehouse,213,39,195,35.5,2024-07-26
INV000381,P04959,S0035,,store,189,64,320,189.0,2024-12-13
INV000382,P02631,S0118,,store,309,37,185,309.0,2024-12-25
INV000383,P01050,,W004,warehouse,450,54,270,40.9,2024-01-05
INV000384,P02285,,W012,warehouse,128,66,330,64.0,2024-08-21
INV000385,P00166,,W002,warehouse,199,31,155,11.1,2024-03-08
INV000386,P01747,S0126,,store,352,50,250,117.3,2024-08-20
INV000387,P02912,S0068,,store,125,33,165,17.9,2024-03-23
INV000388,P00574,S0012,,store,381,88,440,34.6,2024-08-05
INV000389,P01263,S0070,,store,122,62,310,12.2,2024-12-30
INV000390,P00896,,W013,warehouse,210,40,200,52.5,2024-05-13
INV000391,P01303,S0115,,store,60,61,305,3.5,2024-05-12
INV000392,P01301,,W019,warehouse,399,40,200,24.9,2024-11-29
INV000393,P01349,S0066,,store,366,80,400,45.8,2024-03-17
INV000394,P01218,S0092,,store,389,24,120,129.7,2024-12-13
INV000395,P03730,,W016,warehouse,291,73,365,48.5,2024-11-11
INV000396,P02256,S0036,,store,208,36,180,13.9,2024-11-16
INV000397,P00682,S0003,,store,213,71,355,30.4,2024-07-13
INV000398,P00485,S0060,,store,121,37,185,7.1,2024-10-06
INV000399,P00438,S0057,,store,326,26,130,16.3,2024-10-01
INV000400,P00791,S0125,,store,493,26,130,493.0,2024-04-08
INV000401,P03183,,W014,warehouse,265,96,480,29.4,2024-10-07
INV000402,P00623,,W021,warehouse,460,83,415,46.0,2024-12-16
INV000403,P03462,,W001,warehouse,231,96,480,28.9,2024-08-05
INV000404,P01846,S0145,,store,411,60,300,45.7,2024-11-04
INV000405,P04271,S0118,,store,139,69,345,11.6,2024-01-18
INV000406,P03847,,W019,warehouse,149,24,120,7.5,2024-08-04
INV000407,P00462,S0134,,store,284,40,200,47.3,2024-04-04
INV000408,P00622,,W019,warehouse,468,25,125,29.2,2024-02-27
INV000409,P03060,S0040,,store,328,41,205,18.2,2024-07-11
INV000410,P04647,,W026,warehouse,213,44,220,19.4,2024-10-15
