ticket_id,customer_id,order_id,category,priority,description,status,channel,created_at,resolved_at,agent_id,csat_score
TKT000120,C02007,ORD0011012,Delivery Delay,High,I need help with my account login.,In Progress,Chat,2023-04-13 10:00:00,2023-04-14 01:00:00,E00132,
TKT000121,C01987,ORD0155161,Wrong Item,High,I received the wrong product.,Open,Chat,2024-01-20 20:00:00,2024-01-22 00:00:00,E01362,1.0
TKT000122,C07402,ORD0066015,Return & Refund,Medium,I received the wrong product.,Closed,Email,2023-06-02 12:00:00,2023-06-05 17:00:00,E02109,4.0
TKT000123,C08505,ORD0053060,Account Issue,Medium,My payment was deducted but order not confirmed.,Resolved,Chat,2024-12-24 10:00:00,2024-12-25 19:00:00,E00267,2.0
TKT000124,C03466,ORD0043741,Payment Problem,Medium,Delivery is delayed.,Resolved,WhatsApp,2024-10-04 05:00:00,2024-10-07 12:00:00,E00077,4.0
TKT000125,C09864,ORD0058292,Wrong Item,High,I received the wrong product.,Resolved,Phone,2024-12-05 03:00:00,2024-12-09 22:00:00,E01045,4.0
TKT000126,C08143,ORD0068938,Delivery Delay,Critical,I received the wrong product.,Resolved,Chat,2023-09-24 21:00:00,2023-09-26 21:00:00,E00801,
TKT000127,C05088,ORD0060068,Order Issue,Low,The product quality is very poor.,In Progress,Email,2024-01-13 00:00:00,2024-01-14 15:00:00,E01558,3.0
TKT000128,C03846,ORD0188632,Delivery Delay,Low,Discount coupon not applied.,Resolved,Chat,2022-11-13 10:00:00,2022-11-13 14:00:00,E01078,
TKT000129,C02095,ORD0004547,Account Issue,High,I received the wrong product.,In Progress,WhatsApp,2024-07-26 08:00:00,2024-07-27 16:00:00,E00285,
TKT000130,C01487,ORD0148633,Delivery Delay,Low,My order has not arrived yet.,Resolved,Email,2022-08-26 17:00:00,2022-08-27 21:00:00,E02354,
TKT000131,C07275,ORD0021311,Payment Problem,High,My payment was deducted but order not confirmed.,Resolved,Chat,2024-01-24 02:00:00,2024-01-25 03:00:00,E01595,5.0
TKT000132,C01676,ORD0066915,Account Issue,Medium,I received the wrong product.,Open,Chat,2022-06-19 03:00:00,2022-06-21 00:00:00,E01329,4.0
TKT000133,C08043,ORD0160097,Wrong Item,Low,I need help with my account login.,Closed,Chat,2024-06-01 17:00:00,2024-06-03 11:00:00,E01867,
TKT000134,C06444,ORD0099862,Return & Refund,Low,The size I received is different from what I ordered.,Escalated,Email,2023-04-01 07:00:00,2023-04-01 14:00:00,E01282,5.0
TKT000135,C05094,ORD0079638,Payment Problem,Medium,My payment was deducted but order not confirmed.,Resolved,Email,2024-07-15 09:00:00,2024-07-19 10:00:00,E02199,
TKT000136,C06731,ORD0049474,Payment Problem,Medium,Product is damaged.,Resolved,WhatsApp,2024-01-01 10:00:00,2024-01-04 08:00:00,E01456,3.0
TKT000137,C00115,ORD0042426,Product Quality,High,The size I received is different from what I ordered.,Closed,Chat,2023-10-18 08:00:00,2023-10-19 03:00:00,E01517,4.0
TKT000138,C08900,ORD0178771,Payment Problem,Medium,My order has not arrived yet.,Resolved,WhatsApp,2024-07-05 21:00:00,2024-07-09 13:00:00,E00727,
TKT000139,C06567,ORD0034203,Payment Problem,Medium,The product quality is very poor.,Resolved,Email,2022-09-10 16:00:00,2022-09-13 01:00:00,E01609,5.0
TKT000140,C05009,ORD0090409,Size Exchange,Medium,My payment was deducted but order not confirmed.,Closed,WhatsApp,2024-05-05 05:00:00,2024-05-05 12:00:00,E01918,3.0
TKT000141,C04486,ORD0177102,Product Quality,High,I need help with my account login.,Resolved,Email,2022-01-14 01:00:00,2022-01-17 21:00:00,E02309,
TKT000142,C04161,ORD0032337,Payment Problem,Medium,I want to return the item.,Resolved,WhatsApp,2024-02-01 05:00:00,2024-02-02 00:00:00,E02002,2.0
TKT000143,C05567,ORD0103799,Return & Refund,Critical,The size I received is different from what I ordered.,Resolved,WhatsApp,2024-10-17 01:00:00,2024-10-18 08:00:00,E01378,4.0
TKT000144,C06768,ORD0046354,Return & Refund,High,The size I received is different from what I ordered.,Closed,Phone,2022-10-09 22:00:00,2022-10-12 10:00:00,E00526,2.0
TKT000145,C02053,ORD0142223,Wrong Item,Medium,My order has not arrived yet.,Resolved,WhatsApp,2024-06-18 18:00:00,2024-06-19 04:00:00,E00779,3.0
TKT000146,C09865,ORD0145028,Account Issue,High,Delivery is delayed.,Resolved,Email,2023-03-30 13:00:00,2023-03-31 21:00:00,E00172,4.0
TKT000147,C06536,ORD0030469,Payment Problem,Medium,Product is damaged.,In Progress,Phone,2024-11-15 01:00:00,2024-11-16 04:00:00,E02033,5.0
TKT000148,C04226,ORD0112146,Product Quality,Medium,The size I received is different from what I ordered.,Escalated,Phone,2023-05-03 08:00:00,2023-05-03 10:00:00,E01039,4.0
TKT000149,C08365,ORD0044925,Account Issue,High,The size I received is different from what I ordered.,In Progress,Chat,2024-09-10 20:00:00,2024-09-13 01:00:00,E00441,4.0
TKT000150,C08581,ORD0049542,Size Exchange,Low,My payment was deducted but order not confirmed.,Resolved,Email,2023-09-08 20:00:00,2023-09-12 12:00:00,E01119,4.0
TKT000151,C00656,ORD0006008,Size Exchange,Medium,I want to return the item.,Closed,Phone,2023-06-14 17:00:00,2023-06-15 07:00:00,E00840,
TKT000152,C07494,ORD0158509,Wrong Item,High,Delivery is delayed.,Open,Chat,2024-05-25 06:00:00,2024-05-30 04:00:00,E00941,4.0
TKT000153,C09444,ORD0050303,Account Issue,Low,My payment was deducted but order not confirmed.,Resolved,Chat,2024-05-15 15:00:00,2024-05-18 23:00:00,E02254,
TKT000154,C07695,ORD0195113,Delivery Delay,Low,I need help with my account login.,In Progress,WhatsApp,2022-05-20 04:00:00,2022-05-22 16:00:00,E02333,3.0
TKT000155,C03159,ORD0036353,Return & Refund,Medium,The product quality is very poor.,Resolved,Phone,2022-01-14 04:00:00,2022-01-16 04:00:00,E01240,3.0
TKT000156,C02339,ORD0015917,Delivery Delay,High,The size I received is different from what I ordered.,Open,Email,2023-05-04 01:00:00,2023-05-08 00:00:00,E00882,
TKT000157,C03818,ORD0133896,Order Issue,Low,The product quality is very poor.,Resolved,Phone,2023-05-23 11:00:00,2023-05-24 20:00:00,E01949,3.0
TKT000158,C01228,ORD0075525,Product Quality,High,Delivery is delayed.,Resolved,Chat,2023-11-28 01:00:00,2023-11-28 16:00:00,E01122,4.0
TKT000159,C06023,ORD0085495,Payment Problem,Low,I want to return the item.,Resolved,WhatsApp,2024-08-08 23:00:00,2024-08-11 11:00:00,E01325,4.0
TKT000160,C00787,ORD0094738,Account Issue,Low,Delivery is delayed.,Resolved,Email,2022-12-02 02:00:00,2022-12-05 06:00:00,E00941,4.0
TKT000161,C08401,ORD0138832,Payment Problem,Medium,Discount coupon not applied.,Resolved,Email,2022-03-12 01:00:00,2022-03-16 01:00:00,E01802,
TKT000162,C05381,ORD0072643,Delivery Delay,High,Product is damaged.,Resolved,Email,2023-05-15 03:00:00,2023-05-16 09:00:00,E01614,
TKT000163,C07890,ORD0012393,Product Quality,Medium,My order has not arrived yet.,Resolved,Phone,2024-07-29 16:00:00,2024-07-31 14:00:00,E00067,5.0
TKT000164,C01021,ORD0028207,Payment Problem,Low,The product quality is very poor.,Resolved,Email,2024-03-11 07:00:00,2024-03-12 06:00:00,E01664,5.0
TKT000165,C08811,ORD0157762,Return & Refund,Low,I need help with my account login.,In Progress,Email,2023-01-02 08:00:00,2023-01-05 07:00:00,E02237,4.0
TKT000166,C04426,ORD0189460,Wrong Item,Low,The product quality is very poor.,Resolved,WhatsApp,2024-11-11 16:00:00,2024-11-16 06:00:00,E02165,3.0
TKT000167,C04431,ORD0119702,Product Quality,High,I want to return the item.,In Progress,WhatsApp,2023-07-06 05:00:00,2023-07-07 09:00:00,E01196,
TKT000168,C04945,ORD0011556,Account Issue,High,I received the wrong product.,Closed,WhatsApp,2024-09-15 10:00:00,2024-09-17 01:00:00,E02225,4.0
TKT000169,C04652,ORD0176720,Size Exchange,High,Delivery is delayed.,Open,Chat,2022-01-26 11:00:00,2022-01-26 23:00:00,E02130,2.0
TKT000170,C03880,ORD0002821,Product Quality,Medium,I want to return the item.,Resolved,Email,2022-12-02 23:00:00,2022-12-05 23:00:00,E00098,3.0
TKT000171,C04694,ORD0161914,Order Issue,Medium,I need help with my account login.,Resolved,Email,2024-12-25 01:00:00,2024-12-29 06:00:00,E01808,5.0
TKT000172,C09218,ORD0116036,Return & Refund,High,The product quality is very poor.,Escalated,Chat,2022-12-01 22:00:00,2022-12-05 17:00:00,E00769,4.0
TKT000173,C04283,ORD0040104,Size Exchange,Low,I need help with my account login.,Resolved,Email,2023-09-04 10:00:00,2023-09-09 08:00:00,E01908,4.0
TKT000174,C06846,ORD0121476,Wrong Item,Medium,My payment was deducted but order not confirmed.,Closed,Chat,2024-11-30 18:00:00,2024-12-03 03:00:00,E00702,4.0
