order_id,customer_id,product_id,store_id,quantity,unit_price,total_amount,order_date,estimated_delivery,actual_delivery,status,delivery_city,shipping_fee
ORD0000100,C00148,P02122,S0146,3,6143,18429,2024-06-15,2024-06-23,2024-06-26,Delivered,Bengaluru,49
ORD0000101,C09049,P01603,S0037,1,12473,12473,2023-09-05,2023-09-12,2023-09-13,Delivered,Ahmedabad,0
ORD0000102,C04568,P02661,S0061,2,227,454,2023-07-22,2023-07-29,2023-07-29,Delivered,Patna,0
ORD0000103,C04669,P04416,S0041,3,4874,14622,2024-05-28,2024-05-30,2024-06-01,Returned,Jaipur,0
ORD0000104,C06356,P00028,S0095,3,5141,15423,2023-01-13,2023-01-23,2023-01-23,Delivered,Ludhiana,0
ORD0000105,C09656,P00487,S0150,2,11895,23790,2023-11-26,2023-12-06,2023-12-10,Delivered,Delhi,0
ORD0000106,C03700,P01497,S0006,3,4624,13872,2022-11-14,2022-11-19,2022-11-23,Delivered,Lucknow,99
ORD0000107,C06616,P00276,,1,3887,3887,2024-10-19,2024-10-23,2024-10-27,Delivered,Surat,0
ORD0000108,C04077,P00597,S0079,1,1239,1239,2022-09-24,2022-09-28,2022-09-29,Delivered,Patna,49
ORD0000109,C04020,P04027,S0149,3,695,2085,2023-07-31,2023-08-03,2023-08-06,Confirmed,Hyderabad,0
ORD0000110,C08752,P02658,S0139,2,504,1008,2022-07-04,2022-07-07,2022-07-10,Delivered,Lucknow,0
ORD0000111,C05927,P01321,S0029,2,556,1112,2023-06-27,2023-07-06,2023-07-10,Delivered,Bhopal,0
ORD0000112,C08805,P00317,S0019,2,555,1110,2024-12-10,2024-12-18,2024-12-21,Returned,Kochi,99
ORD0000113,C05536,P03919,S0141,1,1430,1430,2022-12-06,2022-12-14,2022-12-13,Delivered,Ludhiana,49
ORD0000114,C08461,P02644,S0104,2,1456,2912,2024-11-15,2024-11-24,2024-11-26,Delivered,Chandigarh,0
ORD0000115,C01496,P02103,S0033,2,5854,11708,2024-07-26,2024-07-31,2024-08-05,Delivered,Delhi,0
ORD0000116,C07575,P03859,S0089,2,11262,22524,2024-03-26,2024-04-01,2024-04-05,Shipped,Hyderabad,49
ORD0000117,C03136,P01604,S0013,3,371,1113,2023-11-12,2023-11-22,2023-11-24,Cancelled,Nagpur,49
ORD0000118,C07326,P01606,S0109,1,1795,1795,2023-03-21,2023-03-29,2023-04-03,Delivered,Lucknow,0
ORD0000119,C04647,P02150,S0094,3,12150,36450,2022-11-02,2022-11-07,2022-11-12,Delivered,Surat,49
ORD0000120,C04775,P03287,S0110,2,999,1998,2024-03-05,2024-03-10,2024-03-15,Delivered,Vadodara,0
ORD0000121,C09989,P02544,S0011,3,656,1968,2024-01-08,2024-01-12,2024-01-11,Cancelled,Indore,49
ORD0000122,C03945,P02167,S0014,1,4194,4194,2023-10-15,2023-10-25,2023-10-24,Confirmed,Chennai,0
ORD0000123,C00348,P02614,S0112,3,2752,8256,2024-06-06,2024-06-09,2024-06-09,Delivered,Jaipur,0
ORD0000124,C03234,P00566,S0135,3,4053,12159,2023-10-25,2023-10-31,2023-11-01,Shipped,Ludhiana,49
ORD0000125,C04727,P03090,S0141,3,445,1335,2023-02-25,2023-03-03,2023-03-02,Delivered,Bengaluru,0
ORD0000126,C00874,P01124,S0019,1,570,570,2024-08-05,2024-08-09,2024-08-08,Delivered,Agra,99
ORD0000127,C08372,P04921,S0074,2,4888,9776,2024-02-04,2024-02-06,2024-02-05,Delivered,Ahmedabad,49
ORD0000128,C06647,P00672,S0034,3,1032,3096,2023-04-26,2023-05-02,2023-05-04,Shipped,Nagpur,49
ORD0000129,C03502,P03494,S0101,2,683,1366,2022-11-23,2022-12-02,2022-12-04,Delivered,Jaipur,0
ORD0000130,C09375,P03468,S0106,3,1917,5751,2023-01-06,2023-01-12,2023-01-16,Delivered,Kolkata,49
ORD0000131,C04544,P00564,S0025,3,150,450,2024-02-06,2024-02-15,2024-02-17,Delivered,Patna,49
ORD0000132,C01486,P03700,S0014,1,3457,3457,2024-10-30,2024-11-02,2024-11-04,Delivered,Pune,49
ORD0000133,C00400,P02962,S0066,1,3950,3950,2022-02-11,2022-02-21,2022-02-21,Delivered,Chennai,0
ORD0000134,C02254,P01429,S0054,2,5437,10874,2022-11-14,2022-11-23,2022-11-24,Delivered,Agra,49
ORD0000135,C01311,P04614,S0072,1,10067,10067,2024-06-26,2024-07-04,2024-07-09,Confirmed,Chennai,49
ORD0000136,C01839,P00119,S0092,2,4654,9308,2022-01-24,2022-02-02,2022-02-01,Delivered,Chennai,0
ORD0000137,C04179,P00708,S0091,2,2442,4884,2022-10-14,2022-10-22,2022-10-22,Delivered,Mumbai,0
ORD0000138,C00248,P02359,S0130,1,449,449,2023-11-05,2023-11-15,2023-11-17,Delivered,Surat,0
ORD0000139,C09115,P02878,S0006,1,2277,2277,2023-02-01,2023-02-10,2023-02-12,Shipped,Ludhiana,99
ORD0000140,C06595,P02960,S0131,2,4429,8858,2023-07-05,2023-07-08,2023-07-07,Delivered,Indore,99
ORD0000141,C01880,P01809,S0104,1,7805,7805,2023-09-27,2023-10-03,2023-10-04,Delivered,Pune,99
ORD0000142,C05434,P01997,S0111,3,5949,17847,2024-09-03,2024-09-09,2024-09-11,Delivered,Indore,99
ORD0000143,C03516,P03973,S0098,3,4742,14226,2022-04-01,2022-04-09,2022-04-12,Shipped,Vadodara,0
ORD0000144,C08637,P00228,S0107,1,7747,7747,2022-08-04,2022-08-06,2022-08-07,Delivered,Patna,0
ORD0000145,C01818,P03057,S0117,1,7270,7270,2024-05-04,2024-05-11,2024-05-13,Delivered,Lucknow,0
ORD0000146,C01082,P02745,S0112,1,591,591,2024-06-27,2024-07-04,2024-07-03,Confirmed,Patna,99
ORD0000147,C04290,P01158,S0130,3,420,1260,2023-03-02,2023-03-05,2023-03-09,Delivered,Hyderabad,99
ORD0000148,C06341,P03909,S0105,2,682,1364,2022-05-30,2022-06-05,2022-06-09,Confirmed,Ahmedabad,49
ORD0000149,C00518,P01590,S0087,2,1972,3944,2024-01-28,2024-01-31,2024-02-03,Delivered,Surat,0
ORD0000150,C01977,P01787,S0020,2,7920,15840,2024-12-24,2025-01-01,2025-01-03,Shipped,Delhi,49
ORD0000151,C00221,P03224,S0147,1,7308,7308,2023-09-29,2023-10-07,2023-10-12,Delivered,Patna,0
ORD0000152,C04443,P03242,S0017,2,390,780,2022-07-19,2022-07-22,2022-07-25,Delivered,Indore,49
ORD0000153,C00753,P04489,S0050,2,771,1542,2022-12-11,2022-12-18,2022-12-23,Delivered,Bengaluru,99
ORD0000154,C07709,P02968,S0131,3,4608,13824,2023-06-30,2023-07-02,2023-07-06,Delivered,Vadodara,0
ORD0000155,C09990,P01808,S0036,2,4870,9740,2024-09-21,2024-09-26,2024-09-29,Delivered,Bhopal,49
ORD0000156,C07450,P00969,S0044,2,4871,9742,2023-08-12,2023-08-17,2023-08-17,Returned,Kochi,0
ORD0000157,C06771,P01363,S0117,2,1555,3110,2022-11-21,2022-11-24,2022-11-28,Cancelled,Patna,49
ORD0000158,C02336,P03456,S0028,2,565,1130,2024-05-01,2024-05-10,2024-05-12,Shipped,Kolkata,0
ORD0000159,C07482,P03157,S0053,2,4029,8058,2023-01-15,2023-01-25,2023-01-24,Delivered,Kochi,0
ORD0000160,C04163,P01628,S0045,3,4511,13533,2022-11-06,2022-11-12,2022-11-11,Shipped,Pune,0
ORD0000161,C02649,P00976,S0023,3,4048,12144,2024-10-13,2024-10-18,2024-10-19,Delivered,Kochi,0
ORD0000162,C00824,P03487,S0056,3,2016,6048,2024-08-20,2024-08-22,2024-08-25,Shipped,Lucknow,99
ORD0000163,C09442,P03029,S0053,1,6963,6963,2024-09-21,2024-09-29,2024-09-29,Delivered,Bengaluru,49
ORD0000164,C03040,P03061,S0023,1,5620,5620,2022-07-04,2022-07-09,2022-07-09,Shipped,Indore,49
ORD0000165,C04095,P03012,S0055,2,7645,15290,2024-07-04,2024-07-07,2024-07-08,Shipped,Chandigarh,0
ORD0000166,C09641,P00022,S0150,3,3122,9366,2024-06-13,2024-06-23,2024-06-26,Shipped,Chandigarh,0
ORD0000167,C03493,P01368,S0118,1,7273,7273,2024-02-04,2024-02-14,2024-02-14,Delivered,Surat,0
ORD0000168,C01790,P04183,S0011,2,3564,7128,2023-07-09,2023-07-19,2023-07-23,Placed,Bhopal,0
ORD0000169,C00036,P01584,S0090,2,2590,5180,2023-08-16,2023-08-24,2023-08-26,Delivered,Kolkata,49
ORD0000170,C05002,P00630,S0001,1,4802,4802,2024-08-18,2024-08-26,2024-08-28,Confirmed,Patna,0
ORD0000171,C06411,P02547,S0065,2,781,1562,2024-09-29,2024-10-09,2024-10-09,Shipped,Nagpur,0
ORD0000172,C02275,P00257,S0102,2,1274,2548,2022-01-12,2022-01-16,2022-01-18,Delivered,Bhopal,0
ORD0000173,C04938,P04852,S0110,1,360,360,2024-09-16,2024-09-21,2024-09-23,Delivered,Delhi,49
ORD0000174,C04354,P01751,S0052,1,401,401,2023-11-03,2023-11-08,2023-11-13,Delivered,Vadodara,99
ORD0000175,C08368,P00948,S0076,3,7289,21867,2023-10-17,2023-10-27,2023-10-26,Shipped,Chennai,49
ORD0000176,C00773,P00796,S0149,2,3875,7750,2023-02-15,2023-02-17,2023-02-18,Delivered,Chandigarh,0
ORD0000177,C03428,P01357,S0057,2,6122,12244,2022-07-20,2022-07-29,2022-08-03,Delivered,Lucknow,0
ORD0000178,C08567,P00542,S0071,3,301,903,2022-06-07,2022-06-16,2022-06-18,Delivered,Lucknow,99
ORD0000179,C05262,P02997,S0070,2,1449,2898,2024-07-20,2024-07-30,2024-07-29,Delivered,Vadodara,0
ORD0000180,C02136,P00037,S0134,2,1972,3944,2022-10-25,2022-11-03,2022-11-07,Delivered,Vadodara,0
ORD0000181,C03030,P04152,S0053,1,1581,1581,2023-11-26,2023-12-06,2023-12-08,Returned,Kolkata,0
ORD0000182,C03942,P04349,S0016,1,167,167,2023-05-05,2023-05-14,2023-05-13,Delivered,Chandigarh,99
ORD0000183,C04208,P04831,S0138,2,11287,22574,2023-02-22,2023-02-25,2023-02-24,Shipped,Indore,0
ORD0000184,C08013,P01559,S0043,2,6762,13524,2024-03-10,2024-03-13,2024-03-13,Delivered,Patna,99
ORD0000185,C05367,P02968,S0039,1,4608,4608,2024-04-03,2024-04-07,2024-04-07,Delivered,Vadodara,49
ORD0000186,C04434,P01761,S0149,2,9528,19056,2023-05-16,2023-05-20,2023-05-20,Delivered,Chandigarh,0
ORD0000187,C08069,P04813,S0092,1,188,188,2022-02-16,2022-02-25,2022-02-27,Delivered,Vadodara,99
ORD0000188,C03027,P04622,S0121,2,3971,7942,2024-11-02,2024-11-04,2024-11-03,Placed,Surat,49
ORD0000189,C04275,P04371,S0115,2,2046,4092,2024-12-05,2024-12-13,2024-12-12,Placed,Mumbai,99
ORD0000190,C01664,P01882,S0145,2,820,1640,2023-11-26,2023-12-05,2023-12-09,Shipped,Chennai,49
ORD0000191,C08575,P04659,S0133,3,4743,14229,2022-07-17,2022-07-24,2022-07-29,Delivered,Bengaluru,49
ORD0000192,C03242,P03459,S0138,1,4099,4099,2023-02-24,2023-03-05,2023-03-04,Delivered,Delhi,0
ORD0000193,C05279,P02382,S0098,1,3331,3331,2022-04-09,2022-04-17,2022-04-21,Confirmed,Delhi,49
ORD0000194,C02619,P02274,S0011,3,4825,14475,2022-04-26,2022-05-06,2022-05-06,Cancelled,Surat,0
ORD0000195,C06815,P01671,S0014,3,442,1326,2023-06-15,2023-06-23,2023-06-26,Confirmed,Kochi,0
ORD0000196,C03523,P00698,S0012,1,3842,3842,2023-05-06,2023-05-15,2023-05-16,Delivered,Nagpur,0
ORD0000197,C01086,P02237,S0086,1,2011,2011,2022-07-02,2022-07-09,2022-07-13,Shipped,Agra,49
ORD0000198,C06103,P03670,S0080,1,784,784,2024-06-22,2024-06-27,2024-06-28,Shipped,Chandigarh,0
ORD0000199,C04606,P02480,S0116,2,3089,6178,2022-09-02,2022-09-10,2022-09-10,Delivered,Nagpur,0
ORD0000200,C04802,P00083,S0075,2,2234,4468,2024-05-24,2024-05-29,2024-05-29,Delivered,Chandigarh,99
ORD0000201,C05542,P01199,S0013,1,2651,2651,2023-07-21,2023-07-27,2023-07-30,Delivered,Chennai,0
ORD0000202,C06885,P03117,S0147,1,4670,4670,2022-03-28,2022-04-06,2022-04-07,Shipped,Mumbai,99
ORD0000203,C05690,P03853,S0071,3,4684,14052,2022-03-16,2022-03-18,2022-03-18,Delivered,Bengaluru,49
ORD0000204,C02757,P04075,S0080,1,4971,4971,2024-01-19,2024-01-23,2024-01-24,Delivered,Pune,0
ORD0000205,C08981,P04375,S0009,3,1926,5778,2022-07-09,2022-07-12,2022-07-15,Shipped,Patna,0
ORD0000206,C00273,P00920,S0045,1,1522,1522,2024-11-07,2024-11-17,2024-11-22,Confirmed,Kochi,0
ORD0000207,C04083,P04849,S0136,2,729,1458,2023-05-12,2023-05-14,2023-05-19,Delivered,Ahmedabad,0
ORD0000208,C02604,P02044,S0007,2,2475,4950,2023-04-09,2023-04-16,2023-04-18,Shipped,Mumbai,49
ORD0000209,C06108,P02310,S0095,3,692,2076,2022-10-21,2022-10-30,2022-10-29,Delivered,Surat,0
ORD0000210,C02827,P02407,S0149,2,2038,4076,2022-02-01,2022-02-09,2022-02-09,Delivered,Bengaluru,49
ORD0000211,C06186,P00608,S0054,1,1509,1509,2024-05-29,2024-06-08,2024-06-10,Delivered,Mumbai,0
ORD0000212,C04646,P04538,S0010,1,470,470,2024-09-15,2024-09-17,2024-09-18,Delivered,Kolkata,0
ORD0000213,C04783,P00018,S0008,1,8502,8502,2023-12-04,2023-12-12,2023-12-12,Delivered,Ahmedabad,49
ORD0000214,C02986,P02742,S0096,2,3016,6032,2024-10-30,2024-11-08,2024-11-08,Delivered,Indore,0
ORD0000215,C04880,P00227,S0116,1,1099,1099,2024-05-01,2024-05-03,2024-05-02,Confirmed,Kochi,0
ORD0000216,C05274,P01407,S0062,2,3349,6698,2024-07-04,2024-07-12,2024-07-17,Delivered,Surat,49
ORD0000217,C04373,P01697,S0008,3,272,816,2023-07-27,2023-08-06,2023-08-11,Cancelled,Patna,49
ORD0000218,C05455,P04545,S0070,2,4086,8172,2024-10-30,2024-11-07,2024-11-11,Cancelled,Chennai,49
ORD0000219,C05213,P01240,S0147,1,337,337,2024-10-02,2024-10-09,2024-10-13,Delivered,Mumbai,0
ORD0000220,C04307,P03640,S0121,3,713,2139,2022-07-30,2022-08-02,2022-08-06,Returned,Nagpur,99
ORD0000221,C05529,P01528,S0094,3,7936,23808,2023-04-24,2023-04-30,2023-05-02,Delivered,Jaipur,49
ORD0000222,C07911,P02046,S0101,3,5013,15039,2023-12-03,2023-12-13,2023-12-14,Delivered,Ahmedabad,0
ORD0000223,C04643,P00728,S0085,2,491,982,2023-08-26,2023-09-03,2023-09-04,Delivered,Patna,99
ORD0000224,C00754,P00219,S0056,1,3000,3000,2023-01-12,2023-01-20,2023-01-21,Delivered,Vadodara,0
ORD0000225,C05737,P01920,S0033,2,7462,14924,2023-06-24,2023-06-30,2023-06-30,Delivered,Bengaluru,49
ORD0000226,C05441,P02387,S0010,1,3229,3229,2024-05-23,2024-05-30,2024-06-03,Delivered,Indore,0
ORD0000227,C03530,P00324,S0106,1,8903,8903,2024-11-19,2024-11-29,2024-11-30,Delivered,Agra,0
ORD0000228,C03386,P00738,S0115,2,4146,8292,2023-11-28,2023-12-05,2023-12-05,Delivered,Ludhiana,0
ORD0000229,C05006,P01550,S0091,3,4318,12954,2024-05-02,2024-05-08,2024-05-08,Confirmed,Bengaluru,49
ORD0000230,C01326,P04507,S0143,2,13413,26826,2022-08-11,2022-08-15,2022-08-14,Delivered,Ludhiana,0
