return_id,order_id,customer_id,product_id,reason,return_date,refund_amount,status
RET000081,ORD0003084,C07999,P02346,Not as Described,2023-07-21,16163.29,Refunded
RET000082,ORD0050591,C03373,P03956,Wrong Item Delivered,2022-03-30,4120.34,Refunded
RET000083,ORD0138825,C05060,P01383,Quality Issue,2022-11-02,9369.78,Refunded
RET000084,ORD0036825,C06973,P01410,Not as Described,2023-04-28,9444.16,Refunded
RET000085,ORD0164439,C01651,P03500,Wrong Size,2023-07-11,4197.89,Refunded
RET000086,ORD0070181,C04655,P02690,Wrong Size,2022-08-01,24202.66,Approved
RET000087,ORD0099279,C02573,P00359,Better Price Found,2023-09-27,9456.09,Refunded
RET000088,ORD0037368,C09570,P02884,Not as Described,2024-05-02,4776.04,Approved
RET000089,ORD0053548,C06525,P04886,Defective Product,2024-09-02,2062.47,Rejected
RET000090,ORD0102778,C03071,P00153,Wrong Size,2024-12-26,10933.67,Approved
RET000091,ORD0192257,C08882,P04356,Duplicate Order,2023-09-30,13303.03,Approved
RET000092,ORD0024327,C04967,P02292,Wrong Item Delivered,2022-03-01,8763.85,Refunded
RET000093,ORD0029283,C02830,P03135,Defective Product,2024-07-28,9896.9,Refunded
RET000094,ORD0105618,C02392,P01555,Not as Described,2024-01-29,2204.19,Picked Up
RET000095,ORD0007022,C04576,P04757,Changed Mind,2022-11-26,7630.48,Requested
RET000096,ORD0183446,C09259,P00049,Defective Product,2023-02-12,12721.26,Refunded
RET000097,ORD0139975,C06505,P03028,Better Price Found,2024-03-05,5639.47,Requested
RET000098,ORD0068855,C01790,P03872,Duplicate Order,2024-06-24,4252.08,Refunded
RET000099,ORD0156836,C05456,P01529,Not as Described,2024-06-10,419.29,Refunded
RET000100,ORD0004451,C07164,P01796,Quality Issue,2024-07-01,15429.08,Approved
RET000101,ORD0183399,C07663,P04051,Duplicate Order,2024-02-04,3574.36,Requested
RET000102,ORD0153865,C05752,P00310,Quality Issue,2024-11-09,9614.44,Requested
RET000103,ORD0167100,C02698,P00642,Better Price Found,2024-09-12,5098.96,Picked Up
RET000104,ORD0017163,C00032,P02931,Defective Product,2023-07-21,1426.58,Approved
RET000105,ORD0195423,C09532,P04319,Wrong Size,2024-06-21,764.69,Refunded
RET000106,ORD0092342,C08538,P00661,Defective Product,2024-05-16,7373.78,Refunded
RET000107,ORD0108202,C07169,P00419,Quality Issue,2023-05-13,4323.82,Picked Up
RET000108,ORD0087965,C09883,P03724,Wrong Size,2024-04-21,6340.12,Refunded
RET000109,ORD0170985,C09700,P02684,Wrong Size,2022-02-10,269.08,Refunded
RET000110,ORD0067662,C02074,P03947,Not as Described,2022-01-19,11009.7,Picked Up
RET000111,ORD0136550,C00615,P03002,Better Price Found,2022-04-24,598.42,Approved
RET000112,ORD0158134,C09024,P03600,Wrong Item Delivered,2024-01-17,6301.07,Refunded
RET000113,ORD0013988,C08987,P00394,Defective Product,2022-12-29,3739.2,Approved
RET000114,ORD0043583,C05246,P01381,Duplicate Order,2022-11-05,2470.99,Refunded
RET000115,ORD0039442,C05365,P00028,Better Price Found,2024-11-16,4710.04,Requested
RET000116,ORD0100238,C02266,P01031,Defective Product,2024-05-19,9278.9,Refunded
RET000117,ORD0087257,C08537,P02778,Better Price Found,2023-01-22,1250.86,Requested
RET000118,ORD0018897,C04059,P04298,Wrong Size,2022-05-02,1009.8,Approved
RET000119,ORD0082579,C04792,P03770,Better Price Found,2022-10-10,3804.79,Picked Up
RET000120,ORD0029725,C04922,P03692,Better Price Found,2022-05-25,2268.64,Refunded
RET000121,ORD0036090,C05959,P02517,Changed Mind,2023-06-26,4303.12,Refunded
RET000122,ORD0166135,C07679,P02812,Defective Product,2024-11-10,778.5,Refunded
RET000123,ORD0138336,C00610,P03812,Better Price Found,2024-03-01,227.32,Approved
RET000124,ORD0094381,C06079,P02341,Quality Issue,2024-07-19,1501.8,Approved
RET000125,ORD0161077,C02203,P00944,Not as Described,2022-04-06,3159.3,Approved
RET000126,ORD0142098,C06130,P00396,Wrong Size,2024-08-01,4025.01,Approved
RET000127,ORD0053111,C08949,P03042,Changed Mind,2022-05-13,5479.47,Rejected
RET000128,ORD0046288,C02742,P04221,Quality Issue,2024-05-13,3084.59,Refunded
RET000129,ORD0161894,C00283,P04598,Defective Product,2024-08-19,739.61,Requested
RET000130,ORD0037804,C09557,P01121,Wrong Item Delivered,2022-03-05,1342.34,Refunded
RET000131,ORD0045707,C01998,P01380,Wrong Item Delivered,2023-03-29,8031.3,Refunded
RET000132,ORD0166191,C06886,P00047,Wrong Size,2022-10-21,3355.98,Refunded
RET000133,ORD0035123,C04348,P03170,Quality Issue,2023-09-02,5267.77,Refunded
RET000134,ORD0052422,C06911,P02332,Duplicate Order,2022-10-17,1695.59,Picked Up
RET000135,ORD0179768,C04553,P03946,Quality Issue,2022-08-31,1809.09,Picked Up
RET000136,ORD0030122,C00933,P03781,Duplicate Order,2023-08-19,2804.08,Refunded
RET000137,ORD0169842,C00538,P01221,Not as Described,2023-10-05,1581.88,Refunded
RET000138,ORD0004915,C04607,P01818,Wrong Item Delivered,2024-03-01,11671.06,Refunded
RET000139,ORD0066050,C02528,P03900,Not as Described,2022-08-20,2747.1,Picked Up
RET000140,ORD0000757,C09681,P02758,Defective Product,2022-01-14,3163.2,Refunded
RET000141,ORD0197950,C08224,P00603,Changed Mind,2023-11-03,7972.38,Picked Up
RET000142,ORD0114040,C04866,P01681,Wrong Item Delivered,2024-12-12,1873.53,Approved
RET000143,ORD0147725,C07910,P01922,Duplicate Order,2024-12-12,7059.35,Picked Up
RET000144,ORD0141616,C06940,P02270,Better Price Found,2023-08-22,3325.37,Approved
RET000145,ORD0092981,C01767,P02654,Changed Mind,2024-06-20,9838.7,Picked Up
RET000146,ORD0080252,C08435,P02309,Wrong Size,2022-11-10,10585.23,Refunded
RET000147,ORD0127456,C01229,P02529,Changed Mind,2023-09-14,6634.84,Refunded
RET000148,ORD0061547,C00333,P00888,Not as Described,2022-02-08,23263.49,Picked Up
RET000149,ORD0129705,C01762,P01156,Changed Mind,2022-09-22,5480.86,Approved
RET000150,ORD0118480,C09431,P04104,Quality Issue,2023-05-22,14947.83,Requested
RET000151,ORD0054588,C00681,P02581,Wrong Item Delivered,2022-08-17,5894.16,Refunded
RET000152,ORD0170567,C08473,P00835,Better Price Found,2023-11-25,1354.64,Refunded
RET000153,ORD0003873,C06210,P03398,Wrong Item Delivered,2023-02-16,11329.35,Refunded
RET000154,ORD0103043,C03798,P00525,Duplicate Order,2024-02-16,6895.73,Refunded
RET000155,ORD0027355,C05353,P03766,Not as Described,2022-10-18,2531.87,Requested
RET000156,ORD0094217,C09115,P02661,Wrong Size,2022-08-14,191.36,Refunded
RET000157,ORD0045281,C01071,P04862,Changed Mind,2024-01-28,1667.23,Refunded
RET000158,ORD0199129,C03129,P01857,Changed Mind,2023-07-23,3560.42,Rejected
RET000159,ORD0045047,C08830,P00442,Wrong Size,2022-11-20,10872.89,Refunded
RET000160,ORD0153869,C08479,P04534,Not as Described,2022-01-31,2960.53,Refunded
RET000161,ORD0013178,C07296,P02303,Changed Mind,2023-10-02,5965.74,Approved
RET000162,ORD0045331,C01163,P00841,Duplicate Order,2022-07-05,3984.8,Refunded
RET000163,ORD0053593,C03478,P03439,Better Price Found,2023-03-04,1963.25,Refunded
RET000164,ORD0138654,C02390,P01057,Wrong Item Delivered,2023-11-22,3982.67,Refunded
RET000165,ORD0196862,C03169,P03321,Quality Issue,2024-10-04,2478.61,Refunded
RET000166,ORD0110612,C00081,P04045,Not as Described,2024-01-12,40400.39,Picked Up
RET000167,ORD0043204,C08851,P03995,Not as Described,2024-06-01,3900.93,Refunded
RET000168,ORD0076736,C08111,P04053,Changed Mind,2022-01-22,4013.19,Picked Up
RET000169,ORD0146961,C08324,P00905,Wrong Item Delivered,2024-07-15,1199.42,Refunded
RET000170,ORD0138478,C01758,P01191,Not as Described,2024-09-28,14276.29,Requested
RET000171,ORD0115608,C02794,P03345,Better Price Found,2023-05-04,2631.78,Refunded
RET000172,ORD0058131,C01824,P03359,Duplicate Order,2023-11-13,7906.69,Requested
RET000173,ORD0147403,C03717,P02328,Defective Product,2024-05-29,9077.63,Refunded
RET000174,ORD0091175,C01006,P01021,Defective Product,2024-10-18,6675.57,Approved
RET000175,ORD0106881,C00399,P02513,Quality Issue,2024-08-29,18662.66,Refunded
RET000176,ORD0160053,C06666,P00111,Duplicate Order,2024-07-21,12977.84,Refunded
RET000177,ORD0116986,C00695,P03152,Duplicate Order,2024-03-03,4210.61,Requested
RET000178,ORD0163135,C08089,P01116,Not as Described,2023-05-11,4586.43,Approved
RET000179,ORD0126842,C03868,P04108,Duplicate Order,2023-01-05,517.06,Picked Up
RET000180,ORD0000441,C03054,P02850,Not as Described,2022-07-26,5502.53,Requested
RET000181,ORD0162086,C02337,P02877,Better Price Found,2024-02-28,10626.75,Refunded
RET000182,ORD0016917,C06813,P02614,Not as Described,2024-02-04,7025.84,Approved
RET000183,ORD0140697,C05755,P00411,Wrong Item Delivered,2022-09-13,3254.95,Refunded
RET000184,ORD0143454,C02281,P03707,Duplicate Order,2022-03-11,341.52,Refunded
RET000185,ORD0042060,C02433,P02216,Duplicate Order,2024-09-03,20534.68,Rejected
RET000186,ORD0172578,C09359,P01176,Wrong Size,2025-01-09,5307.17,Picked Up
RET000187,ORD0166034,C03717,P01167,Wrong Size,2023-10-01,9203.51,Refunded
RET000188,ORD0126148,C09377,P04832,Wrong Item Delivered,2023-09-30,8841.13,Refunded
RET000189,ORD0127738,C09196,P03464,Not as Described,2023-05-25,2250.48,Refunded
RET000190,ORD0118164,C03758,P00916,Defective Product,2022-05-29,7556.6,Approved
RET000191,ORD0079936,C08865,P01445,Not as Described,2023-08-31,19155.34,Approved
RET000192,ORD0069400,C00680,P01112,Duplicate Order,2022-03-04,4471.6,Refunded
RET000193,ORD0066332,C00095,P01611,Changed Mind,2022-03-02,4804.84,Approved
RET000194,ORD0059420,C05677,P01725,Wrong Item Delivered,2023-04-03,10529.58,Refunded
RET000195,ORD0047947,C00296,P03007,Not as Described,2024-04-12,2476.54,Refunded
RET000196,ORD0013243,C06353,P03130,Defective Product,2023-10-19,375.03,Approved
RET000197,ORD0177503,C07787,P00658,Not as Described,2024-08-16,17287.78,Requested
RET000198,ORD0163832,C00044,P01299,Changed Mind,2022-06-02,4160.92,Approved
RET000199,ORD0039445,C01768,P02628,Changed Mind,2022-07-22,7692.79,Refunded
RET000200,ORD0191538,C04246,P01166,Not as Described,2022-07-01,4532.89,Refunded
RET000201,ORD0165986,C09240,P00277,Changed Mind,2024-03-29,359.25,Requested
RET000202,ORD0148149,C00590,P00373,Better Price Found,2025-01-04,4244.59,Refunded
RET000203,ORD0092898,C01773,P01224,Not as Described,2023-03-10,6654.81,Refunded
RET000204,ORD0157231,C05191,P01615,Wrong Item Delivered,2023-04-17,5090.97,Refunded
RET000205,ORD0022223,C09831,P03386,Duplicate Order,2022-05-16,583.55,Refunded
RET000206,ORD0067961,C01080,P03526,Not as Described,2024-11-02,20289.55,Requested
RET000207,ORD0085717,C06778,P01760,Better Price Found,2024-05-21,1712.06,Picked Up
RET000208,ORD0006129,C00169,P04557,Wrong Size,2024-12-04,3310.74,Requested
RET000209,ORD0013909,C00943,P04424,Quality Issue,2023-09-09,2391.18,Refunded
RET000210,ORD0073494,C06383,P01914,Changed Mind,2024-12-06,130.78,Approved
RET000211,ORD0138862,C03835,P01863,Wrong Size,2024-06-17,4274.49,Refunded
RET000212,ORD0123150,C03978,P00374,Wrong Size,2023-01-22,1229.74,Refunded
RET000213,ORD0175601,C01116,P03173,Wrong Size,2024-10-05,9667.31,Refunded
RET000214,ORD0086204,C06656,P02828,Quality Issue,2022-02-28,5944.46,Requested
RET000215,ORD0051361,C01620,P04121,Better Price Found,2024-12-23,9823.35,Refunded
RET000216,ORD0015197,C00197,P02566,Defective Product,2022-06-01,17051.35,Refunded
RET000217,ORD0055423,C09207,P00691,Changed Mind,2024-08-16,732.79,Approved
RET000218,ORD0079432,C05062,P00560,Not as Described,2023-01-07,4156.4,Requested
RET000219,ORD0057516,C09227,P01551,Quality Issue,2024-06-14,2510.99,Refunded
RET000220,ORD0082301,C03691,P02020,Duplicate Order,2023-05-27,6882.51,Requested
RET000221,ORD0073459,C00689,P00545,Changed Mind,2024-04-01,4963.18,Approved
RET000222,ORD0143887,C04169,P01311,Wrong Item Delivered,2023-02-14,21729.36,Picked Up
RET000223,ORD0113658,C04456,P01780,Not as Described,2024-05-23,460.07,Approved
RET000224,ORD0130244,C08508,P00061,Wrong Item Delivered,2024-06-28,9293.09,Refunded
RET000225,ORD0185834,C03440,P00331,Not as Described,2022-12-19,6812.71,Picked Up
RET000226,ORD0071276,C01911,P01974,Quality Issue,2023-09-19,2208.68,Picked Up
RET000227,ORD0029647,C05255,P02946,Defective Product,2022-02-26,14711.28,Picked Up
RET000228,ORD0038763,C09398,P02635,Quality Issue,2023-11-18,663.21,Requested
RET000229,ORD0145477,C01791,P01864,Defective Product,2022-08-22,7089.85,Rejected
RET000230,ORD0059175,C07010,P00608,Duplicate Order,2024-10-20,3861.07,Requested
RET000231,ORD0044245,C07306,P03552,Wrong Size,2023-01-06,556.28,Picked Up
RET000232,ORD0166514,C02422,P01849,Wrong Size,2023-05-28,593.18,Picked Up
RET000233,ORD0027205,C07339,P02868,Wrong Size,2024-09-19,7741.4,Approved
RET000234,ORD0028327,C00332,P03154,Not as Described,2024-01-14,239.32,Approved
RET000235,ORD0075706,C04462,P02106,Wrong Item Delivered,2023-04-21,11148.58,Approved
RET000236,ORD0167795,C04962,P02385,Not as Described,2022-09-30,1874.5,Requested
RET000237,ORD0165799,C09127,P01019,Wrong Item Delivered,2023-09-16,7889.09,Requested
RET000238,ORD0162401,C01487,P02861,Better Price Found,2024-05-15,771.02,Rejected
RET000239,ORD0195713,C09833,P03185,Changed Mind,2023-06-30,4505.28,Requested
RET000240,ORD0176019,C06883,P03135,Better Price Found,2024-07-08,17143.98,Refunded
RET000241,ORD0097141,C01946,P02362,Changed Mind,2023-08-16,20433.43,Refunded
RET000242,ORD0091205,C01329,P04778,Defective Product,2024-11-07,1703.05,Picked Up
RET000243,ORD0090600,C07562,P01927,Duplicate Order,2023-02-15,3477.08,Refunded
RET000244,ORD0067144,C08961,P00977,Quality Issue,2023-05-20,1088.86,Requested
RET000245,ORD0142989,C05193,P03715,Quality Issue,2022-11-29,4712.23,Refunded
RET000246,ORD0113342,C08221,P03306,Wrong Size,2023-08-10,1955.1,Refunded
RET000247,ORD0084092,C00499,P00740,Changed Mind,2023-12-30,11605.0,Approved
RET000248,ORD0033580,C01666,P03684,Changed Mind,2022-05-10,8247.53,Approved
RET000249,ORD0185990,C05885,P04106,Not as Described,2023-01-29,5952.15,Refunded
RET000250,ORD0010020,C01227,P04036,Quality Issue,2024-01-30,139.91,Refunded
RET000251,ORD0139156,C02588,P03790,Duplicate Order,2023-09-05,7384.02,Refunded
RET000252,ORD0086671,C05803,P02688,Better Price Found,2024-06-30,1756.36,Refunded
RET000253,ORD0091578,C07418,P02299,Changed Mind,2024-07-09,6677.03,Requested
RET000254,ORD0139989,C01042,P04161,Wrong Item Delivered,2023-08-01,1713.97,Approved
RET000255,ORD0059713,C08438,P02341,Not as Described,2023-04-14,2880.24,Refunded
RET000256,ORD0065210,C04955,P04896,Changed Mind,2024-10-21,8223.84,Refunded
RET000257,ORD0155784,C06853,P04997,Quality Issue,2023-08-11,9550.94,Approved
RET000258,ORD0014741,C08132,P04045,Duplicate Order,2024-09-03,25860.44,Picked Up
RET000259,ORD0114688,C00138,P00174,Not as Described,2022-03-21,10899.97,Refunded
RET000260,ORD0017486,C00765,P04544,Changed Mind,2024-05-18,1237.71,Refunded
RET000261,ORD0098298,C01124,P01356,Wrong Item Delivered,2023-11-09,3958.74,Picked Up
RET000262,ORD0063539,C06116,P01649,Duplicate Order,2022-11-01,8985.81,Picked Up
RET000263,ORD0007672,C06414,P00416,Wrong Item Delivered,2023-04-06,12970.06,Refunded
RET000264,ORD0142626,C04764,P00773,Quality Issue,2022-04-18,762.43,Refunded
RET000265,ORD0191090,C00015,P03662,Quality Issue,2025-01-08,3399.92,Approved
RET000266,ORD0124407,C06631,P04197,Changed Mind,2023-06-06,4955.23,Refunded
RET000267,ORD0021827,C05191,P00154,Quality Issue,2023-07-21,8927.3,Refunded
RET000268,ORD0040327,C06639,P00342,Defective Product,2023-02-17,15650.05,Refunded
RET000269,ORD0023572,C06758,P03509,Better Price Found,2023-11-17,2241.08,Refunded
RET000270,ORD0130827,C02493,P02069,Wrong Size,2022-07-05,4170.92,Picked Up
RET000271,ORD0049990,C01897,P04930,Wrong Item Delivered,2023-11-21,1931.47,Approved
RET000272,ORD0033470,C03119,P03913,Wrong Item Delivered,2022-11-06,238.77,Rejected
RET000273,ORD0087161,C08230,P03202,Not as Described,2024-06-26,4496.02,Refunded
RET000274,ORD0114738,C03700,P01754,Wrong Item Delivered,2022-06-27,14015.79,Refunded
RET000275,ORD0028079,C04386,P01771,Wrong Item Delivered,2022-07-03,10648.02,Refunded
RET000276,ORD0043955,C03989,P02592,Wrong Size,2024-08-30,13228.94,Refunded
RET000277,ORD0097289,C04906,P00872,Better Price Found,2024-10-25,16696.93,Approved
RET000278,ORD0097313,C06604,P01817,Defective Product,2024-06-19,3976.96,Refunded
RET000279,ORD0011389,C02671,P00716,Wrong Item Delivered,2022-06-03,688.97,Requested
RET000280,ORD0059792,C04453,P03537,Better Price Found,2024-03-06,5218.32,Approved
RET000281,ORD0015880,C02403,P04267,Wrong Size,2024-09-15,1183.16,Refunded
RET000282,ORD0161044,C06856,P03662,Wrong Item Delivered,2024-05-16,3905.01,Refunded
RET000283,ORD0070703,C05821,P03679,Defective Product,2022-03-16,12517.97,Refunded
RET000284,ORD0001889,C03456,P01605,Duplicate Order,2024-10-06,5977.88,Refunded
RET000285,ORD0160050,C00947,P01729,Better Price Found,2022-08-04,949.95,Refunded
RET000286,ORD0146682,C07024,P03149,Wrong Size,2024-06-17,383.41,Refunded
RET000287,ORD0179882,C05413,P01372,Duplicate Order,2023-10-19,2390.12,Refunded
RET000288,ORD0192191,C00781,P01745,Not as Described,2024-02-20,7308.03,Picked Up
RET000289,ORD0033550,C09842,P02628,Not as Described,2023-01-12,7644.5,Approved
RET000290,ORD0017778,C03591,P01445,Duplicate Order,2024-07-14,12986.45,Approved
RET000291,ORD0078233,C07215,P00943,Wrong Item Delivered,2024-10-30,2256.57,Requested
RET000292,ORD0173041,C02806,P02030,Not as Described,2023-07-11,5860.07,Requested
RET000293,ORD0153832,C09162,P01268,Changed Mind,2022-03-06,5635.7,Approved
RET000294,ORD0185114,C01683,P02936,Quality Issue,2022-01-10,2654.21,Refunded
RET000295,ORD0080533,C04458,P03743,Quality Issue,2024-02-05,1129.5,Approved
RET000296,ORD0015258,C01627,P01095,Wrong Size,2022-05-23,2366.47,Picked Up
RET000297,ORD0177869,C08835,P01066,Better Price Found,2023-05-12,6845.96,Picked Up
RET000298,ORD0179562,C01302,P02138,Wrong Size,2022-01-30,4683.27,Refunded
RET000299,ORD0148829,C07364,P00330,Wrong Item Delivered,2023-05-09,8719.69,Approved
RET000300,ORD0117561,C08811,P00530,Defective Product,2022-07-03,10974.87,Requested
RET000301,ORD0071226,C01294,P03576,Changed Mind,2022-03-04,3257.95,Refunded
RET000302,ORD0163147,C05144,P01315,Not as Described,2024-06-05,598.47,Refunded
RET000303,ORD0006633,C04889,P00637,Not as Described,2024-11-29,15092.77,Refunded
RET000304,ORD0008800,C06684,P01164,Quality Issue,2024-11-17,395.25,Picked Up
RET000305,ORD0055787,C07938,P01214,Better Price Found,2024-07-07,1668.61,Refunded
RET000306,ORD0197624,C09333,P03366,Defective Product,2022-03-03,1758.09,Picked Up
RET000307,ORD0088954,C06874,P01095,Quality Issue,2022-09-12,4441.91,Refunded
RET000308,ORD0098462,C01862,P00896,Wrong Size,2023-09-11,3684.37,Refunded
RET000309,ORD0031127,C00298,P00027,Changed Mind,2024-05-28,4280.2,Refunded
RET000310,ORD0033067,C03358,P02371,Better Price Found,2023-04-29,8933.01,Refunded
RET000311,ORD0125165,C04988,P01366,Wrong Item Delivered,2022-09-16,2963.3,Refunded
RET000312,ORD0155067,C08618,P04130,Quality Issue,2022-12-06,1833.97,Approved
RET000313,ORD0098767,C04687,P00887,Defective Product,2024-11-27,2141.58,Approved
RET000314,ORD0054828,C00821,P03666,Wrong Size,2024-05-24,1587.57,Requested
RET000315,ORD0050832,C07025,P01964,Changed Mind,2022-10-01,4573.53,Refunded
RET000316,ORD0090927,C05064,P02314,Wrong Item Delivered,2024-05-18,4947.66,Requested
