shipment_id,order_id,supplier_id,warehouse_id,product_id,quantity,ship_date,expected_arrival,actual_arrival,status,carrier,freight_cost,delay_days
SHP000026,ORD0174598,SUP0390,W004,P02884,3,2023-05-18,2023-06-02,2023-06-04,Delivered,Ekart,63.29,2
SHP000027,ORD0121845,SUP0188,W001,P01682,2,2023-12-18,2023-12-21,2023-12-26,Lost,Ekart,368.76,5
SHP000028,ORD0083259,SUP0104,W029,P01971,1,2024-09-20,2024-09-22,2024-09-22,Delivered,Shadowfax,241.29,0
SHP000029,ORD0087483,SUP0021,W025,P04165,1,2024-05-27,2024-06-06,2024-06-04,Delivered,Delhivery,132.81,-2
SHP000030,ORD0144624,SUP0181,W028,P01296,3,2024-07-03,2024-07-13,2024-07-16,Delivered,Blue Dart,121.05,3
SHP000031,ORD0183732,SUP0056,W014,P00557,3,2022-10-29,2022-10-31,2022-10-31,In Transit,Delhivery,197.73,0
SHP000032,ORD0119949,SUP0029,W021,P04835,2,2024-06-20,2024-06-26,2024-06-25,Delivered,Ekart,192.83,-1
SHP000033,ORD0155360,SUP0070,W028,P01954,3,2023-05-16,2023-05-30,2023-05-31,Delivered,Ekart,63.62,1
SHP000034,ORD0188016,SUP0118,W007,P04936,3,2024-09-07,2024-09-13,2024-09-15,Delivered,Ekart,355.17,2
SHP000035,ORD0180828,SUP0068,W025,P03394,3,2024-11-30,2024-12-05,2024-12-03,Delivered,Shadowfax,55.76,-2
SHP000036,ORD0121338,SUP0362,W019,P03226,2,2022-08-01,2022-08-10,2022-08-13,Delivered,Blue Dart,212.15,3
SHP000037,ORD0111758,SUP0116,W028,P02626,1,2022-04-20,2022-04-26,2022-04-30,Delivered,Delhivery,406.3,4
SHP000038,ORD0022198,SUP0030,W021,P03421,2,2024-07-29,2024-08-04,2024-08-06,Delivered,DTDC,395.89,2
SHP000039,ORD0184826,SUP0024,W018,P04617,2,2024-11-17,2024-11-23,2024-11-24,Delivered,Delhivery,137.67,1
SHP000040,ORD0035303,SUP0060,W029,P02919,3,2023-11-17,2023-11-30,2023-11-30,Delivered,Delhivery,205.48,0
SHP000041,ORD0198326,SUP0038,W001,P03226,3,2024-06-11,2024-06-20,2024-06-23,Delayed,Blue Dart,370.24,3
SHP000042,ORD0005643,SUP0180,W013,P02575,1,2024-03-08,2024-03-11,2024-03-14,Delivered,Ekart,110.91,3
SHP000043,ORD0040665,SUP0175,W006,P04907,1,2022-07-12,2022-07-27,2022-07-25,Delayed,Shadowfax,438.09,-2
SHP000044,ORD0181685,SUP0092,W016,P03918,2,2024-08-01,2024-08-14,2024-08-19,Delivered,Shadowfax,213.16,5
SHP000045,ORD0128496,SUP0356,W006,P04602,3,2023-02-15,2023-02-25,2023-03-02,Delivered,Delhivery,351.63,5
SHP000046,ORD0071146,SUP0082,W028,P02680,1,2022-04-29,2022-05-08,2022-05-07,Delivered,Blue Dart,88.9,-1
SHP000047,ORD0148637,SUP0265,W028,P03906,3,2022-10-04,2022-10-15,2022-10-18,Delivered,Blue Dart,125.89,3
SHP000048,ORD0023251,SUP0210,W029,P01741,3,2023-02-09,2023-02-14,2023-02-12,Delivered,Ekart,451.16,-2
SHP000049,ORD0161400,SUP0215,W022,P04742,2,2024-08-03,2024-08-18,2024-08-22,Delivered,DTDC,234.06,4
SHP000050,ORD0006840,SUP0191,W017,P01070,3,2023-10-20,2023-10-24,2023-10-28,Delivered,Shadowfax,312.18,4
SHP000051,ORD0121037,SUP0171,W006,P03190,1,2024-08-04,2024-08-18,2024-08-17,In Transit,Delhivery,450.47,-1
SHP000052,ORD0042228,SUP0075,W010,P00412,2,2022-10-27,2022-10-29,2022-10-31,Delivered,Shadowfax,474.23,2
SHP000053,ORD0070722,SUP0143,W027,P01760,1,2024-02-05,2024-02-12,2024-02-10,Delivered,Blue Dart,226.55,-2
SHP000054,ORD0071099,SUP0137,W005,P02820,2,2024-01-22,2024-02-03,2024-02-05,Delivered,Blue Dart,300.19,2
SHP000055,ORD0045902,SUP0399,W013,P04796,3,2024-10-13,2024-10-15,2024-10-19,Delivered,Ekart,129.76,4
SHP000056,ORD0149442,SUP0157,W026,P04457,2,2023-02-15,2023-02-28,2023-02-26,In Transit,Ekart,139.7,-2
SHP000057,ORD0063941,SUP0044,W009,P01512,3,2022-10-19,2022-10-21,2022-10-21,In Transit,Shadowfax,290.13,0
SHP000058,ORD0112804,SUP0031,W007,P02997,2,2022-09-17,2022-09-23,2022-09-22,Delivered,Ekart,462.27,-1
SHP000059,ORD0057119,SUP0080,W024,P03902,1,2023-02-03,2023-02-10,2023-02-11,Delivered,Blue Dart,147.79,1
SHP000060,ORD0099193,SUP0339,W004,P03144,2,2022-04-24,2022-05-03,2022-05-02,Delivered,Delhivery,418.83,-1
SHP000061,ORD0191691,SUP0345,W024,P00807,2,2024-05-06,2024-05-20,2024-05-19,Delivered,Blue Dart,272.49,-1
SHP000062,ORD0046624,SUP0200,W016,P01577,3,2024-07-25,2024-08-08,2024-08-12,Delivered,Blue Dart,327.91,4
SHP000063,ORD0058490,SUP0303,W017,P02470,2,2023-02-25,2023-03-09,2023-03-13,Delivered,Delhivery,362.19,4
SHP000064,ORD0110588,SUP0153,W004,P00470,3,2022-06-16,2022-06-29,2022-06-28,Delivered,DTDC,281.23,-1
SHP000065,ORD0005860,SUP0073,W025,P02477,2,2023-10-01,2023-10-10,2023-10-08,Delivered,DTDC,295.66,-2
SHP000066,ORD0056771,SUP0120,W014,P01328,3,2023-10-26,2023-11-04,2023-11-04,In Transit,Ekart,484.14,0
SHP000067,ORD0172745,SUP0271,W026,P03627,1,2023-11-04,2023-11-16,2023-11-16,Delivered,Blue Dart,395.59,0
SHP000068,ORD0192525,SUP0095,W009,P01587,1,2022-12-21,2023-01-01,2023-01-06,Delivered,DTDC,405.2,5
SHP000069,ORD0039650,SUP0246,W023,P04517,3,2022-09-28,2022-10-08,2022-10-07,Delivered,Blue Dart,323.34,-1
SHP000070,ORD0057543,SUP0149,W011,P03779,2,2023-11-07,2023-11-21,2023-11-23,Delayed,Delhivery,320.79,2
SHP000071,ORD0154062,SUP0250,W019,P03789,2,2024-04-09,2024-04-22,2024-04-21,Delivered,Shadowfax,282.06,-1
SHP000072,ORD0051626,SUP0339,W028,P04211,2,2022-05-05,2022-05-13,2022-05-11,Delivered,Delhivery,338.75,-2
SHP000073,ORD0136568,SUP0323,W018,P04875,1,2022-06-29,2022-07-10,2022-07-15,Delivered,Delhivery,434.66,5
SHP000074,ORD0038738,SUP0355,W016,P01879,2,2023-03-24,2023-03-27,2023-03-31,Delivered,Shadowfax,234.32,4
SHP000075,ORD0058963,SUP0069,W021,P00741,1,2024-09-06,2024-09-12,2024-09-14,Delivered,Shadowfax,93.94,2
SHP000076,ORD0177393,SUP0367,W010,P04527,2,2024-09-29,2024-10-09,2024-10-14,Delivered,Shadowfax,83.26,5
SHP000077,ORD0019491,SUP0037,W003,P04995,1,2022-05-09,2022-05-21,2022-05-24,Delivered,Shadowfax,244.17,3
SHP000078,ORD0191155,SUP0165,W007,P03541,2,2024-04-02,2024-04-05,2024-04-05,Delivered,DTDC,200.4,0
SHP000079,ORD0140926,SUP0172,W009,P03372,3,2023-07-26,2023-08-08,2023-08-08,Delivered,Delhivery,385.37,0
SHP000080,ORD0096982,SUP0245,W020,P03912,3,2022-06-21,2022-07-01,2022-07-01,Delivered,Ekart,86.52,0
SHP000081,ORD0051101,SUP0121,W017,P02353,3,2023-09-04,2023-09-06,2023-09-11,Delayed,Blue Dart,254.67,5
SHP000082,ORD0183804,SUP0182,W026,P01187,2,2023-07-25,2023-08-07,2023-08-11,In Transit,Blue Dart,291.14,4
SHP000083,ORD0069095,SUP0348,W011,P04278,3,2024-06-20,2024-06-30,2024-07-05,Delivered,DTDC,124.9,5
SHP000084,ORD0199990,SUP0053,W008,P01073,3,2023-06-26,2023-07-01,2023-07-03,Delivered,Blue Dart,161.15,2
SHP000085,ORD0151101,SUP0285,W011,P00877,3,2022-07-30,2022-08-11,2022-08-09,Delivered,Ekart,95.41,-2
SHP000086,ORD0093114,SUP0336,W008,P04340,3,2023-02-03,2023-02-07,2023-02-09,Delivered,Shadowfax,87.51,2
SHP000087,ORD0030821,SUP0312,W015,P01998,3,2024-01-01,2024-01-14,2024-01-17,Delayed,Delhivery,360.06,3
SHP000088,ORD0060259,SUP0251,W018,P00635,1,2022-08-18,2022-08-23,2022-08-27,Delivered,Delhivery,269.07,4
SHP000089,ORD0065514,SUP0037,W029,P02920,3,2024-11-01,2024-11-10,2024-11-09,Delivered,Blue Dart,349.07,-1
SHP000090,ORD0150365,SUP0175,W008,P03271,3,2024-05-11,2024-05-21,2024-05-21,Delivered,Ekart,283.64,0
SHP000091,ORD0023988,SUP0127,W009,P02926,1,2022-12-20,2022-12-26,2022-12-30,Delivered,Blue Dart,287.25,4
SHP000092,ORD0085977,SUP0352,W008,P00528,1,2023-05-30,2023-06-13,2023-06-13,Delivered,Shadowfax,89.48,0
SHP000093,ORD0139061,SUP0370,W006,P02717,1,2024-01-21,2024-01-30,2024-02-01,Delayed,Blue Dart,496.61,2
SHP000094,ORD0016769,SUP0150,W004,P00150,2,2024-02-06,2024-02-12,2024-02-14,Delivered,DTDC,136.95,2
SHP000095,ORD0054932,SUP0144,W005,P00975,3,2023-05-07,2023-05-10,2023-05-08,Delivered,Blue Dart,282.53,-2
SHP000096,ORD0177002,SUP0091,W027,P03213,3,2024-01-31,2024-02-09,2024-02-12,Delivered,Ekart,386.74,3
SHP000097,ORD0069777,SUP0214,W012,P01179,3,2023-11-19,2023-11-30,2023-11-29,Lost,Shadowfax,226.36,-1
SHP000098,ORD0131271,SUP0353,W011,P00666,3,2023-02-12,2023-02-18,2023-02-23,Delivered,Blue Dart,58.56,5
SHP000099,ORD0101846,SUP0388,W009,P01031,3,2023-06-17,2023-06-24,2023-06-29,Delayed,DTDC,235.91,5
SHP000100,ORD0038410,SUP0335,W019,P02915,2,2023-07-20,2023-07-25,2023-07-23,Delivered,Ekart,321.35,-2
SHP000101,ORD0063609,SUP0352,W028,P02677,1,2023-01-12,2023-01-18,2023-01-21,Delivered,Shadowfax,302.78,3
SHP000102,ORD0163340,SUP0399,W027,P04907,1,2022-11-24,2022-12-09,2022-12-08,Delivered,Delhivery,329.87,-1
SHP000103,ORD0177032,SUP0280,W013,P04192,1,2022-09-29,2022-10-12,2022-10-12,Delivered,Ekart,220.14,0
SHP000104,ORD0159234,SUP0086,W014,P03424,3,2023-07-16,2023-07-18,2023-07-19,Delivered,Ekart,461.24,1
SHP000105,ORD0117099,SUP0201,W016,P04778,2,2022-07-31,2022-08-10,2022-08-08,Delivered,Delhivery,130.14,-2
SHP000106,ORD0075087,SUP0104,W003,P04382,2,2022-08-01,2022-08-16,2022-08-19,Delivered,Blue Dart,130.91,3
SHP000107,ORD0142488,SUP0390,W016,P00142,3,2022-03-24,2022-04-04,2022-04-09,Delivered,Blue Dart,258.59,5
SHP000108,ORD0139381,SUP0202,W017,P03202,3,2022-12-11,2022-12-19,2022-12-20,Delayed,Delhivery,84.84,1
SHP000109,ORD0043241,SUP0053,W009,P03937,1,2024-10-30,2024-11-07,2024-11-10,Lost,Blue Dart,303.79,3
SHP000110,ORD0067366,SUP0130,W016,P01763,2,2023-08-02,2023-08-14,2023-08-16,Delivered,Blue Dart,197.27,2
SHP000111,ORD0132570,SUP0238,W022,P02402,2,2023-12-09,2023-12-17,2023-12-19,Delivered,Delhivery,222.47,2
SHP000112,ORD0086269,SUP0254,W017,P00101,3,2022-06-22,2022-07-04,2022-07-03,Delivered,Delhivery,236.47,-1
SHP000113,ORD0010406,SUP0262,W001,P04486,1,2022-05-23,2022-05-26,2022-05-28,In Transit,Ekart,154.92,2
SHP000114,ORD0117490,SUP0203,W027,P02850,2,2023-11-22,2023-11-29,2023-12-02,Delivered,Ekart,107.74,3
SHP000115,ORD0142155,SUP0222,W025,P01637,3,2022-09-25,2022-09-30,2022-09-29,Delivered,Delhivery,478.25,-1
SHP000116,ORD0111694,SUP0065,W009,P04381,1,2024-01-16,2024-01-25,2024-01-26,Delivered,Blue Dart,242.59,1
SHP000117,ORD0065048,SUP0020,W002,P03605,2,2024-03-05,2024-03-19,2024-03-22,Delivered,Blue Dart,222.72,3
SHP000118,ORD0198743,SUP0321,W022,P01563,1,2024-02-20,2024-03-04,2024-03-08,Delivered,Shadowfax,143.9,4
SHP000119,ORD0186352,SUP0332,W009,P04811,3,2023-07-02,2023-07-08,2023-07-12,Delivered,DTDC,273.6,4
SHP000120,ORD0189501,SUP0256,W026,P02071,1,2022-01-27,2022-01-31,2022-01-31,Delayed,Ekart,265.89,0
SHP000121,ORD0180803,SUP0382,W017,P04035,3,2023-04-17,2023-04-21,2023-04-24,Delivered,DTDC,425.76,3
SHP000122,ORD0119865,SUP0321,W012,P00172,1,2024-09-17,2024-09-25,2024-09-25,Delivered,Shadowfax,130.26,0
SHP000123,ORD0067209,SUP0168,W018,P04203,2,2023-01-08,2023-01-13,2023-01-11,In Transit,DTDC,291.7,-2
SHP000124,ORD0116472,SUP0400,W002,P02727,3,2024-10-21,2024-10-28,2024-10-26,In Transit,Shadowfax,366.83,-2
SHP000125,ORD0150116,SUP0320,W018,P03126,3,2023-06-11,2023-06-22,2023-06-22,Delivered,Ekart,82.56,0
SHP000126,ORD0028457,SUP0182,W012,P02512,3,2023-09-22,2023-09-26,2023-09-27,Delivered,Blue Dart,357.21,1
SHP000127,ORD0041155,SUP0089,W014,P01008,1,2024-06-18,2024-07-01,2024-07-03,In Transit,DTDC,224.15,2
SHP000128,ORD0172902,SUP0183,W002,P03829,2,2022-05-04,2022-05-14,2022-05-16,In Transit,Delhivery,205.64,2
SHP000129,ORD0138180,SUP0118,W007,P04596,1,2022-02-11,2022-02-20,2022-02-22,In Transit,Ekart,438.22,2
SHP000130,ORD0009744,SUP0280,W015,P02443,1,2023-11-09,2023-11-14,2023-11-15,Delivered,DTDC,93.06,1
SHP000131,ORD0093458,SUP0367,W016,P03703,1,2024-08-10,2024-08-20,2024-08-24,Delivered,Blue Dart,272.13,4
SHP000132,ORD0189841,SUP0035,W012,P00755,3,2024-09-12,2024-09-15,2024-09-20,Delivered,Ekart,257.95,5
SHP000133,ORD0031832,SUP0356,W026,P02170,2,2023-12-27,2024-01-08,2024-01-09,Delivered,Ekart,111.22,1
SHP000134,ORD0126294,SUP0085,W010,P03956,1,2022-11-08,2022-11-21,2022-11-26,Delivered,Shadowfax,55.57,5
SHP000135,ORD0000757,SUP0142,W022,P02758,2,2022-01-05,2022-01-12,2022-01-10,Delivered,Ekart,373.06,-2
SHP000136,ORD0004510,SUP0218,W017,P00472,2,2022-07-05,2022-07-16,2022-07-20,Delivered,Shadowfax,113.57,4
SHP000137,ORD0033462,SUP0379,W019,P03891,3,2023-02-20,2023-02-27,2023-03-01,Delayed,Ekart,162.15,2
SHP000138,ORD0182963,SUP0333,W027,P02055,1,2024-07-08,2024-07-20,2024-07-18,Delivered,Delhivery,160.72,-2
SHP000139,ORD0190744,SUP0075,W011,P01913,1,2022-03-15,2022-03-26,2022-03-28,Delivered,Delhivery,155.16,2
SHP000140,ORD0069774,SUP0224,W002,P01775,3,2023-02-18,2023-02-26,2023-02-25,Delivered,Shadowfax,432.15,-1
SHP000141,ORD0176430,SUP0282,W011,P02960,1,2022-02-01,2022-02-13,2022-02-11,Delivered,Blue Dart,465.51,-2
SHP000142,ORD0187627,SUP0128,W010,P04924,3,2022-01-11,2022-01-16,2022-01-19,In Transit,Shadowfax,427.45,3
SHP000143,ORD0041910,SUP0127,W027,P01144,3,2024-11-17,2024-11-23,2024-11-28,Delivered,Ekart,412.76,5
SHP000144,ORD0087538,SUP0117,W006,P00560,1,2022-05-09,2022-05-17,2022-05-21,Delivered,Blue Dart,297.72,4
SHP000145,ORD0118894,SUP0143,W018,P01057,2,2023-07-24,2023-07-26,2023-07-26,Delivered,Ekart,77.7,0
SHP000146,ORD0111616,SUP0112,W018,P03169,1,2023-12-14,2023-12-20,2023-12-20,Delivered,Blue Dart,367.73,0
SHP000147,ORD0016714,SUP0070,W029,P01644,3,2024-07-26,2024-07-29,2024-07-29,Delivered,Delhivery,479.71,0
SHP000148,ORD0108626,SUP0340,W010,P00647,3,2024-11-23,2024-12-03,2024-12-03,Delivered,Shadowfax,456.31,0
SHP000149,ORD0065997,SUP0005,W020,P01124,2,2022-03-06,2022-03-17,2022-03-22,Delivered,Ekart,417.54,5
SHP000150,ORD0152087,SUP0268,W004,P03782,3,2023-11-04,2023-11-10,2023-11-08,In Transit,Shadowfax,453.13,-2
SHP000151,ORD0011844,SUP0115,W025,P02277,3,2023-08-17,2023-08-21,2023-08-21,In Transit,DTDC,110.35,0
SHP000152,ORD0040277,SUP0150,W005,P01565,3,2024-08-11,2024-08-20,2024-08-21,Delivered,DTDC,386.27,1
SHP000153,ORD0046182,SUP0351,W007,P04665,3,2023-05-18,2023-05-25,2023-05-24,In Transit,Delhivery,121.94,-1
SHP000154,ORD0024362,SUP0212,W014,P04565,3,2024-07-18,2024-07-24,2024-07-23,Delivered,Ekart,123.89,-1
SHP000155,ORD0080248,SUP0126,W009,P01284,2,2023-03-27,2023-03-29,2023-04-03,Delivered,Ekart,372.88,5
SHP000156,ORD0091452,SUP0192,W015,P03425,1,2023-03-30,2023-04-05,2023-04-07,Delivered,Shadowfax,379.67,2
SHP000157,ORD0166214,SUP0028,W008,P04437,1,2022-12-24,2023-01-03,2023-01-02,Delivered,Ekart,66.06,-1
SHP000158,ORD0017156,SUP0082,W004,P01856,3,2024-06-07,2024-06-17,2024-06-15,Delivered,Delhivery,210.03,-2
SHP000159,ORD0192129,SUP0191,W009,P01551,1,2024-09-14,2024-09-17,2024-09-22,Delivered,Shadowfax,389.68,5
SHP000160,ORD0039174,SUP0058,W027,P00363,3,2022-12-16,2022-12-24,2022-12-25,Delayed,Blue Dart,283.09,1
SHP000161,ORD0066836,SUP0338,W003,P03074,2,2022-05-19,2022-05-26,2022-05-26,Delivered,DTDC,156.86,0
SHP000162,ORD0118067,SUP0072,W018,P00777,1,2023-06-29,2023-07-14,2023-07-16,Delivered,Ekart,111.82,2
SHP000163,ORD0027271,SUP0162,W008,P02066,2,2024-06-05,2024-06-14,2024-06-14,Delivered,Blue Dart,448.79,0
SHP000164,ORD0147016,SUP0182,W009,P01921,3,2022-05-16,2022-05-26,2022-05-26,Delivered,Shadowfax,471.05,0
SHP000165,ORD0176674,SUP0251,W028,P04946,3,2022-01-16,2022-01-22,2022-01-24,Delivered,DTDC,335.98,2
SHP000166,ORD0089941,SUP0176,W024,P04728,2,2022-01-08,2022-01-21,2022-01-22,Delivered,Blue Dart,185.69,1
SHP000167,ORD0003512,SUP0259,W006,P01885,2,2023-07-03,2023-07-11,2023-07-10,Delivered,DTDC,229.89,-1
SHP000168,ORD0025346,SUP0260,W028,P00560,3,2022-09-22,2022-10-07,2022-10-09,Delivered,Blue Dart,308.75,2
SHP000169,ORD0046507,SUP0357,W018,P00530,2,2024-04-15,2024-04-30,2024-04-30,Delivered,Delhivery,348.6,0
SHP000170,ORD0057192,SUP0392,W029,P04713,2,2023-10-06,2023-10-15,2023-10-14,In Transit,Shadowfax,362.95,-1
SHP000171,ORD0195556,SUP0384,W028,P04437,1,2023-10-27,2023-11-09,2023-11-09,Delivered,Blue Dart,360.48,0
SHP000172,ORD0067069,SUP0092,W015,P01842,3,2024-05-29,2024-06-13,2024-06-16,Delivered,Blue Dart,95.78,3
SHP000173,ORD0013666,SUP0281,W006,P04974,2,2024-08-08,2024-08-10,2024-08-11,Delivered,Ekart,353.58,1
SHP000174,ORD0056601,SUP0001,W018,P04011,3,2024-06-18,2024-06-21,2024-06-25,Delivered,Ekart,287.83,4
SHP000175,ORD0181480,SUP0010,W022,P02263,2,2024-08-27,2024-09-01,2024-09-06,Delivered,Ekart,191.05,5
SHP000176,ORD0172153,SUP0378,W027,P03488,2,2024-04-01,2024-04-13,2024-04-14,Delivered,Blue Dart,380.87,1
SHP000177,ORD0198395,SUP0007,W028,P00473,1,2022-12-23,2023-01-03,2023-01-05,Delivered,Blue Dart,230.49,2
SHP000178,ORD0065045,SUP0373,W015,P04028,3,2024-08-04,2024-08-19,2024-08-24,Delayed,Ekart,83.34,5
SHP000179,ORD0052804,SUP0298,W028,P04847,1,2022-07-09,2022-07-11,2022-07-12,Delivered,Delhivery,365.45,1
SHP000180,ORD0177513,SUP0332,W020,P03657,3,2022-09-12,2022-09-23,2022-09-27,Delivered,Ekart,357.58,4
SHP000181,ORD0098408,SUP0395,W012,P04033,3,2022-03-14,2022-03-28,2022-03-28,Delivered,Delhivery,86.54,0
SHP000182,ORD0117072,SUP0315,W016,P04315,1,2024-03-18,2024-03-25,2024-03-25,In Transit,Blue Dart,448.12,0
SHP000183,ORD0067280,SUP0118,W022,P00597,1,2022-07-23,2022-08-03,2022-08-05,Delivered,Shadowfax,499.16,2
SHP000184,ORD0015792,SUP0349,W021,P03747,1,2022-11-16,2022-11-27,2022-11-27,Delivered,DTDC,396.09,0
SHP000185,ORD0117984,SUP0029,W012,P02876,2,2022-12-16,2022-12-25,2022-12-30,In Transit,DTDC,373.45,5
SHP000186,ORD0195609,SUP0043,W021,P03658,3,2024-10-01,2024-10-15,2024-10-17,Delivered,Ekart,485.51,2
SHP000187,ORD0113362,SUP0079,W014,P03808,2,2023-04-02,2023-04-05,2023-04-08,Lost,DTDC,377.87,3
SHP000188,ORD0045203,SUP0280,W017,P03147,3,2022-04-03,2022-04-18,2022-04-16,Delivered,Delhivery,68.4,-2
SHP000189,ORD0091981,SUP0066,W027,P00357,3,2023-11-03,2023-11-05,2023-11-03,Delayed,Blue Dart,125.25,-2
SHP000190,ORD0034427,SUP0072,W014,P04505,2,2024-01-12,2024-01-25,2024-01-30,Delivered,Shadowfax,410.02,5
SHP000191,ORD0180650,SUP0163,W007,P01623,1,2022-05-03,2022-05-06,2022-05-08,Delivered,Blue Dart,426.79,2
SHP000192,ORD0155446,SUP0046,W011,P01479,1,2022-12-26,2023-01-07,2023-01-06,Delivered,Shadowfax,448.74,-1
SHP000193,ORD0019385,SUP0075,W012,P02895,2,2024-10-08,2024-10-16,2024-10-18,Delivered,Blue Dart,159.27,2
SHP000194,ORD0106100,SUP0094,W016,P04131,3,2023-02-22,2023-03-06,2023-03-05,Delivered,Shadowfax,355.2,-1
SHP000195,ORD0050018,SUP0335,W027,P03125,1,2024-01-20,2024-01-27,2024-01-28,Delivered,Delhivery,409.73,1
SHP000196,ORD0125362,SUP0340,W026,P00859,2,2024-05-20,2024-06-03,2024-06-04,Delayed,Blue Dart,217.53,1
SHP000197,ORD0078478,SUP0113,W009,P03338,3,2023-09-16,2023-09-19,2023-09-24,Delivered,Blue Dart,480.76,5
SHP000198,ORD0033983,SUP0301,W022,P04019,1,2022-07-13,2022-07-24,2022-07-27,Delayed,Shadowfax,126.2,3
SHP000199,ORD0046059,SUP0208,W029,P01871,2,2024-07-21,2024-07-27,2024-07-28,In Transit,DTDC,287.87,1
SHP000200,ORD0088288,SUP0132,W001,P04097,2,2023-03-31,2023-04-13,2023-04-12,In Transit,Ekart,202.64,-1
SHP000201,ORD0036667,SUP0380,W007,P02806,2,2024-06-07,2024-06-14,2024-06-18,Delivered,Blue Dart,478.94,4
SHP000202,ORD0063596,SUP0046,W029,P03630,1,2022-10-19,2022-10-31,2022-10-31,Delivered,Delhivery,69.67,0
SHP000203,ORD0054234,SUP0312,W018,P03751,3,2024-12-02,2024-12-09,2024-12-08,Delivered,Delhivery,409.49,-1
SHP000204,ORD0107259,SUP0008,W026,P00697,2,2024-04-16,2024-04-23,2024-04-28,Delivered,Delhivery,99.24,5
SHP000205,ORD0166071,SUP0234,W029,P02121,1,2024-07-09,2024-07-17,2024-07-22,In Transit,Delhivery,298.67,5
SHP000206,ORD0162335,SUP0085,W027,P00532,2,2024-11-25,2024-12-05,2024-12-09,Delayed,Blue Dart,69.32,4
SHP000207,ORD0189624,SUP0002,W029,P01234,3,2023-10-06,2023-10-10,2023-10-15,Delivered,Delhivery,134.86,5
SHP000208,ORD0164434,SUP0284,W005,P00740,2,2023-04-11,2023-04-24,2023-04-27,Delivered,Shadowfax,299.6,3
SHP000209,ORD0040303,SUP0280,W012,P00502,3,2023-07-08,2023-07-16,2023-07-21,Delivered,Delhivery,57.39,5
