movement_id,inventory_id,from_location,to_location,quantity,movement_date,reason,approved_by
MV0000050,INV021487,W015,W003,179,2022-01-28,Stocktake Adjustment,E01180
MV0000051,INV019191,W020,W002,168,2024-11-12,Replenishment,E01596
MV0000052,INV017224,W013,W001,61,2023-04-21,Return,E00387
MV0000053,INV004122,W028,W029,67,2022-08-16,Damage Write-off,E02158
MV0000054,INV017806,W027,W003,122,2024-10-18,Inter-store Transfer,E02231
MV0000055,INV004317,W014,W024,186,2022-11-21,Damage Write-off,E01951
MV0000056,INV003741,W026,W026,95,2022-09-23,Inter-store Transfer,E00617
MV0000057,INV016228,W001,W009,96,2024-05-23,Stocktake Adjustment,E00643
MV0000058,INV007569,W013,W018,80,2024-02-21,Damage Write-off,E01266
MV0000059,INV015287,W017,W011,194,2022-06-12,Stocktake Adjustment,E00405
MV0000060,INV017578,W002,W025,113,2023-04-29,Stocktake Adjustment,E02051
MV0000061,INV017692,W008,W008,154,2022-06-06,Inter-store Transfer,E02132
MV0000062,INV009478,W009,W024,13,2023-08-29,Replenishment,E01241
MV0000063,INV005908,W008,W002,15,2023-04-19,Inter-store Transfer,E02254
MV0000064,INV000193,W014,W029,56,2023-05-27,Stocktake Adjustment,E01786
MV0000065,INV004337,W017,W001,106,2022-09-18,Damage Write-off,E02461
MV0000066,INV002757,W029,W014,139,2024-11-18,Inter-store Transfer,E02436
MV0000067,INV018925,W012,W017,108,2023-12-19,Damage Write-off,E00689
MV0000068,INV013477,W013,W013,90,2024-05-03,Inter-store Transfer,E00376
MV0000069,INV017315,W012,W015,161,2024-11-26,Stocktake Adjustment,E02392
MV0000070,INV013767,W004,W026,134,2022-08-18,Return,E01833
MV0000071,INV005171,W029,W012,69,2024-07-24,Stocktake Adjustment,E00154
MV0000072,INV010442,W014,W010,161,2024-07-24,Damage Write-off,E00392
MV0000073,INV019819,W002,W001,82,2023-12-18,Damage Write-off,E02267
MV0000074,INV003415,W026,W001,159,2024-03-06,Inter-store Transfer,E02057
MV0000075,INV015970,W020,W009,178,2023-02-27,Return,E01945
MV0000076,INV014072,W014,W001,17,2024-12-05,Inter-store Transfer,E01110
MV0000077,INV021322,W024,W023,76,2022-05-30,Inter-store Transfer,E01741
MV0000078,INV012442,W026,W006,144,2022-07-03,Damage Write-off,E01241
MV0000079,INV023351,W003,W010,71,2023-05-17,Stocktake Adjustment,E00805
MV0000080,INV001152,W003,W006,74,2022-10-22,Replenishment,E01007
MV0000081,INV016978,W029,W024,4,2023-03-23,Return,E02144
MV0000082,INV007347,W027,W025,130,2024-11-05,Replenishment,E01409
MV0000083,INV018541,W016,W011,106,2022-10-28,Damage Write-off,E00743
MV0000084,INV010383,W004,W020,162,2024-03-16,Damage Write-off,E00598
MV0000085,INV011039,W008,W023,50,2023-08-03,Replenishment,E01428
MV0000086,INV013657,W030,W015,138,2022-12-14,Inter-store Transfer,E00255
MV0000087,INV001228,W013,W025,169,2024-07-05,Stocktake Adjustment,E02045
MV0000088,INV001452,W018,W022,105,2022-02-25,Inter-store Transfer,E01418
MV0000089,INV023085,W012,W001,30,2024-04-06,Damage Write-off,E02494
MV0000090,INV021705,W014,W021,28,2023-04-02,Damage Write-off,E01841
MV0000091,INV017601,W018,W008,36,2023-02-28,Damage Write-off,E01579
MV0000092,INV004581,W018,W026,41,2024-09-23,Damage Write-off,E01012
MV0000093,INV017998,W003,W009,21,2022-08-04,Inter-store Transfer,E00117
MV0000094,INV015056,W030,W027,170,2022-08-27,Replenishment,E00033
MV0000095,INV015455,W023,W002,48,2024-05-24,Return,E00822
MV0000096,INV012780,W029,W026,51,2023-06-02,Inter-store Transfer,E00393
MV0000097,INV022189,W024,W021,189,2022-09-17,Inter-store Transfer,E01911
MV0000098,INV024364,W022,W028,65,2022-02-19,Inter-store Transfer,E01412
MV0000099,INV020514,W011,W030,30,2022-07-03,Damage Write-off,E00328
MV0000100,INV018044,W018,W022,111,2024-06-04,Inter-store Transfer,E01105
MV0000101,INV004153,W006,W030,96,2022-09-03,Inter-store Transfer,E01346
MV0000102,INV017864,W019,W002,197,2022-06-20,Stocktake Adjustment,E01930
MV0000103,INV000416,W004,W017,121,2023-02-25,Replenishment,E00036
MV0000104,INV009567,W026,W020,27,2023-02-06,Damage Write-off,E01919
MV0000105,INV001092,W001,W023,143,2023-10-08,Return,E00642
MV0000106,INV016798,W029,W016,181,2022-09-15,Return,E01597
MV0000107,INV005111,W023,W003,171,2023-01-30,Return,E01193
MV0000108,INV020366,W009,W022,85,2023-04-25,Stocktake Adjustment,E02221
MV0000109,INV007756,W004,W014,87,2022-11-25,Stocktake Adjustment,E02216
MV0000110,INV007464,W012,W028,34,2024-06-06,Stocktake Adjustment,E01382
MV0000111,INV010461,W027,W008,125,2023-06-21,Stocktake Adjustment,E00238
MV0000112,INV014694,W014,W013,142,2024-04-21,Return,E00605
MV0000113,INV005096,W029,W021,94,2024-08-12,Inter-store Transfer,E00507
MV0000114,INV009479,W002,W018,38,2022-08-14,Inter-store Transfer,E00466
MV0000115,INV004928,W002,W016,91,2023-08-07,Inter-store Transfer,E01663
MV0000116,INV015479,W001,W015,166,2024-08-27,Replenishment,E00324
MV0000117,INV008477,W029,W030,42,2024-08-25,Stocktake Adjustment,E01340
MV0000118,INV020051,W022,W013,45,2023-02-06,Return,E01543
MV0000119,INV024603,W020,W021,79,2023-10-22,Replenishment,E02369
MV0000120,INV024318,W027,W023,185,2024-07-12,Replenishment,E00786
MV0000121,INV011197,W020,W016,8,2023-03-19,Stocktake Adjustment,E01889
MV0000122,INV020698,W010,W026,179,2022-08-12,Replenishment,E01888
MV0000123,INV006412,W025,W002,181,2023-02-04,Return,E02039
MV0000124,INV001844,W021,W018,140,2024-10-06,Damage Write-off,E01665
MV0000125,INV015294,W014,W006,173,2024-08-05,Stocktake Adjustment,E00573
MV0000126,INV019398,W012,W003,47,2022-03-29,Inter-store Transfer,E00255
MV0000127,INV009283,W024,W010,184,2024-01-17,Stocktake Adjustment,E00184
MV0000128,INV001089,W015,W005,19,2022-09-02,Return,E01219
MV0000129,INV021594,W018,W020,148,2022-08-09,Inter-store Transfer,E00771
MV0000130,INV008991,W012,W007,100,2022-09-05,Inter-store Transfer,E02221
MV0000131,INV016974,W025,W010,163,2023-03-11,Inter-store Transfer,E00370
MV0000132,INV002033,W019,W026,44,2022-06-14,Stocktake Adjustment,E02420
MV0000133,INV004669,W013,W006,42,2023-03-23,Replenishment,E00446
MV0000134,INV014231,W024,W023,134,2023-01-16,Inter-store Transfer,E01462
MV0000135,INV018728,W011,W002,99,2024-05-23,Return,E02230
MV0000136,INV004019,W023,W018,97,2022-02-27,Return,E02204
MV0000137,INV001861,W002,W018,16,2023-09-15,Replenishment,E00303
MV0000138,INV024140,W009,W020,69,2024-09-21,Replenishment,E00302
MV0000139,INV019306,W011,W012,124,2022-05-25,Damage Write-off,E00045
MV0000140,INV009648,W030,W015,93,2023-05-29,Inter-store Transfer,E00680
MV0000141,INV001307,W007,W021,97,2022-06-24,Replenishment,E02221
MV0000142,INV022001,W004,W010,94,2024-08-16,Return,E00109
MV0000143,INV000560,W029,W012,169,2024-08-20,Stocktake Adjustment,E01790
MV0000144,INV009261,W007,W016,64,2023-05-17,Damage Write-off,E00308
MV0000145,INV001258,W030,W017,80,2022-01-30,Return,E02463
MV0000146,INV011173,W028,W003,76,2024-05-19,Stocktake Adjustment,E01035
MV0000147,INV000777,W011,W018,16,2022-09-24,Stocktake Adjustment,E00761
MV0000148,INV012725,W005,W006,12,2022-05-22,Return,E01642
MV0000149,INV024725,W012,W028,164,2024-03-14,Replenishment,E01701
MV0000150,INV014080,W023,W012,21,2022-08-11,Replenishment,E02359
MV0000151,INV005832,W019,W003,132,2022-04-23,Inter-store Transfer,E00580
MV0000152,INV003995,W028,W007,28,2022-10-29,Return,E00211
MV0000153,INV023652,W029,W020,3,2024-11-15,Damage Write-off,E01390
MV0000154,INV021715,W023,W019,133,2023-03-04,Return,E00975
MV0000155,INV009763,W023,W013,195,2024-05-17,Replenishment,E01485
MV0000156,INV010312,W008,W011,119,2023-02-22,Inter-store Transfer,E00051
MV0000157,INV008348,W015,W024,11,2023-11-27,Replenishment,E01029
MV0000158,INV022786,W025,W005,131,2024-09-15,Inter-store Transfer,E00241
MV0000159,INV008839,W027,W011,160,2023-08-26,Inter-store Transfer,E00659
MV0000160,INV016736,W005,W004,159,2022-03-01,Inter-store Transfer,E01031
MV0000161,INV011935,W013,W015,46,2024-09-05,Stocktake Adjustment,E01900
MV0000162,INV023794,W030,W010,102,2023-05-12,Replenishment,E01664
MV0000163,INV021536,W012,W016,50,2023-12-17,Inter-store Transfer,E00123
MV0000164,INV017911,W023,W026,48,2022-07-10,Stocktake Adjustment,E02375
MV0000165,INV023971,W016,W030,92,2024-02-11,Damage Write-off,E00370
MV0000166,INV023234,W020,W014,95,2024-02-18,Replenishment,E02283
MV0000167,INV017416,W029,W012,146,2022-02-19,Stocktake Adjustment,E00683
MV0000168,INV008960,W005,W030,154,2022-07-14,Return,E01965
MV0000169,INV020223,W006,W014,180,2023-12-19,Return,E00762
MV0000170,INV005766,W002,W014,10,2024-10-06,Damage Write-off,E02376
MV0000171,INV010541,W012,W028,141,2023-12-03,Inter-store Transfer,E01025
MV0000172,INV011334,W016,W018,9,2022-07-18,Replenishment,E01012
MV0000173,INV003742,W012,W010,116,2023-07-01,Inter-store Transfer,E01910
MV0000174,INV014591,W007,W005,191,2022-08-04,Replenishment,E01806
MV0000175,INV000946,W004,W016,98,2022-03-16,Inter-store Transfer,E02369
MV0000176,INV019124,W013,W006,186,2024-04-19,Stocktake Adjustment,E00159
MV0000177,INV003884,W019,W002,107,2023-06-25,Return,E02028
MV0000178,INV021091,W005,W010,70,2024-05-19,Inter-store Transfer,E00324
MV0000179,INV004607,W004,W030,117,2022-02-04,Damage Write-off,E00318
MV0000180,INV003151,W022,W020,181,2022-08-07,Inter-store Transfer,E00208
MV0000181,INV024973,W008,W002,101,2023-12-14,Return,E01570
MV0000182,INV018881,W015,W004,67,2022-11-05,Return,E00350
MV0000183,INV008374,W009,W026,133,2022-12-02,Inter-store Transfer,E01306
MV0000184,INV017698,W014,W019,61,2024-07-24,Replenishment,E01774
MV0000185,INV017937,W001,W023,81,2022-01-17,Replenishment,E01293
MV0000186,INV005576,W016,W017,178,2022-09-20,Replenishment,E01367
MV0000187,INV020797,W019,W006,128,2023-09-24,Stocktake Adjustment,E00015
MV0000188,INV022080,W012,W027,140,2024-05-09,Return,E01765
MV0000189,INV002819,W030,W026,17,2023-06-12,Replenishment,E00364
MV0000190,INV005849,W011,W019,16,2023-04-06,Replenishment,E02256
MV0000191,INV012146,W010,W015,25,2022-07-04,Replenishment,E00798
MV0000192,INV004321,W001,W007,68,2022-08-05,Stocktake Adjustment,E02209
MV0000193,INV019780,W028,W015,195,2023-12-08,Stocktake Adjustment,E01316
MV0000194,INV011515,W017,W027,112,2024-08-05,Return,E01298
MV0000195,INV017032,W016,W016,159,2022-06-26,Return,E01555
MV0000196,INV012456,W029,W007,57,2022-03-17,Replenishment,E01202
MV0000197,INV006307,W014,W016,159,2022-05-09,Replenishment,E01679
MV0000198,INV021799,W029,W017,66,2024-04-26,Damage Write-off,E02389
MV0000199,INV016846,W014,W028,105,2023-09-20,Return,E00913
MV0000200,INV024274,W014,W027,107,2023-08-16,Return,E01180
MV0000201,INV001981,W017,W014,108,2022-09-23,Replenishment,E01119
MV0000202,INV011313,W006,W007,186,2023-11-04,Replenishment,E00994
MV0000203,INV011687,W011,W006,170,2024-03-05,Return,E00726
MV0000204,INV003450,W016,W006,147,2022-03-30,Stocktake Adjustment,E01815
MV0000205,INV012692,W018,W013,8,2024-07-22,Inter-store Transfer,E02157
MV0000206,INV023199,W024,W008,125,2024-06-28,Damage Write-off,E00168
MV0000207,INV020542,W005,W021,180,2024-06-19,Return,E01785
MV0000208,INV000440,W011,W002,63,2023-03-10,Return,E01644
MV0000209,INV011494,W015,W009,65,2022-05-01,Inter-store Transfer,E00365
MV0000210,INV016135,W022,W006,17,2024-01-08,Inter-store Transfer,E01876
MV0000211,INV013306,W023,W013,175,2022-11-15,Replenishment,E01465
MV0000212,INV004818,W016,W023,185,2022-12-18,Return,E01958
MV0000213,INV011209,W011,W001,3,2024-03-30,Inter-store Transfer,E01666
MV0000214,INV011996,W003,W018,118,2024-09-21,Stocktake Adjustment,E01662
MV0000215,INV004887,W014,W003,82,2023-01-28,Stocktake Adjustment,E02466
MV0000216,INV009124,W029,W024,97,2023-12-31,Stocktake Adjustment,E00575
MV0000217,INV003781,W027,W027,138,2022-07-27,Inter-store Transfer,E00785
MV0000218,INV006530,W025,W003,14,2024-08-18,Stocktake Adjustment,E01102
MV0000219,INV000465,W007,W019,118,2023-11-20,Inter-store Transfer,E01666
MV0000220,INV005245,W010,W008,132,2022-08-05,Replenishment,E01848
MV0000221,INV009954,W020,W002,70,2023-07-30,Return,E00198
MV0000222,INV021961,W005,W001,33,2023-06-08,Stocktake Adjustment,E01419
MV0000223,INV009436,W017,W011,63,2023-05-25,Inter-store Transfer,E01257
MV0000224,INV003372,W008,W026,183,2023-03-26,Stocktake Adjustment,E00521
MV0000225,INV021878,W016,W012,67,2024-12-20,Inter-store Transfer,E01646
MV0000226,INV004815,W004,W022,166,2023-07-28,Replenishment,E02497
MV0000227,INV012733,W005,W013,149,2024-07-08,Stocktake Adjustment,E00346
MV0000228,INV001129,W011,W015,39,2022-01-14,Replenishment,E01538
MV0000229,INV000362,W006,W017,188,2023-01-21,Damage Write-off,E02131
MV0000230,INV003297,W027,W024,116,2024-09-30,Damage Write-off,E00444
MV0000231,INV007123,W012,W003,127,2023-05-23,Inter-store Transfer,E00253
MV0000232,INV022995,W003,W022,191,2022-12-18,Inter-store Transfer,E01582
MV0000233,INV012797,W005,W026,196,2023-04-08,Damage Write-off,E01077
MV0000234,INV019964,W030,W018,81,2024-10-02,Return,E02073
MV0000235,INV023543,W015,W007,89,2022-04-13,Replenishment,E01150
MV0000236,INV006771,W010,W025,151,2024-07-22,Damage Write-off,E00143
MV0000237,INV021358,W006,W027,91,2024-01-06,Replenishment,E01122
MV0000238,INV021722,W019,W013,129,2023-02-25,Damage Write-off,E01933
MV0000239,INV006631,W005,W013,182,2022-05-24,Damage Write-off,E00034
MV0000240,INV004876,W023,W011,165,2023-03-23,Return,E01093
MV0000241,INV015987,W019,W022,2,2023-04-21,Damage Write-off,E02492
MV0000242,INV003746,W018,W008,145,2023-06-25,Stocktake Adjustment,E00605
MV0000243,INV011164,W017,W013,24,2023-08-01,Replenishment,E01356
MV0000244,INV008597,W010,W013,101,2024-11-07,Replenishment,E01928
MV0000245,INV003521,W014,W026,149,2023-09-12,Return,E02031
MV0000246,INV021413,W017,W029,149,2023-01-28,Replenishment,E01913
MV0000247,INV012202,W014,W013,196,2023-12-12,Return,E00254
MV0000248,INV024546,W014,W001,163,2022-02-13,Replenishment,E01018
MV0000249,INV011144,W013,W012,28,2023-07-15,Damage Write-off,E00897
MV0000250,INV010399,W019,W019,6,2024-05-17,Stocktake Adjustment,E00016
MV0000251,INV001871,W012,W027,10,2023-03-19,Return,E01867
MV0000252,INV009909,W014,W016,113,2022-10-23,Stocktake Adjustment,E00178
MV0000253,INV008294,W017,W004,162,2024-03-23,Stocktake Adjustment,E01700
MV0000254,INV016508,W023,W011,25,2022-02-19,Stocktake Adjustment,E00239
MV0000255,INV003681,W028,W004,11,2022-09-08,Damage Write-off,E00445
MV0000256,INV024613,W009,W007,51,2023-12-02,Inter-store Transfer,E01574
MV0000257,INV014744,W024,W018,24,2024-07-08,Return,E00216
MV0000258,INV021864,W027,W026,161,2023-08-26,Inter-store Transfer,E01884
MV0000259,INV016018,W006,W015,112,2022-12-06,Stocktake Adjustment,E00201
MV0000260,INV009204,W025,W016,113,2024-04-24,Return,E01520
MV0000261,INV010611,W020,W025,96,2023-07-30,Damage Write-off,E00790
MV0000262,INV007190,W027,W012,179,2024-07-06,Return,E02321
MV0000263,INV008432,W017,W023,11,2023-04-21,Return,E00856
MV0000264,INV024638,W015,W027,101,2023-12-21,Inter-store Transfer,E00028
MV0000265,INV021612,W005,W020,151,2022-06-06,Inter-store Transfer,E02330
MV0000266,INV016778,W028,W008,114,2024-10-20,Replenishment,E01706
MV0000267,INV002911,W023,W011,134,2022-08-24,Stocktake Adjustment,E00524
MV0000268,INV007471,W019,W029,73,2023-04-14,Damage Write-off,E01108
MV0000269,INV004777,W014,W022,138,2023-10-29,Return,E01868
MV0000270,INV017095,W012,W004,6,2022-05-03,Damage Write-off,E01104
MV0000271,INV003687,W022,W012,81,2023-01-23,Replenishment,E01066
MV0000272,INV017661,W015,W023,97,2024-04-22,Damage Write-off,E00553
MV0000273,INV000101,W004,W024,71,2023-11-06,Damage Write-off,E01421
MV0000274,INV009084,W013,W023,114,2024-10-28,Inter-store Transfer,E01868
MV0000275,INV016518,W015,W024,61,2023-10-24,Replenishment,E02211
MV0000276,INV006929,W013,W007,75,2024-07-22,Replenishment,E01068
MV0000277,INV015023,W023,W015,104,2023-10-04,Damage Write-off,E02060
MV0000278,INV013463,W014,W019,131,2023-12-02,Inter-store Transfer,E01857
MV0000279,INV022747,W004,W026,76,2024-04-15,Stocktake Adjustment,E02354
MV0000280,INV017995,W012,W011,119,2022-08-08,Replenishment,E00740
MV0000281,INV010224,W014,W001,111,2022-11-22,Damage Write-off,E00367
MV0000282,INV015044,W016,W018,109,2024-01-11,Inter-store Transfer,E01201
MV0000283,INV017728,W008,W029,81,2024-03-23,Stocktake Adjustment,E00025
MV0000284,INV008535,W006,W028,14,2022-05-02,Inter-store Transfer,E00839
MV0000285,INV008942,W025,W018,8,2024-12-18,Stocktake Adjustment,E00488
MV0000286,INV014608,W026,W009,179,2023-07-28,Stocktake Adjustment,E00041
MV0000287,INV001447,W029,W021,121,2022-01-31,Damage Write-off,E02459
MV0000288,INV022136,W008,W016,163,2024-07-13,Damage Write-off,E01801
MV0000289,INV019696,W001,W015,14,2022-08-15,Stocktake Adjustment,E00594
MV0000290,INV015410,W021,W010,90,2023-04-06,Stocktake Adjustment,E01691
MV0000291,INV018678,W020,W030,178,2023-11-25,Damage Write-off,E00100
MV0000292,INV003555,W020,W005,106,2024-02-09,Return,E00987
MV0000293,INV012789,W021,W023,49,2024-09-04,Return,E02132
MV0000294,INV014191,W018,W015,36,2024-07-03,Stocktake Adjustment,E01933
MV0000295,INV016326,W010,W003,44,2022-05-28,Inter-store Transfer,E00373
MV0000296,INV015290,W009,W002,39,2024-07-01,Return,E01838
MV0000297,INV002799,W020,W026,96,2024-09-30,Stocktake Adjustment,E01332
MV0000298,INV021493,W014,W019,46,2023-02-25,Inter-store Transfer,E00770
MV0000299,INV007079,W027,W021,34,2022-08-06,Stocktake Adjustment,E01521
MV0000300,INV020358,W012,W003,109,2023-04-21,Replenishment,E01145
MV0000301,INV015146,W011,W003,149,2024-10-25,Replenishment,E01402
MV0000302,INV011574,W016,W012,11,2022-04-08,Damage Write-off,E01685
MV0000303,INV001573,W005,W007,78,2022-05-31,Inter-store Transfer,E02151
MV0000304,INV021178,W022,W022,76,2023-07-30,Return,E01289
MV0000305,INV020504,W008,W004,60,2024-05-15,Inter-store Transfer,E02165
MV0000306,INV019315,W003,W003,189,2022-08-16,Stocktake Adjustment,E02446
MV0000307,INV022050,W010,W003,21,2023-02-09,Return,E00649
MV0000308,INV015554,W004,W020,186,2024-10-19,Replenishment,E02427
MV0000309,INV005551,W002,W023,12,2022-03-22,Damage Write-off,E00534
MV0000310,INV019026,W028,W017,81,2024-05-25,Damage Write-off,E01356
MV0000311,INV001658,W008,W005,108,2022-11-13,Inter-store Transfer,E00070
MV0000312,INV019934,W006,W003,163,2022-12-09,Stocktake Adjustment,E01224
MV0000313,INV017440,W017,W015,22,2024-09-11,Inter-store Transfer,E01883
MV0000314,INV013723,W022,W014,34,2024-06-28,Return,E00110
MV0000315,INV007553,W025,W010,115,2022-08-30,Return,E01687
MV0000316,INV004277,W015,W016,62,2023-09-26,Damage Write-off,E01588
MV0000317,INV014834,W028,W026,8,2024-03-20,Stocktake Adjustment,E01756
MV0000318,INV015988,W020,W029,50,2024-09-07,Replenishment,E00057
MV0000319,INV016239,W024,W024,30,2022-02-09,Replenishment,E00858
MV0000320,INV021962,W014,W028,145,2023-04-03,Return,E01568
MV0000321,INV014198,W008,W002,69,2023-10-25,Replenishment,E00505
MV0000322,INV010930,W024,W019,81,2024-11-14,Stocktake Adjustment,E01221
MV0000323,INV024832,W017,W028,172,2024-03-30,Inter-store Transfer,E02110
MV0000324,INV019643,W001,W022,103,2022-10-07,Return,E02201
MV0000325,INV001780,W024,W029,56,2024-07-12,Inter-store Transfer,E02385
MV0000326,INV009838,W019,W013,37,2022-10-18,Replenishment,E01910
MV0000327,INV020164,W026,W004,89,2023-09-11,Inter-store Transfer,E00122
MV0000328,INV013706,W022,W015,116,2024-03-29,Inter-store Transfer,E00041
MV0000329,INV010810,W018,W016,160,2023-08-06,Replenishment,E02144
MV0000330,INV015691,W026,W010,183,2023-08-24,Inter-store Transfer,E00131
MV0000331,INV001754,W015,W005,99,2023-07-18,Inter-store Transfer,E01872
MV0000332,INV014221,W026,W002,78,2022-08-29,Damage Write-off,E00169
MV0000333,INV007038,W001,W027,184,2023-09-07,Return,E00171
MV0000334,INV020614,W009,W003,196,2023-06-05,Replenishment,E01438
MV0000335,INV012059,W005,W007,150,2024-10-08,Return,E01684
MV0000336,INV010506,W012,W030,177,2024-08-31,Inter-store Transfer,E00543
MV0000337,INV010444,W004,W002,154,2022-01-05,Inter-store Transfer,E01855
MV0000338,INV008175,W003,W023,154,2022-05-17,Return,E01969
MV0000339,INV002551,W014,W026,37,2022-05-19,Inter-store Transfer,E00189
MV0000340,INV020832,W012,W025,171,2022-02-01,Stocktake Adjustment,E01391
MV0000341,INV004562,W016,W022,125,2024-04-10,Damage Write-off,E00234
MV0000342,INV006402,W022,W017,14,2022-01-05,Replenishment,E02295
MV0000343,INV016647,W014,W030,141,2022-05-25,Return,E00256
MV0000344,INV000083,W007,W026,111,2024-07-10,Damage Write-off,E00618
MV0000345,INV002862,W007,W021,172,2024-07-22,Return,E00634
MV0000346,INV003179,W017,W005,194,2023-04-27,Inter-store Transfer,E01847
MV0000347,INV006546,W016,W021,18,2023-09-03,Replenishment,E01767
MV0000348,INV015541,W024,W003,45,2023-07-28,Stocktake Adjustment,E00086
MV0000349,INV015346,W021,W007,151,2022-11-27,Return,E01844
MV0000350,INV011262,W019,W003,45,2022-10-18,Damage Write-off,E02186
MV0000351,INV011791,W007,W020,159,2022-09-11,Stocktake Adjustment,E01937
MV0000352,INV013362,W026,W015,130,2024-03-25,Replenishment,E00414
MV0000353,INV012141,W013,W030,152,2023-08-19,Damage Write-off,E02279
MV0000354,INV024430,W008,W011,156,2022-09-25,Stocktake Adjustment,E00361
MV0000355,INV006912,W001,W003,7,2024-01-24,Return,E00727
MV0000356,INV011882,W023,W009,32,2024-07-04,Replenishment,E02284
MV0000357,INV024461,W027,W022,73,2022-07-21,Replenishment,E01033
MV0000358,INV010130,W016,W011,41,2022-02-10,Damage Write-off,E01389
MV0000359,INV013066,W029,W022,97,2023-06-20,Return,E01345
MV0000360,INV015100,W009,W005,41,2023-09-30,Replenishment,E02162
MV0000361,INV006056,W014,W005,46,2022-08-15,Stocktake Adjustment,E01516
MV0000362,INV017820,W012,W021,150,2023-07-16,Replenishment,E01051
MV0000363,INV018294,W021,W006,90,2022-11-18,Return,E00390
MV0000364,INV017116,W011,W004,100,2022-05-02,Return,E01058
MV0000365,INV005842,W030,W018,87,2022-02-16,Replenishment,E01569
MV0000366,INV010537,W006,W025,129,2024-01-29,Replenishment,E00769
MV0000367,INV009217,W028,W008,81,2024-08-01,Inter-store Transfer,E02287
MV0000368,INV016041,W005,W018,116,2022-05-30,Inter-store Transfer,E02058
MV0000369,INV009817,W020,W029,25,2022-10-18,Stocktake Adjustment,E01313
