product_id,product_name,category,sub_category,brand,color,size,style_tag,season,price,mrp,cost_price,launch_date,is_active,supplier_id,weight_grams,margin_pct
P00017,Blackberrys Scarf Mint,Accessories,Scarf,Blackberrys,Green,XS,ethnic,Festive,6480,8707.89,2534.76,2020-09-14,True,SUP0024,1027,60.88
P00018,Mango Puffer Jacket Cream,Outerwear,Puffer Jacket,Mango,Yellow,L,minimalist,Monsoon,8502,9521.55,3504.61,2020-09-09,True,SUP0103,979,58.78
P00019,Libas Bra Olive,Innerwear,Bra,Libas,White,M,streetwear,All Season,577,658.6,233.06,2021-12-26,True,SUP0251,1390,59.61
P00020,Numero Uno Trousers Navy,Bottoms,Trousers,Numero Uno,Green,XS,casual,All Season,3932,5085.25,1806.16,2024-01-28,True,SUP0255,1819,54.07
P00021,H&M Sneakers Maroon,Footwear,Sneakers,H&M,Navy,S,casual,Winter,4425,6371.92,2325.81,2024-02-05,True,SUP0221,1708,47.44
P00022,Marks & Spencer Running Shoes Grey,Activewear,Running Shoes,Marks & Spencer,Orange,Free Size,ethnic,Monsoon,3122,3438.46,1797.87,2022-04-10,True,SUP0033,214,42.41
P00023,FabIndia Churidar Green,Ethnic Wear,Churidar,FabIndia,Navy,S,bohemian,Summer,2353,3271.2,1255.48,2022-07-01,True,SUP0305,1785,46.64
P00024,Allen Solly Kurti Purple,Tops,Kurti,Allen Solly,Blue,S,sporty,Winter,4849,6141.2,2278.28,2024-02-24,True,SUP0038,864,53.02
P00025,Dressberry Anarkali Navy,Ethnic Wear,Anarkali,Dressberry,Blue,S,formal,Winter,1165,1637.66,473.79,2023-05-13,True,SUP0334,1875,59.33
P00026,The Souled Store Sherwani Teal,Ethnic Wear,Sherwani,The Souled Store,Yellow,Free Size,casual,Monsoon,3244,3800.08,1837.89,2022-09-22,True,SUP0089,1612,43.34
P00027,Allen Solly Jeans Brown,Bottoms,Jeans,Allen Solly,Orange,L,party,Festive,2261,3089.52,957.85,2021-11-19,True,SUP0128,748,57.64
P00028,Reebok Casual Dress Olive,Dresses,Casual Dress,Reebok,Cream,S,streetwear,Summer,5141,6689.44,2343.18,2024-04-10,True,SUP0034,652,54.42
P00029,Allen Solly Polo Mustard,Tops,Polo,Allen Solly,Green,XXL,party,All Season,1392,1559.35,587.9,2021-03-19,False,SUP0194,466,57.77
P00030,Levis Dhoti Grey,Ethnic Wear,Dhoti,Levis,Coral,XS,sporty,Summer,3061,4212.92,1334.36,2023-10-16,True,SUP0258,1976,56.41
P00031,Bewakoof Sports Bra Blue,Activewear,Sports Bra,Bewakoof,Cream,XL,luxury,Monsoon,1349,1577.09,554.35,2020-11-18,True,SUP0192,804,58.91
P00032,Here&Now Mini Dress Olive,Dresses,Mini Dress,Here&Now,Red,XXL,party,Winter,10881,12966.54,6258.15,2020-02-26,True,SUP0030,1365,42.49
P00033,Wrangler Gym Vest Grey,Activewear,Gym Vest,Wrangler,Brown,XS,minimalist,Winter,1698,2470.13,696.11,2021-04-18,True,SUP0315,1044,59.0
P00034,Myntra Lehenga Coral,Dresses,Lehenga,Myntra,White,XL,office,Monsoon,8012,9227.1,2818.34,2020-07-15,True,SUP0090,1492,64.82
P00035,Lee Sweatshirt Brown,Tops,Sweatshirt,Lee,Purple,Free Size,minimalist,Winter,3343,4061.46,1282.15,2023-11-05,False,SUP0317,1539,61.65
P00036,Mamaearth Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Mamaearth,Teal,S,minimalist,Summer,792,985.0,304.48,2023-05-01,True,SUP0329,134,61.56
P00037,Global Desi Dhoti Red,Ethnic Wear,Dhoti,Global Desi,Green,Free Size,sporty,Festive,1972,2516.06,801.62,2021-05-12,True,SUP0227,1598,59.35
P00038,Uniqlo Sports Shoes Cream,Footwear,Sports Shoes,Uniqlo,Black,S,ethnic,Festive,5636,7848.98,3159.88,2022-06-30,True,SUP0019,928,43.93
P00039,FabIndia Thermal Innerwear Mint,Innerwear,Thermal Innerwear,FabIndia,Cream,M,minimalist,All Season,601,712.24,298.62,2020-02-01,True,SUP0384,1502,50.31
P00040,Reebok Gym Vest White,Activewear,Gym Vest,Reebok,Red,L,party,Monsoon,518,639.89,262.26,2024-05-19,True,SUP0117,1333,49.37
P00041,Only Blazer Grey,Outerwear,Blazer,Only,Navy,XL,sporty,Summer,12081,16978.46,4897.26,2021-01-30,True,SUP0100,1559,59.46
P00042,Pepe Jeans Hoodie Coral,Tops,Hoodie,Pepe Jeans,Cream,M,sporty,Monsoon,1596,2261.51,796.5,2023-02-27,True,SUP0222,1803,50.09
P00043,Blackberrys Chinos Teal,Bottoms,Chinos,Blackberrys,Orange,S,luxury,Monsoon,1230,1529.87,452.11,2021-07-12,False,SUP0180,128,63.24
P00044,Only Track Pants Olive,Activewear,Track Pants,Only,Red,M,formal,Monsoon,434,626.64,247.57,2022-04-20,False,SUP0387,327,42.96
P00045,Pepe Jeans Gym Vest Olive,Activewear,Gym Vest,Pepe Jeans,Grey,Free Size,bohemian,Winter,984,1294.47,376.35,2020-04-19,True,SUP0396,958,61.75
P00046,Tommy Hilfiger Gym Vest Blue,Activewear,Gym Vest,Tommy Hilfiger,Grey,XL,party,Festive,4437,5708.82,2625.38,2020-11-08,True,SUP0025,1478,40.83
P00047,Decathlon Watch Blue,Accessories,Watch,Decathlon,Black,XS,formal,Winter,1354,1554.0,548.45,2020-11-28,True,SUP0157,637,59.49
P00048,Levis Watch Green,Accessories,Watch,Levis,Navy,XS,formal,Summer,4779,5367.96,2757.92,2022-10-31,True,SUP0361,281,42.29
P00049,Levis Saree Beige,Dresses,Saree,Levis,Purple,M,casual,All Season,4454,5139.38,2518.28,2020-02-06,True,SUP0057,1788,43.46
P00050,Blackberrys Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Blackberrys,Orange,S,minimalist,All Season,410,460.89,236.75,2021-04-14,True,SUP0384,1813,42.26
P00051,Koovs Dupatta Mustard,Ethnic Wear,Dupatta,Koovs,Maroon,S,ethnic,Monsoon,2862,4266.26,1090.41,2020-07-13,True,SUP0070,1454,61.9
P00052,Allen Solly Thermal Innerwear Black,Innerwear,Thermal Innerwear,Allen Solly,Red,S,luxury,Festive,637,804.14,368.58,2021-06-18,True,SUP0304,1228,42.14
P00053,LIFE Sports Shoes Red,Footwear,Sports Shoes,LIFE,Olive,L,luxury,Festive,720,813.12,253.54,2020-06-27,True,SUP0207,1797,64.79
P00054,Global Desi Mini Dress Mint,Dresses,Mini Dress,Global Desi,Red,XL,office,Festive,9283,12937.79,5098.8,2024-02-22,True,SUP0099,1298,45.07
P00055,Reebok Boots Coral,Footwear,Boots,Reebok,Mint,M,casual,All Season,5394,6768.05,3096.0,2024-05-29,False,SUP0181,1608,42.6
P00056,Mango Belt Mint,Accessories,Belt,Mango,Teal,S,casual,All Season,5716,8519.34,2444.29,2021-04-24,False,SUP0190,1862,57.24
P00057,Peter England Boxers Teal,Innerwear,Boxers,Peter England,Pink,XXL,bohemian,Monsoon,241,344.85,114.75,2024-02-11,True,SUP0028,1075,52.39
P00058,Tommy Hilfiger Handbag Grey,Accessories,Handbag,Tommy Hilfiger,Black,L,luxury,Winter,6067,7082.78,3134.2,2020-06-08,True,SUP0305,115,48.34
P00059,True Blue Blouse Pink,Tops,Blouse,True Blue,Maroon,XS,ethnic,Summer,2114,3049.88,1267.44,2023-09-25,True,SUP0385,114,40.05
P00060,Only Tank Top Mustard,Tops,Tank Top,Only,Coral,Free Size,bohemian,Winter,4868,5397.8,2620.09,2021-05-28,False,SUP0366,1101,46.18
P00061,Numero Uno Dhoti Mustard,Ethnic Wear,Dhoti,Numero Uno,Brown,M,formal,Winter,4750,5962.72,2513.98,2023-06-15,True,SUP0084,1529,47.07
P00062,Nike Skirt Mustard,Bottoms,Skirt,Nike,Red,XXL,ethnic,Winter,1710,1883.99,973.54,2023-04-01,False,SUP0090,166,43.07
P00063,Here&Now Socks Purple,Innerwear,Socks,Here&Now,Maroon,M,sporty,Winter,230,330.64,86.67,2021-01-06,True,SUP0055,1335,62.32
P00064,FabIndia Sandals Red,Footwear,Sandals,FabIndia,Navy,S,party,Winter,1287,1635.57,554.25,2023-08-14,True,SUP0312,393,56.93
P00065,Bewakoof Thermal Innerwear Cream,Innerwear,Thermal Innerwear,Bewakoof,Coral,XL,luxury,Monsoon,763,1135.44,376.02,2020-12-01,True,SUP0362,646,50.72
P00066,LIFE Boxers Olive,Innerwear,Boxers,LIFE,Teal,XL,bohemian,All Season,253,321.84,93.78,2022-11-08,True,SUP0276,475,62.93
P00067,Myntra Oxford Brown,Footwear,Oxford,Myntra,Blue,XL,ethnic,Summer,567,734.25,322.47,2020-08-30,True,SUP0039,1569,43.13
P00068,Marks & Spencer Casual Dress Black,Dresses,Casual Dress,Marks & Spencer,Beige,Free Size,sporty,Summer,4498,5655.77,1669.1,2022-09-10,True,SUP0189,1215,62.89
P00069,W Mini Dress Grey,Dresses,Mini Dress,W,Teal,L,minimalist,All Season,11450,15415.03,6054.64,2024-02-22,True,SUP0383,122,47.12
P00070,Spykar Jacket Purple,Outerwear,Jacket,Spykar,Mint,XS,casual,Summer,13595,19282.39,7886.24,2022-05-01,True,SUP0374,1437,41.99
P00071,Pepe Jeans Trousers Pink,Bottoms,Trousers,Pepe Jeans,Teal,XL,luxury,Winter,3736,4537.83,1954.09,2021-10-18,True,SUP0378,1099,47.7
P00072,Cover Story Gym Vest White,Activewear,Gym Vest,Cover Story,Yellow,XXL,bohemian,Festive,4871,7149.81,2150.34,2020-05-17,True,SUP0076,1915,55.85
P00073,Only Polo Brown,Tops,Polo,Only,Cream,XXL,minimalist,Monsoon,3934,5076.71,2274.04,2024-03-27,True,SUP0111,1977,42.2
P00074,Libas Kurti Red,Tops,Kurti,Libas,Navy,Free Size,casual,Monsoon,1341,1980.86,590.92,2022-08-17,False,SUP0182,336,55.93
P00075,U.S. Polo Boots Blue,Footwear,Boots,U.S. Polo,Green,M,ethnic,Monsoon,2391,3009.39,882.26,2020-11-24,True,SUP0153,1387,63.1
P00076,W Chinos Red,Bottoms,Chinos,W,Brown,L,luxury,Festive,3656,4689.8,1330.06,2023-06-07,True,SUP0035,998,63.62
P00077,Marks & Spencer Jacket White,Outerwear,Jacket,Marks & Spencer,Mustard,S,party,All Season,1952,2369.46,995.71,2024-03-10,True,SUP0326,1938,48.99
P00078,H&M Thermal Innerwear Beige,Innerwear,Thermal Innerwear,H&M,Navy,XS,formal,Monsoon,229,291.99,129.12,2020-02-24,True,SUP0138,1679,43.62
P00079,Biba Coat Black,Outerwear,Coat,Biba,Mint,Free Size,party,Summer,12296,15530.14,4625.42,2023-11-18,True,SUP0072,1016,62.38
P00080,All About You Leggings Black,Bottoms,Leggings,All About You,Red,S,office,All Season,1761,2085.53,840.54,2021-10-07,True,SUP0123,497,52.27
P00081,Libas Belt Cream,Accessories,Belt,Libas,Orange,S,bohemian,Festive,3971,4814.44,2047.2,2022-07-08,False,SUP0018,690,48.45
P00082,Adidas Wallet Olive,Accessories,Wallet,Adidas,Purple,XL,luxury,All Season,4962,7326.4,2876.19,2022-05-20,True,SUP0312,1319,42.04
P00083,Mango Sherwani Green,Ethnic Wear,Sherwani,Mango,Coral,L,party,Summer,2234,3047.56,1240.1,2024-03-14,True,SUP0161,1725,44.49
P00084,Vero Moda Chinos Teal,Bottoms,Chinos,Vero Moda,Mint,M,streetwear,Festive,968,1337.31,338.93,2023-05-04,True,SUP0101,443,64.99
P00085,Arrow Socks Blue,Innerwear,Socks,Arrow,Navy,XL,office,Monsoon,538,608.42,249.55,2022-07-26,True,SUP0230,1048,53.62
P00086,Cover Story Handbag Beige,Accessories,Handbag,Cover Story,Navy,XXL,formal,Summer,4071,4760.77,1757.47,2022-11-30,False,SUP0135,1604,56.83
P00087,Libas Jacket Teal,Outerwear,Jacket,Libas,Mint,S,ethnic,All Season,8835,10001.34,4252.99,2023-02-08,True,SUP0126,776,51.86
P00088,Global Desi Skirt White,Bottoms,Skirt,Global Desi,Purple,XXL,office,Winter,3841,4263.27,1352.42,2023-12-28,True,SUP0194,1350,64.79
P00089,Roadster Trousers Navy,Bottoms,Trousers,Roadster,Yellow,M,office,Festive,1330,1963.2,788.21,2021-06-12,True,SUP0130,561,40.74
P00090,Dressberry Running Shoes Mustard,Activewear,Running Shoes,Dressberry,Yellow,L,streetwear,All Season,4931,6003.08,2913.77,2021-08-04,True,SUP0223,329,40.91
P00091,Lee Casual Dress Coral,Dresses,Casual Dress,Lee,Green,M,streetwear,Summer,831,1227.46,330.58,2023-01-13,True,SUP0267,647,60.22
P00092,Koovs Cap Navy,Accessories,Cap,Koovs,Brown,S,office,Summer,3368,4687.12,1809.89,2020-06-12,True,SUP0040,112,46.26
P00093,Zara Hoodie Red,Tops,Hoodie,Zara,Brown,Free Size,casual,All Season,4636,5317.58,2534.55,2021-02-26,True,SUP0337,1392,45.33
P00094,Aurelia Sherwani Navy,Ethnic Wear,Sherwani,Aurelia,Red,XL,casual,All Season,2294,3344.14,1009.08,2022-11-09,True,SUP0116,402,56.01
P00095,FabIndia Bra Coral,Innerwear,Bra,FabIndia,Mint,Free Size,streetwear,Winter,387,470.14,152.07,2023-09-04,True,SUP0136,1355,60.71
P00096,Mamaearth Sandals Red,Footwear,Sandals,Mamaearth,Purple,Free Size,casual,All Season,4401,5027.04,2271.61,2021-10-15,True,SUP0281,1690,48.38
P00097,Peter England Track Pants Orange,Activewear,Track Pants,Peter England,Red,M,streetwear,Monsoon,3193,4230.78,1857.12,2024-03-17,True,SUP0075,1436,41.84
P00098,Spykar Mini Dress Mustard,Dresses,Mini Dress,Spykar,Purple,XS,party,All Season,9979,11155.79,5805.26,2022-05-03,True,SUP0128,503,41.83
P00099,Arrow Jacket Orange,Outerwear,Jacket,Arrow,Mustard,XXL,sporty,Summer,10840,12445.04,4374.67,2023-09-17,True,SUP0391,926,59.64
P00100,Pepe Jeans Joggers Blue,Bottoms,Joggers,Pepe Jeans,Navy,M,ethnic,Monsoon,4532,5364.72,1910.09,2022-01-08,True,SUP0002,1119,57.85
P00101,Adidas Kurta Navy,Ethnic Wear,Kurta,Adidas,Orange,M,casual,Winter,2768,3045.47,1296.62,2022-08-20,True,SUP0079,1326,53.16
P00102,Aurelia Salwar Suit White,Dresses,Salwar Suit,Aurelia,Coral,L,bohemian,All Season,5230,7221.58,2948.52,2021-03-17,True,SUP0008,1044,43.62
P00103,Spykar Salwar Suit Mustard,Dresses,Salwar Suit,Spykar,Orange,L,sporty,Monsoon,10140,13637.75,4031.28,2021-01-09,True,SUP0135,768,60.24
P00104,Vero Moda Kurti White,Tops,Kurti,Vero Moda,Red,XXL,ethnic,Festive,4719,6621.69,1671.78,2022-03-11,True,SUP0147,431,64.57
P00105,LIFE Boxers Pink,Innerwear,Boxers,LIFE,Blue,XL,ethnic,Summer,261,289.53,117.96,2020-08-26,True,SUP0056,1269,54.8
P00106,All About You Skirt Maroon,Bottoms,Skirt,All About You,Red,L,streetwear,Winter,3533,4415.38,1988.27,2021-01-24,True,SUP0081,666,43.72
P00107,Global Desi Handbag Mint,Accessories,Handbag,Global Desi,Pink,XS,bohemian,All Season,420,550.99,168.51,2020-10-02,True,SUP0267,1966,59.88
P00108,Zara Scarf Black,Accessories,Scarf,Zara,Green,L,sporty,Winter,3936,4348.92,2200.16,2022-05-25,True,SUP0212,910,44.1
P00109,U.S. Polo Kurta Navy,Ethnic Wear,Kurta,U.S. Polo,Mustard,Free Size,formal,All Season,208,237.73,89.8,2023-11-01,True,SUP0094,746,56.83
P00110,Global Desi Boots Coral,Footwear,Boots,Global Desi,Olive,XS,party,All Season,1674,1961.57,970.64,2021-01-27,True,SUP0001,270,42.02
P00111,Koovs Handbag Teal,Accessories,Handbag,Koovs,Teal,Free Size,minimalist,Monsoon,7054,8553.11,3022.29,2023-01-01,True,SUP0346,563,57.15
P00112,Louis Philippe Salwar Suit Grey,Dresses,Salwar Suit,Louis Philippe,Orange,M,bohemian,All Season,7793,10190.18,4079.23,2022-07-23,False,SUP0175,802,47.66
P00113,Nykaa Fashion Track Pants White,Activewear,Track Pants,Nykaa Fashion,Coral,XXL,streetwear,Festive,2327,2982.96,1211.52,2022-01-09,True,SUP0275,503,47.94
P00114,Dressberry Sherwani Blue,Ethnic Wear,Sherwani,Dressberry,Teal,S,bohemian,Monsoon,3208,3576.17,1622.64,2022-09-02,False,SUP0365,1365,49.42
P00115,Numero Uno Thermal Innerwear Mint,Innerwear,Thermal Innerwear,Numero Uno,Green,Free Size,luxury,Monsoon,667,789.25,359.51,2021-11-13,True,SUP0357,232,46.1
P00116,U.S. Polo Briefs Coral,Innerwear,Briefs,U.S. Polo,Mustard,L,bohemian,Summer,305,420.92,111.72,2021-08-17,True,SUP0219,1109,63.37
P00117,True Blue Evening Gown Orange,Dresses,Evening Gown,True Blue,White,XL,casual,Winter,3768,4249.2,1515.91,2022-04-13,True,SUP0020,1646,59.77
P00118,Wrangler Denim Jacket Yellow,Outerwear,Denim Jacket,Wrangler,Navy,L,ethnic,Summer,11440,15735.46,6754.17,2020-06-09,True,SUP0108,203,40.96
P00119,Decathlon Sweatshirt Olive,Tops,Sweatshirt,Decathlon,Beige,Free Size,sporty,Monsoon,4654,6074.04,1751.96,2023-07-07,True,SUP0315,571,62.36
P00120,Cover Story Denim Jacket Mint,Outerwear,Denim Jacket,Cover Story,Blue,Free Size,office,Winter,885,1269.71,524.79,2020-07-18,False,SUP0378,589,40.7
P00121,Reebok Handbag Mustard,Accessories,Handbag,Reebok,Olive,L,streetwear,Winter,4882,7120.98,2818.82,2023-04-04,True,SUP0214,193,42.26
P00122,Myntra Puffer Jacket Red,Outerwear,Puffer Jacket,Myntra,Purple,XL,bohemian,All Season,10065,12118.91,4638.33,2021-04-04,False,SUP0214,471,53.92
P00123,Spykar Blazer Blue,Outerwear,Blazer,Spykar,Cream,M,party,Summer,2953,3904.83,1322.71,2022-04-29,False,SUP0200,1264,55.21
P00124,Bewakoof Hoodie Brown,Tops,Hoodie,Bewakoof,Orange,Free Size,minimalist,All Season,2400,3410.58,1165.65,2024-04-12,True,SUP0219,559,51.43
P00125,Calvin Klein Socks Olive,Innerwear,Socks,Calvin Klein,Blue,XL,formal,All Season,709,941.4,255.29,2021-07-20,True,SUP0193,1214,63.99
P00126,H&M Shirt Mustard,Tops,Shirt,H&M,Red,XL,casual,Festive,875,991.78,518.91,2020-12-24,True,SUP0013,1710,40.7
P00127,Peter England Boxers Coral,Innerwear,Boxers,Peter England,Olive,S,formal,Monsoon,367,526.5,215.35,2021-09-21,True,SUP0119,822,41.32
P00128,Reebok Puffer Jacket Purple,Outerwear,Puffer Jacket,Reebok,Blue,L,bohemian,Monsoon,5199,5828.71,2542.21,2021-01-06,True,SUP0337,1531,51.1
P00129,Libas Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Libas,Orange,XL,sporty,All Season,287,387.43,156.68,2023-09-13,False,SUP0154,760,45.41
P00130,FabIndia Hoodie Olive,Tops,Hoodie,FabIndia,Green,M,formal,Winter,555,696.41,249.95,2023-07-09,True,SUP0126,216,54.96
P00131,Biba Blouse Beige,Tops,Blouse,Biba,Maroon,XL,minimalist,Monsoon,3524,5179.61,1404.99,2023-12-08,True,SUP0196,1841,60.13
P00132,Adidas Evening Gown Pink,Dresses,Evening Gown,Adidas,Coral,XXL,casual,Festive,4264,4955.52,2223.32,2022-12-14,True,SUP0288,1094,47.86
P00133,H&M Flats Teal,Footwear,Flats,H&M,Grey,S,bohemian,Winter,5393,6970.31,3136.07,2020-10-06,True,SUP0105,304,41.85
P00134,U.S. Polo Boots Grey,Footwear,Boots,U.S. Polo,Yellow,XXL,luxury,All Season,1330,1777.31,538.0,2024-01-01,False,SUP0244,1521,59.55
P00135,Numero Uno Oxford Brown,Footwear,Oxford,Numero Uno,Maroon,Free Size,bohemian,Winter,5657,7758.47,3219.75,2022-05-28,True,SUP0286,637,43.08
P00136,W Sweatshirt Beige,Tops,Sweatshirt,W,Green,XS,sporty,All Season,1667,2240.24,611.37,2022-07-03,True,SUP0085,1549,63.33
P00137,Cover Story Kurta Teal,Ethnic Wear,Kurta,Cover Story,Brown,L,luxury,Summer,4906,6301.66,2605.25,2023-12-19,True,SUP0189,680,46.9
P00138,Bewakoof Crop Top Purple,Tops,Crop Top,Bewakoof,White,S,luxury,Winter,2510,3313.22,904.6,2020-03-26,True,SUP0392,681,63.96
P00139,Dressberry Jacket Navy,Outerwear,Jacket,Dressberry,Olive,S,streetwear,Summer,13360,18246.62,5154.24,2020-08-15,True,SUP0200,366,61.42
P00140,Reebok Boxers Black,Innerwear,Boxers,Reebok,Cream,L,office,Festive,775,865.02,371.54,2020-08-02,True,SUP0343,324,52.06
P00141,Marks & Spencer Socks White,Innerwear,Socks,Marks & Spencer,Mustard,S,minimalist,Festive,484,678.64,175.68,2022-07-05,True,SUP0037,1273,63.7
P00142,Allen Solly Coat Grey,Outerwear,Coat,Allen Solly,Grey,L,formal,Monsoon,8743,10701.71,4079.24,2024-05-23,True,SUP0394,1141,53.34
P00143,Tommy Hilfiger Trousers Black,Bottoms,Trousers,Tommy Hilfiger,Cream,XL,casual,Festive,2211,2602.46,1160.05,2023-12-10,True,SUP0283,1114,47.53
P00144,Global Desi Blouse Mustard,Tops,Blouse,Global Desi,Mustard,XS,luxury,Summer,2008,2328.36,925.35,2023-04-04,True,SUP0170,1395,53.92
P00145,All About You Wallet Purple,Accessories,Wallet,All About You,Maroon,S,minimalist,Winter,4382,6307.74,1847.38,2021-03-10,True,SUP0022,840,57.84
P00146,The Souled Store Belt Teal,Accessories,Belt,The Souled Store,Green,XL,ethnic,All Season,5368,7035.54,2510.29,2020-05-09,True,SUP0010,913,53.24
P00147,Nykaa Fashion Sneakers Maroon,Footwear,Sneakers,Nykaa Fashion,Coral,Free Size,ethnic,All Season,1376,1683.04,697.54,2024-04-23,True,SUP0122,1917,49.31
P00148,Reebok Running Shoes Navy,Activewear,Running Shoes,Reebok,Yellow,XXL,minimalist,Monsoon,3981,4699.41,1601.07,2021-04-08,True,SUP0190,1683,59.78
P00149,Dressberry Gym Vest Maroon,Activewear,Gym Vest,Dressberry,Navy,M,luxury,Monsoon,822,1091.1,475.35,2022-12-01,True,SUP0330,296,42.17
P00150,Wrangler Blazer Green,Outerwear,Blazer,Wrangler,White,XXL,sporty,Monsoon,6833,9254.74,3033.92,2022-03-14,True,SUP0245,416,55.6
P00151,Blackberrys Blazer Grey,Outerwear,Blazer,Blackberrys,Maroon,XXL,party,Monsoon,9047,9976.79,4929.64,2020-12-29,True,SUP0093,390,45.51
P00152,Louis Philippe Sunglasses Cream,Accessories,Sunglasses,Louis Philippe,Cream,L,formal,Winter,7180,8144.1,2649.28,2024-01-05,True,SUP0024,584,63.1
P00153,Uniqlo Blazer Maroon,Outerwear,Blazer,Uniqlo,Black,Free Size,sporty,All Season,6803,7817.4,3904.82,2022-12-19,True,SUP0177,1852,42.6
P00154,All About You Wallet Yellow,Accessories,Wallet,All About You,Brown,Free Size,casual,All Season,4682,5254.02,2647.45,2023-02-21,True,SUP0173,1583,43.45
P00155,Forever 21 Maxi Dress Brown,Dresses,Maxi Dress,Forever 21,White,XXL,bohemian,Summer,4545,6205.56,2296.06,2023-06-25,False,SUP0121,1839,49.48
P00156,Mango Sports Shoes Grey,Footwear,Sports Shoes,Mango,White,XL,party,All Season,1543,1969.06,544.32,2023-06-22,True,SUP0073,1365,64.72
P00157,All About You T-Shirt Olive,Tops,T-Shirt,All About You,Beige,Free Size,party,All Season,349,461.52,183.29,2022-01-11,True,SUP0034,1167,47.48
P00158,Dressberry Kurta Beige,Ethnic Wear,Kurta,Dressberry,Olive,XS,streetwear,All Season,770,847.83,419.93,2023-10-05,True,SUP0182,959,45.46
P00159,Cover Story Briefs Red,Innerwear,Briefs,Cover Story,Cream,Free Size,ethnic,Summer,563,697.91,205.34,2024-01-03,False,SUP0085,841,63.53
P00160,AND Denim Jacket Green,Outerwear,Denim Jacket,AND,White,S,party,Winter,5243,7163.58,2394.97,2020-06-13,True,SUP0149,118,54.32
P00161,FabIndia Loafers Purple,Footwear,Loafers,FabIndia,Grey,XS,formal,Monsoon,5200,7283.99,3084.44,2020-05-18,True,SUP0179,1354,40.68
P00162,Allen Solly Churidar White,Ethnic Wear,Churidar,Allen Solly,White,M,bohemian,All Season,1493,2156.66,583.55,2023-08-10,True,SUP0060,148,60.91
P00163,Libas Puffer Jacket Brown,Outerwear,Puffer Jacket,Libas,Orange,XL,bohemian,Festive,12053,13345.67,5656.85,2021-08-30,False,SUP0095,1036,53.07
P00164,Blackberrys Oxford Olive,Footwear,Oxford,Blackberrys,Mint,Free Size,minimalist,Winter,4530,6534.64,2202.07,2020-10-03,True,SUP0019,888,51.39
P00165,Wrangler Joggers Mustard,Bottoms,Joggers,Wrangler,Coral,XXL,sporty,Winter,1803,2603.52,673.41,2020-11-18,True,SUP0247,1981,62.65
