product_id,product_name,category,sub_category,brand,color,size,style_tag,season,price,mrp,cost_price,launch_date,is_active,supplier_id,weight_grams,margin_pct,total_qty_sold,total_revenue,avg_sale_price,avg_discount,n_transactions,online_share,avg_rating,review_count,pct_positive,pct_negative,return_count,total_stock,avg_days_on_hand,stockout_locations,return_rate,sell_through_rate,velocity_class,category_enc,sub_category_enc,brand_enc,season_enc,style_tag_enc,color_enc
P00011,Biba Sports Shoes White,Footwear,Sports Shoes,Biba,Yellow,XS,casual,Festive,5512,7298.79,2097.05,2021-06-03,True,SUP0337,955,61.95,110,594249.95,5765.956935483871,0.050483870967741935,62,0.7580645161290323,4.04,25,76.0,8.0,9.0,1646.0,88.05714285714285,1.0,0.0818,0.0626,A,5,51,7,1,1,19
P00012,Myntra Jeans Cream,Bottoms,Jeans,Myntra,Orange,XXL,minimalist,Festive,3754,5380.97,2090.26,2023-02-23,True,SUP0369,487,44.32,82,333461.66,4102.206851851852,0.06018518518518518,54,0.6851851851851852,4.166666666666667,18,77.77777777777779,0.0,2.0,768.0,37.8,0.0,0.0244,0.0965,C,2,25,29,1,5,13
P00013,Nike Puffer Jacket Red,Outerwear,Puffer Jacket,Nike,Orange,M,streetwear,Festive,14568,21074.55,8540.77,2021-02-28,False,SUP0133,716,41.37,104,1589052.46,16600.955901639347,0.06426229508196721,61,0.639344262295082,4.086956521739131,23,73.91304347826086,8.695652173913043,11.0,520.0,11.733333333333333,1.0,0.1058,0.1667,B,7,38,30,1,9,13
P00014,Nykaa Fashion Jacket White,Outerwear,Jacket,Nykaa Fashion,Teal,XS,minimalist,Winter,7544,9108.88,3177.04,2022-10-08,True,SUP0305,1615,57.89,120,842534.9299999999,7485.160588235294,0.0763235294117647,68,0.6764705882352942,3.4444444444444446,18,50.0,16.666666666666664,5.0,1012.0,37.333333333333336,0.0,0.0417,0.106,A,7,24,32,4,5,17
P00015,Pepe Jeans Wallet Blue,Accessories,Wallet,Pepe Jeans,Orange,Free Size,minimalist,Monsoon,881,988.71,372.46,2020-02-14,True,SUP0020,157,57.72,94,75183.84,887.3816393442622,0.050491803278688525,61,0.6229508196721312,4.0,17,82.35294117647058,11.76470588235294,13.0,1342.0,91.94000000000001,1.0,0.1383,0.0655,C,0,59,34,2,5,13
P00016,Mango Maxi Dress Mint,Dresses,Maxi Dress,Mango,Purple,L,streetwear,Monsoon,2499,2795.21,962.0,2022-07-26,True,SUP0356,1865,61.5,97,253048.46,2768.3112903225806,0.07741935483870968,62,0.6774193548387096,3.8125,16,68.75,25.0,10.0,894.0,26.380000000000003,2.0,0.1031,0.0979,B,3,33,27,2,9,15
P00017,Blackberrys Scarf Mint,Accessories,Scarf,Blackberrys,Green,XS,ethnic,Festive,6480,8707.89,2534.76,2020-09-14,True,SUP0024,1027,60.88,69,371158.79,5859.8962,0.0444,50,0.56,3.6842105263157894,19,57.89473684210527,15.789473684210526,5.0,1722.0,110.88,0.0,0.0725,0.0385,C,0,43,8,1,2,6
P00018,Mango Puffer Jacket Cream,Outerwear,Puffer Jacket,Mango,Yellow,L,minimalist,Monsoon,8502,9521.55,3504.61,2020-09-09,True,SUP0103,979,58.78,104,782274.21,7870.14,0.059838709677419354,62,0.6774193548387096,3.909090909090909,22,68.18181818181817,18.181818181818183,8.0,1169.0,26.8,1.0,0.0769,0.0817,B,7,38,27,2,5,19
P00019,Libas Bra Olive,Innerwear,Bra,Libas,White,M,streetwear,All Season,577,658.6,233.06,2021-12-26,True,SUP0251,1390,59.61,89,50454.270000000004,604.6980357142857,0.065,56,0.5357142857142857,4.0,21,76.19047619047619,9.523809523809524,7.0,876.0,16.775,0.0,0.0787,0.0922,C,6,6,24,0,9,18
P00020,Numero Uno Trousers Navy,Bottoms,Trousers,Numero Uno,Green,XS,casual,All Season,3932,5085.25,1806.16,2024-01-28,True,SUP0255,1819,54.07,87,337888.52,4075.6826315789476,0.055614035087719296,57,0.6140350877192983,3.8,25,68.0,16.0,8.0,537.0,12.1,1.0,0.092,0.1394,C,2,58,31,0,1,6
P00021,H&M Sneakers Maroon,Footwear,Sneakers,H&M,Navy,S,casual,Winter,4425,6371.92,2325.81,2024-02-05,True,SUP0221,1708,47.44,59,279743.52999999997,4541.1125581395345,0.06488372093023256,43,0.6744186046511628,4.090909090909091,11,81.81818181818183,9.090909090909092,10.0,414.0,106.16666666666667,1.0,0.1695,0.1247,C,5,48,16,4,1,11
P00022,Marks & Spencer Running Shoes Grey,Activewear,Running Shoes,Marks & Spencer,Orange,Free Size,ethnic,Monsoon,3122,3438.46,1797.87,2022-04-10,True,SUP0033,214,42.41,110,276060.42,2834.9614516129036,0.05919354838709677,62,0.6129032258064516,4.071428571428571,14,78.57142857142857,14.285714285714285,6.0,1010.0,175.9333333333333,0.0,0.0545,0.0982,A,1,39,28,2,2,13
P00023,FabIndia Churidar Green,Ethnic Wear,Churidar,FabIndia,Navy,S,bohemian,Summer,2353,3271.2,1255.48,2022-07-01,True,SUP0305,1785,46.64,106,199521.32,2059.748235294118,0.0575,68,0.5735294117647058,3.727272727272727,22,63.63636363636363,22.727272727272727,4.0,1734.0,26.383333333333336,4.0,0.0377,0.0576,B,4,11,13,3,0,11
P00024,Allen Solly Kurti Purple,Tops,Kurti,Allen Solly,Blue,S,sporty,Winter,4849,6141.2,2278.28,2024-02-24,True,SUP0038,864,53.02,77,329411.92,4362.825490196078,0.061960784313725495,51,0.6078431372549019,4.1,20,75.0,5.0,7.0,938.0,103.375,1.0,0.0909,0.0759,C,8,29,3,4,8,2
P00025,Dressberry Anarkali Navy,Ethnic Wear,Anarkali,Dressberry,Blue,S,formal,Winter,1165,1637.66,473.79,2023-05-13,True,SUP0334,1875,59.33,109,137235.75,1283.0261904761903,0.06587301587301587,63,0.6190476190476191,4.035714285714286,28,78.57142857142857,10.714285714285714,19.0,2797.0,124.6,1.0,0.1743,0.0375,A,4,0,12,4,3,2
P00026,The Souled Store Sherwani Teal,Ethnic Wear,Sherwani,The Souled Store,Yellow,Free Size,casual,Monsoon,3244,3800.08,1837.89,2022-09-22,True,SUP0089,1612,43.34,74,201349.53,2931.8287755102037,0.05836734693877551,49,0.673469387755102,3.75,24,54.166666666666664,20.833333333333336,9.0,2166.0,31.922222222222224,1.0,0.1216,0.033,C,4,44,40,2,1,19
P00027,Allen Solly Jeans Brown,Bottoms,Jeans,Allen Solly,Orange,L,party,Festive,2261,3089.52,957.85,2021-11-19,True,SUP0128,748,57.64,115,243520.83000000002,2094.680142857143,0.05128571428571428,70,0.6285714285714286,4.129032258064516,31,90.32258064516128,6.451612903225806,7.0,493.0,39.300000000000004,0.0,0.0609,0.1891,A,2,25,3,1,7,13
P00028,Reebok Casual Dress Olive,Dresses,Casual Dress,Reebok,Cream,S,streetwear,Summer,5141,6689.44,2343.18,2024-04-10,True,SUP0034,652,54.42,91,432540.57,4757.036896551725,0.05224137931034483,58,0.6724137931034483,4.0625,16,68.75,6.25,10.0,1317.0,21.96666666666667,1.0,0.1099,0.0646,C,3,9,37,3,9,5
P00029,Allen Solly Polo Mustard,Tops,Polo,Allen Solly,Green,XXL,party,All Season,1392,1559.35,587.9,2021-03-19,False,SUP0194,466,57.77,64,87113.88,1525.4646666666667,0.05244444444444444,45,0.6,4.4375,16,93.75,6.25,8.0,1690.0,38.983333333333334,0.0,0.125,0.0365,C,8,37,3,0,7,6
P00030,Levis Dhoti Grey,Ethnic Wear,Dhoti,Levis,Coral,XS,sporty,Summer,3061,4212.92,1334.36,2023-10-16,True,SUP0258,1976,56.41,70,159487.75,2517.3293023255815,0.08488372093023255,43,0.627906976744186,3.7142857142857144,21,61.904761904761905,19.047619047619047,2.0,443.0,53.2,1.0,0.0286,0.1365,C,4,16,23,3,8,4
P00031,Bewakoof Sports Bra Blue,Activewear,Sports Bra,Bewakoof,Cream,XL,luxury,Monsoon,1349,1577.09,554.35,2020-11-18,True,SUP0192,804,58.91,91,114463.06999999999,1427.509827586207,0.060517241379310346,58,0.6724137931034483,4.260869565217392,23,73.91304347826086,0.0,13.0,777.0,14.680000000000001,0.0,0.1429,0.1048,C,1,50,6,2,4,5
P00032,Here&Now Mini Dress Olive,Dresses,Mini Dress,Here&Now,Red,XXL,party,Winter,10881,12966.54,6258.15,2020-02-26,True,SUP0030,1365,42.49,115,1085882.98,10281.723333333333,0.06634920634920634,63,0.6984126984126984,3.7222222222222223,18,61.111111111111114,16.666666666666664,4.0,999.0,32.62,1.0,0.0348,0.1032,A,3,34,17,4,7,16
P00033,Wrangler Gym Vest Grey,Activewear,Gym Vest,Wrangler,Brown,XS,minimalist,Winter,1698,2470.13,696.11,2021-04-18,True,SUP0315,1044,59.0,106,167091.24,1659.4112676056338,0.06112676056338028,71,0.6901408450704225,3.9130434782608696,23,78.26086956521739,17.391304347826086,9.0,1200.0,38.78,1.0,0.0849,0.0812,B,1,20,48,4,5,3
P00034,Myntra Lehenga Coral,Dresses,Lehenga,Myntra,White,XL,office,Monsoon,8012,9227.1,2818.34,2020-07-15,True,SUP0090,1492,64.82,108,704002.9400000001,6836.489117647059,0.058676470588235295,68,0.6470588235294118,3.8214285714285716,28,71.42857142857143,17.857142857142858,7.0,3239.0,42.28333333333333,1.0,0.0648,0.0323,B,3,31,29,2,6,18
P00035,Lee Sweatshirt Brown,Tops,Sweatshirt,Lee,Purple,Free Size,minimalist,Winter,3343,4061.46,1282.15,2023-11-05,False,SUP0317,1539,61.65,96,287468.18,3301.3481967213115,0.07131147540983605,61,0.7049180327868853,3.923076923076923,13,69.23076923076923,15.384615384615385,4.0,1743.0,23.633333333333336,0.0,0.0417,0.0522,B,8,53,22,4,5,15
P00036,Mamaearth Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Mamaearth,Teal,S,minimalist,Summer,792,985.0,304.48,2023-05-01,True,SUP0329,134,61.56,92,73034.47,847.3814516129032,0.05322580645161291,62,0.7258064516129032,3.5,20,60.0,30.0,3.0,1746.0,31.0,0.0,0.0326,0.0501,C,6,56,26,3,5,17
P00037,Global Desi Dhoti Red,Ethnic Wear,Dhoti,Global Desi,Green,Free Size,sporty,Festive,1972,2516.06,801.62,2021-05-12,True,SUP0227,1598,59.35,97,183106.98,1879.6971875,0.0403125,64,0.578125,3.6153846153846154,26,57.692307692307686,23.076923076923077,5.0,3379.0,60.715384615384615,3.0,0.0515,0.0279,B,4,16,15,1,8,6
P00038,Uniqlo Sports Shoes Cream,Footwear,Sports Shoes,Uniqlo,Black,S,ethnic,Festive,5636,7848.98,3159.88,2022-06-30,True,SUP0019,928,43.93,101,503348.49,5423.073134328359,0.05746268656716418,67,0.7014925373134329,3.8214285714285716,28,64.28571428571429,14.285714285714285,7.0,1885.0,33.13333333333333,1.0,0.0693,0.0509,B,5,51,44,1,2,1
P00039,FabIndia Thermal Innerwear Mint,Innerwear,Thermal Innerwear,FabIndia,Cream,M,minimalist,All Season,601,712.24,298.62,2020-02-01,True,SUP0384,1502,50.31,107,60192.68,577.2534920634921,0.056666666666666664,63,0.7936507936507936,3.625,16,62.5,18.75,2.0,2296.0,39.910000000000004,0.0,0.0187,0.0445,B,6,56,13,0,5,5
P00040,Reebok Gym Vest White,Activewear,Gym Vest,Reebok,Red,L,party,Monsoon,518,639.89,262.26,2024-05-19,True,SUP0117,1333,49.37,125,54325.78,492.48785714285714,0.06628571428571428,70,0.6857142857142857,4.0,30,70.0,13.333333333333334,7.0,747.0,12.48,2.0,0.056,0.1433,A,1,20,37,2,7,16
P00041,Only Blazer Grey,Outerwear,Blazer,Only,Navy,XL,sporty,Summer,12081,16978.46,4897.26,2021-01-30,True,SUP0100,1559,59.46,88,1061403.83,12563.371818181817,0.047636363636363636,55,0.7272727272727273,4.3076923076923075,13,76.92307692307693,7.6923076923076925,7.0,936.0,25.933333333333334,0.0,0.0795,0.0859,C,7,2,33,3,8,11
P00042,Pepe Jeans Hoodie Coral,Tops,Hoodie,Pepe Jeans,Cream,M,sporty,Monsoon,1596,2261.51,796.5,2023-02-27,True,SUP0222,1803,50.09,121,169261.01,1521.2069333333334,0.05866666666666667,75,0.5733333333333334,3.607142857142857,28,57.14285714285714,14.285714285714285,5.0,1262.0,29.919999999999998,0.0,0.0413,0.0875,A,8,23,34,2,8,5
P00043,Blackberrys Chinos Teal,Bottoms,Chinos,Blackberrys,Orange,S,luxury,Monsoon,1230,1529.87,452.11,2021-07-12,False,SUP0180,128,63.24,78,78520.94,1097.2552830188679,0.062075471698113206,53,0.660377358490566,3.764705882352941,17,64.70588235294117,17.647058823529413,5.0,1223.0,50.6,1.0,0.0641,0.06,C,2,10,8,2,4,13
P00044,Only Track Pants Olive,Activewear,Track Pants,Only,Red,M,formal,Monsoon,434,626.64,247.57,2022-04-20,False,SUP0387,327,42.96,100,35885.479999999996,400.0715625,0.06203125,64,0.65625,4.03125,32,78.125,6.25,6.0,1276.0,47.633333333333326,0.0,0.06,0.0727,B,1,57,33,2,3,16
P00045,Pepe Jeans Gym Vest Olive,Activewear,Gym Vest,Pepe Jeans,Grey,Free Size,bohemian,Winter,984,1294.47,376.35,2020-04-19,True,SUP0396,958,61.75,100,87557.14,947.0771428571429,0.05714285714285714,63,0.6825396825396826,3.5833333333333335,24,58.333333333333336,20.833333333333336,13.0,1844.0,21.05,0.0,0.13,0.0514,B,1,20,34,4,0,7
P00046,Tommy Hilfiger Gym Vest Blue,Activewear,Gym Vest,Tommy Hilfiger,Grey,XL,party,Festive,4437,5708.82,2625.38,2020-11-08,True,SUP0025,1478,40.83,88,441984.56,5118.935762711865,0.05779661016949153,59,0.6610169491525424,3.8,15,66.66666666666666,13.333333333333334,10.0,3230.0,58.129999999999995,0.0,0.1136,0.0265,C,1,20,41,1,7,7
P00047,Decathlon Watch Blue,Accessories,Watch,Decathlon,Black,XS,formal,Winter,1354,1554.0,548.45,2020-11-28,True,SUP0157,637,59.49,83,110777.58,1356.2749122807018,0.04596491228070176,57,0.6140350877192983,3.7777777777777777,18,66.66666666666666,16.666666666666664,4.0,1512.0,20.566666666666666,2.0,0.0482,0.052,C,0,60,11,4,3,1
P00048,Levis Watch Green,Accessories,Watch,Levis,Navy,XS,formal,Summer,4779,5367.96,2757.92,2022-10-31,True,SUP0361,281,42.29,73,307918.88,4649.335531914893,0.07085106382978723,47,0.723404255319149,4.333333333333333,15,73.33333333333333,0.0,8.0,1917.0,23.814285714285717,1.0,0.1096,0.0367,C,0,60,23,3,3,11
P00049,Levis Saree Beige,Dresses,Saree,Levis,Purple,M,casual,All Season,4454,5139.38,2518.28,2020-02-06,True,SUP0057,1788,43.46,79,294720.35,4164.207291666667,0.06270833333333332,48,0.6875,4.095238095238095,21,85.71428571428571,9.523809523809524,8.0,1245.0,79.88000000000001,0.0,0.1013,0.0597,C,3,42,23,0,1,15
P00050,Blackberrys Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Blackberrys,Orange,S,minimalist,All Season,410,460.89,236.75,2021-04-14,True,SUP0384,1813,42.26,110,37728.56,379.3734426229508,0.0418032786885246,61,0.639344262295082,3.8947368421052633,19,78.94736842105263,10.526315789473683,3.0,3149.0,63.96,0.0,0.0273,0.0338,A,6,56,8,0,5,13
P00051,Koovs Dupatta Mustard,Ethnic Wear,Dupatta,Koovs,Maroon,S,ethnic,Monsoon,2862,4266.26,1090.41,2020-07-13,True,SUP0070,1454,61.9,86,202493.8,2487.864680851064,0.057021276595744685,47,0.6170212765957447,3.7857142857142856,14,64.28571428571429,14.285714285714285,9.0,1760.0,50.214285714285715,0.0,0.1047,0.0466,C,4,17,20,2,2,8
P00052,Allen Solly Thermal Innerwear Black,Innerwear,Thermal Innerwear,Allen Solly,Red,S,luxury,Festive,637,804.14,368.58,2021-06-18,True,SUP0304,1228,42.14,127,86883.47,725.5915384615384,0.06666666666666667,78,0.7051282051282052,3.4615384615384617,26,57.692307692307686,23.076923076923077,9.0,633.0,20.766666666666666,1.0,0.0709,0.1671,A,6,56,3,1,4,16
P00053,LIFE Sports Shoes Red,Footwear,Sports Shoes,LIFE,Olive,L,luxury,Festive,720,813.12,253.54,2020-06-27,True,SUP0207,1797,64.79,88,55048.04,717.2315789473685,0.07385964912280701,57,0.7719298245614035,4.294117647058823,17,82.35294117647058,5.88235294117647,8.0,1317.0,17.02857142857143,1.0,0.0909,0.0626,C,5,51,21,1,4,12
P00054,Global Desi Mini Dress Mint,Dresses,Mini Dress,Global Desi,Red,XL,office,Festive,9283,12937.79,5098.8,2024-02-22,True,SUP0099,1298,45.07,73,574556.67,8325.410652173914,0.058478260869565216,46,0.6086956521739131,4.0588235294117645,17,64.70588235294117,5.88235294117647,10.0,1095.0,78.375,1.0,0.137,0.0625,C,3,34,15,1,6,16
P00055,Reebok Boots Coral,Footwear,Boots,Reebok,Mint,M,casual,All Season,5394,6768.05,3096.0,2024-05-29,False,SUP0181,1608,42.6,98,582202.51,6636.005892857143,0.08321428571428571,56,0.625,4.25,20,95.0,0.0,8.0,946.0,26.8,0.0,0.0816,0.0939,B,5,4,37,0,1,9
P00056,Mango Belt Mint,Accessories,Belt,Mango,Teal,S,casual,All Season,5716,8519.34,2444.29,2021-04-24,False,SUP0190,1862,57.24,105,518686.8,5017.604126984127,0.060000000000000005,63,0.6190476190476191,3.8125,16,68.75,18.75,10.0,521.0,21.633333333333336,1.0,0.0952,0.1677,B,0,1,27,0,1,17
P00057,Peter England Boxers Teal,Innerwear,Boxers,Peter England,Pink,XXL,bohemian,Monsoon,241,344.85,114.75,2024-02-11,True,SUP0028,1075,52.39,97,22486.87,239.83616666666666,0.06733333333333333,60,0.75,4.40625,32,87.5,6.25,4.0,1087.0,87.525,0.0,0.0412,0.0819,B,6,5,35,2,0,14
P00058,Tommy Hilfiger Handbag Grey,Accessories,Handbag,Tommy Hilfiger,Black,L,luxury,Winter,6067,7082.78,3134.2,2020-06-08,True,SUP0305,115,48.34,99,559997.48,6218.251805555556,0.06208333333333333,72,0.6111111111111112,3.642857142857143,28,64.28571428571429,21.428571428571427,8.0,2438.0,34.3625,1.0,0.0808,0.039,B,0,21,41,4,4,1
P00059,True Blue Blouse Pink,Tops,Blouse,True Blue,Maroon,XS,ethnic,Summer,2114,3049.88,1267.44,2023-09-25,True,SUP0385,114,40.05,86,174246.37,2153.2000000000003,0.07758620689655173,58,0.5689655172413793,4.0625,16,75.0,12.5,13.0,811.0,14.600000000000001,1.0,0.1512,0.0959,C,8,3,42,3,2,8
P00060,Only Tank Top Mustard,Tops,Tank Top,Only,Coral,Free Size,bohemian,Winter,4868,5397.8,2620.09,2021-05-28,False,SUP0366,1101,46.18,106,449134.27,4553.9484126984125,0.073015873015873,63,0.6507936507936508,3.769230769230769,26,65.38461538461539,23.076923076923077,8.0,1719.0,29.642857142857142,0.0,0.0755,0.0581,B,8,55,33,4,0,4
P00061,Numero Uno Dhoti Mustard,Ethnic Wear,Dhoti,Numero Uno,Brown,M,formal,Winter,4750,5962.72,2513.98,2023-06-15,True,SUP0084,1529,47.07,124,527337.39,4330.380641025641,0.0685897435897436,78,0.6666666666666666,3.7586206896551726,29,68.96551724137932,10.344827586206897,11.0,1298.0,172.64000000000001,1.0,0.0887,0.0872,A,4,16,31,4,3,3
P00062,Nike Skirt Mustard,Bottoms,Skirt,Nike,Red,XXL,ethnic,Winter,1710,1883.99,973.54,2023-04-01,False,SUP0090,166,43.07,107,172128.07,1667.1098507462686,0.054776119402985074,67,0.5970149253731343,4.103448275862069,29,82.75862068965517,0.0,10.0,742.0,20.099999999999998,1.0,0.0935,0.126,B,2,47,30,4,2,16
P00063,Here&Now Socks Purple,Innerwear,Socks,Here&Now,Maroon,M,sporty,Winter,230,330.64,86.67,2021-01-06,True,SUP0055,1335,62.32,88,18813.4,244.86241379310346,0.056379310344827585,58,0.7241379310344828,4.2105263157894735,19,84.21052631578947,0.0,8.0,1473.0,31.385714285714283,1.0,0.0909,0.0564,C,6,49,17,4,8,8
P00064,FabIndia Sandals Red,Footwear,Sandals,FabIndia,Navy,S,party,Winter,1287,1635.57,554.25,2023-08-14,True,SUP0312,393,56.93,96,109048.34,1134.2152631578947,0.04666666666666667,57,0.7368421052631579,3.7222222222222223,18,66.66666666666666,16.666666666666664,8.0,1425.0,31.983333333333334,1.0,0.0833,0.0631,B,5,41,13,4,7,11
P00065,Bewakoof Thermal Innerwear Cream,Innerwear,Thermal Innerwear,Bewakoof,Coral,XL,luxury,Monsoon,763,1135.44,376.02,2020-12-01,True,SUP0362,646,50.72,81,56938.45,770.812,0.049800000000000004,50,0.6,3.84,25,60.0,4.0,10.0,441.0,15.45,0.0,0.1235,0.1552,C,6,56,6,2,4,4
P00066,LIFE Boxers Olive,Innerwear,Boxers,LIFE,Teal,XL,bohemian,All Season,253,321.84,93.78,2022-11-08,True,SUP0276,475,62.93,119,27760.91,240.75635135135136,0.05837837837837838,74,0.6621621621621622,3.45,20,55.00000000000001,25.0,19.0,1694.0,68.2,0.0,0.1597,0.0656,A,6,5,21,0,0,17
P00067,Myntra Oxford Brown,Footwear,Oxford,Myntra,Blue,XL,ethnic,Summer,567,734.25,322.47,2020-08-30,True,SUP0039,1569,43.13,91,53775.55,576.0519230769231,0.04942307692307692,52,0.6923076923076923,3.888888888888889,18,66.66666666666666,11.11111111111111,9.0,1814.0,50.36,0.0,0.0989,0.0478,C,5,35,29,3,2,2
P00068,Marks & Spencer Casual Dress Black,Dresses,Casual Dress,Marks & Spencer,Beige,Free Size,sporty,Summer,4498,5655.77,1669.1,2022-09-10,True,SUP0189,1215,62.89,63,218928.88,3642.412368421053,0.0655263157894737,38,0.631578947368421,4.142857142857143,7,85.71428571428571,0.0,2.0,1118.0,78.55000000000001,0.0,0.0317,0.0533,C,3,9,28,3,8,0
P00069,W Mini Dress Grey,Dresses,Mini Dress,W,Teal,L,minimalist,All Season,11450,15415.03,6054.64,2024-02-22,True,SUP0383,122,47.12,74,766796.09,10686.427692307692,0.06173076923076923,52,0.75,4.2,10,90.0,10.0,8.0,1219.0,42.82,2.0,0.1081,0.0572,C,3,34,47,0,5,17
P00070,Spykar Jacket Purple,Outerwear,Jacket,Spykar,Mint,XS,casual,Summer,13595,19282.39,7886.24,2022-05-01,True,SUP0374,1437,41.99,113,1411890.3,13941.662537313434,0.05432835820895523,67,0.7611940298507462,4.315789473684211,19,84.21052631578947,10.526315789473683,7.0,1643.0,61.75,0.0,0.0619,0.0644,A,7,24,39,3,1,9
P00071,Pepe Jeans Trousers Pink,Bottoms,Trousers,Pepe Jeans,Teal,XL,luxury,Winter,3736,4537.83,1954.09,2021-10-18,True,SUP0378,1099,47.7,90,376249.12,4467.083818181818,0.04363636363636363,55,0.6545454545454545,3.4444444444444446,18,50.0,16.666666666666664,6.0,1147.0,64.7,0.0,0.0667,0.0728,C,2,58,34,4,4,17
P00072,Cover Story Gym Vest White,Activewear,Gym Vest,Cover Story,Yellow,XXL,bohemian,Festive,4871,7149.81,2150.34,2020-05-17,True,SUP0076,1915,55.85,78,391849.02,5324.91,0.062115384615384614,52,0.8076923076923077,4.315789473684211,19,78.94736842105263,5.263157894736842,7.0,1631.0,36.239999999999995,0.0,0.0897,0.0456,C,1,20,10,1,0,19
P00073,Only Polo Brown,Tops,Polo,Only,Cream,XXL,minimalist,Monsoon,3934,5076.71,2274.04,2024-03-27,True,SUP0111,1977,42.2,84,302051.22,4012.977037037037,0.06074074074074075,54,0.5370370370370371,3.8823529411764706,17,76.47058823529412,11.76470588235294,6.0,849.0,20.22,1.0,0.0714,0.09,C,8,37,33,2,5,5
