cart_id,customer_id,product_id,quantity,added_at,status
CART0000057,C06970,P01202,1,2023-03-28 21:00:00,Abandoned
CART0000058,C02174,P01699,4,2023-11-09 15:00:00,Abandoned
CART0000059,C02677,P03391,4,2022-04-14 21:00:00,Abandoned
CART0000060,C03010,P04890,1,2024-01-02 08:00:00,Abandoned
CART0000061,C03091,P03339,3,2022-08-19 10:00:00,Purchased
CART0000062,C00821,P04773,2,2024-08-16 11:00:00,Abandoned
CART0000063,C01796,P02426,3,2022-04-06 21:00:00,Abandoned
CART0000064,C09934,P02101,3,2023-12-20 15:00:00,Purchased
CART0000065,C09026,P01480,1,2022-03-07 03:00:00,Abandoned
CART0000066,C09815,P00917,4,2023-09-19 02:00:00,Abandoned
CART0000067,C02068,P03701,4,2023-02-19 05:00:00,Abandoned
CART0000068,C04894,P02976,3,2023-12-04 12:00:00,Purchased
CART0000069,C03123,P00542,4,2024-06-17 03:00:00,Active
CART0000070,C08737,P02747,4,2023-01-18 22:00:00,Abandoned
CART0000071,C02642,P04771,3,2024-02-08 06:00:00,Purchased
CART0000072,C03180,P01987,3,2024-11-03 13:00:00,Purchased
CART0000073,C03465,P04110,4,2022-09-13 21:00:00,Purchased
CART0000074,C04289,P01549,4,2024-04-30 08:00:00,Purchased
CART0000075,C06465,P02723,2,2023-02-16 03:00:00,Abandoned
CART0000076,C02636,P01284,1,2022-10-31 02:00:00,Abandoned
CART0000077,C04546,P00391,4,2023-04-21 06:00:00,Abandoned
CART0000078,C02561,P00424,4,2024-06-06 12:00:00,Active
CART0000079,C01865,P03543,1,2024-01-03 01:00:00,Purchased
CART0000080,C08675,P00413,2,2023-11-06 11:00:00,Abandoned
CART0000081,C05167,P02051,1,2022-05-15 15:00:00,Purchased
CART0000082,C03679,P04597,1,2024-12-01 22:00:00,Abandoned
CART0000083,C07518,P04514,1,2022-03-18 09:00:00,Abandoned
CART0000084,C07234,P01864,1,2023-01-24 10:00:00,Purchased
CART0000085,C02490,P01421,3,2024-11-02 14:00:00,Abandoned
CART0000086,C06482,P02753,4,2024-12-23 03:00:00,Abandoned
CART0000087,C07028,P02743,4,2023-03-26 22:00:00,Purchased
CART0000088,C06900,P02017,2,2023-07-20 01:00:00,Active
CART0000089,C06023,P04321,4,2022-02-27 16:00:00,Abandoned
CART0000090,C08637,P04571,1,2024-02-16 08:00:00,Purchased
CART0000091,C02756,P04247,3,2022-09-22 18:00:00,Expired
CART0000092,C04115,P04072,2,2024-01-20 03:00:00,Abandoned
CART0000093,C09547,P02544,3,2023-03-22 21:00:00,Expired
CART0000094,C07014,P01715,1,2023-08-13 21:00:00,Abandoned
CART0000095,C01712,P02536,2,2022-05-21 19:00:00,Purchased
CART0000096,C01107,P01159,4,2023-01-07 10:00:00,Purchased
CART0000097,C05567,P03957,2,2024-11-27 14:00:00,Purchased
CART0000098,C05509,P01789,4,2023-11-17 18:00:00,Abandoned
CART0000099,C05215,P01115,2,2022-05-05 10:00:00,Purchased
CART0000100,C05783,P01265,3,2023-11-09 02:00:00,Purchased
CART0000101,C03779,P02043,3,2023-10-15 00:00:00,Abandoned
CART0000102,C08401,P02739,1,2023-09-03 19:00:00,Abandoned
CART0000103,C09339,P04112,4,2024-05-16 12:00:00,Purchased
CART0000104,C01440,P04615,1,2022-10-23 23:00:00,Purchased
CART0000105,C03326,P02820,3,2024-05-01 22:00:00,Expired
CART0000106,C09312,P01953,3,2024-07-06 03:00:00,Abandoned
CART0000107,C04481,P02613,1,2024-02-08 15:00:00,Purchased
CART0000108,C03649,P01179,2,2022-02-08 09:00:00,Abandoned
CART0000109,C06946,P02855,4,2024-12-03 01:00:00,Abandoned
CART0000110,C00670,P04576,4,2024-10-11 06:00:00,Abandoned
CART0000111,C05786,P03530,1,2023-05-12 14:00:00,Purchased
CART0000112,C05781,P02209,2,2024-10-26 01:00:00,Purchased
CART0000113,C03690,P01496,1,2023-01-18 12:00:00,Purchased
CART0000114,C04846,P02625,3,2022-11-01 09:00:00,Abandoned
CART0000115,C05637,P02415,1,2024-10-29 02:00:00,Purchased
CART0000116,C00728,P00377,2,2024-08-28 19:00:00,Abandoned
CART0000117,C07622,P00145,2,2023-11-23 21:00:00,Active
CART0000118,C04584,P03887,1,2022-03-13 20:00:00,Active
CART0000119,C06278,P03178,3,2022-09-14 16:00:00,Abandoned
CART0000120,C04296,P02597,2,2023-08-08 10:00:00,Abandoned
CART0000121,C05081,P00367,2,2022-08-18 08:00:00,Expired
CART0000122,C08349,P03303,1,2024-11-26 21:00:00,Abandoned
CART0000123,C09211,P01865,2,2022-03-24 00:00:00,Abandoned
CART0000124,C09526,P00220,1,2022-04-30 07:00:00,Purchased
CART0000125,C06104,P02198,1,2022-04-11 00:00:00,Purchased
CART0000126,C01165,P03475,3,2023-10-02 20:00:00,Purchased
CART0000127,C06521,P04009,3,2023-06-06 05:00:00,Purchased
CART0000128,C08127,P00912,2,2022-08-26 12:00:00,Abandoned
CART0000129,C04254,P02979,4,2024-07-08 00:00:00,Active
CART0000130,C00130,P02075,1,2022-03-28 01:00:00,Purchased
CART0000131,C09941,P02180,3,2022-02-27 01:00:00,Abandoned
CART0000132,C01221,P02228,3,2022-11-28 03:00:00,Purchased
CART0000133,C06208,P04082,4,2023-05-27 13:00:00,Purchased
CART0000134,C03269,P01388,1,2023-07-12 19:00:00,Abandoned
CART0000135,C02738,P04949,4,2024-03-31 10:00:00,Abandoned
CART0000136,C08217,P00349,4,2024-12-13 05:00:00,Purchased
CART0000137,C00224,P03503,1,2024-01-01 03:00:00,Abandoned
CART0000138,C09178,P04786,2,2022-03-13 19:00:00,Active
CART0000139,C06587,P00895,4,2022-08-07 10:00:00,Purchased
CART0000140,C07634,P00957,3,2024-04-02 12:00:00,Abandoned
CART0000141,C04844,P01821,1,2022-09-02 17:00:00,Active
CART0000142,C04952,P03496,4,2022-07-10 07:00:00,Purchased
CART0000143,C06328,P04966,2,2024-03-26 02:00:00,Purchased
CART0000144,C01623,P03329,4,2024-07-09 01:00:00,Abandoned
CART0000145,C01582,P01350,3,2023-12-20 22:00:00,Purchased
CART0000146,C01375,P00739,2,2024-12-21 14:00:00,Purchased
CART0000147,C02536,P02136,2,2022-07-26 12:00:00,Abandoned
CART0000148,C01543,P02226,1,2024-08-14 18:00:00,Purchased
CART0000149,C04536,P01189,4,2022-10-13 10:00:00,Abandoned
CART0000150,C01812,P04556,2,2023-03-11 17:00:00,Active
CART0000151,C07291,P01398,4,2024-09-14 19:00:00,Purchased
CART0000152,C07127,P00330,1,2022-11-20 13:00:00,Expired
CART0000153,C09924,P02762,1,2024-01-18 08:00:00,Abandoned
CART0000154,C03259,P02056,4,2024-03-03 17:00:00,Active
CART0000155,C08251,P04826,3,2024-01-03 08:00:00,Abandoned
CART0000156,C04497,P02054,2,2023-10-25 13:00:00,Purchased
CART0000157,C08676,P00685,1,2024-02-02 09:00:00,Expired
CART0000158,C09023,P04564,2,2022-07-24 02:00:00,Abandoned
CART0000159,C06415,P01738,3,2023-05-14 17:00:00,Active
CART0000160,C05662,P01678,4,2024-01-25 00:00:00,Purchased
CART0000161,C04135,P03931,4,2023-11-16 07:00:00,Active
CART0000162,C01686,P00283,1,2022-12-23 18:00:00,Purchased
CART0000163,C04969,P04670,1,2024-08-07 01:00:00,Purchased
CART0000164,C02340,P02618,1,2024-01-25 11:00:00,Abandoned
CART0000165,C07834,P02755,3,2023-07-07 10:00:00,Abandoned
CART0000166,C07381,P00942,4,2023-06-21 06:00:00,Abandoned
CART0000167,C04334,P00077,1,2022-07-07 03:00:00,Active
CART0000168,C01700,P00289,1,2023-08-04 08:00:00,Purchased
CART0000169,C06378,P02345,2,2024-09-05 17:00:00,Purchased
CART0000170,C05469,P03457,1,2023-03-02 07:00:00,Abandoned
CART0000171,C04970,P03121,2,2022-02-13 23:00:00,Abandoned
CART0000172,C06773,P04096,3,2022-08-22 06:00:00,Abandoned
CART0000173,C06777,P04749,3,2022-10-05 10:00:00,Abandoned
CART0000174,C01762,P01629,3,2023-02-07 13:00:00,Expired
CART0000175,C05543,P03262,3,2023-01-15 00:00:00,Expired
CART0000176,C01436,P02687,1,2022-10-01 02:00:00,Abandoned
CART0000177,C08038,P04932,4,2023-09-05 20:00:00,Purchased
CART0000178,C05632,P04440,3,2024-02-29 04:00:00,Purchased
CART0000179,C06839,P03745,4,2022-07-09 00:00:00,Purchased
CART0000180,C04755,P00002,3,2024-06-08 01:00:00,Purchased
CART0000181,C00571,P00496,1,2022-06-30 07:00:00,Abandoned
CART0000182,C09668,P00538,4,2022-11-05 22:00:00,Abandoned
CART0000183,C05630,P00982,1,2024-12-20 12:00:00,Abandoned
CART0000184,C09580,P00854,1,2024-04-02 05:00:00,Expired
CART0000185,C02282,P03727,2,2023-03-11 01:00:00,Purchased
CART0000186,C03271,P04556,1,2024-10-16 22:00:00,Purchased
CART0000187,C05422,P00664,3,2024-06-17 07:00:00,Purchased
CART0000188,C02643,P02767,4,2022-08-09 18:00:00,Purchased
CART0000189,C05161,P01470,1,2023-01-08 20:00:00,Purchased
CART0000190,C09965,P04703,3,2024-05-13 15:00:00,Abandoned
CART0000191,C01465,P01800,4,2024-04-06 14:00:00,Purchased
CART0000192,C08616,P04122,4,2022-06-12 18:00:00,Active
CART0000193,C09287,P02967,2,2022-05-31 02:00:00,Abandoned
CART0000194,C07662,P03766,2,2022-07-25 10:00:00,Expired
CART0000195,C02782,P03381,2,2023-11-27 22:00:00,Active
CART0000196,C09529,P01419,1,2024-01-14 14:00:00,Purchased
CART0000197,C08204,P04567,3,2023-09-01 16:00:00,Abandoned
CART0000198,C05652,P04116,4,2023-10-08 03:00:00,Abandoned
CART0000199,C04510,P02194,3,2023-11-04 07:00:00,Purchased
CART0000200,C08988,P04274,4,2022-12-25 23:00:00,Purchased
CART0000201,C07684,P01705,2,2024-08-01 05:00:00,Active
CART0000202,C05160,P04006,4,2023-12-10 13:00:00,Abandoned
CART0000203,C04359,P01465,1,2023-07-02 10:00:00,Abandoned
CART0000204,C05067,P01478,2,2024-08-06 00:00:00,Purchased
CART0000205,C04647,P01485,1,2022-09-04 22:00:00,Purchased
CART0000206,C02478,P04109,4,2023-09-11 08:00:00,Active
CART0000207,C08631,P03635,4,2024-11-10 22:00:00,Active
CART0000208,C03807,P04340,4,2024-11-15 05:00:00,Expired
CART0000209,C05184,P01506,4,2023-12-14 01:00:00,Purchased
CART0000210,C00967,P01263,1,2022-10-03 17:00:00,Active
CART0000211,C09600,P01976,3,2022-11-06 03:00:00,Abandoned
CART0000212,C05961,P03008,1,2023-04-10 12:00:00,Purchased
CART0000213,C08834,P03576,1,2023-04-05 08:00:00,Purchased
CART0000214,C09421,P02698,2,2023-10-14 02:00:00,Purchased
CART0000215,C03806,P01156,4,2024-03-12 19:00:00,Abandoned
CART0000216,C08876,P04072,2,2022-04-24 09:00:00,Expired
CART0000217,C02791,P02756,2,2023-01-27 18:00:00,Abandoned
CART0000218,C06496,P04364,3,2022-05-06 12:00:00,Expired
CART0000219,C00014,P03748,3,2022-10-26 15:00:00,Abandoned
CART0000220,C05449,P04909,2,2023-11-09 14:00:00,Purchased
CART0000221,C01026,P03673,4,2023-04-06 13:00:00,Abandoned
CART0000222,C06380,P04867,1,2023-05-13 01:00:00,Abandoned
CART0000223,C02767,P04326,4,2023-10-13 23:00:00,Active
CART0000224,C07023,P04791,3,2024-12-25 12:00:00,Purchased
CART0000225,C02273,P03862,3,2022-07-07 06:00:00,Abandoned
CART0000226,C01245,P02091,1,2023-07-28 17:00:00,Abandoned
CART0000227,C01986,P03895,2,2022-03-19 07:00:00,Abandoned
CART0000228,C05322,P02419,3,2023-01-02 10:00:00,Abandoned
CART0000229,C09709,P02412,4,2022-07-19 04:00:00,Purchased
CART0000230,C02621,P02353,2,2022-09-02 12:00:00,Abandoned
CART0000231,C07210,P02707,3,2023-05-06 06:00:00,Abandoned
CART0000232,C02417,P00804,1,2022-05-13 14:00:00,Purchased
CART0000233,C09072,P04569,3,2022-06-16 15:00:00,Purchased
CART0000234,C01485,P04940,1,2024-08-30 13:00:00,Purchased
CART0000235,C04098,P01290,3,2022-12-09 22:00:00,Abandoned
CART0000236,C07266,P01206,3,2022-12-26 16:00:00,Purchased
CART0000237,C00520,P02982,4,2023-04-09 18:00:00,Purchased
CART0000238,C08152,P01694,2,2023-06-20 15:00:00,Abandoned
CART0000239,C07034,P00067,4,2023-09-13 06:00:00,Active
CART0000240,C06221,P02312,3,2023-07-21 16:00:00,Purchased
CART0000241,C05584,P02154,4,2024-08-20 08:00:00,Abandoned
CART0000242,C07212,P04597,4,2022-04-16 12:00:00,Abandoned
CART0000243,C07968,P01809,2,2023-07-05 11:00:00,Expired
CART0000244,C03342,P01866,2,2024-07-11 14:00:00,Active
CART0000245,C03877,P04255,2,2024-08-12 00:00:00,Abandoned
CART0000246,C01470,P04692,2,2022-09-19 19:00:00,Purchased
CART0000247,C03861,P02605,4,2023-02-05 01:00:00,Purchased
CART0000248,C04884,P03906,3,2024-02-28 05:00:00,Abandoned
CART0000249,C04813,P04341,4,2024-04-11 22:00:00,Active
CART0000250,C02926,P00339,4,2024-01-04 03:00:00,Active
CART0000251,C08670,P02092,4,2022-01-28 13:00:00,Purchased
CART0000252,C02607,P03298,2,2022-05-26 03:00:00,Purchased
CART0000253,C02476,P01023,4,2024-01-02 15:00:00,Purchased
CART0000254,C09244,P01704,4,2022-05-04 10:00:00,Abandoned
CART0000255,C04195,P01673,1,2024-03-05 23:00:00,Abandoned
CART0000256,C01769,P03372,1,2024-12-13 05:00:00,Purchased
CART0000257,C01542,P03480,1,2024-01-24 10:00:00,Abandoned
CART0000258,C01727,P02222,3,2024-06-29 22:00:00,Abandoned
CART0000259,C05882,P03019,4,2022-08-18 06:00:00,Purchased
CART0000260,C05000,P01395,1,2023-04-25 21:00:00,Purchased
CART0000261,C02615,P03049,4,2022-10-07 19:00:00,Purchased
CART0000262,C06488,P00929,1,2023-02-05 07:00:00,Abandoned
CART0000263,C04656,P03767,4,2023-08-12 03:00:00,Purchased
CART0000264,C00198,P01196,4,2023-03-20 23:00:00,Abandoned
CART0000265,C04737,P03689,4,2023-07-14 23:00:00,Purchased
CART0000266,C02055,P01383,4,2022-10-02 15:00:00,Abandoned
CART0000267,C06664,P04594,4,2024-09-15 21:00:00,Abandoned
CART0000268,C06051,P03116,3,2024-07-10 06:00:00,Purchased
CART0000269,C02847,P02796,2,2022-04-28 00:00:00,Abandoned
CART0000270,C04845,P01249,3,2023-09-11 02:00:00,Abandoned
CART0000271,C07868,P02442,4,2022-08-13 06:00:00,Active
CART0000272,C06653,P02896,3,2023-03-26 17:00:00,Abandoned
CART0000273,C07243,P00756,3,2022-11-25 23:00:00,Expired
CART0000274,C04911,P00220,1,2022-06-16 21:00:00,Active
CART0000275,C06405,P00308,4,2024-03-17 19:00:00,Abandoned
CART0000276,C03259,P04026,4,2022-11-18 10:00:00,Abandoned
CART0000277,C01679,P02717,2,2023-11-30 11:00:00,Expired
CART0000278,C05382,P04591,4,2023-01-29 11:00:00,Abandoned
CART0000279,C01901,P03116,3,2024-11-25 06:00:00,Abandoned
CART0000280,C01218,P04291,4,2023-01-10 07:00:00,Abandoned
CART0000281,C07566,P01172,1,2023-12-13 17:00:00,Purchased
CART0000282,C07240,P02123,2,2024-08-29 23:00:00,Abandoned
CART0000283,C01161,P04236,1,2023-08-13 22:00:00,Purchased
CART0000284,C07375,P00142,2,2024-12-13 12:00:00,Purchased
CART0000285,C01601,P04155,1,2024-05-03 08:00:00,Active
CART0000286,C09007,P01580,4,2022-10-25 08:00:00,Purchased
CART0000287,C00525,P01594,2,2023-03-14 20:00:00,Purchased
CART0000288,C05226,P04246,2,2023-11-29 23:00:00,Purchased
CART0000289,C04330,P01561,3,2024-11-26 13:00:00,Abandoned
CART0000290,C00323,P00601,3,2023-04-04 18:00:00,Purchased
CART0000291,C01112,P02403,2,2023-03-29 23:00:00,Purchased
CART0000292,C05485,P04496,3,2022-03-25 10:00:00,Active
CART0000293,C04409,P00595,3,2023-12-06 02:00:00,Purchased
CART0000294,C09368,P02731,3,2023-02-23 04:00:00,Purchased
CART0000295,C02698,P01841,4,2022-07-05 01:00:00,Abandoned
CART0000296,C08770,P04304,1,2022-10-13 20:00:00,Active
CART0000297,C02372,P03974,2,2022-06-30 20:00:00,Purchased
CART0000298,C00873,P04515,3,2024-11-23 00:00:00,Purchased
CART0000299,C04888,P00048,4,2023-03-04 12:00:00,Purchased
CART0000300,C00651,P00529,2,2022-04-02 20:00:00,Abandoned
CART0000301,C01990,P04946,2,2022-03-13 02:00:00,Abandoned
CART0000302,C05552,P04755,3,2022-11-26 01:00:00,Purchased
CART0000303,C06276,P00846,4,2022-03-29 13:00:00,Purchased
CART0000304,C04412,P02646,2,2022-12-20 22:00:00,Purchased
CART0000305,C08895,P00812,2,2024-11-15 21:00:00,Purchased
CART0000306,C09591,P02535,2,2023-08-02 23:00:00,Purchased
CART0000307,C03819,P00651,4,2022-06-26 11:00:00,Abandoned
CART0000308,C08972,P03533,4,2024-01-21 14:00:00,Purchased
CART0000309,C09373,P01400,1,2023-11-21 20:00:00,Active
CART0000310,C07121,P01353,3,2024-01-18 03:00:00,Purchased
CART0000311,C06422,P02183,1,2023-09-01 13:00:00,Abandoned
CART0000312,C08919,P04965,1,2024-10-06 21:00:00,Purchased
CART0000313,C00777,P04962,1,2022-11-07 07:00:00,Abandoned
CART0000314,C03746,P04632,1,2022-05-09 21:00:00,Abandoned
CART0000315,C05043,P04542,1,2022-09-29 10:00:00,Abandoned
CART0000316,C09420,P02609,3,2024-01-30 07:00:00,Purchased
CART0000317,C02971,P01273,2,2022-03-08 15:00:00,Purchased
CART0000318,C06347,P02764,2,2022-11-14 15:00:00,Active
CART0000319,C05488,P04236,3,2022-08-20 00:00:00,Purchased
CART0000320,C07799,P03718,3,2023-11-22 09:00:00,Purchased
CART0000321,C07001,P03760,2,2023-08-14 12:00:00,Purchased
CART0000322,C01941,P00049,2,2023-03-28 16:00:00,Purchased
CART0000323,C04605,P03581,1,2022-11-08 11:00:00,Purchased
CART0000324,C01825,P00009,2,2022-06-27 15:00:00,Abandoned
CART0000325,C07799,P00333,2,2022-06-27 00:00:00,Purchased
CART0000326,C09980,P03299,2,2024-03-10 20:00:00,Purchased
CART0000327,C01999,P02064,1,2022-08-03 08:00:00,Purchased
CART0000328,C07708,P01552,2,2024-06-24 03:00:00,Purchased
CART0000329,C01864,P04404,3,2024-07-18 13:00:00,Purchased
CART0000330,C05053,P02290,2,2022-07-05 18:00:00,Purchased
CART0000331,C06833,P00170,4,2023-03-11 02:00:00,Abandoned
CART0000332,C07161,P02633,1,2024-09-08 19:00:00,Abandoned
CART0000333,C03797,P00830,2,2022-02-07 21:00:00,Abandoned
CART0000334,C09920,P02883,3,2024-05-23 14:00:00,Purchased
CART0000335,C03688,P01281,2,2023-05-01 09:00:00,Purchased
CART0000336,C04710,P03611,4,2022-09-17 00:00:00,Abandoned
CART0000337,C06306,P04332,1,2023-04-15 07:00:00,Active
CART0000338,C02424,P03330,1,2022-11-23 19:00:00,Active
CART0000339,C06292,P03336,3,2024-02-11 22:00:00,Purchased
CART0000340,C07087,P03257,3,2024-11-02 13:00:00,Abandoned
CART0000341,C07803,P00533,2,2024-12-20 12:00:00,Purchased
CART0000342,C06378,P04924,4,2024-02-11 16:00:00,Expired
CART0000343,C03213,P01678,4,2024-08-11 07:00:00,Abandoned
CART0000344,C07679,P04828,1,2023-05-14 11:00:00,Abandoned
CART0000345,C08027,P01259,2,2022-05-19 21:00:00,Abandoned
CART0000346,C07414,P04112,2,2024-10-07 22:00:00,Purchased
CART0000347,C00043,P03020,3,2022-05-14 18:00:00,Purchased
CART0000348,C00081,P02664,4,2022-01-19 00:00:00,Active
CART0000349,C06317,P00306,4,2023-04-27 16:00:00,Purchased
CART0000350,C08593,P03600,1,2024-04-25 23:00:00,Purchased
CART0000351,C06189,P03789,4,2023-08-21 08:00:00,Purchased
CART0000352,C02704,P03395,2,2023-05-11 17:00:00,Active
CART0000353,C04409,P01019,1,2024-05-25 16:00:00,Abandoned
CART0000354,C01106,P04617,1,2024-08-21 11:00:00,Abandoned
CART0000355,C04559,P04067,3,2022-07-05 23:00:00,Purchased
CART0000356,C00962,P04493,4,2022-08-17 18:00:00,Purchased
CART0000357,C00590,P03454,1,2022-01-04 06:00:00,Abandoned
CART0000358,C08031,P01449,4,2022-03-06 04:00:00,Abandoned
CART0000359,C01068,P00068,3,2024-12-11 20:00:00,Purchased
CART0000360,C06039,P02952,3,2023-10-24 14:00:00,Purchased
CART0000361,C00930,P04504,1,2023-06-01 07:00:00,Abandoned
CART0000362,C00486,P00934,4,2024-01-21 19:00:00,Abandoned
CART0000363,C01719,P03457,2,2024-03-14 19:00:00,Purchased
CART0000364,C06143,P01521,4,2024-03-07 09:00:00,Purchased
CART0000365,C00848,P04715,4,2023-03-17 18:00:00,Purchased
CART0000366,C03272,P01942,1,2024-09-16 17:00:00,Abandoned
CART0000367,C09939,P01428,4,2024-06-24 08:00:00,Purchased
CART0000368,C03118,P03506,2,2022-05-10 12:00:00,Purchased
CART0000369,C02161,P03317,1,2023-08-19 10:00:00,Abandoned
CART0000370,C08067,P02474,3,2023-07-20 08:00:00,Abandoned
CART0000371,C05503,P03820,3,2023-02-23 00:00:00,Abandoned
CART0000372,C04081,P02299,3,2022-07-04 10:00:00,Purchased
CART0000373,C09578,P03582,3,2024-03-15 09:00:00,Expired
CART0000374,C05609,P02450,4,2023-03-06 01:00:00,Purchased
CART0000375,C02198,P00828,4,2022-05-19 20:00:00,Purchased
CART0000376,C07066,P02324,2,2022-05-31 11:00:00,Purchased
CART0000377,C09120,P01737,2,2022-08-07 07:00:00,Purchased
CART0000378,C00791,P04546,2,2024-10-10 23:00:00,Active
CART0000379,C08069,P03546,2,2022-01-13 09:00:00,Purchased
CART0000380,C04303,P02012,1,2023-02-19 08:00:00,Active
CART0000381,C01727,P01879,2,2023-11-03 22:00:00,Abandoned
CART0000382,C01257,P00997,4,2022-09-21 23:00:00,Abandoned
CART0000383,C06033,P01211,3,2023-07-24 07:00:00,Abandoned
CART0000384,C04942,P00792,2,2024-10-25 05:00:00,Abandoned
CART0000385,C06917,P01489,3,2023-04-04 12:00:00,Purchased
CART0000386,C01147,P01379,1,2023-04-09 13:00:00,Active
CART0000387,C02602,P00988,1,2022-03-13 07:00:00,Expired
CART0000388,C04630,P04357,1,2024-06-27 00:00:00,Abandoned
CART0000389,C05431,P01505,3,2024-08-27 11:00:00,Abandoned
CART0000390,C08010,P04473,2,2023-11-15 12:00:00,Abandoned
CART0000391,C03116,P04254,2,2023-12-17 05:00:00,Abandoned
CART0000392,C00223,P02491,1,2022-11-18 21:00:00,Active
CART0000393,C09939,P02299,1,2022-12-02 16:00:00,Purchased
CART0000394,C07450,P01153,1,2023-08-19 03:00:00,Purchased
CART0000395,C08377,P04696,3,2022-08-21 05:00:00,Abandoned
CART0000396,C06462,P04412,3,2023-06-20 05:00:00,Abandoned
CART0000397,C04673,P00793,4,2022-07-28 21:00:00,Active
CART0000398,C09542,P00190,1,2023-08-09 22:00:00,Abandoned
CART0000399,C00904,P03204,1,2023-08-23 20:00:00,Purchased
CART0000400,C06516,P03538,1,2022-02-09 06:00:00,Abandoned
CART0000401,C03850,P01654,4,2023-10-28 00:00:00,Purchased
CART0000402,C02782,P01003,2,2022-06-19 16:00:00,Abandoned
CART0000403,C03143,P03505,4,2023-04-25 16:00:00,Abandoned
CART0000404,C03824,P02711,1,2024-12-16 09:00:00,Purchased
CART0000405,C00298,P04381,3,2024-11-05 21:00:00,Abandoned
CART0000406,C09292,P03218,3,2024-10-09 09:00:00,Purchased
CART0000407,C04542,P01447,1,2022-04-05 16:00:00,Abandoned
CART0000408,C07732,P02167,3,2022-07-07 19:00:00,Purchased
CART0000409,C02582,P01488,2,2022-08-02 09:00:00,Abandoned
