date,city,temperature_c,rainfall_mm,humidity_pct,weather_condition
2022-03-26,Mumbai,29.6,1.7,63,Rainy
2022-03-27,Mumbai,26.7,0.7,51,Sunny
2022-03-28,Mumbai,30.2,0.3,82,Foggy
2022-03-29,Mumbai,25.7,0.0,55,Rainy
2022-03-30,Mumbai,29.7,6.3,47,Sunny
2022-03-31,Mumbai,26.9,5.9,85,Rainy
2022-04-01,Mumbai,30.0,3.5,82,Rainy
2022-04-02,Mumbai,34.1,14.6,83,Foggy
2022-04-03,Mumbai,37.2,3.3,86,Sunny
2022-04-04,Mumbai,38.2,0.0,50,Sunny
2022-04-05,Mumbai,35.1,5.3,75,Sunny
2022-04-06,Mumbai,36.3,0.0,60,Sunny
2022-04-07,Mumbai,27.8,12.0,57,Rainy
2022-04-08,Mumbai,35.8,11.4,72,Rainy
2022-04-09,Mumbai,32.6,11.6,81,Rainy
2022-04-10,Mumbai,31.5,2.0,52,Cloudy
2022-04-11,Mumbai,35.2,8.2,92,Cloudy
2022-04-12,Mumbai,31.9,0.0,61,Rainy
2022-04-13,Mumbai,33.9,0.0,68,Sunny
2022-04-14,Mumbai,35.1,5.9,83,Sunny
2022-04-15,Mumbai,34.3,7.2,47,Sunny
2022-04-16,Mumbai,38.2,5.6,88,Cloudy
2022-04-17,Mumbai,31.9,4.2,68,Foggy
2022-04-18,Mumbai,39.3,6.4,63,Sunny
2022-04-19,Mumbai,24.4,0.3,42,Sunny
2022-04-20,Mumbai,36.4,10.0,51,Rainy
2022-04-21,Mumbai,34.8,3.3,69,Cloudy
2022-04-22,Mumbai,34.4,1.1,41,Cloudy
2022-04-23,Mumbai,33.6,8.5,90,Sunny
2022-04-24,Mumbai,37.4,0.0,73,Rainy
2022-04-25,Mumbai,31.8,0.0,50,Foggy
2022-04-26,Mumbai,33.6,5.1,79,Sunny
2022-04-27,Mumbai,32.1,0.0,65,Sunny
2022-04-28,Mumbai,32.3,0.0,51,Cloudy
2022-04-29,Mumbai,30.7,0.0,55,Sunny
2022-04-30,Mumbai,31.5,0.0,62,Rainy
2022-05-01,Mumbai,35.9,0.0,55,Sunny
2022-05-02,Mumbai,35.7,8.2,92,Sunny
2022-05-03,Mumbai,32.4,0.0,73,Cloudy
2022-05-04,Mumbai,34.1,5.7,94,Sunny
2022-05-05,Mumbai,30.8,0.0,93,Sunny
2022-05-06,Mumbai,32.0,4.1,67,Sunny
2022-05-07,Mumbai,25.0,1.4,70,Sunny
2022-05-08,Mumbai,36.2,0.0,69,Sunny
2022-05-09,Mumbai,34.6,8.3,90,Foggy
2022-05-10,Mumbai,33.5,0.0,93,Rainy
2022-05-11,Mumbai,32.0,3.5,71,Sunny
2022-05-12,Mumbai,30.8,4.8,94,Foggy
2022-05-13,Mumbai,35.1,1.6,75,Cloudy
2022-05-14,Mumbai,31.7,0.0,45,Foggy
2022-05-15,Mumbai,27.7,2.4,80,Sunny
2022-05-16,Mumbai,32.4,0.0,95,Sunny
2022-05-17,Mumbai,31.4,3.9,68,Rainy
2022-05-18,Mumbai,34.4,4.5,53,Foggy
2022-05-19,Mumbai,34.6,1.7,50,Foggy
2022-05-20,Mumbai,28.7,1.6,88,Cloudy
2022-05-21,Mumbai,33.0,4.9,75,Foggy
2022-05-22,Mumbai,35.4,0.0,85,Rainy
2022-05-23,Mumbai,37.2,1.6,51,Sunny
2022-05-24,Mumbai,36.0,0.7,64,Sunny
2022-05-25,Mumbai,40.2,0.0,61,Sunny
2022-05-26,Mumbai,29.4,0.0,55,Rainy
2022-05-27,Mumbai,29.8,0.0,95,Rainy
2022-05-28,Mumbai,37.0,4.9,74,Sunny
2022-05-29,Mumbai,28.8,7.4,57,Sunny
2022-05-30,Mumbai,33.3,7.7,60,Sunny
2022-05-31,Mumbai,30.6,0.5,47,Cloudy
2022-06-01,Mumbai,32.8,2.7,82,Sunny
2022-06-02,Mumbai,33.3,0.0,82,Sunny
2022-06-03,Mumbai,34.0,0.0,54,Cloudy
2022-06-04,Mumbai,32.2,0.0,64,Sunny
2022-06-05,Mumbai,32.4,0.0,42,Sunny
2022-06-06,Mumbai,33.0,3.9,51,Foggy
2022-06-07,Mumbai,31.5,0.0,67,Foggy
2022-06-08,Mumbai,32.9,4.0,89,Foggy
2022-06-09,Mumbai,31.3,6.4,41,Cloudy
2022-06-10,Mumbai,31.1,0.0,64,Cloudy
2022-06-11,Mumbai,33.6,6.3,75,Sunny
2022-06-12,Mumbai,33.4,0.3,91,Sunny
2022-06-13,Mumbai,34.5,4.9,67,Foggy
2022-06-14,Mumbai,32.4,0.3,95,Cloudy
2022-06-15,Mumbai,37.0,6.6,45,Sunny
2022-06-16,Mumbai,34.8,3.5,55,Rainy
2022-06-17,Mumbai,26.4,7.2,65,Sunny
2022-06-18,Mumbai,30.0,0.0,42,Cloudy
2022-06-19,Mumbai,30.9,1.5,50,Sunny
2022-06-20,Mumbai,34.7,0.0,91,Cloudy
2022-06-21,Mumbai,33.2,0.0,81,Sunny
2022-06-22,Mumbai,33.3,0.0,61,Cloudy
2022-06-23,Mumbai,36.6,0.6,70,Cloudy
2022-06-24,Mumbai,31.1,3.8,80,Foggy
2022-06-25,Mumbai,37.2,0.0,84,Cloudy
2022-06-26,Mumbai,34.2,8.5,80,Rainy
2022-06-27,Mumbai,32.1,4.8,72,Cloudy
2022-06-28,Mumbai,33.9,0.0,51,Sunny
2022-06-29,Mumbai,34.1,4.3,77,Sunny
2022-06-30,Mumbai,35.8,0.0,71,Rainy
2022-07-01,Mumbai,27.7,19.0,80,Sunny
2022-07-02,Mumbai,31.0,12.3,85,Sunny
2022-07-03,Mumbai,33.0,25.1,69,Sunny
2022-07-04,Mumbai,26.4,21.9,67,Sunny
2022-07-05,Mumbai,27.0,20.2,68,Foggy
2022-07-06,Mumbai,29.0,13.6,92,Sunny
2022-07-07,Mumbai,30.4,11.7,42,Sunny
2022-07-08,Mumbai,27.7,15.9,55,Sunny
2022-07-09,Mumbai,26.9,9.7,42,Cloudy
2022-07-10,Mumbai,26.2,17.6,67,Cloudy
2022-07-11,Mumbai,31.1,13.8,47,Rainy
2022-07-12,Mumbai,25.4,13.1,76,Cloudy
2022-07-13,Mumbai,28.3,18.3,84,Sunny
2022-07-14,Mumbai,27.6,15.1,63,Sunny
2022-07-15,Mumbai,28.9,17.5,66,Cloudy
2022-07-16,Mumbai,26.0,16.6,45,Rainy
2022-07-17,Mumbai,23.0,7.7,79,Rainy
2022-07-18,Mumbai,30.7,7.8,79,Sunny
2022-07-19,Mumbai,30.7,12.6,67,Sunny
2022-07-20,Mumbai,32.9,13.6,95,Foggy
2022-07-21,Mumbai,32.4,11.2,59,Rainy
2022-07-22,Mumbai,29.2,6.4,59,Cloudy
2022-07-23,Mumbai,22.5,22.0,77,Sunny
2022-07-24,Mumbai,23.6,9.1,94,Sunny
2022-07-25,Mumbai,25.8,13.1,76,Rainy
2022-07-26,Mumbai,29.7,12.3,73,Rainy
2022-07-27,Mumbai,30.4,8.4,50,Sunny
2022-07-28,Mumbai,30.6,16.3,66,Sunny
2022-07-29,Mumbai,27.2,7.1,53,Foggy
2022-07-30,Mumbai,26.2,9.6,89,Rainy
2022-07-31,Mumbai,21.9,9.2,46,Sunny
2022-08-01,Mumbai,28.3,15.4,88,Cloudy
2022-08-02,Mumbai,31.2,20.6,47,Rainy
2022-08-03,Mumbai,28.3,9.3,59,Rainy
2022-08-04,Mumbai,26.1,14.6,80,Rainy
2022-08-05,Mumbai,25.7,17.4,91,Cloudy
2022-08-06,Mumbai,29.0,13.0,55,Sunny
2022-08-07,Mumbai,26.8,21.1,94,Sunny
2022-08-08,Mumbai,29.5,13.8,79,Sunny
2022-08-09,Mumbai,28.7,15.4,87,Rainy
2022-08-10,Mumbai,32.1,20.4,53,Rainy
2022-08-11,Mumbai,22.2,17.4,95,Sunny
2022-08-12,Mumbai,27.2,10.2,61,Cloudy
2022-08-13,Mumbai,24.0,8.1,40,Cloudy
2022-08-14,Mumbai,23.1,18.8,76,Cloudy
2022-08-15,Mumbai,30.2,13.7,63,Cloudy
2022-08-16,Mumbai,29.7,22.2,65,Sunny
2022-08-17,Mumbai,29.8,16.8,74,Cloudy
2022-08-18,Mumbai,29.9,16.0,51,Sunny
2022-08-19,Mumbai,22.2,21.4,87,Sunny
2022-08-20,Mumbai,29.2,12.4,69,Sunny
2022-08-21,Mumbai,27.8,18.4,46,Sunny
2022-08-22,Mumbai,28.4,20.4,77,Sunny
2022-08-23,Mumbai,27.8,7.5,82,Sunny
2022-08-24,Mumbai,30.5,6.5,42,Cloudy
2022-08-25,Mumbai,34.0,7.9,60,Rainy
2022-08-26,Mumbai,31.1,11.1,57,Sunny
2022-08-27,Mumbai,27.2,14.2,91,Cloudy
2022-08-28,Mumbai,23.1,4.3,68,Rainy
2022-08-29,Mumbai,30.2,16.5,42,Sunny
2022-08-30,Mumbai,28.6,13.5,54,Cloudy
2022-08-31,Mumbai,28.7,10.4,43,Sunny
2022-09-01,Mumbai,29.6,8.7,57,Sunny
2022-09-02,Mumbai,26.3,19.6,61,Rainy
2022-09-03,Mumbai,28.1,6.6,52,Sunny
2022-09-04,Mumbai,26.3,14.6,90,Sunny
2022-09-05,Mumbai,29.1,17.0,65,Cloudy
2022-09-06,Mumbai,29.6,17.1,40,Sunny
2022-09-07,Mumbai,28.4,18.8,69,Sunny
2022-09-08,Mumbai,27.8,12.5,67,Rainy
2022-09-09,Mumbai,24.3,21.9,68,Rainy
2022-09-10,Mumbai,30.1,19.4,79,Sunny
2022-09-11,Mumbai,28.9,11.5,87,Sunny
2022-09-12,Mumbai,27.5,19.7,43,Sunny
2022-09-13,Mumbai,33.4,8.7,87,Cloudy
2022-09-14,Mumbai,28.7,5.9,50,Sunny
2022-09-15,Mumbai,29.0,22.8,90,Sunny
2022-09-16,Mumbai,29.8,18.0,44,Foggy
2022-09-17,Mumbai,29.7,6.3,91,Foggy
2022-09-18,Mumbai,28.2,12.8,85,Sunny
2022-09-19,Mumbai,30.8,22.6,58,Sunny
2022-09-20,Mumbai,25.7,18.8,86,Sunny
2022-09-21,Mumbai,30.2,8.6,74,Sunny
2022-09-22,Mumbai,28.2,12.7,70,Cloudy
2022-09-23,Mumbai,27.0,10.9,56,Sunny
2022-09-24,Mumbai,23.9,8.4,95,Sunny
2022-09-25,Mumbai,27.7,19.9,80,Cloudy
2022-09-26,Mumbai,21.4,12.4,49,Rainy
2022-09-27,Mumbai,26.3,15.5,72,Rainy
2022-09-28,Mumbai,29.6,16.1,78,Sunny
2022-09-29,Mumbai,33.0,12.6,61,Sunny
2022-09-30,Mumbai,28.1,10.9,56,Foggy
2022-10-01,Mumbai,27.7,0.0,55,Sunny
2022-10-02,Mumbai,25.7,0.0,89,Foggy
2022-10-03,Mumbai,28.4,0.0,45,Sunny
2022-10-04,Mumbai,31.5,3.8,72,Sunny
2022-10-05,Mumbai,25.2,0.0,75,Sunny
2022-10-06,Mumbai,31.6,0.0,82,Foggy
2022-10-07,Mumbai,29.2,1.7,94,Sunny
2022-10-08,Mumbai,29.1,0.0,42,Rainy
2022-10-09,Mumbai,31.7,0.0,62,Sunny
2022-10-10,Mumbai,32.1,0.8,84,Sunny
2022-10-11,Mumbai,24.0,0.0,88,Sunny
2022-10-12,Mumbai,29.5,3.9,71,Foggy
2022-10-13,Mumbai,28.0,0.0,75,Sunny
2022-10-14,Mumbai,29.5,6.0,58,Sunny
2022-10-15,Mumbai,29.4,4.0,83,Sunny
2022-10-16,Mumbai,29.5,0.0,81,Sunny
2022-10-17,Mumbai,34.3,0.0,87,Rainy
2022-10-18,Mumbai,26.0,0.0,52,Foggy
2022-10-19,Mumbai,27.1,7.2,93,Sunny
2022-10-20,Mumbai,24.4,1.9,72,Cloudy
2022-10-21,Mumbai,28.4,1.6,69,Sunny
2022-10-22,Mumbai,31.0,10.6,79,Cloudy
2022-10-23,Mumbai,28.5,0.0,44,Cloudy
2022-10-24,Mumbai,29.4,0.0,83,Sunny
2022-10-25,Mumbai,27.8,9.8,51,Sunny
2022-10-26,Mumbai,26.6,0.0,78,Rainy
2022-10-27,Mumbai,26.0,4.0,68,Foggy
2022-10-28,Mumbai,22.7,3.4,50,Foggy
2022-10-29,Mumbai,27.5,1.6,45,Rainy
2022-10-30,Mumbai,27.3,3.7,91,Cloudy
2022-10-31,Mumbai,30.8,2.8,86,Foggy
2022-11-01,Mumbai,29.4,5.3,44,Sunny
2022-11-02,Mumbai,32.6,0.0,66,Sunny
2022-11-03,Mumbai,29.5,5.6,88,Cloudy
2022-11-04,Mumbai,26.1,0.2,55,Sunny
2022-11-05,Mumbai,27.7,0.0,66,Sunny
2022-11-06,Mumbai,26.2,0.0,88,Foggy
2022-11-07,Mumbai,30.8,3.3,61,Cloudy
2022-11-08,Mumbai,27.5,1.2,82,Cloudy
2022-11-09,Mumbai,29.7,3.9,46,Sunny
2022-11-10,Mumbai,22.3,0.0,42,Sunny
2022-11-11,Mumbai,22.3,0.0,85,Rainy
2022-11-12,Mumbai,32.0,4.8,51,Rainy
2022-11-13,Mumbai,32.7,7.2,90,Sunny
2022-11-14,Mumbai,28.0,0.0,47,Rainy
2022-11-15,Mumbai,22.1,0.0,74,Sunny
2022-11-16,Mumbai,25.0,2.0,40,Sunny
2022-11-17,Mumbai,24.8,0.0,56,Cloudy
2022-11-18,Mumbai,30.4,3.5,59,Rainy
2022-11-19,Mumbai,30.3,0.0,42,Rainy
2022-11-20,Mumbai,31.0,12.3,71,Sunny
2022-11-21,Mumbai,25.8,1.4,60,Cloudy
2022-11-22,Mumbai,29.2,0.0,80,Sunny
2022-11-23,Mumbai,30.9,0.3,59,Rainy
2022-11-24,Mumbai,30.4,5.6,48,Sunny
2022-11-25,Mumbai,27.2,0.0,49,Rainy
2022-11-26,Mumbai,26.5,3.1,44,Sunny
2022-11-27,Mumbai,32.6,2.8,42,Sunny
2022-11-28,Mumbai,25.2,0.0,90,Foggy
2022-11-29,Mumbai,27.3,7.7,72,Foggy
2022-11-30,Mumbai,22.6,0.0,95,Sunny
2022-12-01,Mumbai,15.9,3.2,49,Rainy
2022-12-02,Mumbai,16.6,5.8,79,Sunny
2022-12-03,Mumbai,19.5,0.0,50,Cloudy
2022-12-04,Mumbai,21.5,9.7,41,Sunny
2022-12-05,Mumbai,22.2,0.0,41,Rainy
2022-12-06,Mumbai,19.9,0.0,43,Sunny
2022-12-07,Mumbai,24.6,0.0,74,Sunny
2022-12-08,Mumbai,18.1,1.1,46,Sunny
2022-12-09,Mumbai,18.2,0.0,51,Sunny
2022-12-10,Mumbai,24.9,0.0,75,Rainy
2022-12-11,Mumbai,23.5,0.0,50,Foggy
2022-12-12,Mumbai,22.3,0.0,82,Rainy
2022-12-13,Mumbai,20.1,0.2,68,Sunny
2022-12-14,Mumbai,19.4,0.0,69,Rainy
2022-12-15,Mumbai,25.4,0.0,51,Rainy
2022-12-16,Mumbai,22.0,1.8,95,Cloudy
2022-12-17,Mumbai,23.5,0.0,53,Sunny
2022-12-18,Mumbai,13.6,3.1,45,Cloudy
2022-12-19,Mumbai,15.9,0.0,74,Foggy
2022-12-20,Mumbai,20.0,0.0,51,Sunny
2022-12-21,Mumbai,22.5,5.3,59,Foggy
2022-12-22,Mumbai,26.3,10.5,52,Sunny
2022-12-23,Mumbai,18.2,1.9,54,Rainy
2022-12-24,Mumbai,22.6,8.1,94,Cloudy
2022-12-25,Mumbai,22.7,1.2,51,Sunny
2022-12-26,Mumbai,15.2,0.0,73,Sunny
2022-12-27,Mumbai,18.7,0.0,84,Sunny
2022-12-28,Mumbai,23.3,0.3,64,Sunny
2022-12-29,Mumbai,24.8,4.3,86,Sunny
2022-12-30,Mumbai,19.7,1.7,74,Cloudy
2022-12-31,Mumbai,23.4,0.0,55,Rainy
2023-01-01,Mumbai,17.6,0.0,68,Foggy
2023-01-02,Mumbai,25.0,9.5,84,Sunny
2023-01-03,Mumbai,23.1,1.0,94,Cloudy
2023-01-04,Mumbai,20.1,9.7,62,Cloudy
2023-01-05,Mumbai,22.0,8.8,85,Rainy
2023-01-06,Mumbai,21.7,6.0,63,Cloudy
2023-01-07,Mumbai,21.6,0.0,88,Sunny
2023-01-08,Mumbai,22.7,0.0,46,Sunny
2023-01-09,Mumbai,17.6,3.4,72,Cloudy
2023-01-10,Mumbai,21.4,0.1,60,Sunny
2023-01-11,Mumbai,19.5,7.3,80,Sunny
2023-01-12,Mumbai,17.6,3.4,48,Cloudy
2023-01-13,Mumbai,17.5,0.0,80,Sunny
2023-01-14,Mumbai,20.3,0.0,77,Foggy
2023-01-15,Mumbai,18.3,10.0,76,Cloudy
2023-01-16,Mumbai,16.2,2.6,75,Rainy
2023-01-17,Mumbai,15.6,4.0,71,Sunny
2023-01-18,Mumbai,17.5,7.6,76,Sunny
2023-01-19,Mumbai,18.8,14.2,52,Rainy
2023-01-20,Mumbai,21.9,0.0,47,Sunny
2023-01-21,Mumbai,20.3,11.5,73,Foggy
2023-01-22,Mumbai,18.3,6.2,77,Cloudy
2023-01-23,Mumbai,9.9,0.0,58,Rainy
2023-01-24,Mumbai,17.7,1.2,60,Sunny
2023-01-25,Mumbai,16.5,0.0,72,Rainy
2023-01-26,Mumbai,21.9,0.0,50,Sunny
2023-01-27,Mumbai,20.6,1.2,65,Sunny
2023-01-28,Mumbai,17.1,3.3,58,Cloudy
2023-01-29,Mumbai,20.5,1.4,74,Sunny
2023-01-30,Mumbai,17.8,1.2,73,Sunny
2023-01-31,Mumbai,20.7,8.3,74,Cloudy
2023-02-01,Mumbai,21.6,8.9,42,Sunny
2023-02-02,Mumbai,18.1,10.6,75,Sunny
2023-02-03,Mumbai,17.2,0.0,93,Rainy
2023-02-04,Mumbai,23.8,1.8,66,Foggy
2023-02-05,Mumbai,20.1,4.8,68,Rainy
2023-02-06,Mumbai,20.8,1.2,53,Sunny
2023-02-07,Mumbai,18.3,6.1,83,Sunny
2023-02-08,Mumbai,14.9,0.0,78,Sunny
2023-02-09,Mumbai,21.9,12.5,62,Sunny
2023-02-10,Mumbai,21.9,4.2,76,Sunny
2023-02-11,Mumbai,16.5,4.4,94,Rainy
2023-02-12,Mumbai,19.1,7.2,43,Cloudy
2023-02-13,Mumbai,15.2,3.0,41,Cloudy
2023-02-14,Mumbai,18.2,1.4,81,Rainy
2023-02-15,Mumbai,24.2,3.4,53,Sunny
2023-02-16,Mumbai,21.2,0.4,54,Sunny
2023-02-17,Mumbai,17.9,13.7,56,Sunny
2023-02-18,Mumbai,19.3,1.2,70,Sunny
2023-02-19,Mumbai,18.3,6.4,65,Rainy
2023-02-20,Mumbai,18.2,5.0,42,Sunny
2023-02-21,Mumbai,20.4,0.0,60,Foggy
2023-02-22,Mumbai,17.5,0.0,70,Sunny
2023-02-23,Mumbai,24.7,0.0,51,Foggy
2023-02-24,Mumbai,21.7,8.2,61,Sunny
2023-02-25,Mumbai,23.9,0.0,58,Sunny
2023-02-26,Mumbai,23.5,3.1,70,Foggy
2023-02-27,Mumbai,19.2,5.9,90,Sunny
2023-02-28,Mumbai,16.7,0.0,60,Sunny
2023-03-01,Mumbai,31.2,0.0,74,Sunny
2023-03-02,Mumbai,33.6,2.4,48,Sunny
2023-03-03,Mumbai,27.7,0.0,50,Rainy
2023-03-04,Mumbai,30.6,0.0,40,Rainy
2023-03-05,Mumbai,24.5,6.5,45,Foggy
2023-03-06,Mumbai,32.3,5.3,70,Sunny
2023-03-07,Mumbai,28.3,0.0,69,Sunny
2023-03-08,Mumbai,25.9,3.8,81,Cloudy
2023-03-09,Mumbai,28.1,6.6,60,Rainy
2023-03-10,Mumbai,26.8,6.0,51,Cloudy
2023-03-11,Mumbai,26.5,9.1,62,Sunny
2023-03-12,Mumbai,28.9,0.2,47,Foggy
2023-03-13,Mumbai,26.7,6.2,45,Sunny
2023-03-14,Mumbai,34.3,5.8,73,Rainy
2023-03-15,Mumbai,30.5,3.3,45,Sunny
2023-03-16,Mumbai,25.7,3.1,54,Rainy
2023-03-17,Mumbai,26.2,0.0,49,Sunny
2023-03-18,Mumbai,31.4,0.0,94,Rainy
2023-03-19,Mumbai,32.0,7.7,69,Sunny
2023-03-20,Mumbai,23.9,0.0,76,Sunny
2023-03-21,Mumbai,27.6,11.7,78,Sunny
2023-03-22,Mumbai,26.3,7.0,74,Sunny
2023-03-23,Mumbai,29.2,7.8,66,Sunny
2023-03-24,Mumbai,29.1,0.0,55,Rainy
2023-03-25,Mumbai,24.0,1.1,51,Sunny
2023-03-26,Mumbai,31.3,3.3,74,Rainy
2023-03-27,Mumbai,29.5,0.0,62,Rainy
2023-03-28,Mumbai,24.6,2.7,40,Sunny
2023-03-29,Mumbai,26.2,0.9,83,Sunny
2023-03-30,Mumbai,29.4,6.9,59,Sunny
2023-03-31,Mumbai,29.0,0.0,60,Rainy
2023-04-01,Mumbai,27.6,3.0,72,Sunny
2023-04-02,Mumbai,27.0,1.3,62,Sunny
2023-04-03,Mumbai,30.5,2.6,95,Sunny
2023-04-04,Mumbai,35.9,5.0,87,Sunny
2023-04-05,Mumbai,35.9,9.8,77,Foggy
2023-04-06,Mumbai,35.1,1.7,92,Sunny
2023-04-07,Mumbai,29.7,0.0,64,Cloudy
2023-04-08,Mumbai,25.8,7.7,61,Sunny
2023-04-09,Mumbai,29.6,0.0,41,Cloudy
2023-04-10,Mumbai,35.8,6.0,75,Sunny
2023-04-11,Mumbai,33.1,2.9,54,Rainy
2023-04-12,Mumbai,31.9,0.0,46,Rainy
2023-04-13,Mumbai,30.0,0.7,73,Sunny
2023-04-14,Mumbai,32.0,9.1,64,Sunny
2023-04-15,Mumbai,37.8,0.0,59,Cloudy
2023-04-16,Mumbai,38.3,0.0,79,Rainy
2023-04-17,Mumbai,30.2,0.0,75,Foggy
2023-04-18,Mumbai,29.4,8.3,71,Sunny
2023-04-19,Mumbai,32.3,0.0,73,Sunny
2023-04-20,Mumbai,31.6,1.7,77,Sunny
2023-04-21,Mumbai,35.0,6.2,77,Sunny
2023-04-22,Mumbai,28.7,0.2,82,Rainy
2023-04-23,Mumbai,35.9,0.0,59,Cloudy
2023-04-24,Mumbai,34.6,8.3,95,Sunny
2023-04-25,Mumbai,33.4,2.4,61,Rainy
2023-04-26,Mumbai,26.4,0.0,56,Foggy
2023-04-27,Mumbai,35.0,0.0,90,Foggy
2023-04-28,Mumbai,28.5,5.8,50,Cloudy
2023-04-29,Mumbai,30.2,5.8,45,Sunny
2023-04-30,Mumbai,33.1,3.2,73,Cloudy
2023-05-01,Mumbai,33.1,0.0,47,Rainy
2023-05-02,Mumbai,29.4,0.0,71,Rainy
2023-05-03,Mumbai,39.3,7.8,61,Cloudy
2023-05-04,Mumbai,33.5,1.3,90,Cloudy
2023-05-05,Mumbai,39.8,0.0,86,Cloudy
2023-05-06,Mumbai,36.2,0.0,68,Sunny
2023-05-07,Mumbai,35.5,3.3,75,Rainy
2023-05-08,Mumbai,36.5,0.0,54,Rainy
2023-05-09,Mumbai,30.0,7.0,82,Sunny
