store_id,store_name,city,region,tier,store_type,size_sqft,open_date,is_active
S0108,Ahmedabad Store 108,Ahmedabad,West,Tier1,Standalone,11968,2016-04-13,True
S0109,Pune Store 109,Pune,West,Tier2,Outlet,13564,2019-02-19,True
S0110,Agra Store 110,Agra,North,Tier3,Mall,13743,2016-11-01,False
S0111,Hyderabad Store 111,Hyderabad,South,Tier3,Mall,6111,2021-06-16,True
S0112,Chandigarh Store 112,Chandigarh,North,Tier2,High Street,2245,2021-08-22,True
S0113,Ahmedabad Store 113,Ahmedabad,West,Tier1,Outlet,14931,2021-09-25,True
S0114,Ludhiana Store 114,Ludhiana,North,Tier1,Outlet,9728,2019-10-21,True
S0115,Bengaluru Store 115,Bengaluru,South,Tier3,Outlet,1207,2019-09-17,True
S0116,Hyderabad Store 116,Hyderabad,South,Tier2,Outlet,11413,2020-02-27,True
S0117,Bhopal Store 117,Bhopal,Central,Tier1,Outlet,11091,2021-01-13,True
S0118,Indore Store 118,Indore,Central,Tier2,Outlet,6280,2017-10-02,True
S0119,Bengaluru Store 119,Bengaluru,South,Tier2,Standalone,4995,2020-03-18,True
S0120,Chandigarh Store 120,Chandigarh,North,Tier2,Mall,9098,2018-08-24,True
S0121,Pune Store 121,Pune,West,Tier2,Outlet,6576,2018-02-19,True
S0122,Jaipur Store 122,Jaipur,North,Tier3,Mall,9464,2017-02-21,True
S0123,Bhopal Store 123,Bhopal,Central,Tier2,High Street,12314,2020-05-04,True
S0124,Nagpur Store 124,Nagpur,Central,Tier2,Mall,2524,2018-04-20,True
S0125,Ahmedabad Store 125,Ahmedabad,West,Tier2,Outlet,8753,2021-03-17,True
S0126,Bhopal Store 126,Bhopal,Central,Tier3,Outlet,6764,2020-02-02,True
S0127,Jaipur Store 127,Jaipur,North,Tier1,Mall,12817,2017-02-27,True
S0128,Vadodara Store 128,Vadodara,West,Tier3,High Street,4138,2017-06-05,True
S0129,Jaipur Store 129,Jaipur,North,Tier3,Outlet,2647,2017-03-06,True
S0130,Kochi Store 130,Kochi,South,Tier1,Outlet,1231,2020-12-27,True
S0131,Delhi Store 131,Delhi,North,Tier1,Outlet,12426,2016-06-01,True
S0132,Nagpur Store 132,Nagpur,Central,Tier1,Mall,10405,2018-03-10,True
S0133,Indore Store 133,Indore,Central,Tier2,High Street,1841,2017-10-31,False
S0134,Nagpur Store 134,Nagpur,Central,Tier1,Mall,7565,2020-07-07,True
S0135,Delhi Store 135,Delhi,North,Tier1,High Street,14289,2021-04-24,False
S0136,Bengaluru Store 136,Bengaluru,South,Tier1,Mall,10143,2019-09-01,True
S0137,Agra Store 137,Agra,North,Tier1,Standalone,8381,2019-12-19,True
S0138,Ludhiana Store 138,Ludhiana,North,Tier2,Outlet,10316,2021-12-18,True
S0139,Hyderabad Store 139,Hyderabad,South,Tier1,High Street,5335,2015-11-29,True
S0140,Kolkata Store 140,Kolkata,East,Tier3,Mall,3564,2015-01-11,True
S0141,Agra Store 141,Agra,North,Tier2,Outlet,1534,2017-08-06,True
S0142,Lucknow Store 142,Lucknow,North,Tier3,Standalone,2166,2017-08-14,False
S0143,Ludhiana Store 143,Ludhiana,North,Tier3,High Street,7965,2016-04-15,True
S0144,Chennai Store 144,Chennai,South,Tier2,High Street,2169,2015-09-02,True
S0145,Lucknow Store 145,Lucknow,North,Tier3,Outlet,8195,2016-05-24,True
S0146,Lucknow Store 146,Lucknow,North,Tier3,Standalone,5460,2020-08-11,True
S0147,Indore Store 147,Indore,Central,Tier1,Mall,8078,2018-08-13,True
S0148,Mumbai Store 148,Mumbai,West,Tier1,High Street,12047,2021-06-14,True
S0149,Mumbai Store 149,Mumbai,West,Tier3,Outlet,10441,2015-06-14,True
S0150,Kolkata Store 150,Kolkata,East,Tier2,Standalone,5557,2017-01-13,False
