inventory_id,product_id,store_id,warehouse_id,location_type,stock_qty,reorder_point,max_stock,days_on_hand,last_updated,stockout_risk,demand_30d,avg_daily_demand,days_cover,reorder_urgency,overstock_flag,health_score,risk_label
INV000044,P01833,S0002,,store,362,40,200,19.1,2024-01-13,0,3.0,0.1,3620.0,0,1,85.0,Healthy
INV000045,P00895,,W005,warehouse,290,27,135,19.3,2024-11-16,0,4.0,0.13,2230.8,0,1,85.0,Healthy
INV000046,P02165,,W027,warehouse,440,98,490,27.5,2024-08-20,0,1.0,0.1,4400.0,0,0,100.0,Healthy
INV000047,P01866,S0120,,store,265,50,250,88.3,2024-12-05,0,3.0,0.1,2650.0,0,1,85.0,Healthy
INV000048,P03913,,W009,warehouse,475,54,270,29.7,2024-08-18,0,1.0,0.1,4750.0,0,1,85.0,Healthy
INV000049,P00919,S0140,,store,144,87,435,14.4,2024-10-27,0,2.0,0.07,2057.1,0,0,100.0,Healthy
INV000050,P04309,S0118,,store,405,99,495,45.0,2024-09-07,0,3.0,0.1,4050.0,0,0,100.0,Healthy
INV000051,P01717,S0035,,store,309,21,105,77.2,2024-07-12,0,5.0,0.17,1817.6,0,1,85.0,Healthy
INV000052,P01997,S0021,,store,296,94,470,14.8,2024-08-05,0,1.0,0.03,9866.7,0,0,100.0,Healthy
INV000053,P01136,S0016,,store,309,28,140,51.5,2024-10-13,0,1.0,0.1,3090.0,0,1,85.0,Healthy
INV000054,P00953,S0022,,store,141,74,370,35.2,2024-03-07,0,2.0,0.07,2014.3,0,0,100.0,Healthy
INV000055,P00823,S0091,,store,106,31,155,9.6,2024-12-05,0,2.0,0.07,1514.3,0,0,100.0,Healthy
INV000056,P01626,S0060,,store,221,57,285,44.2,2024-07-22,0,1.0,0.03,7366.7,0,0,100.0,Healthy
INV000057,P02944,S0122,,store,108,43,215,7.2,2024-02-13,0,2.0,0.07,1542.9,0,0,100.0,Healthy
INV000058,P01831,,W011,warehouse,495,21,105,27.5,2024-11-09,0,1.0,0.1,4950.0,0,1,85.0,Healthy
INV000059,P03175,S0130,,store,35,21,105,2.9,2024-05-31,0,3.0,0.1,350.0,0,0,100.0,Healthy
INV000060,P01975,S0023,,store,427,85,425,53.4,2024-08-02,0,8.0,0.27,1581.5,0,1,85.0,Healthy
INV000061,P02425,S0131,,store,373,27,135,74.6,2024-10-06,0,5.0,0.17,2194.1,0,1,85.0,Healthy
INV000062,P04833,,W006,warehouse,28,54,270,1.4,2024-01-11,1,4.0,0.13,215.4,1,0,75.0,Healthy
INV000063,P01629,S0074,,store,7,100,500,0.4,2024-12-15,1,1.0,0.1,70.0,1,0,75.0,Healthy
INV000064,P02358,,W021,warehouse,32,88,440,2.5,2024-05-18,1,4.0,0.13,246.2,1,0,75.0,Healthy
INV000065,P04446,S0042,,store,232,49,245,46.4,2024-05-27,0,1.0,0.1,2320.0,0,0,100.0,Healthy
INV000066,P00011,S0083,,store,338,28,140,24.1,2024-01-15,0,1.0,0.03,11266.7,0,1,85.0,Healthy
INV000067,P03176,,W006,warehouse,24,86,430,2.2,2024-11-01,1,2.0,0.07,342.9,1,0,75.0,Healthy
INV000068,P04793,S0091,,store,438,89,445,27.4,2024-06-20,0,1.0,0.1,4380.0,0,0,100.0,Healthy
INV000069,P00751,,W008,warehouse,369,38,190,19.4,2024-08-11,0,2.0,0.07,5271.4,0,1,85.0,Healthy
INV000070,P00224,S0091,,store,405,90,450,81.0,2024-03-07,0,2.0,0.07,5785.7,0,0,100.0,Healthy
INV000071,P04774,S0036,,store,181,97,485,12.9,2024-07-25,0,1.0,0.03,6033.3,0,0,100.0,Healthy
INV000072,P01217,,W004,warehouse,445,44,220,34.2,2024-09-13,0,2.0,0.07,6357.1,0,1,85.0,Healthy
INV000073,P04219,S0146,,store,247,65,325,35.3,2024-03-18,0,2.0,0.07,3528.6,0,0,100.0,Healthy
INV000074,P00276,S0106,,store,252,88,440,14.8,2024-08-14,0,1.0,0.1,2520.0,0,0,100.0,Healthy
INV000075,P00619,S0076,,store,248,29,145,15.5,2024-07-03,0,3.0,0.1,2480.0,0,1,85.0,Healthy
INV000076,P04525,S0006,,store,187,76,380,93.5,2024-11-27,0,4.0,0.13,1438.5,0,0,100.0,Healthy
INV000077,P04276,S0052,,store,139,39,195,34.8,2024-05-02,0,6.0,0.2,695.0,0,0,100.0,Healthy
INV000078,P00591,S0060,,store,320,89,445,80.0,2024-08-16,0,3.0,0.1,3200.0,0,0,100.0,Healthy
INV000079,P04098,S0031,,store,281,64,320,70.2,2024-07-15,0,4.0,0.13,2161.5,0,0,100.0,Healthy
INV000080,P01246,,W024,warehouse,171,97,485,19.0,2024-06-11,0,1.0,0.03,5700.0,0,0,100.0,Healthy
INV000081,P01087,,W006,warehouse,319,98,490,29.0,2024-08-10,0,1.0,0.1,3190.0,0,0,100.0,Healthy
INV000082,P01380,,W020,warehouse,370,95,475,46.2,2024-07-08,0,2.0,0.07,5285.7,0,0,100.0,Healthy
INV000083,P04630,,W024,warehouse,447,93,465,111.8,2024-12-08,0,5.0,0.17,2629.4,0,0,100.0,Healthy
INV000084,P01078,S0123,,store,221,97,485,221.0,2024-04-17,0,1.0,0.03,7366.7,0,0,100.0,Healthy
INV000085,P04894,S0031,,store,317,90,450,24.4,2024-02-19,0,8.0,0.27,1174.1,0,0,100.0,Healthy
INV000086,P02667,,W005,warehouse,329,41,205,16.4,2024-04-27,0,6.0,0.2,1645.0,0,1,85.0,Healthy
INV000087,P03658,,W010,warehouse,1,67,335,0.5,2024-12-19,1,3.0,0.1,10.0,1,0,35.0,Medium
INV000088,P00349,S0058,,store,63,51,255,3.9,2024-01-05,0,1.0,0.1,630.0,0,0,100.0,Healthy
INV000089,P04105,,W022,warehouse,321,45,225,29.2,2024-07-26,0,6.0,0.2,1605.0,0,1,85.0,Healthy
INV000090,P02679,S0083,,store,61,25,125,6.1,2024-11-05,0,6.0,0.2,305.0,0,0,100.0,Healthy
INV000091,P00267,,W021,warehouse,350,91,455,31.8,2024-09-11,0,1.0,0.1,3500.0,0,0,100.0,Healthy
INV000092,P04404,S0123,,store,90,62,310,8.2,2024-08-17,0,5.0,0.17,529.4,0,0,100.0,Healthy
INV000093,P00401,S0054,,store,118,91,455,7.4,2024-04-21,0,2.0,0.07,1685.7,0,0,100.0,Healthy
INV000094,P01846,S0057,,store,325,25,125,81.2,2024-07-05,0,1.0,0.1,3250.0,0,1,85.0,Healthy
INV000095,P02534,,W001,warehouse,488,60,300,162.7,2024-10-10,0,4.0,0.13,3753.8,0,1,85.0,Healthy
INV000096,P02711,S0128,,store,404,98,490,31.1,2024-10-01,0,3.0,0.1,4040.0,0,0,100.0,Healthy
INV000097,P00218,S0104,,store,227,71,355,37.8,2024-01-03,0,2.0,0.07,3242.9,0,0,100.0,Healthy
INV000098,P00948,,W023,warehouse,58,48,240,3.1,2024-03-12,0,2.0,0.07,828.6,0,0,100.0,Healthy
INV000099,P03538,S0035,,store,54,28,140,6.8,2024-06-27,0,4.0,0.13,415.4,0,0,100.0,Healthy
INV000100,P02491,S0029,,store,26,21,105,3.7,2024-06-04,0,8.0,0.27,96.3,0,0,100.0,Healthy
INV000101,P03112,,W010,warehouse,149,38,190,10.6,2024-09-18,0,1.0,0.03,4966.7,0,0,100.0,Healthy
INV000102,P04950,,W029,warehouse,398,67,335,66.3,2024-10-16,0,1.0,0.03,13266.7,0,1,85.0,Healthy
INV000103,P00249,S0033,,store,4,32,160,2.0,2024-05-13,1,4.0,0.13,30.8,1,0,75.0,Healthy
INV000104,P03555,S0114,,store,11,41,205,0.6,2024-11-30,1,2.0,0.07,157.1,1,0,75.0,Healthy
INV000105,P04013,S0028,,store,410,96,480,37.3,2024-02-25,0,1.0,0.1,4100.0,0,0,100.0,Healthy
INV000106,P03803,S0013,,store,281,52,260,23.4,2024-07-09,0,12.0,0.4,702.5,0,1,85.0,Healthy
INV000107,P03610,,W014,warehouse,48,99,495,9.6,2024-03-18,1,2.0,0.07,685.7,1,0,75.0,Healthy
INV000108,P04770,,W012,warehouse,466,89,445,27.4,2024-11-03,0,7.0,0.23,2026.1,0,1,85.0,Healthy
INV000109,P01201,S0124,,store,441,36,180,25.9,2024-05-29,0,7.0,0.23,1917.4,0,1,85.0,Healthy
INV000110,P01158,,W017,warehouse,207,87,435,14.8,2024-02-15,0,4.0,0.13,1592.3,0,0,100.0,Healthy
INV000111,P04664,,W016,warehouse,493,64,320,164.3,2024-09-27,0,1.0,0.03,16433.3,0,1,85.0,Healthy
INV000112,P04822,S0038,,store,199,26,130,39.8,2024-02-14,0,3.0,0.1,1990.0,0,1,85.0,Healthy
INV000113,P02295,,W017,warehouse,35,50,250,11.7,2024-12-08,1,1.0,0.1,350.0,1,0,75.0,Healthy
INV000114,P04155,S0093,,store,363,28,140,24.2,2024-09-06,0,3.0,0.1,3630.0,0,1,85.0,Healthy
INV000115,P00162,,W021,warehouse,113,27,135,8.1,2024-02-09,0,2.0,0.07,1614.3,0,0,100.0,Healthy
INV000116,P03071,S0053,,store,201,55,275,100.5,2024-02-21,0,1.0,0.03,6700.0,0,0,100.0,Healthy
INV000117,P00776,S0030,,store,392,28,140,19.6,2024-08-26,0,1.0,0.1,3920.0,0,1,85.0,Healthy
INV000118,P02615,,W008,warehouse,418,33,165,418.0,2024-06-05,0,4.0,0.13,3215.4,0,1,85.0,Healthy
INV000119,P01434,,W006,warehouse,86,27,135,21.5,2024-12-10,0,7.0,0.23,373.9,0,0,100.0,Healthy
INV000120,P04225,,W007,warehouse,422,48,240,60.3,2024-11-27,0,8.0,0.27,1563.0,0,1,85.0,Healthy
INV000121,P02557,S0108,,store,248,31,155,41.3,2024-02-11,0,2.0,0.07,3542.9,0,1,85.0,Healthy
INV000122,P04696,S0059,,store,261,50,250,21.8,2024-01-03,0,3.0,0.1,2610.0,0,1,85.0,Healthy
INV000123,P04427,,W004,warehouse,2,41,205,0.2,2024-04-24,1,6.0,0.2,10.0,1,0,35.0,Medium
INV000124,P04573,S0127,,store,478,33,165,53.1,2024-05-23,0,3.0,0.1,4780.0,0,1,85.0,Healthy
INV000125,P04630,,W005,warehouse,432,92,460,36.0,2024-08-07,0,5.0,0.17,2541.2,0,0,100.0,Healthy
INV000126,P01924,,W019,warehouse,176,26,130,22.0,2024-04-26,0,3.0,0.1,1760.0,0,1,85.0,Healthy
INV000127,P02682,S0007,,store,22,66,330,1.5,2024-03-23,1,5.0,0.17,129.4,1,0,75.0,Healthy
INV000128,P03242,S0029,,store,405,43,215,20.2,2024-10-26,0,1.0,0.1,4050.0,0,1,85.0,Healthy
INV000129,P03291,S0023,,store,81,61,305,10.1,2024-11-08,0,9.0,0.3,270.0,0,0,100.0,Healthy
INV000130,P00590,,W030,warehouse,195,98,490,27.9,2024-10-13,0,1.0,0.1,1950.0,0,0,100.0,Healthy
INV000131,P00748,S0110,,store,184,75,375,36.8,2024-12-07,0,7.0,0.23,800.0,0,0,100.0,Healthy
INV000132,P04097,,W012,warehouse,295,55,275,42.1,2024-09-04,0,1.0,0.03,9833.3,0,1,85.0,Healthy
INV000133,P04996,S0093,,store,427,71,355,30.5,2024-10-04,0,1.0,0.03,14233.3,0,1,85.0,Healthy
INV000134,P01569,,W010,warehouse,77,56,280,6.4,2024-02-25,0,5.0,0.17,452.9,0,0,100.0,Healthy
INV000135,P04957,S0076,,store,484,67,335,96.8,2024-06-09,0,1.0,0.03,16133.3,0,1,85.0,Healthy
INV000136,P03727,S0116,,store,251,71,355,14.8,2024-06-22,0,3.0,0.1,2510.0,0,0,100.0,Healthy
INV000137,P03144,,W006,warehouse,190,94,470,13.6,2024-07-25,0,4.0,0.13,1461.5,0,0,100.0,Healthy
INV000138,P04432,S0002,,store,414,69,345,21.8,2024-12-26,0,2.0,0.07,5914.3,0,1,85.0,Healthy
INV000139,P02979,,W003,warehouse,375,77,385,187.5,2024-11-04,0,1.0,0.03,12500.0,0,0,100.0,Healthy
INV000140,P02714,,W027,warehouse,142,48,240,28.4,2024-11-24,0,3.0,0.1,1420.0,0,0,100.0,Healthy
INV000141,P01648,S0148,,store,269,84,420,269.0,2024-10-18,0,1.0,0.03,8966.7,0,0,100.0,Healthy
INV000142,P02332,S0016,,store,124,89,445,17.7,2024-10-06,0,1.0,0.03,4133.3,0,0,100.0,Healthy
INV000143,P01804,,W003,warehouse,466,55,275,23.3,2024-03-17,0,1.0,0.03,15533.3,0,1,85.0,Healthy
INV000144,P01266,S0003,,store,478,91,455,79.7,2024-04-17,0,1.0,0.03,15933.3,0,1,85.0,Healthy
INV000145,P02783,S0042,,store,374,71,355,187.0,2024-11-26,0,1.0,0.03,12466.7,0,1,85.0,Healthy
INV000146,P04465,S0134,,store,72,39,195,6.0,2024-01-05,0,1.0,0.1,720.0,0,0,100.0,Healthy
INV000147,P03499,,W007,warehouse,446,65,325,55.8,2024-08-23,0,1.0,0.1,4460.0,0,1,85.0,Healthy
INV000148,P03705,S0092,,store,203,63,315,16.9,2024-05-13,0,4.0,0.13,1561.5,0,0,100.0,Healthy
INV000149,P02033,,W006,warehouse,32,96,480,4.6,2024-09-14,1,1.0,0.03,1066.7,1,0,75.0,Healthy
INV000150,P00837,,W012,warehouse,117,84,420,16.7,2024-12-25,0,5.0,0.17,688.2,0,0,100.0,Healthy
INV000151,P01983,,W022,warehouse,294,53,265,17.3,2024-05-05,0,1.0,0.03,9800.0,0,1,85.0,Healthy
INV000152,P03576,,W020,warehouse,355,56,280,23.7,2024-08-04,0,2.0,0.07,5071.4,0,1,85.0,Healthy
INV000153,P02360,,W014,warehouse,379,100,500,379.0,2024-02-15,0,1.0,0.03,12633.3,0,0,100.0,Healthy
INV000154,P03553,S0011,,store,235,29,145,21.4,2024-01-26,0,2.0,0.07,3357.1,0,1,85.0,Healthy
INV000155,P01056,S0131,,store,267,48,240,24.3,2024-10-05,0,2.0,0.07,3814.3,0,1,85.0,Healthy
INV000156,P01513,S0057,,store,476,52,260,158.7,2024-10-24,0,1.0,0.03,15866.7,0,1,85.0,Healthy
INV000157,P02595,,W016,warehouse,189,59,295,23.6,2024-03-05,0,2.0,0.07,2700.0,0,0,100.0,Healthy
INV000158,P01925,S0078,,store,320,89,445,20.0,2024-08-17,0,3.0,0.1,3200.0,0,0,100.0,Healthy
INV000159,P01774,S0074,,store,495,31,155,49.5,2024-08-12,0,1.0,0.1,4950.0,0,1,85.0,Healthy
INV000160,P02313,,W017,warehouse,381,47,235,22.4,2024-12-30,0,1.0,0.03,12700.0,0,1,85.0,Healthy
INV000161,P01967,,W005,warehouse,281,71,355,23.4,2024-10-23,0,4.0,0.13,2161.5,0,0,100.0,Healthy
INV000162,P01104,S0003,,store,4,83,415,0.7,2024-08-01,1,3.0,0.1,40.0,1,0,75.0,Healthy
INV000163,P04783,S0028,,store,196,21,105,32.7,2024-09-14,0,8.0,0.27,725.9,0,1,85.0,Healthy
INV000164,P04869,,W018,warehouse,247,53,265,12.3,2024-02-01,0,1.0,0.1,2470.0,0,0,100.0,Healthy
INV000165,P02558,S0085,,store,340,55,275,22.7,2024-12-29,0,5.0,0.17,2000.0,0,1,85.0,Healthy
INV000166,P02373,,W014,warehouse,252,77,385,31.5,2024-11-04,0,1.0,0.1,2520.0,0,0,100.0,Healthy
INV000167,P03719,S0123,,store,319,51,255,16.8,2024-01-17,0,4.0,0.13,2453.8,0,1,85.0,Healthy
INV000168,P02670,,W013,warehouse,222,80,400,13.9,2024-08-09,0,1.0,0.03,7400.0,0,0,100.0,Healthy
INV000169,P01965,,W028,warehouse,318,49,245,28.9,2024-04-23,0,4.0,0.13,2446.2,0,1,85.0,Healthy
INV000170,P02495,,W015,warehouse,465,21,105,66.4,2024-05-04,0,11.0,0.37,1256.8,0,1,85.0,Healthy
INV000171,P03826,,W002,warehouse,314,47,235,17.4,2024-09-20,0,7.0,0.23,1365.2,0,1,85.0,Healthy
INV000172,P01294,,W016,warehouse,250,100,500,22.7,2024-01-04,0,3.0,0.1,2500.0,0,0,100.0,Healthy
INV000173,P01667,,W030,warehouse,435,93,465,33.5,2024-07-15,0,2.0,0.07,6214.3,0,0,100.0,Healthy
INV000174,P01018,,W029,warehouse,403,48,240,403.0,2024-10-25,0,1.0,0.1,4030.0,0,1,85.0,Healthy
INV000175,P01163,,W001,warehouse,233,20,100,29.1,2024-02-27,0,4.0,0.13,1792.3,0,1,85.0,Healthy
INV000176,P02089,,W022,warehouse,453,41,205,26.6,2024-05-28,0,3.0,0.1,4530.0,0,1,85.0,Healthy
INV000177,P03909,S0134,,store,63,65,325,5.2,2024-03-09,1,1.0,0.1,630.0,1,0,75.0,Healthy
INV000178,P03567,S0138,,store,214,32,160,214.0,2024-05-13,0,1.0,0.03,7133.3,0,1,85.0,Healthy
INV000179,P00401,S0071,,store,28,31,155,1.6,2024-12-08,1,2.0,0.07,400.0,1,0,75.0,Healthy
INV000180,P00333,S0015,,store,124,71,355,24.8,2024-08-12,0,4.0,0.13,953.8,0,0,100.0,Healthy
INV000181,P01642,,W004,warehouse,284,24,120,14.9,2024-01-22,0,8.0,0.27,1051.9,0,1,85.0,Healthy
INV000182,P02927,,W010,warehouse,470,81,405,470.0,2024-08-07,0,1.0,0.03,15666.7,0,1,85.0,Healthy
INV000183,P02967,,W016,warehouse,163,54,270,20.4,2024-08-11,0,1.0,0.1,1630.0,0,0,100.0,Healthy
INV000184,P04564,,W024,warehouse,262,57,285,20.2,2024-05-15,0,1.0,0.03,8733.3,0,0,100.0,Healthy
INV000185,P04265,,W029,warehouse,80,31,155,5.7,2024-08-01,0,2.0,0.07,1142.9,0,0,100.0,Healthy
INV000186,P01076,S0126,,store,61,60,300,5.5,2024-04-14,0,1.0,0.1,610.0,0,0,100.0,Healthy
INV000187,P00833,S0107,,store,102,61,305,17.0,2024-06-11,0,7.0,0.23,443.5,0,0,100.0,Healthy
INV000188,P03462,,W020,warehouse,336,83,415,18.7,2024-12-09,0,1.0,0.03,11200.0,0,0,100.0,Healthy
INV000189,P04222,S0010,,store,292,94,470,97.3,2024-10-13,0,1.0,0.1,2920.0,0,0,100.0,Healthy
INV000190,P03425,,W030,warehouse,247,60,300,20.6,2024-01-12,0,3.0,0.1,2470.0,0,0,100.0,Healthy
INV000191,P00963,S0137,,store,401,48,240,33.4,2024-12-18,0,9.0,0.3,1336.7,0,1,85.0,Healthy
INV000192,P01580,,W004,warehouse,148,46,230,11.4,2024-06-12,0,4.0,0.13,1138.5,0,0,100.0,Healthy
INV000193,P00511,,W026,warehouse,128,76,380,128.0,2024-01-16,0,1.0,0.03,4266.7,0,0,100.0,Healthy
INV000194,P03475,S0045,,store,218,83,415,16.8,2024-08-17,0,1.0,0.03,7266.7,0,0,100.0,Healthy
INV000195,P03635,S0035,,store,62,68,340,6.9,2024-07-11,1,3.0,0.1,620.0,1,0,75.0,Healthy
INV000196,P03119,,W006,warehouse,157,86,430,14.3,2024-06-09,0,5.0,0.17,923.5,0,0,100.0,Healthy
INV000197,P00350,,W002,warehouse,469,93,465,42.6,2024-10-27,0,2.0,0.07,6700.0,0,1,85.0,Healthy
INV000198,P00033,S0106,,store,48,96,480,6.0,2024-06-16,1,2.0,0.07,685.7,1,0,75.0,Healthy
INV000199,P01986,,W025,warehouse,153,40,200,8.1,2024-10-31,0,1.0,0.1,1530.0,0,0,100.0,Healthy
INV000200,P03222,,W011,warehouse,223,83,415,14.9,2024-04-07,0,3.0,0.1,2230.0,0,0,100.0,Healthy
INV000201,P02554,,W010,warehouse,107,90,450,17.8,2024-07-29,0,3.0,0.1,1070.0,0,0,100.0,Healthy
INV000202,P00503,S0132,,store,90,68,340,6.4,2024-08-21,0,1.0,0.1,900.0,0,0,100.0,Healthy
INV000203,P01692,,W008,warehouse,374,27,135,18.7,2024-11-07,0,3.0,0.1,3740.0,0,1,85.0,Healthy
INV000204,P04200,S0140,,store,326,39,195,17.2,2024-01-14,0,6.0,0.2,1630.0,0,1,85.0,Healthy
INV000205,P00134,,W015,warehouse,369,49,245,30.8,2024-05-14,0,2.0,0.07,5271.4,0,1,85.0,Healthy
INV000206,P00114,S0084,,store,164,22,110,18.2,2024-04-05,0,4.0,0.13,1261.5,0,1,85.0,Healthy
INV000207,P03035,,W006,warehouse,59,71,355,19.7,2024-05-08,1,2.0,0.07,842.9,1,0,75.0,Healthy
INV000208,P04861,,W006,warehouse,473,92,460,157.7,2024-03-04,0,2.0,0.07,6757.1,0,1,85.0,Healthy
INV000209,P00340,S0134,,store,249,85,425,15.6,2024-03-17,0,7.0,0.23,1082.6,0,0,100.0,Healthy
INV000210,P02816,S0050,,store,247,37,185,22.5,2024-06-21,0,1.0,0.03,8233.3,0,1,85.0,Healthy
INV000211,P03831,,W003,warehouse,415,64,320,415.0,2024-05-06,0,3.0,0.1,4150.0,0,1,85.0,Healthy
INV000212,P04908,S0109,,store,57,64,320,7.1,2024-02-13,1,3.0,0.1,570.0,1,0,75.0,Healthy
INV000213,P04318,S0007,,store,205,100,500,13.7,2024-10-08,0,2.0,0.07,2928.6,0,0,100.0,Healthy
INV000214,P02786,,W025,warehouse,313,69,345,18.4,2024-06-02,0,2.0,0.07,4471.4,0,0,100.0,Healthy
INV000215,P01917,S0041,,store,403,100,500,28.8,2024-06-19,0,2.0,0.07,5757.1,0,0,100.0,Healthy
INV000216,P01599,,W012,warehouse,266,36,180,66.5,2024-07-26,0,8.0,0.27,985.2,0,1,85.0,Healthy
INV000217,P04796,,W027,warehouse,11,71,355,0.7,2024-10-22,1,1.0,0.03,366.7,1,0,75.0,Healthy
INV000218,P00702,,W019,warehouse,50,85,425,3.8,2024-01-28,1,1.0,0.03,1666.7,1,0,75.0,Healthy
INV000219,P01307,,W001,warehouse,310,87,435,22.1,2024-09-19,0,1.0,0.03,10333.3,0,0,100.0,Healthy
INV000220,P04592,,W014,warehouse,265,28,140,18.9,2024-01-21,0,5.0,0.17,1558.8,0,1,85.0,Healthy
INV000221,P04346,S0087,,store,166,98,490,55.3,2024-11-03,0,5.0,0.17,976.5,0,0,100.0,Healthy
INV000222,P04434,S0119,,store,134,44,220,11.2,2024-08-25,0,5.0,0.17,788.2,0,0,100.0,Healthy
INV000223,P03709,S0003,,store,247,31,155,247.0,2024-03-10,0,1.0,0.03,8233.3,0,1,85.0,Healthy
