wishlist_id,customer_id,product_id,added_date,is_purchased
WL0000061,C09085,P03704,2023-06-17,False
WL0000062,C07292,P00645,2024-12-19,True
WL0000063,C06612,P04026,2023-12-14,False
WL0000064,C08536,P04268,2022-08-12,True
WL0000065,C00890,P01113,2023-01-16,False
WL0000066,C00231,P00051,2022-11-16,False
WL0000067,C02627,P00144,2024-09-15,True
WL0000068,C04436,P03231,2023-04-10,False
WL0000069,C09238,P00268,2024-06-24,True
WL0000070,C03015,P03347,2023-12-04,False
WL0000071,C07726,P01029,2023-06-10,True
WL0000072,C05658,P02609,2023-04-20,False
WL0000073,C02950,P02417,2024-04-17,False
WL0000074,C02089,P02205,2023-02-27,True
WL0000075,C09739,P02754,2024-03-03,False
WL0000076,C03549,P01133,2024-07-03,False
WL0000077,C05838,P00804,2022-04-26,False
WL0000078,C00295,P01630,2023-09-27,True
WL0000079,C01308,P04280,2024-10-27,False
WL0000080,C03696,P00300,2022-09-16,False
WL0000081,C07586,P01274,2024-05-12,False
WL0000082,C00854,P01303,2024-02-29,False
WL0000083,C07077,P04096,2022-08-18,False
WL0000084,C06344,P00864,2022-10-08,True
WL0000085,C02796,P03984,2024-02-14,False
WL0000086,C06100,P01503,2022-04-06,False
WL0000087,C02881,P00534,2024-12-14,False
WL0000088,C06521,P03479,2023-01-08,True
WL0000089,C01199,P04116,2023-09-22,True
WL0000090,C05700,P03246,2023-02-21,False
WL0000091,C01304,P01011,2022-05-21,False
WL0000092,C07954,P02266,2024-04-03,False
WL0000093,C01735,P00362,2024-03-10,True
WL0000094,C09538,P03834,2022-11-10,True
WL0000095,C02533,P02461,2024-12-11,False
WL0000096,C05914,P04370,2023-01-19,False
WL0000097,C04732,P04215,2023-09-23,False
WL0000098,C02351,P03747,2024-12-30,False
WL0000099,C02539,P01812,2023-12-09,False
WL0000100,C02772,P00214,2022-07-29,False
WL0000101,C00361,P03358,2024-07-14,True
WL0000102,C06147,P03404,2023-08-15,True
WL0000103,C05366,P01113,2024-07-15,False
WL0000104,C01682,P03240,2024-03-11,False
WL0000105,C09429,P00036,2024-05-06,False
WL0000106,C05673,P01482,2023-04-27,False
WL0000107,C03808,P04509,2023-01-31,False
WL0000108,C08182,P02907,2024-05-02,False
WL0000109,C06874,P00583,2022-06-12,True
WL0000110,C03017,P02712,2023-03-10,False
WL0000111,C05689,P01570,2024-09-19,True
WL0000112,C07602,P04004,2023-01-22,False
WL0000113,C08025,P01224,2024-10-15,False
WL0000114,C06936,P01306,2022-08-28,False
WL0000115,C06954,P03075,2022-06-12,False
WL0000116,C05764,P04127,2023-10-10,True
WL0000117,C01440,P02479,2022-05-30,False
WL0000118,C02519,P00854,2024-07-15,False
WL0000119,C04711,P00281,2024-07-16,False
WL0000120,C03116,P02069,2023-01-25,False
WL0000121,C07372,P01014,2022-12-30,False
WL0000122,C06503,P00844,2022-08-28,True
WL0000123,C00464,P02569,2024-04-29,True
WL0000124,C07835,P03635,2023-09-11,False
WL0000125,C07148,P01167,2022-06-05,False
WL0000126,C09911,P00141,2023-03-12,False
WL0000127,C05967,P00394,2024-11-05,False
WL0000128,C07125,P00186,2022-05-07,True
WL0000129,C03514,P04411,2024-01-16,False
WL0000130,C03112,P01982,2024-04-02,False
WL0000131,C05961,P00609,2023-06-05,False
WL0000132,C05075,P00511,2024-10-06,False
WL0000133,C06417,P01107,2022-08-27,False
WL0000134,C00173,P03333,2024-11-29,False
WL0000135,C09021,P04898,2024-06-13,False
WL0000136,C06380,P01371,2022-12-06,False
WL0000137,C06693,P04031,2022-10-16,True
WL0000138,C09542,P02083,2023-08-28,False
WL0000139,C03763,P03608,2023-12-04,False
WL0000140,C08819,P02348,2024-07-02,True
WL0000141,C07612,P03228,2024-02-02,True
WL0000142,C05823,P02952,2023-12-08,False
WL0000143,C01900,P01511,2023-11-07,True
WL0000144,C06294,P03182,2022-12-21,True
WL0000145,C01005,P02182,2023-01-03,False
WL0000146,C05712,P03035,2023-05-06,False
WL0000147,C08807,P03990,2023-03-06,False
WL0000148,C09240,P02650,2023-06-14,True
WL0000149,C06472,P04991,2024-04-16,False
WL0000150,C05876,P03777,2022-01-07,False
WL0000151,C04605,P04304,2023-08-18,True
WL0000152,C01752,P04581,2023-10-03,False
WL0000153,C04766,P02211,2023-07-01,True
WL0000154,C09310,P01280,2023-05-21,False
WL0000155,C03371,P00423,2023-04-30,True
WL0000156,C07844,P04508,2023-02-12,False
WL0000157,C04417,P04854,2024-03-04,True
WL0000158,C05215,P00272,2024-05-03,False
WL0000159,C03295,P01328,2022-01-09,False
WL0000160,C02689,P03815,2022-03-30,True
WL0000161,C06825,P02174,2023-12-12,False
WL0000162,C00070,P03904,2024-01-02,False
WL0000163,C07713,P01589,2023-10-07,True
WL0000164,C06252,P04698,2024-02-13,True
WL0000165,C04999,P02031,2023-06-24,False
WL0000166,C01691,P02357,2023-06-21,True
WL0000167,C03122,P02239,2022-07-12,False
WL0000168,C08363,P01075,2023-01-15,False
WL0000169,C01546,P01063,2024-04-16,True
WL0000170,C07106,P00710,2024-01-28,False
WL0000171,C02564,P00372,2022-06-19,False
WL0000172,C01334,P01838,2022-10-03,False
WL0000173,C06958,P04653,2024-02-15,False
WL0000174,C04265,P03514,2022-04-13,False
WL0000175,C08239,P03974,2022-07-07,False
WL0000176,C08457,P04749,2024-05-30,True
WL0000177,C07352,P00839,2022-02-08,False
WL0000178,C09800,P02704,2023-02-05,True
WL0000179,C04845,P03879,2024-04-04,False
WL0000180,C04037,P04523,2022-05-02,False
WL0000181,C06819,P04915,2024-09-17,False
WL0000182,C00316,P01896,2024-09-08,False
WL0000183,C00490,P00911,2024-12-29,False
WL0000184,C08281,P02263,2024-08-31,False
WL0000185,C06003,P04520,2024-04-04,True
WL0000186,C08860,P02215,2024-12-07,False
WL0000187,C05394,P02161,2023-04-29,False
WL0000188,C09297,P03819,2022-10-06,False
WL0000189,C05309,P00006,2023-05-06,False
WL0000190,C02949,P00221,2023-02-21,False
WL0000191,C03323,P04385,2023-10-19,False
WL0000192,C08684,P04867,2022-02-06,True
WL0000193,C00287,P04735,2024-11-02,True
WL0000194,C02033,P00409,2023-12-28,True
WL0000195,C04574,P03312,2024-12-31,True
WL0000196,C02080,P00699,2024-07-09,True
WL0000197,C08868,P00034,2024-04-03,True
WL0000198,C04631,P02333,2023-05-02,True
WL0000199,C01483,P03723,2024-09-14,False
WL0000200,C06712,P02603,2022-07-12,False
WL0000201,C07017,P00167,2024-10-23,False
WL0000202,C00947,P01907,2024-05-14,False
WL0000203,C00679,P03418,2022-05-21,False
WL0000204,C06939,P02145,2022-05-28,False
WL0000205,C03377,P01041,2022-08-07,False
WL0000206,C08855,P01619,2023-10-25,False
WL0000207,C08679,P03296,2023-03-08,False
WL0000208,C05237,P04566,2023-11-30,True
WL0000209,C06872,P01492,2023-09-18,False
WL0000210,C02825,P00151,2023-05-01,False
WL0000211,C04683,P00219,2022-05-24,False
WL0000212,C05104,P02161,2023-03-27,False
WL0000213,C01520,P04856,2024-10-21,True
WL0000214,C04191,P04090,2022-03-02,True
WL0000215,C06415,P00844,2024-02-28,False
WL0000216,C01824,P01138,2023-11-14,False
WL0000217,C09833,P00535,2022-12-06,False
WL0000218,C06260,P04270,2023-06-04,True
WL0000219,C00444,P03600,2023-03-02,False
WL0000220,C06689,P01072,2023-05-11,False
WL0000221,C06317,P00909,2022-12-14,False
WL0000222,C08040,P03114,2023-12-22,True
WL0000223,C03716,P03975,2024-04-06,True
WL0000224,C07718,P00304,2023-08-10,False
WL0000225,C02773,P00502,2024-05-10,True
WL0000226,C01618,P00182,2024-07-30,False
WL0000227,C03951,P01709,2022-02-23,False
WL0000228,C09463,P03479,2024-01-27,True
WL0000229,C03049,P04459,2023-03-24,False
WL0000230,C05711,P03126,2024-04-08,False
WL0000231,C03991,P03340,2022-01-07,True
WL0000232,C00724,P02869,2023-12-26,False
WL0000233,C02961,P02011,2022-03-26,False
WL0000234,C00764,P00096,2024-07-08,True
WL0000235,C00051,P03998,2023-06-19,False
WL0000236,C08575,P02487,2024-06-22,False
WL0000237,C04919,P03868,2024-04-06,False
WL0000238,C03058,P03887,2022-05-24,False
WL0000239,C04693,P03076,2022-06-09,True
WL0000240,C09514,P03723,2022-02-26,False
WL0000241,C03386,P01468,2022-02-03,False
WL0000242,C00359,P03824,2024-11-19,False
WL0000243,C05433,P02200,2024-01-10,True
WL0000244,C06244,P03749,2024-12-25,True
WL0000245,C07001,P00091,2023-01-02,True
WL0000246,C04320,P03020,2022-07-06,False
WL0000247,C01230,P02640,2024-04-12,False
WL0000248,C09651,P01462,2022-10-07,True
WL0000249,C03562,P03240,2022-03-02,False
WL0000250,C05134,P00277,2024-12-30,False
WL0000251,C04372,P03033,2024-06-15,True
WL0000252,C03851,P00679,2024-02-26,True
WL0000253,C03866,P04573,2023-03-08,False
WL0000254,C07994,P03187,2022-06-22,True
WL0000255,C07601,P02199,2022-02-07,False
WL0000256,C03536,P03034,2022-11-22,False
WL0000257,C06821,P03320,2023-10-25,True
WL0000258,C07597,P02947,2023-03-25,False
WL0000259,C05040,P03640,2023-02-18,True
WL0000260,C00494,P04409,2022-11-09,False
WL0000261,C04869,P00741,2022-09-24,False
WL0000262,C01722,P01237,2022-12-21,False
WL0000263,C06394,P01558,2023-11-23,True
WL0000264,C02725,P02902,2024-11-18,False
WL0000265,C01410,P03667,2024-07-30,True
WL0000266,C07293,P03228,2022-08-06,False
WL0000267,C05918,P04938,2022-01-17,False
WL0000268,C09073,P00670,2023-03-30,True
WL0000269,C00612,P01610,2022-07-19,True
WL0000270,C09342,P00570,2023-06-20,True
WL0000271,C08848,P00129,2022-01-04,True
WL0000272,C08365,P02145,2022-06-18,False
WL0000273,C03164,P00611,2023-02-12,False
WL0000274,C05414,P02006,2024-02-19,False
WL0000275,C02956,P00655,2023-02-21,False
WL0000276,C02342,P02571,2024-08-08,True
WL0000277,C05408,P03808,2023-11-22,True
WL0000278,C03496,P04468,2024-01-31,False
WL0000279,C00382,P00455,2022-10-22,True
WL0000280,C07660,P02225,2023-06-17,True
WL0000281,C06401,P00854,2022-05-29,False
WL0000282,C06607,P00246,2022-07-20,False
WL0000283,C04597,P03030,2024-12-21,False
WL0000284,C01127,P02514,2022-12-10,False
WL0000285,C01091,P01098,2024-05-27,True
WL0000286,C00981,P00675,2023-12-24,False
WL0000287,C04927,P04915,2022-03-02,False
WL0000288,C03186,P02183,2023-03-17,False
WL0000289,C04430,P01617,2022-06-05,False
WL0000290,C07004,P03679,2023-11-11,False
WL0000291,C04037,P02865,2023-05-23,False
WL0000292,C07832,P01575,2022-05-11,False
WL0000293,C09997,P02127,2023-07-24,False
WL0000294,C03739,P01701,2024-01-06,False
WL0000295,C07340,P03346,2024-08-30,False
WL0000296,C08984,P01623,2024-10-12,False
WL0000297,C07553,P01547,2023-11-12,False
WL0000298,C02071,P04302,2024-10-29,False
WL0000299,C07488,P02474,2022-06-14,True
WL0000300,C04239,P03461,2023-08-04,False
WL0000301,C09211,P04167,2022-09-05,True
WL0000302,C00802,P03943,2024-03-17,True
WL0000303,C09479,P03399,2022-03-24,False
WL0000304,C01811,P02198,2023-04-11,False
WL0000305,C07061,P03233,2024-09-18,False
WL0000306,C01713,P04511,2024-10-29,False
WL0000307,C00495,P00998,2023-05-29,False
WL0000308,C02230,P03243,2023-11-23,True
WL0000309,C00858,P04918,2022-08-27,True
WL0000310,C08224,P01949,2023-06-02,False
WL0000311,C08456,P01839,2024-08-31,False
WL0000312,C09130,P01262,2024-10-16,False
WL0000313,C02102,P00761,2023-03-17,True
WL0000314,C09403,P03052,2023-07-07,False
WL0000315,C00257,P00914,2024-12-22,False
WL0000316,C08667,P01728,2023-03-04,False
WL0000317,C06506,P03015,2023-06-04,False
WL0000318,C04228,P03375,2024-03-24,True
WL0000319,C05520,P04270,2024-01-01,False
WL0000320,C09622,P00184,2024-07-16,True
WL0000321,C00683,P04021,2023-11-13,False
WL0000322,C07515,P04487,2022-02-16,False
WL0000323,C03143,P00519,2022-01-23,False
WL0000324,C02358,P03872,2024-12-06,False
WL0000325,C09410,P00894,2024-01-14,False
WL0000326,C00346,P02933,2022-08-21,False
WL0000327,C00514,P00400,2024-06-10,False
WL0000328,C09343,P03880,2024-05-22,False
WL0000329,C09745,P02672,2022-01-09,True
WL0000330,C07364,P02901,2024-11-15,True
WL0000331,C02415,P00060,2023-02-13,True
WL0000332,C02639,P03162,2022-09-25,False
WL0000333,C06550,P04019,2022-06-30,True
WL0000334,C05527,P02193,2023-02-11,False
WL0000335,C06822,P04396,2023-01-16,True
WL0000336,C02613,P01635,2023-07-02,False
WL0000337,C03669,P03937,2022-01-14,False
WL0000338,C09719,P03470,2022-05-26,False
WL0000339,C07752,P03550,2023-04-12,False
WL0000340,C04413,P00629,2022-06-14,False
WL0000341,C06219,P04428,2023-12-02,True
WL0000342,C01313,P02235,2023-06-05,True
WL0000343,C01221,P01561,2022-10-27,False
WL0000344,C07387,P02967,2022-06-24,False
WL0000345,C09156,P00373,2024-10-25,True
WL0000346,C03331,P01351,2023-04-28,False
WL0000347,C05580,P02114,2022-12-21,True
WL0000348,C03258,P04308,2023-10-06,False
WL0000349,C07254,P02757,2023-01-18,False
WL0000350,C04064,P00525,2023-02-02,True
WL0000351,C09923,P04962,2023-06-14,False
WL0000352,C02378,P00274,2022-05-02,False
WL0000353,C04755,P02889,2024-01-23,False
WL0000354,C04530,P04111,2024-05-26,False
WL0000355,C05275,P00568,2022-09-21,False
WL0000356,C07929,P04929,2022-08-15,False
WL0000357,C01916,P03036,2023-07-25,False
WL0000358,C09641,P01452,2024-03-22,False
WL0000359,C04132,P04047,2024-09-25,True
WL0000360,C08789,P00945,2023-05-13,False
WL0000361,C07221,P03955,2023-02-26,True
WL0000362,C03247,P01759,2022-02-23,False
WL0000363,C05001,P01559,2022-02-04,False
WL0000364,C06937,P01193,2024-10-06,True
WL0000365,C05787,P02686,2022-04-10,True
WL0000366,C02297,P00836,2024-03-13,False
WL0000367,C05702,P04709,2022-02-05,False
WL0000368,C03161,P01205,2022-04-06,False
WL0000369,C01061,P00600,2023-06-16,False
WL0000370,C01218,P04804,2022-08-08,False
WL0000371,C08902,P00741,2023-12-12,False
WL0000372,C09951,P03630,2022-03-08,True
WL0000373,C05790,P03796,2024-06-25,False
WL0000374,C07184,P04201,2023-04-01,True
WL0000375,C00011,P00900,2022-02-17,False
WL0000376,C01178,P00593,2022-01-13,False
WL0000377,C00218,P01260,2024-02-07,True
WL0000378,C00558,P04254,2023-07-16,False
WL0000379,C01735,P03613,2023-10-03,True
WL0000380,C09138,P02532,2023-05-14,False
WL0000381,C09501,P02312,2022-11-26,False
WL0000382,C04636,P02758,2024-07-22,False
WL0000383,C00442,P03709,2023-11-13,False
WL0000384,C09250,P00208,2023-12-08,False
WL0000385,C09287,P01763,2022-11-02,True
WL0000386,C01969,P01527,2022-03-15,False
WL0000387,C04840,P04953,2022-01-06,False
WL0000388,C03084,P02237,2023-08-20,False
WL0000389,C04180,P02676,2022-06-26,False
WL0000390,C07623,P00589,2024-10-22,True
WL0000391,C07559,P01735,2023-09-15,False
WL0000392,C03659,P02507,2022-08-02,False
WL0000393,C06849,P00368,2024-07-21,False
WL0000394,C08660,P01377,2022-04-21,False
WL0000395,C03556,P00813,2024-08-17,True
WL0000396,C01121,P00388,2024-01-28,False
WL0000397,C00024,P00014,2024-04-12,False
WL0000398,C03770,P00008,2023-09-19,False
WL0000399,C03762,P00206,2024-03-05,False
WL0000400,C07088,P02245,2024-02-29,False
WL0000401,C04403,P01896,2023-08-28,False
WL0000402,C01942,P01070,2024-10-02,False
WL0000403,C02112,P03799,2023-09-03,True
WL0000404,C09261,P02601,2022-05-05,False
WL0000405,C00785,P02677,2022-10-21,False
WL0000406,C05560,P01983,2022-02-07,False
WL0000407,C03437,P03065,2023-05-15,False
WL0000408,C07522,P01770,2024-04-13,False
WL0000409,C01886,P00455,2022-03-02,True
WL0000410,C09315,P02223,2024-12-19,True
WL0000411,C06038,P01373,2024-03-16,True
WL0000412,C02248,P03174,2024-03-12,False
WL0000413,C07846,P03372,2024-06-08,False
WL0000414,C06913,P01632,2023-01-19,False
WL0000415,C09942,P02907,2023-01-27,False
WL0000416,C07292,P04931,2022-01-20,False
WL0000417,C07918,P00624,2022-12-31,False
WL0000418,C04775,P02784,2024-06-15,False
WL0000419,C06707,P00425,2024-05-22,False
WL0000420,C04929,P01670,2022-05-11,True
WL0000421,C05087,P03401,2023-08-10,False
WL0000422,C07868,P01678,2023-01-19,False
WL0000423,C03575,P01006,2022-05-12,False
WL0000424,C09914,P00376,2023-09-12,False
WL0000425,C08457,P02919,2023-11-01,False
WL0000426,C01630,P00268,2024-05-10,False
WL0000427,C08517,P01544,2024-11-15,False
WL0000428,C04523,P04606,2024-12-16,True
WL0000429,C02987,P02856,2024-03-05,False
WL0000430,C01488,P01644,2024-10-26,False
WL0000431,C01382,P02372,2024-05-07,False
WL0000432,C00548,P04318,2024-03-13,True
WL0000433,C05456,P03506,2024-08-15,False
WL0000434,C02111,P03303,2022-02-17,False
WL0000435,C02864,P02922,2024-12-12,False
WL0000436,C08882,P03416,2022-01-20,False
WL0000437,C07029,P01857,2023-11-08,False
WL0000438,C02876,P02425,2024-08-09,True
WL0000439,C06242,P04250,2024-07-06,False
WL0000440,C07417,P01416,2024-06-10,False
WL0000441,C03419,P00994,2022-10-16,False
WL0000442,C00481,P01989,2023-07-11,False
WL0000443,C00241,P02885,2022-08-04,True
WL0000444,C05884,P03071,2023-10-27,False
WL0000445,C06212,P01143,2023-05-28,True
WL0000446,C02153,P02599,2023-12-14,False
WL0000447,C08740,P04820,2023-03-02,True
WL0000448,C05324,P01514,2023-11-22,True
WL0000449,C05248,P03604,2024-09-19,False
WL0000450,C05414,P04762,2023-01-05,True
WL0000451,C01837,P02935,2023-07-14,True
WL0000452,C03565,P03670,2024-06-26,False
WL0000453,C04648,P01503,2022-12-17,False
WL0000454,C07955,P01400,2023-11-28,False
WL0000455,C08081,P01500,2023-12-27,False
WL0000456,C02342,P03415,2024-05-01,True
WL0000457,C01476,P04812,2022-02-13,False
WL0000458,C01847,P02751,2022-09-21,False
WL0000459,C03869,P03602,2023-10-01,False
WL0000460,C01891,P01707,2023-04-26,False
WL0000461,C02080,P00342,2023-08-26,True
WL0000462,C00589,P01371,2022-12-23,False
WL0000463,C03885,P02392,2024-08-23,False
WL0000464,C07198,P03304,2023-07-02,False
WL0000465,C06381,P03109,2023-01-07,False
WL0000466,C08866,P04355,2024-08-06,False
WL0000467,C09561,P04719,2023-12-01,False
WL0000468,C04919,P01634,2023-04-16,False
WL0000469,C02245,P03192,2024-12-10,True
WL0000470,C05880,P01668,2023-12-13,False
WL0000471,C05446,P00455,2022-01-03,True
WL0000472,C04610,P04622,2022-10-29,False
WL0000473,C02887,P04256,2023-03-09,True
WL0000474,C01588,P03320,2024-03-27,False
WL0000475,C02424,P01745,2023-10-15,False
WL0000476,C00667,P01295,2022-01-28,False
WL0000477,C02713,P04735,2023-08-02,True
WL0000478,C06731,P04908,2023-08-27,True
WL0000479,C09604,P04598,2022-12-15,False
WL0000480,C08116,P03875,2022-09-30,False
WL0000481,C05059,P00713,2024-11-15,False
WL0000482,C06764,P01691,2024-11-25,False
WL0000483,C09972,P01528,2022-12-15,False
WL0000484,C07942,P04707,2023-08-24,True
WL0000485,C07621,P00814,2023-01-22,False
WL0000486,C08397,P00757,2022-12-24,True
WL0000487,C03816,P03124,2023-05-16,True
WL0000488,C04711,P01883,2023-03-01,False
WL0000489,C02986,P02275,2022-04-22,True
WL0000490,C01956,P00600,2022-10-30,False
WL0000491,C01346,P03228,2022-05-30,False
WL0000492,C06291,P03475,2024-06-21,True
WL0000493,C08747,P04493,2024-02-23,False
WL0000494,C03070,P04081,2023-07-18,True
WL0000495,C00639,P03610,2024-05-08,False
WL0000496,C06605,P04692,2024-03-13,False
WL0000497,C06013,P03628,2022-12-05,False
WL0000498,C00223,P01524,2023-05-09,False
WL0000499,C08446,P04861,2023-08-05,True
WL0000500,C08477,P02314,2022-03-10,True
WL0000501,C08404,P01121,2024-10-18,False
WL0000502,C09565,P02970,2024-12-27,False
WL0000503,C02707,P03641,2022-06-20,True
WL0000504,C03124,P02759,2024-06-12,False
WL0000505,C03129,P04595,2022-05-13,False
WL0000506,C08962,P01928,2024-12-20,True
WL0000507,C00139,P02471,2024-01-26,False
WL0000508,C06854,P05000,2023-11-15,True
WL0000509,C00693,P02770,2024-06-19,False
WL0000510,C01691,P00131,2023-11-17,False
WL0000511,C08505,P02880,2022-03-06,True
WL0000512,C07384,P01763,2024-03-16,False
WL0000513,C01235,P02724,2023-04-07,False
WL0000514,C09043,P04445,2023-03-04,False
WL0000515,C01877,P04255,2024-11-03,False
WL0000516,C04081,P04028,2024-02-23,False
WL0000517,C03342,P03527,2023-08-01,False
WL0000518,C03872,P03125,2024-09-03,False
WL0000519,C03036,P03005,2022-09-15,False
WL0000520,C05688,P03883,2022-08-03,True
WL0000521,C09018,P04291,2023-08-18,False
WL0000522,C08015,P03581,2023-01-16,True
WL0000523,C08468,P03791,2024-11-09,False
WL0000524,C04362,P04916,2022-07-20,False
WL0000525,C01219,P02536,2022-02-20,True
WL0000526,C08086,P04944,2023-04-03,False
WL0000527,C02721,P02341,2023-12-17,False
WL0000528,C07556,P01107,2024-01-15,False
WL0000529,C08902,P00531,2022-05-13,True
WL0000530,C04337,P03997,2023-06-21,False
WL0000531,C07998,P04834,2023-09-06,True
WL0000532,C01781,P02950,2022-02-03,False
WL0000533,C06389,P00454,2022-08-28,True
WL0000534,C00279,P03615,2024-07-29,False
WL0000535,C05283,P01147,2023-04-14,False
WL0000536,C07273,P01299,2024-06-07,False
WL0000537,C00931,P00468,2023-11-07,True
WL0000538,C00248,P00474,2024-05-04,False
WL0000539,C02681,P00441,2024-10-31,False
WL0000540,C02362,P02994,2024-04-11,False
WL0000541,C01766,P04239,2024-09-25,False
WL0000542,C00199,P00482,2023-12-17,False
WL0000543,C05468,P02906,2023-08-07,False
WL0000544,C09295,P02141,2024-11-04,False
WL0000545,C09008,P01586,2023-07-07,False
WL0000546,C04146,P00227,2024-12-29,False
WL0000547,C00309,P04800,2024-04-26,False
WL0000548,C07011,P03577,2024-08-31,False
WL0000549,C06400,P00436,2023-03-26,False
WL0000550,C02401,P03770,2022-02-06,True
WL0000551,C07900,P00330,2024-06-13,False
WL0000552,C05897,P00755,2023-10-28,False
WL0000553,C03630,P00483,2022-06-18,False
WL0000554,C00079,P04529,2024-07-07,False
WL0000555,C08451,P02071,2024-04-16,True
WL0000556,C08647,P01620,2022-06-06,True
WL0000557,C08309,P02402,2023-08-28,False
WL0000558,C08110,P01668,2022-02-24,False
WL0000559,C00801,P00134,2024-02-27,False
WL0000560,C05989,P00039,2022-11-14,False
WL0000561,C08719,P01998,2024-06-06,False
WL0000562,C03127,P04153,2024-10-02,False
WL0000563,C04065,P01804,2022-04-07,True
WL0000564,C05274,P04250,2023-01-17,False
WL0000565,C03156,P04030,2022-09-04,False
WL0000566,C02415,P02080,2022-08-18,False
WL0000567,C04999,P04358,2022-03-13,False
WL0000568,C03763,P01270,2022-12-26,False
WL0000569,C02269,P03946,2024-02-17,False
WL0000570,C05589,P04662,2023-01-27,False
WL0000571,C05053,P02024,2022-08-10,False
WL0000572,C00571,P03321,2023-09-29,False
WL0000573,C08332,P04966,2022-05-14,False
WL0000574,C07089,P00163,2023-12-26,False
WL0000575,C05018,P01336,2024-04-09,False
WL0000576,C09461,P01103,2022-12-18,False
WL0000577,C07983,P03727,2022-10-13,False
WL0000578,C09297,P01840,2023-04-14,False
WL0000579,C06889,P01079,2022-05-02,False
WL0000580,C05424,P00439,2024-12-25,True
WL0000581,C00251,P00541,2022-03-04,True
WL0000582,C08038,P02693,2023-04-14,False
WL0000583,C09692,P03453,2022-10-19,False
WL0000584,C00001,P04012,2022-10-19,False
WL0000585,C01367,P01908,2022-01-28,False
WL0000586,C06261,P01441,2023-04-23,False
WL0000587,C02436,P03342,2023-10-08,False
WL0000588,C00638,P01711,2023-04-08,False
WL0000589,C07351,P02297,2024-01-15,False
WL0000590,C05163,P04645,2024-07-11,False
WL0000591,C09037,P00516,2024-02-02,False
WL0000592,C06388,P02234,2024-04-06,False
WL0000593,C00697,P01932,2024-10-09,False
WL0000594,C05552,P01781,2024-02-03,False
WL0000595,C03861,P03360,2022-03-10,False
WL0000596,C09586,P01365,2023-08-17,False
WL0000597,C01904,P02424,2024-10-28,False
WL0000598,C05351,P01454,2023-06-29,True
WL0000599,C08948,P03362,2024-07-09,False
WL0000600,C01218,P01985,2024-07-04,False
WL0000601,C03352,P00612,2023-06-20,False
WL0000602,C03900,P03286,2023-05-20,True
WL0000603,C07336,P00526,2024-08-14,False
WL0000604,C06332,P01555,2024-08-11,True
WL0000605,C06348,P03187,2024-05-18,False
WL0000606,C05388,P04108,2023-05-01,False
